"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"TRIM67","ORF",-1.22,1042,711,485.144913627639
"MYC","ORF",0.134,891,603,408.090909090909
"PARK2","BOTH",0.311,859,585,398.399301513388
"KIAA1429","ORF",-0.214,664,499,375.001506024096
"PLEKHA4","BOTH",0.205,797,539,364.518193224592
"TP53","BOTH",-1.227,725,513,362.991724137931
"NTRK1","ORF",1.15,672,485,350.037202380952
"EGFR","ORF",0.087,773,512,339.125485122898
"CUL3","BOTH",1.164,751,502,335.55792276964
"ESR1","ORF",-0.999,683,471,324.803806734993
"HIST1H4A","ORF",-0.534,651,447,306.926267281106
"BRD4","NON_ORF",-0.481,632,440,306.329113924051
"STAU1","ORF",0.611,616,426,294.603896103896
"EFTUD2","NON_ORF",0.427,656,435,288.452743902439
"ANLN","ORF",1.05,651,429,282.705069124424
"HSPA5","ORF",-0.324,578,403,280.984429065744
"KIF14","ORF",0.125,631,421,280.889064976228
"UBE2H","NON_ORF",0.091,663,431,280.182503770739
"KRAS","NON_ORF",-0.434,661,425,273.260211800303
"TRIM28","NON_ORF",-0.908,544,385,272.472426470588
"EP300","ORF",-0.825,519,374,269.510597302505
"EZH2","BOTH",-1.065,598,396,262.234113712375
"TRIM25","BOTH",-0.372,557,382,261.982046678636
"RAF1","ORF",-1.672,557,379,257.883303411131
"BIRC3","ORF",-0.538,570,383,257.349122807018
"CIT","ORF",-1.037,534,367,252.2265917603
"SERBP1","BOTH",-1.933,574,379,250.245644599303
"BRCA1","NON_ORF",-0.714,505,355,249.554455445545
"TIPARP","NON_ORF",0.752,482,346,248.373443983402
"VCP","NON_ORF",0.327,575,377,247.180869565217
"PHB","ORF",-0.209,558,369,244.016129032258
"PARP1","ORF",1.545,522,356,242.789272030651
"HNRNPU","ORF",0.905,505,346,237.061386138614
"RBM39","NON_ORF",0.081,544,357,234.28125
"CHD4","ORF",-0.324,474,331,231.14135021097
"NR2C2","BOTH",-1.208,547,355,230.393053016453
"RECQL4","ORF",-0.23,543,350,225.598526703499
"UBC","BOTH",-1.396,468,324,224.307692307692
"YAP1","ORF",0.185,461,321,223.516268980477
"PRMT1","ORF",-0.377,454,318,222.740088105727
"NCL","BOTH",0.328,451,314,218.616407982262
"MECP2","NON_ORF",-0.048,460,316,217.078260869565
"HSP90AA1","BOTH",-1.142,449,312,216.801781737194
"XRCC6","ORF",0.192,445,310,215.955056179775
"TMPO","ORF",-0.204,455,313,215.316483516484
"LMNA","NON_ORF",1.394,431,301,210.211136890951
"AR","ORF",0.146,388,285,209.342783505155
"ACE2","BOTH",0.501,488,319,208.526639344262
"HNRNPA1","NON_ORF",-0.604,415,293,206.865060240964
"HDAC1","NON_ORF",0.405,396,286,206.555555555556
"XPO1","ORF",1.25,446,303,205.849775784753
"OBSL1","ORF",-1.09,416,292,204.961538461538
"CEBPA","ORF",1.229,390,282,203.907692307692
"DDRGK1","BOTH",-0.776,553,334,201.728752260398
"HDAC2","BOTH",-0.124,363,269,199.341597796143
"SOX2","ORF",0.366,425,291,199.249411764706
"FBXW7","ORF",1.879,423,290,198.817966903073
"HEXIM1","BOTH",-1.197,431,292,197.828306264501
"PRPF8","BOTH",-0.129,469,304,197.049040511727
"HUWE1","ORF",-1.628,466,303,197.015021459227
"HDAC6","BOTH",-0.434,443,295,196.444695259594
"SIRT7","BOTH",0.076,326,253,196.346625766871
"HSP90AB1","NON_ORF",-1.055,432,291,196.020833333333
"KIF23","BOTH",0.56,447,296,196.008948545861
"SNRNP70","BOTH",-0.206,441,294,196
"CUL7","ORF",-1.762,422,287,195.187203791469
"CHD3","ORF",-0.762,406,281,194.485221674877
"CDC5L","ORF",-1.087,382,272,193.675392670157
"RPN1","BOTH",-0.469,389,274,192.997429305913
"KIF20A","ORF",-0.874,413,281,191.188861985472
"FZR1","BOTH",-0.819,446,292,191.174887892377
"TOP1","NON_ORF",0.036,349,258,190.727793696275
"SQSTM1","BOTH",-0.336,423,284,190.676122931442
"ZC3H18","ORF",-0.673,439,286,186.323462414579
"ACTB","ORF",1.122,387,268,185.59173126615
"NAA40","BOTH",0.483,389,268,184.637532133676
"HSPD1","ORF",0.034,351,254,183.806267806268
"U2AF2","BOTH",-0.541,385,266,183.781818181818
"DDX5","ORF",0.727,343,251,183.67638483965
"MYH9","NON_ORF",0.542,361,257,182.961218836565
"COPS5","BOTH",0.597,430,280,182.325581395349
"HNRNPA2B1","ORF",1.228,363,256,180.539944903581
"PRKDC","ORF",-1.127,366,257,180.46174863388
"ECT2","ORF",-1.322,383,262,179.227154046997
"MATR3","BOTH",-1.955,359,253,178.298050139276
"PABPC1","NON_ORF",0.924,388,263,178.270618556701
"FASN","ORF",1.873,363,254,177.730027548209
"CFTR","BOTH",-0.776,447,281,176.646532438479
"HECTD1","ORF",-0.952,383,260,176.501305483029
"CLTC","ORF",-0.48,363,253,176.333333333333
"RNF2","BOTH",0.38,375,257,176.130666666667
"DDX21","ORF",-1.705,387,261,176.023255813953
"FANCD2","BOTH",0.124,419,271,175.276849642005
"ATP1A1","BOTH",-0.959,361,251,174.518005540166
"NXF1","ORF",-0.821,344,245,174.491279069767
"IFI16","NON_ORF",0.766,325,237,172.827692307692
"SSRP1","NON_ORF",-0.151,326,237,172.29754601227
"YBX1","ORF",0,357,248,172.280112044818
"RICTOR","ORF",-1.459,337,240,170.919881305638
"YWHAQ","BOTH",1.934,346,243,170.661849710983
"DDB1","ORF",0.182,330,237,170.209090909091
"RPS3A","BOTH",-0.125,381,254,169.333333333333
"CAND1","NON_ORF",-1.296,435,271,168.829885057471
"USP7","ORF",-1.411,347,242,168.772334293948
"YWHAE","NON_ORF",-0.719,351,243,168.230769230769
"HSPA9","ORF",-1.76,340,239,168.002941176471
"MEN1","ORF",0.916,378,252,168
"SYNCRIP","NON_ORF",-1.239,342,239,167.020467836257
"RBBP4","ORF",-0.854,293,221,166.692832764505
"WWP2","ORF",0.755,389,254,165.850899742931
"CDK9","NON_ORF",-0.075,370,247,164.889189189189
"RUVBL2","BOTH",0.178,334,234,163.940119760479
"PML","BOTH",0.027,351,239,162.737891737892
"AURKB","ORF",0.338,355,239,160.904225352113
"DDX3X","ORF",0.487,345,235,160.072463768116
"RPL4","NON_ORF",-1.299,385,248,159.750649350649
"ZC3HAV1","NON_ORF",-0.566,381,246,158.834645669291
"CUL4A","NON_ORF",0.126,297,217,158.548821548822
"EGLN3","BOTH",0.62,332,229,157.954819277108
"EED","BOTH",-1.719,320,224,156.8
"SUMO2","BOTH",0.828,263,203,156.688212927757
"CDK2","NON_ORF",0.262,365,239,156.495890410959
"DNAJA1","ORF",1.214,293,214,156.300341296928
"OGT","NON_ORF",0.486,354,235,156.002824858757
"FLNA","BOTH",1.55,307,218,154.801302931596
"HDLBP","NON_ORF",0.889,338,228,153.798816568047
"MOV10","BOTH",0.374,341,229,153.785923753666
"DDX39B","ORF",0,321,222,153.532710280374
"SF3B1","ORF",-0.745,307,217,153.384364820847
"EEF2","ORF",0.474,317,220,152.681388012618
"RPS16","BOTH",0.483,372,238,152.268817204301
"FN1","ORF",0.288,383,241,151.647519582245
"TGOLN2","NON_ORF",-1.323,302,214,151.64238410596
"CKAP4","ORF",1.092,316,218,150.392405063291
"KPNB1","ORF",-1.342,299,212,150.314381270903
"DOT1L","ORF",-0.939,344,227,149.793604651163
"RPL11","ORF",-0.529,357,231,149.470588235294
"CIC","BOTH",0.534,290,208,149.186206896552
"IQGAP1","BOTH",1.726,316,217,149.01582278481
"ATP5A1","NON_ORF",-0.154,307,213,147.781758957655
"KDM1A","NON_ORF",-0.189,258,195,147.383720930233
"CCT8","BOTH",-0.2,280,203,147.175
"RPN2","ORF",1.332,315,215,146.746031746032
"KCNA3","BOTH",-0.856,319,216,146.257053291536
"HSP90B1","ORF",-0.762,311,213,145.881028938907
"APP","ORF",-0.673,363,230,145.730027548209
"RPL5","BOTH",0.017,351,226,145.51566951567
"HSPA4","ORF",-0.592,313,213,144.948881789137
"VIM","ORF",0.204,313,213,144.948881789137
"RPS4X","ORF",0.829,334,220,144.910179640719
"SNRNP200","ORF",-0.621,279,201,144.806451612903
"THRAP3","ORF",0.422,266,196,144.421052631579
"APEX1","ORF",0.858,291,205,144.415807560137
"UPF1","BOTH",-0.142,280,201,144.289285714286
"SF3B2","BOTH",-0.977,282,201,143.265957446808
"RNF113A","BOTH",-0.544,348,223,142.899425287356
"BRD7","BOTH",-0.174,297,206,142.882154882155
"NONO","NON_ORF",-1.14,261,193,142.716475095785
"RBM14","NON_ORF",-0.42,298,206,142.402684563758
"SRRM2","BOTH",-0.555,281,200,142.348754448399
"LRPPRC","BOTH",-0.855,316,212,142.227848101266
"PABPC4","ORF",-1.005,279,199,141.939068100358
"DYNC1H1","ORF",-0.543,271,196,141.756457564576
"LMBR1L","NON_ORF",0.601,250,188,141.376
