"from","to"
"ILF3","TUBA4A"
"SNW1","TUBA4A"
"PRKCZ","TUBA4A"
"BAG1","TUBA4A"
"ADARB1","TUBA4A"
"SMC5","TUBA4A"
"NUP43","PELO"
"ITGA4","PELO"
"ANKRD28","ANKRD28"
"ANKRD28","GPR182"
"ANKRD28","NUP43"
"ADCK3","ADCK3"
"ADCK3","TCEB2"
"ADCK3","SIN3A"
"ADCK3","IRAK1"
"ARL6IP5","RTN4"
"ARL6IP5","NRAS"
"ARL6IP5","ATP2A1"
"ARL6IP5","RHOF"
"CLIC1","ITGA4"
"CLIC1","HNF1B"
"CLIC1","NUPR1"
"BAG1","CLIC1"
"DPF2","LCP1"
"LCP1","NRAS"
"LCP1","MBNL1"
"ILF3","MINA"
"CAPZB","RNF138"
"RBM4","RNF138"
"CABIN1","SIN3A"
"CABIN1","HNF1B"
"CABIN1","CAPZB"
"ADARB1","CD97"
"CD97","NRAS"
"CD97","RHOF"
"CAPZB","MYL9"
"MDK","SIN3A"
"MDK","SRPK2"
"MDK","SMC5"
"ISCA1","RIT1"
"CCR4","RTN4"
"IGJ","SNW1"
"GPR182","TMEM11"
"MAPKAPK3","SRPK2"
"LRRC58","TCEB2"
"FHL3","PRR5L"
"BAALC","CHEK2"
"RAN","TMEM194B"
"COPS2","SIN3A"
"COPS2","COPS3"
"COPS2","COPS2"
"ACIN1","COPS2"
"COPS2","DNMT1"
"COPS2","TCEB2"
"COPS2","WDTC1"
"COPS2","RIT1"
"CAPZB","COPS2"
"COPS2","H2AFY"
"DHX9","ILF3"
"DHX9","RBM4"
"DHX9","DNMT3B"
"CHERP","DHX9"
"DHX9","MBNL1"
"ACIN1","DHX9"
"DHX9","SUZ12"
"DHX9","SNW1"
"CHEK2","DHX9"
"DHX9","NUPR1"
"DHX9","ZBTB2"
"DHX9","RIT1"
"CAPZB","DHX9"
"BAG1","DHX9"
"DHX9","SMC5"
"NUPR1","RAN"
"ACIN1","NUPR1"
"CAPZB","NUPR1"
"CDK6","NUPR1"
"DBN1","NUPR1"
"DHX15","NUPR1"
"DHX9","NUPR1"
"H2AFY","NUPR1"
"ILF3","NUPR1"
"LGALS8","NUPR1"
"NF2","NUPR1"
"NUP155","NUPR1"
"NUP43","NUPR1"
"NUPR1","RBM4"
"NF2","RIT1"
"ILF3","RIT1"
"NUP43","RIT1"
"RIT1","RIT1"
"CHERP","RIT1"
"CAPZB","RIT1"
"COPS2","RIT1"
"DHX15","RIT1"
"DHX9","RIT1"
"DNMT1","RIT1"
"RIT1","TCEB2"
"NUP155","RIT1"
"RIT1","SRPK2"
"DHX15","SNW1"
"CAPZB","DHX15"
"DHX15","RAN"
"DHX15","ILF3"
"DHX15","TCEB2"
"CHERP","DHX15"
"ACIN1","DHX15"
"DHX15","ITGA4"
"DHX15","SRPK2"
"DHX15","NF2"
"DHX15","SNIP1"
"DHX15","NUPR1"
"DHX15","RIT1"
"BAG1","DHX15"
"DHX15","SMC5"
"SUZ12","SUZ12"
"DNMT1","SUZ12"
"ILF3","SUZ12"
"ACIN1","SUZ12"
"H2AFY","SUZ12"
"DHX9","SUZ12"
"DBN1","SUZ12"
"RAN","SUZ12"
"RBM4","SUZ12"
"SNW1","SUZ12"
"FHL3","SUZ12"
"DNMT3B","SUZ12"
"SUZ12","TCEB2"
"SIN3A","SUZ12"
"SUZ12","ZBTB2"
"CHERP","SNIP1"
"SNIP1","SNW1"
"SNIP1","SRPK2"
"ACIN1","SNIP1"
"SNIP1","SNIP1"
"DHX15","SNIP1"
"DDX24","SNIP1"
"RAN","SNIP1"
