"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"TUBA4A","NONE",3.057,176,124,87.3636363636364
"PELO","NONE",-2.809,92,68,50.2608695652174
"ANKRD28","NONE",3.798,97,68,47.6701030927835
"SMEK1","NONE",-2.753,82,61,45.3780487804878
"ADCK3","NONE",-3.056,88,59,39.5568181818182
"ARL6IP5","NONE",2.815,107,63,37.0934579439252
"CLIC1","NONE",3.237,80,54,36.45
"PDK1","NONE",-2.896,58,42,30.4137931034483
"LCP1","NONE",2.823,48,38,30.0833333333333
"MINA","NONE",2.643,57,40,28.0701754385965
"RNF138","NONE",-2.825,43,32,23.8139534883721
"CABIN1","NONE",3.085,36,29,23.3611111111111
"CD97","NONE",2.862,44,29,19.1136363636364
"MYL9","NONE",2.952,38,26,17.7894736842105
"TRMT61B","NONE",-2.842,40,25,15.625
"TRIM39","NONE",-3.155,20,16,12.8
"MDK","NONE",-2.89,30,19,12.0333333333333
"CPNE1","NONE",2.967,38,21,11.6052631578947
"CTGF","NONE",3.155,13,12,11.0769230769231
"RGS2","NONE",-3.017,21,15,10.7142857142857
"CA6","NONE",3.081,12,10,8.33333333333333
"ISCA1","NONE",-2.607,25,14,7.84
"PECAM1","NONE",2.656,17,11,7.11764705882353
"CCR4","NONE",2.595,10,8,6.4
"IGJ","NONE",3.547,10,8,6.4
"CCR6","NONE",2.882,8,7,6.125
"TMEM11","NONE",-3.648,17,10,5.88235294117647
"MAPKAPK3","NONE",2.99,14,9,5.78571428571429
"MT3","NONE",3.735,5,5,5
"TICAM1","NONE",-2.811,13,8,4.92307692307692
"MIER3","NONE",-2.694,10,7,4.9
"F3","NONE",2.987,8,6,4.5
"LRRC29","NONE",-2.88,8,6,4.5
"LRRC58","NONE",-2.585,6,5,4.16666666666667
"FGF10","NONE",-2.723,6,5,4.16666666666667
"PRR5L","NONE",3.829,6,5,4.16666666666667
"VSNL1","NONE",-2.911,6,5,4.16666666666667
"MST1","NONE",-3.015,6,4,2.66666666666667
