"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"TRIM67","ORF",-0.078,2944,2007,1368.22316576087
"KIAA1429","ORF",-2.067,1617,1244,957.04143475572
"PARK2","ORF",0.28,2046,1377,926.74926686217
"PLEKHA4","ORF",-3.499,1939,1306,879.647240845797
"MYC","ORF",2.192,1953,1304,870.668714797747
"EGFR","ORF",2.369,1843,1207,790.476939772111
"NTRK1","ORF",1.527,1367,1023,765.566203365033
"CUL3","ORF",-2.053,1609,1101,753.38781852082
"ESR1","BOTH",-4.031,1474,1035,726.746947082768
"ESR2","ORF",1.166,1483,1024,707.064059339177
"TP53","ORF",1.125,1447,998,688.323427781617
"KRAS","ORF",0.574,1654,1054,671.654171704958
"HSPA8","ORF",1.969,1352,914,617.896449704142
"CCNF","ORF",6.011,1405,914,594.587900355872
"TIPARP","NONE",-6.213,1050,769,563.200952380952
"KIF14","ORF",7.844,1162,805,557.680722891566
"ANLN","ORF",6.666,1176,798,541.5
"STAU1","ORF",4.367,1032,736,524.899224806202
"RAF1","ORF",0.42,1136,760,508.450704225352
"BRD4","ORF",-0.201,1058,717,485.906427221172
"HNRNPL","ORF",0.22,1001,690,475.624375624376
"ELAVL1","ORF",2.615,1103,722,472.605621033545
"CDC123","ORF",5.46,1147,718,449.45422842197
"TGOLN2","ORF",-3.5,937,645,443.996798292423
"CIT","ORF",4.746,918,636,440.627450980392
"EZH2","ORF",7.423,968,651,437.810950413223
"UBC","ORF",-0.04,985,656,436.889340101523
"HSPA1A","ORF",1.423,982,655,436.88900203666
"XPO1","ORF",1.069,954,644,434.733752620545
"BRCA1","ORF",3.509,821,591,425.433617539586
"YWHAG","NONE",4.186,726,554,422.749311294766
"EP300","ORF",-0.658,863,602,419.935110081112
"EGLN3","ORF",1.188,857,593,410.325554259043
"PARP1","ORF",1.088,853,589,406.706916764361
"BIRC3","ORF",-3.734,902,602,401.778270509978
"RNF4","NONE",-2.757,841,581,401.38049940547
"SOX2","ORF",2.828,869,589,399.218642117376
"YWHAZ","ORF",6.511,745,544,397.229530201342
"TRIM28","ORF",2.431,844,578,395.834123222749
"NR2C2","ORF",0.437,927,605,394.848975188781
"YWHAH","NONE",3.021,675,516,394.453333333333
"APP","ORF",-0.428,1106,660,393.851717902351
"MECP2","ORF",-2.75,814,563,389.396805896806
"CEBPB","ORF",6.611,931,602,389.263157894737
"HSPA5","ORF",-0.714,893,584,381.921612541993
"NXF1","ORF",-2.32,827,562,381.915356711004
"EFTUD2","ORF",0.865,965,607,381.812435233161
"VCP","ORF",1.837,920,592,380.939130434783
"APEX1","BOTH",0.138,710,519,379.381690140845
"YWHAE","ORF",0.302,710,517,376.46338028169
"YWHAQ","ORF",4.049,666,497,370.884384384384
"SQSTM1","BOTH",1.805,785,536,365.982165605096
"CFTR","ORF",-1.487,850,556,363.689411764706
"RHOA","ORF",-0.953,758,524,362.23746701847
"FBXW7","ORF",0.215,761,522,358.060446780552
"MEN1","ORF",0.855,679,491,355.053019145803
"MOV10","ORF",1.505,798,530,352.005012531328
"DDX58","ORF",0.185,815,535,351.196319018405
"HSP90AA1","ORF",3.262,742,510,350.539083557951
"HDAC1","ORF",1.533,660,479,347.637878787879
"RECQL4","ORF",4.542,950,573,345.609473684211
"AR","ORF",-3.653,613,460,345.187601957586
"CEBPA","ORF",-1.45,751,506,340.926764314248
"YWHAB","NONE",3.563,592,448,339.027027027027
"LMNA","ORF",3.355,745,502,338.260402684564
"TNIP1","ORF",-2.179,781,512,335.651728553137
"HNRNPH1","ORF",0.332,861,536,333.677119628339
"HECTD1","ORF",-0.664,664,468,329.855421686747
"WDR5","ORF",5.949,733,491,328.896316507503
"SIRT7","BOTH",2.278,498,404,327.74297188755
"STIP1","ORF",5.72,687,474,327.039301310044
"YAP1","ORF",-1.947,701,478,325.940085592011
"ACE2","ORF",1.452,708,479,324.069209039548
"MYCN","ORF",2.726,877,529,319.088939566705
"DDRGK1","ORF",1.688,830,512,315.836144578313
"KIF20A","ORF",8.91,656,455,315.586890243902
"CHD4","ORF",1.235,604,435,313.28642384106
"CTNNB1","ORF",-2.131,585,428,313.135042735043
"COPS5","ORF",1.764,692,465,312.46387283237
"PML","ORF",2.532,603,431,308.06135986733
"SMC5","ORF",0.668,643,443,305.208398133748
"LMBR1L","ORF",-0.841,626,437,305.062300319489
"CANX","ORF",3.165,753,476,300.897742363878
"PRC1","ORF",8.256,625,433,299.9824
"GSK3B","ORF",5.816,526,396,298.12927756654
"MCM2","ORF",8.052,688,451,295.640988372093
"KIF23","ORF",7.99,650,438,295.144615384615
"XRCC6","ORF",1.388,585,415,294.401709401709
"RHOB","ORF",-3.772,550,402,293.825454545455
"ACTB","ORF",5.565,630,427,289.411111111111
"HNRNPU","ORF",1.056,647,432,288.44513137558
"RBM39","ORF",-0.805,676,441,287.693786982248
"OBSL1","ORF",2.246,576,405,284.765625
"USP7","ORF",0.307,519,383,282.637764932563
"FZR1","ORF",0.123,722,450,280.470914127424
"CDC5L","ORF",0.17,539,388,279.30241187384
"ILF3","ORF",1.102,605,411,279.20826446281
"HIST1H3A","ORF",0.278,575,400,278.260869565217
"ECT2","ORF",4.239,589,404,277.106960950764
"NR3C1","ORF",-2.049,555,392,276.872072072072
"PPIA","ORF",1.39,567,396,276.571428571429
"HUWE1","ORF",3.072,713,444,276.488078541374
"CUL4A","ORF",-2.267,513,376,275.586744639376
"RAB7A","ORF",2.303,589,401,273.006791171477
"HDAC2","ORF",2.88,536,382,272.246268656716
"OGT","ORF",-2.624,595,402,271.603361344538
"CSNK2A1","ORF",5.892,558,388,269.792114695341
"HSP90AB1","ORF",5.528,587,397,268.499148211244
"RHOG","ORF",0.779,605,402,267.114049586777
"EPHA2","BOTH",3.016,463,351,266.092872570194
"RAB11A","ORF",-0.894,535,377,265.661682242991
"PRMT1","BOTH",3.271,606,401,265.348184818482
"SIRT6","ORF",2.308,441,340,262.131519274376
"MAPT","ORF",-5.167,609,396,257.497536945813
"HDAC6","ORF",0.561,609,396,257.497536945813
"IFI16","ORF",-2.365,488,354,256.795081967213
"FASN","ORF",-1.033,643,406,256.354587869362
"CUL7","ORF",1.918,552,376,256.115942028986
"RIT1","ORF",4.293,741,434,254.191632928475
"SNRNP40","ORF",-0.864,408,321,252.551470588235
"EMD","ORF",1.379,525,364,252.373333333333
"SFN","NONE",5.619,427,328,251.953161592506
"KDM1A","ORF",1.688,485,349,251.136082474227
"HSPD1","ORF",4.079,648,403,250.631172839506
"TMPO","ORF",2.619,533,365,249.953095684803
"FANCD2","ORF",2.325,548,369,248.46897810219
"H3F3A","ORF",0.203,466,340,248.068669527897
"LRRC59","NONE",4.647,555,371,248.001801801802
"SSRP1","ORF",3.805,461,336,244.893709327549
"DOT1L","ORF",3.094,538,362,243.576208178439
"TNIP2","ORF",-1.109,580,375,242.456896551724
"CAV1","ORF",-2.297,474,339,242.449367088608
"HEXIM1","ORF",-3.854,594,379,241.819865319865
"RNF2","ORF",-1.634,536,358,239.111940298507
"RPN1","ORF",4.82,531,356,238.674199623352
"CHD3","ORF",-1.073,493,343,238.638945233266
"WWP2","ORF",2.129,546,360,237.362637362637
"BTRC","ORF",-4.807,482,338,237.020746887967
"HDLBP","BOTH",3.415,520,350,235.576923076923
"CDH1","ORF",1.331,478,335,234.780334728033
"SNW1","BOTH",-2.283,482,336,234.224066390041
"RHOJ","ORF",-1.625,417,311,231.9448441247
"CYLD","ORF",-2.72,554,358,231.342960288809
"GJA1","ORF",-5.157,405,306,231.2
"RPS6","NONE",-2.987,553,357,230.46835443038
"MKI67","ORF",8.186,451,322,229.89800443459
"RICTOR","ORF",-1.85,491,335,228.564154786151
"BSG","ORF",5.042,494,335,227.176113360324
"SRPK2","ORF",-2.333,453,320,226.048565121413
"NUP43","ORF",1.808,386,295,225.453367875648
"LARP7","NONE",-3.802,728,405,225.309065934066
"CAND1","ORF",1.895,556,353,224.11690647482
"AURKB","NONE",9.47,507,337,224.001972386588
"RPL4","ORF",-0.047,504,336,224
"TRRAP","ORF",3.603,463,322,223.939524838013
"MYH9","ORF",1.353,459,320,223.093681917211
"LAMP1","ORF",0.327,435,311,222.347126436782
"RPN2","ORF",3.495,525,341,221.487619047619
"NCL","ORF",4.182,522,340,221.455938697318
"HIST2H2BE","ORF",1.451,416,303,220.694711538462
"LYN","ORF",1.477,433,309,220.5103926097
"TOP1","ORF",0.464,451,315,220.011086474501
"CIC","ORF",-1.711,440,311,219.820454545455
"FN1","ORF",2.467,517,336,218.36750483559
"EWSR1","NONE",4.125,497,329,217.788732394366
"BRD7","ORF",1.267,414,300,217.391304347826
"HNRNPA1","ORF",0.31,617,366,217.108589951378
"BTF3","NONE",-3.851,517,335,217.069632495164
"ERBB2","ORF",2.334,408,297,216.198529411765
"FBL","ORF",1.457,449,311,215.41425389755
"RNF113A","ORF",2.404,458,314,215.275109170306
"NUPR1","ORF",1.441,457,313,214.374179431072
"PPP1CC","ORF",-0.66,446,309,214.082959641256
"ZC3H18","NONE",5.587,592,356,214.081081081081
"PRPF8","ORF",1.342,514,331,213.153696498055
"CUL1","ORF",1.887,508,329,213.072834645669
"RPL3","ORF",-2.841,481,320,212.889812889813
"HRAS","ORF",4.068,393,289,212.521628498728
"CLTC","ORF",1.923,435,304,212.450574712644
"DDB1","ORF",-0.254,433,303,212.030023094688
"PABPC1","ORF",2.968,426,300,211.267605633803
"CDK9","NONE",2.951,440,304,210.036363636364
"SEC61B","ORF",0.722,528,333,210.017045454545
"RAB35","NONE",4.904,409,293,209.899755501223
"FGFR1","BOTH",0.953,398,289,209.85175879397
"CUL4B","ORF",-0.411,461,311,209.80694143167
"PTEN","ORF",-3.51,456,309,209.388157894737
"U2AF2","ORF",3.055,429,298,207.002331002331
"PPP1CA","ORF",5.673,408,290,206.127450980392
"CLEC16A","ORF",-0.341,420,294,205.8
"LAMP2","ORF",3.135,382,280,205.235602094241
"NRAS","NONE",3.45,431,297,204.661252900232
"FXR1","ORF",2.636,403,287,204.389578163772
"CBX3","BOTH",1.5,378,277,202.986772486772
"CDK2","ORF",1.663,487,314,202.455852156057
"CSNK2A2","NONE",3.434,436,297,202.314220183486
"PRKDC","NON_ORF",3.011,444,299,201.353603603604
