"from","to"
"CLPP","TIPARP"
"RNF114","TIPARP"
"ABCF1","TIPARP"
"ABL2","TIPARP"
"ACADSB","TIPARP"
"ADSL","TIPARP"
"AP2A2","TIPARP"
"AP1G1","TIPARP"
"APBB1","TIPARP"
"ASS1","TIPARP"
"TIPARP","ZFHX3"
"ATP6V1A","TIPARP"
"BLM","TIPARP"
"BLVRA","TIPARP"
"BRCA1","TIPARP"
"CAD","TIPARP"
"SERPINH1","TIPARP"
"CCNT1","TIPARP"
"LRBA","TIPARP"
"SEPT7","TIPARP"
"CDK4","TIPARP"
"CENPF","TIPARP"
"CHD1","TIPARP"
"CHEK1","TIPARP"
"AP2M1","TIPARP"
"AP1S1","TIPARP"
"CLK3","TIPARP"
"COPA","TIPARP"
"CSE1L","TIPARP"
"CSK","TIPARP"
"CSNK2A2","TIPARP"
"CSTF2","TIPARP"
"DHCR7","TIPARP"
"DHFR","TIPARP"
"DYNC1H1","TIPARP"
"DTYMK","TIPARP"
"E2F6","TIPARP"
"ECT2","TIPARP"
"EIF2S1","TIPARP"
"EIF2B1","TIPARP"
"EIF4E","TIPARP"
"EIF4G1","TIPARP"
"CTTN","TIPARP"
"EPB41L2","TIPARP"
"STOM","TIPARP"
"EPRS","TIPARP"
"FDPS","TIPARP"
"FEN1","TIPARP"
"FER","TIPARP"
"FRG1","TIPARP"
"FUS","TIPARP"
"G6PD","TIPARP"
"GLO1","TIPARP"
"GOLGA3","TIPARP"
"GSPT1","TIPARP"
"MSH6","TIPARP"
"GTF2H4","TIPARP"
"HCFC1","TIPARP"
"HDAC2","TIPARP"
"HDLBP","TIPARP"
"HELLS","TIPARP"
"HMMR","TIPARP"
"HNRNPAB","TIPARP"
"AGFG1","TIPARP"
"DNAJA1","TIPARP"
"HSPA8","TIPARP"
"IARS","TIPARP"
"IDH2","TIPARP"
"IDH3B","TIPARP"
"IDI1","TIPARP"
"IFI16","TIPARP"
"IMPDH2","TIPARP"
"ITPR3","TIPARP"
"KIF2A","TIPARP"
"KLC1","TIPARP"
"KIF11","TIPARP"
"KPNA1","TIPARP"
"STMN1","TIPARP"
"MARS","TIPARP"
"MCM2","TIPARP"
"MCM3","TIPARP"
"MCM4","TIPARP"
"MCM6","TIPARP"
"MPP1","TIPARP"
"MYO1C","TIPARP"
"MYO1E","TIPARP"
"MYO6","TIPARP"
"SEPT2","TIPARP"
"NEK1","TIPARP"
"NONO","TIPARP"
"NPM1","TIPARP"
"OCRL","TIPARP"
"OXA1L","TIPARP"
"PCM1","TIPARP"
"PFKL","TIPARP"
"PFKM","TIPARP"
"PHF2","TIPARP"
"PIK3C2A","TIPARP"
"PLK1","TIPARP"
"PLOD1","TIPARP"
"PML","TIPARP"
"EXOSC9","TIPARP"
"POLE","TIPARP"
"POLE2","TIPARP"
"POLR2B","TIPARP"
"POLRMT","TIPARP"
"MED1","TIPARP"
"PPM1G","TIPARP"
"PPP1R10","TIPARP"
"PRKCI","TIPARP"
"PKN1","TIPARP"
"PRKDC","TIPARP"
"MAP2K1","TIPARP"
"MAP2K2","TIPARP"
"PSMA4","TIPARP"
"PSMA5","TIPARP"
"PSMB2","TIPARP"
"PSMC2","TIPARP"
"PSMC4","TIPARP"
"PSMD1","TIPARP"
"PSMD2","TIPARP"
"PSMD3","TIPARP"
"PSMD4","TIPARP"
"PSMD11","TIPARP"
"PSMD12","TIPARP"
"PSMD13","TIPARP"
"PTK2","TIPARP"
"ABCD3","TIPARP"
"RAB2A","TIPARP"
"RAD21","TIPARP"
"RAD51","TIPARP"
"RAN","TIPARP"
"RANGAP1","TIPARP"
"TIPARP","UPF1"
"RFC3","TIPARP"
"RFC4","TIPARP"
"RHEB","TIPARP"
"ABCE1","TIPARP"
"RPL3","TIPARP"
"RPL5","TIPARP"
"RPL10","TIPARP"
"RPL12","TIPARP"
"RPL26","TIPARP"
"RPLP1","TIPARP"
"RPN1","TIPARP"
"RPN2","TIPARP"
"RPS6","TIPARP"
"SATB1","TIPARP"
"SLC1A5","TIPARP"
"SMARCA1","TIPARP"
"SMARCD2","TIPARP"
"SNRPC","TIPARP"
"SNRPD1","TIPARP"
"SNRPD3","TIPARP"
"SNX1","TIPARP"
"SOX2","TIPARP"
"SPTAN1","TIPARP"
"SRP68","TIPARP"
"SSRP1","TIPARP"
"STAT1","TIPARP"
"STAT3","TIPARP"
"STAU1","TIPARP"
"STK3","TIPARP"
"AURKA","TIPARP"
"SURF4","TIPARP"
"TAF4","TIPARP"
"TAF7","TIPARP"
"TCEB3","TIPARP"
"TIPARP","TLN1"
"TIPARP","TMPO"
"TIPARP","TOP3A"
"TIPARP","TPD52L2"
"TIPARP","TRPS1"
"TIPARP","TTK"
"TIPARP","TUBA4A"
"TIPARP","UBE3A"
"SUMO1","TIPARP"
"TIPARP","UCK2"
"TIPARP","UMPS"
"EZR","TIPARP"
"TIPARP","VRK1"
"TIPARP","WHSC1"
"TIPARP","XPC"
"TIPARP","XRCC5"
"TIPARP","ZNF148"
"RNF113A","TIPARP"
"TIPARP","ZMYM2"
"CSDE1","TIPARP"
"RAB7A","TIPARP"
"AIMP2","TIPARP"
"NUP214","TIPARP"
"COIL","TIPARP"
"SYMPK","TIPARP"
"NCOA3","TIPARP"
"DGCR14","TIPARP"
"SMC1A","TIPARP"
"LAGE3","TIPARP"
"TIPARP","TRRAP"
"TAGLN2","TIPARP"
"OGT","TIPARP"
"PPFIA1","TIPARP"
"IKBKAP","TIPARP"
"MAPKAPK5","TIPARP"
"DEGS1","TIPARP"
"TIPARP","YARS"
"KHSRP","TIPARP"
"RUVBL1","TIPARP"
"CDK13","TIPARP"
"NCOA1","TIPARP"
"EIF3B","TIPARP"
"SNX3","TIPARP"
"TIPARP","TRIM24"
"DPM1","TIPARP"
"ALDH1A2","TIPARP"
"EIF2B5","TIPARP"
"BTAF1","TIPARP"
"RPL14","TIPARP"
"SART1","TIPARP"
"TIPARP","USP10"
"AIFM1","TIPARP"
"PDCD5","TIPARP"
"TIPARP","ZMYM4"
"NOLC1","TIPARP"
"TBRG4","TIPARP"
"TIPARP","TRIP13"
"GTF3C5","TIPARP"
"GTF3C4","TIPARP"
"EIF4E2","TIPARP"
"KIF23","TIPARP"
"POLR1C","TIPARP"
"KIF20B","TIPARP"
"NUP155","TIPARP"
"ARHGEF10","TIPARP"
"TIPARP","ZNF516"
"NUP93","TIPARP"
"CKAP5","TIPARP"
"CEP350","TIPARP"
"PJA2","TIPARP"
"POM121","TIPARP"
"TIPARP","ZBED4"
"TIPARP","UBAP2L"
"KIF14","TIPARP"
"NUP153","TIPARP"
"PDCD6IP","TIPARP"
"SMC4","TIPARP"
"ABCF2","TIPARP"
"HUWE1","TIPARP"
"TIPARP","TSFM"
"RAD50","TIPARP"
"KIF20A","TIPARP"
"TIPARP","TRIM28"
"ATP6AP2","TIPARP"
"SLC25A13","TIPARP"
"DDX39A","TIPARP"
"DCAF7","TIPARP"
"AKAP8","TIPARP"
"PAK4","TIPARP"
"SCML2","TIPARP"
"NSA2","TIPARP"
"TACC3","TIPARP"
"NXF1","TIPARP"
"SYNCRIP","TIPARP"
"MYBBP1A","TIPARP"
"HYOU1","TIPARP"
"NOP56","TIPARP"
"DCTN2","TIPARP"
"SMC2","TIPARP"
"TIPARP","USP16"
"PAICS","TIPARP"
"MGEA5","TIPARP"
"TIPARP","YME1L1"
"NUP50","TIPARP"
"IQGAP2","TIPARP"
"SEPT9","TIPARP"
"SEC24A","TIPARP"
"HSPH1","TIPARP"
"FAM114A2","TIPARP"
"TIPARP","TUBGCP2"
"RUVBL2","TIPARP"
"CPSF4","TIPARP"
"TCERG1","TIPARP"
"EHMT2","TIPARP"
"EHD1","TIPARP"
"STIP1","TIPARP"
"GCN1L1","TIPARP"
"ILVBL","TIPARP"
"SLC27A4","TIPARP"
"KIF2C","TIPARP"
"TIPARP","TLK2"
"ADRM1","TIPARP"
"TIPARP","TOPBP1"
"TIPARP","WDR5"
"CDC37","TIPARP"
"NUDT5","TIPARP"
"SUPT16H","TIPARP"
"AKAP13","TIPARP"
"RPL35","TIPARP"
"SEC63","TIPARP"
"TIPARP","VPS45"
"COPE","TIPARP"
"ACOT7","TIPARP"
"PDAP1","TIPARP"
"MAPRE1","TIPARP"
