"from","to"
"HIST2H2BF","KIAA1429"
"KIAA1429","PALM2-AKAP2"
"KIAA1429","PCLO"
"HIST1H2BO","KIAA1429"
"KIAA1429","ZFHX3"
"HIST1H1C","KIAA1429"
"KIAA1429","UTRN"
"FNDC5","KIAA1429"
"CMYA5","KIAA1429"
"KIAA1429","MACF1"
"KIAA1429","LRBA"
"KIAA1429","PLCB1"
"KIAA1429","MYCBP2"
"DYNC1H1","KIAA1429"
"CEP350","KIAA1429"
"KIAA1429","ZNF521"
"KIAA1429","STARD9"
"KIAA1429","SHROOM3"
"HIPK2","KIAA1429"
"DST","KIAA1429"
"KIAA1429","TTBK2"
"ITPR1","KIAA1429"
"KIAA1429","NR3C2"
"HUWE1","KIAA1429"
"HIST1H2BH","KIAA1429"
"DDR2","KIAA1429"
"AKAP13","KIAA1429"
"DYNC2H1","KIAA1429"
"KIAA1429","SNX29"
"KIAA1429","MYO10"
"KIAA1429","ZNF629"
"ITGA1","KIAA1429"
"KIAA1429","VPS13C"
"IRS1","KIAA1429"
"KIAA1429","SLITRK5"
"KIAA1429","NSD1"
"FN1","KIAA1429"
"KIAA1429","THBS1"
"KIAA1429","RALGAPA1"
"BCOR","KIAA1429"
"KIAA1429","VPS13A"
"KIAA1429","URB2"
"CELSR1","KIAA1429"
"KIAA1429","NBEA"
"KIAA1429","SLC4A7"
"KIAA1429","NOTCH1"
"CELSR2","KIAA1429"
"DOCK1","KIAA1429"
"KIAA1429","TRRAP"
"CTTNBP2","KIAA1429"
"HMBOX1","KIAA1429"
"KIAA1429","PLXNA2"
"KIAA1429","PRKDC"
"KIAA1429","SVIL"
"ARHGAP26","KIAA1429"
"KIAA1429","TRPS1"
"KIAA1429","MCM10"
"DOPEY2","KIAA1429"
"EGFR","KIAA1429"
"IGF2R","KIAA1429"
"CDK13","KIAA1429"
"KIAA1429","TNRC6B"
"CNOT1","KIAA1429"
"KIAA1429","KIF16B"
"FYCO1","KIAA1429"
"KIAA1429","SMG1"
"ABL2","KIAA1429"
"KIAA1429","SULF2"
"KIAA1429","LIMCH1"
"KIAA1429","SRFBP1"
"KIAA1429","ZSCAN20"
"KIAA1429","PCNT"
"CELSR3","KIAA1429"
"ARHGEF12","KIAA1429"
"KIAA1429","TPX2"
"KIAA1429","SUPT16H"
"KIAA1429","WDR44"
"HIST1H2BJ","KIAA1429"
"BMS1","KIAA1429"
"KIAA1429","SPTBN2"
"KIAA1429","MIB1"
"AKAP11","KIAA1429"
"KIAA1429","PHLDB2"
"INADL","KIAA1429"
"GEMIN5","KIAA1429"
"KIAA1429","SPTAN1"
"ACTN1","KIAA1429"
"KIAA1429","SMC1A"
"JAK1","KIAA1429"
"KIAA1429","ZFYVE26"
"CACHD1","KIAA1429"
"KIAA1429","XRN1"
"DGKH","KIAA1429"
"KIAA1429","WDR7"
"EIF4G1","KIAA1429"
"KIAA1429","TLN1"
"FGD6","KIAA1429"
"KIAA1429","MTDH"
"KIAA1429","PPFIA1"
"KIAA1429","SUPT6H"
"ATP7A","KIAA1429"
"CEP152","KIAA1429"
"KIAA1217","KIAA1429"
"CKAP5","KIAA1429"
"HIST1H2BK","KIAA1429"
"EIF2AK4","KIAA1429"
"AGAP1","KIAA1429"
"KIAA1429","NR3C1"
"KIAA1429","NUP205"
"KIAA1429","RPS6KA5"
"FOXK1","KIAA1429"
"C3","KIAA1429"
"KIAA1429","ZZEF1"
"KIAA1429","NUP155"
"HDLBP","KIAA1429"
"GLG1","KIAA1429"
"KIAA1429","VPS18"
"AHR","KIAA1429"
"KIAA1429","MAN2A1"
"KIAA1429","SMARCA1"
"KIAA1429","SPG11"
"ATXN1","KIAA1429"
"KIAA1429","KIF24"
"KIAA1429","ZBED4"
"KIAA1429","NIPBL"
"KIAA1429","SH3D19"
"KIAA1429","PREX1"
"KIAA1429","NCAPH"
"GPRIN1","KIAA1429"
"ALG11","KIAA1429"
"GTF3C4","KIAA1429"
"KIAA1429","MATN2"
"KIAA1429","KIF21A"
"BRAF","KIAA1429"
"FARP2","KIAA1429"
"IQGAP2","KIAA1429"
"GLI3","KIAA1429"
"KIAA1429","MPHOSPH9"
"KIAA1429","ZBTB10"
"KIAA1429","ZNF516"
"KIAA1429","MYO1E"
"KIAA0368","KIAA1429"
"KIAA1429","SETD2"
"KIAA1429","KIF20A"
"DENND4A","KIAA1429"
"HIF1A","KIAA1429"
"KIAA1429","LARP1"
"KIAA1429","SEMA3C"
"ANKRD26","KIAA1429"
"KIAA1429","URB1"
"KIAA1429","MARVELD2"
"ATP7B","KIAA1429"
"KIAA1429","MED12"
"KIAA1429","KIF4A"
"ITGB4","KIAA1429"
"KIAA1429","NFATC3"
"ARHGAP32","KIAA1429"
"DICER1","KIAA1429"
"AFF1","KIAA1429"
"KIAA1429","STARD13"
"KIAA1429","TBC1D9"
"GSG2","KIAA1429"
"IFI16","KIAA1429"
"BCR","KIAA1429"
"KIAA1429","PODXL"
"KIAA1429","YEATS2"
"ITPR3","KIAA1429"
"KIAA1429","PCSK5"
"ATP2A2","KIAA1429"
"KIAA1429","ZNF324B"
"KIAA1429","NEDD4L"
"KIAA1429","MTHFR"
"BEND3","KIAA1429"
"KIAA1429","MAP3K5"
"KIAA1429","ZEB2"
"DENND4C","KIAA1429"
"KIAA1429","SRPK2"
"HOMER1","KIAA1429"
"HSPA2","KIAA1429"
"KIAA1429","SORBS2"
"KIAA1429","ZMYM2"
"KIAA1429","OGDH"
"KIAA1429","NCOA1"
"ANKS1A","KIAA1429"
"HCFC1","KIAA1429"
"ABCF2","KIAA1429"
"KIAA1429","QSER1"
"KIAA1429","SEPT11"
"KIAA1429","STAT3"
"KIAA1429","SIK3"
"KIAA1429","MAP3K1"
"ANLN","KIAA1429"
"KIAA1429","SYNE1"
"JAG1","KIAA1429"
"KIAA1429","MCM4"
"CHSY1","KIAA1429"
"KIAA1429","KIAA1429"
"KIAA1429","SF3B3"
"KIAA1429","PIBF1"
"CEP72","KIAA1429"
"KIAA1429","PSME4"
"KDM3B","KIAA1429"
"KIAA1429","NUP188"
"KIAA1429","MAN1A1"
"KIAA0232","KIAA1429"
"KIAA1429","NUAK1"
"BMP2K","KIAA1429"
"KIAA1429","ZNF148"
"HMMR","KIAA1429"
"KIAA1429","NRIP1"
"ITGAV","KIAA1429"
"KIAA1429","ROCK2"
"KIAA1429","NCOA3"
"KIAA1429","PPP1R10"
"KIAA1429","OSBPL8"
"KIAA1429","STIP1"
"CENPJ","KIAA1429"
"KIAA1429","NFKB1"
"KIAA1429","NCAPD3"
"DIAPH3","KIAA1429"
"ATP9A","KIAA1429"
"CTTNBP2NL","KIAA1429"
"KIAA1429","LRRC8A"
"ASAP1","KIAA1429"
"KIAA1429","XRCC5"
"KIAA1429","PHF3"
"EHMT1","KIAA1429"
"KIAA1429","LPP"
"KIAA1429","NOTCH3"
"ABCC1","KIAA1429"
"KIAA1429","MYO6"
"KIAA1429","SEL1L3"
"KIAA1429","ZMIZ1"
"GIGYF2","KIAA1429"
"KIAA1429","XPR1"
"KIAA1429","KIF13B"
"INTS1","KIAA1429"
"AARS","KIAA1429"
"KDM2A","KIAA1429"
"KIAA1429","RERE"
"ARID4B","KIAA1429"
"CNOT6L","KIAA1429"
"KIAA1429","PPP1R13B"
"KIAA1429","MYO1B"
"GOLGA3","KIAA1429"
"KIAA1429","TRAPPC10"
"KIAA1429","PTPRM"
"ANKLE2","KIAA1429"
"KIAA1429","SEL1L"
"KIAA1429","RRP1B"
"KIAA1429","UBE2O"
"KIAA1429","PRPF6"
"KIAA1429","SSH1"
"GCN1L1","KIAA1429"
"KIAA1429","ZNF574"
"EPHB2","KIAA1429"
"FKBP15","KIAA1429"
"KIAA1429","SEC24A"
"ABTB2","KIAA1429"
"KIAA1429","TCOF1"
"KIAA1429","OSBPL10"
"KIAA1429","OAS3"
"IFT57","KIAA1429"
"KIAA1429","PPIP5K2"
"KIAA1429","VAV2"
"KIAA1429","ZMYM4"
"DNM2","KIAA1429"
"DNMBP","KIAA1429"
"KIAA1429","LSG1"
"KIAA1429","NUP214"
"CENPF","KIAA1429"
"IL16","KIAA1429"
"KIAA1429","UBE3A"
"ACACB","KIAA1429"
"ARHGEF10","KIAA1429"
"KIAA1429","PALLD"
"IARS","KIAA1429"
"KIAA1429","SNX19"
"HERC5","KIAA1429"
"DHX37","KIAA1429"
"KIAA1429","NAT10"
"BCAR3","KIAA1429"
"ATAD2","KIAA1429"
"KIAA1429","SNRK"
"CCNT1","KIAA1429"
"ARHGAP29","KIAA1429"
"CENPE","KIAA1429"
"KIAA1429","MICALL1"
"KIAA1429","RGS12"
"KIAA1429","SORT1"
"KIAA1429","PPFIBP1"
"KIAA1429","ZNF638"
"KIAA1429","TACC3"
"KIAA1429","SLC44A1"
"KIAA1429","TARSL2"
"KIAA1429","PIK3C2A"
"KIAA1429","NUP153"
"KIAA1429","VPS39"
"CLPB","KIAA1429"
"KIAA1429","WHSC1"
"ATG2B","KIAA1429"
"ERCC6L","KIAA1429"
"FAF1","KIAA1429"
"DUSP16","KIAA1429"
"COPA","KIAA1429"
"KIAA1429","RAB11FIP5"
"ACTR8","KIAA1429"
"KIAA1429","POLE"
"KIAA1429","MKLN1"
"KIAA1429","TXLNG"
"GPATCH8","KIAA1429"
"KIAA1429","RBM47"
"ARHGAP23","KIAA1429"
"ITGA5","KIAA1429"
"KIAA1429","USP6NL"
"AHCTF1","KIAA1429"
"KIAA1429","SP4"
"ESPL1","KIAA1429"
"KIAA1429","PAPD5"
"KIAA1429","RUFY1"
"ITCH","KIAA1429"
"KIAA1429","LETM1"
"COPG2","KIAA1429"
"KIAA1429","MMS22L"
"KIAA1429","RABGAP1L"
"KIAA1429","KIF20B"
"KIAA1429","MYB"
"KIAA1429","KIF2A"
"CDCA2","KIAA1429"
"KIAA1429","RRP12"
"KIAA1429","SCRIB"
"DYNC1I2","KIAA1429"
"KIAA1429","MCM6"
"KIAA1429","MB21D1"
"KIAA1429","KLC1"
"CENPI","KIAA1429"
"KIAA1429","TCEB3"
"KIAA1429","PLEKHA5"
"KIAA1429","PLCB3"
"IPO11","KIAA1429"
"EPRS","KIAA1429"
"KIAA1429","RSBN1"
"KIAA0355","KIAA1429"
"CSNK2A2","KIAA1429"
"KIAA1429","PCSK6"
"KIAA1429","RIBC2"
"KIAA1429","MARK2"
"KIAA1429","UBAP2L"
"FNBP1","KIAA1429"
"KIAA1429","RBL1"
"KIAA1429","ZMYND11"
"KIAA1429","TRAK1"
"DNAJB1","KIAA1429"
"COL4A2","KIAA1429"
"KIAA1429","TLE1"
"KIAA1429","SYNPO"
"EIF3B","KIAA1429"
"ACO2","KIAA1429"
"KIAA1429","RNF10"
"BHLHE40","KIAA1429"
"KIAA1429","SWAP70"
"KIAA1429","OCRL"
"KIAA1429","SREBF2"
"KIAA1429","SND1"
"KIAA1429","VCL"
"CBX6","KIAA1429"
"KIAA1429","KLHL36"
"KIAA1429","MTHFD1"
"KIAA1429","RBM26"
"JPH1","KIAA1429"
"KIAA1429","SAMD4B"
"KIAA1429","LIMA1"
"KIAA1429","MTR"
"KIAA1429","PDCD11"
"KIAA1429","MTMR3"
"KIAA1429","MAPK1"
"KIAA1429","NMT1"
"KIAA1429","TFRC"
"KIAA1429","NBR1"
"KIAA1429","PSMD2"
"HYOU1","KIAA1429"
"KIAA1429","KNTC1"
"CTDP1","KIAA1429"
"KIAA0319L","KIAA1429"
"KIAA1429","ZNF507"
"CHD1","KIAA1429"
"KIAA1429","ZNF777"
"KIAA1429","TOPBP1"
"IKBKAP","KIAA1429"
"KIAA1429","WWP2"
"KIAA1429","TUBGCP2"
"KIAA1429","UPF1"
"FTSJ3","KIAA1429"
"KIAA1429","KIF14"
"KIAA1429","SATB1"
"KIAA1429","MCM3"
"KIAA1429","NUP160"
"KIAA1429","PLK4"
"KIAA1429","TMEM63B"
"CSDE1","KIAA1429"
"KIAA1429","SNTB1"
"KIAA1429","NRBP1"
"KHSRP","KIAA1429"
"HSPA8","KIAA1429"
