"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"KIAA1429","ORF",-2.067,1617,1244,957.04143475572
"PLEKHA4","ORF",-3.499,1939,1306,879.647240845797
"MYC","ORF",2.192,1953,1304,870.668714797747
"EGFR","ORF",2.369,1843,1207,790.476939772111
"CUL3","ORF",-2.053,1609,1101,753.38781852082
"ESR1","BOTH",-4.031,1474,1035,726.746947082768
"HSPA8","ORF",1.969,1352,914,617.896449704142
"CCNF","ORF",6.011,1405,914,594.587900355872
"TIPARP","NONE",-6.213,1050,769,563.200952380952
"KIF14","ORF",7.844,1162,805,557.680722891566
"ANLN","ORF",6.666,1176,798,541.5
"STAU1","ORF",4.367,1032,736,524.899224806202
"ELAVL1","ORF",2.615,1103,722,472.605621033545
"CDC123","ORF",5.46,1147,718,449.45422842197
"TGOLN2","ORF",-3.5,937,645,443.996798292423
"CIT","ORF",4.746,918,636,440.627450980392
"EZH2","ORF",7.423,968,651,437.810950413223
"BRCA1","ORF",3.509,821,591,425.433617539586
"YWHAG","NONE",4.186,726,554,422.749311294766
"BIRC3","ORF",-3.734,902,602,401.778270509978
"RNF4","NONE",-2.757,841,581,401.38049940547
"SOX2","ORF",2.828,869,589,399.218642117376
"YWHAZ","ORF",6.511,745,544,397.229530201342
"TRIM28","ORF",2.431,844,578,395.834123222749
"YWHAH","NONE",3.021,675,516,394.453333333333
"MECP2","ORF",-2.75,814,563,389.396805896806
"CEBPB","ORF",6.611,931,602,389.263157894737
"NXF1","ORF",-2.32,827,562,381.915356711004
"YWHAQ","ORF",4.049,666,497,370.884384384384
"HSP90AA1","ORF",3.262,742,510,350.539083557951
"RECQL4","ORF",4.542,950,573,345.609473684211
"AR","ORF",-3.653,613,460,345.187601957586
"YWHAB","NONE",3.563,592,448,339.027027027027
"LMNA","ORF",3.355,745,502,338.260402684564
"TNIP1","ORF",-2.179,781,512,335.651728553137
"WDR5","ORF",5.949,733,491,328.896316507503
"SIRT7","BOTH",2.278,498,404,327.74297188755
"STIP1","ORF",5.72,687,474,327.039301310044
"MYCN","ORF",2.726,877,529,319.088939566705
"KIF20A","ORF",8.91,656,455,315.586890243902
"CTNNB1","ORF",-2.131,585,428,313.135042735043
"PML","ORF",2.532,603,431,308.06135986733
"CANX","ORF",3.165,753,476,300.897742363878
"PRC1","ORF",8.256,625,433,299.9824
"GSK3B","ORF",5.816,526,396,298.12927756654
"MCM2","ORF",8.052,688,451,295.640988372093
"KIF23","ORF",7.99,650,438,295.144615384615
"RHOB","ORF",-3.772,550,402,293.825454545455
"ACTB","ORF",5.565,630,427,289.411111111111
"OBSL1","ORF",2.246,576,405,284.765625
"ECT2","ORF",4.239,589,404,277.106960950764
"NR3C1","ORF",-2.049,555,392,276.872072072072
"HUWE1","ORF",3.072,713,444,276.488078541374
"CUL4A","ORF",-2.267,513,376,275.586744639376
"RAB7A","ORF",2.303,589,401,273.006791171477
"HDAC2","ORF",2.88,536,382,272.246268656716
"OGT","ORF",-2.624,595,402,271.603361344538
"CSNK2A1","ORF",5.892,558,388,269.792114695341
"HSP90AB1","ORF",5.528,587,397,268.499148211244
"EPHA2","BOTH",3.016,463,351,266.092872570194
"PRMT1","BOTH",3.271,606,401,265.348184818482
"SIRT6","ORF",2.308,441,340,262.131519274376
"MAPT","ORF",-5.167,609,396,257.497536945813
"IFI16","ORF",-2.365,488,354,256.795081967213
"RIT1","ORF",4.293,741,434,254.191632928475
"SFN","NONE",5.619,427,328,251.953161592506
"HSPD1","ORF",4.079,648,403,250.631172839506
"TMPO","ORF",2.619,533,365,249.953095684803
"FANCD2","ORF",2.325,548,369,248.46897810219
"LRRC59","NONE",4.647,555,371,248.001801801802
"SSRP1","ORF",3.805,461,336,244.893709327549
"DOT1L","ORF",3.094,538,362,243.576208178439
"CAV1","ORF",-2.297,474,339,242.449367088608
"HEXIM1","ORF",-3.854,594,379,241.819865319865
"RPN1","ORF",4.82,531,356,238.674199623352
"WWP2","ORF",2.129,546,360,237.362637362637
"BTRC","ORF",-4.807,482,338,237.020746887967
"HDLBP","BOTH",3.415,520,350,235.576923076923
"SNW1","BOTH",-2.283,482,336,234.224066390041
"CYLD","ORF",-2.72,554,358,231.342960288809
"GJA1","ORF",-5.157,405,306,231.2
"RPS6","NONE",-2.987,553,357,230.46835443038
"MKI67","ORF",8.186,451,322,229.89800443459
"BSG","ORF",5.042,494,335,227.176113360324
"SRPK2","ORF",-2.333,453,320,226.048565121413
"LARP7","NONE",-3.802,728,405,225.309065934066
"AURKB","NONE",9.47,507,337,224.001972386588
"TRRAP","ORF",3.603,463,322,223.939524838013
"RPN2","ORF",3.495,525,341,221.487619047619
"NCL","ORF",4.182,522,340,221.455938697318
"FN1","ORF",2.467,517,336,218.36750483559
"EWSR1","NONE",4.125,497,329,217.788732394366
"BTF3","NONE",-3.851,517,335,217.069632495164
"ERBB2","ORF",2.334,408,297,216.198529411765
"RNF113A","ORF",2.404,458,314,215.275109170306
"ZC3H18","NONE",5.587,592,356,214.081081081081
"RPL3","ORF",-2.841,481,320,212.889812889813
"HRAS","ORF",4.068,393,289,212.521628498728
"PABPC1","ORF",2.968,426,300,211.267605633803
"CDK9","NONE",2.951,440,304,210.036363636364
"RAB35","NONE",4.904,409,293,209.899755501223
"PTEN","ORF",-3.51,456,309,209.388157894737
"U2AF2","ORF",3.055,429,298,207.002331002331
"PPP1CA","ORF",5.673,408,290,206.127450980392
"LAMP2","ORF",3.135,382,280,205.235602094241
"NRAS","NONE",3.45,431,297,204.661252900232
"FXR1","ORF",2.636,403,287,204.389578163772
"CSNK2A2","NONE",3.434,436,297,202.314220183486
"PRKDC","NON_ORF",3.011,444,299,201.353603603604
"HSPA9","NONE",4.668,434,295,200.518433179724
"CSNK2B","ORF",5.481,375,274,200.202666666667
"EEF1A1","ORF",-2.004,471,307,200.104033970276
"TUBB","ORF",3.624,447,299,200.002237136465
"ENO1","ORF",6.195,446,297,197.77802690583
"HIST1H1C","ORF",3.632,415,286,197.098795180723
"MARCKS","ORF",1.963,436,293,196.901376146789
"GAPDH","NONE",4.382,423,288,196.085106382979
"TUBA1A","ORF",2.286,457,299,195.625820568928
"ILF2","ORF",3.616,398,279,195.58040201005
"PPP2R1A","ORF",4.891,431,290,195.127610208817
"EZR","NONE",4.581,371,269,195.043126684636
