"from","to"
"KIAA1429","PALM2-AKAP2"
"KIAA1429","PCLO"
"HIST1H2BO","KIAA1429"
"KIAA1429","ZFHX3"
"HIST1H1C","KIAA1429"
"KIAA1429","UTRN"
"FNDC5","KIAA1429"
"CMYA5","KIAA1429"
"KIAA1429","MACF1"
"KIAA1429","LRBA"
"KIAA1429","PLCB1"
"KIAA1429","MYCBP2"
"DYNC1H1","KIAA1429"
"CEP350","KIAA1429"
"KIAA1429","ZNF521"
"KIAA1429","STARD9"
"KIAA1429","SHROOM3"
"HIPK2","KIAA1429"
"DST","KIAA1429"
"KIAA1429","TTBK2"
"ITPR1","KIAA1429"
"KIAA1429","NR3C2"
"HUWE1","KIAA1429"
"HIST1H2BH","KIAA1429"
"DDR2","KIAA1429"
"AKAP13","KIAA1429"
"DYNC2H1","KIAA1429"
"KIAA1429","SNX29"
"KIAA1429","MYO10"
"KIAA1429","ZNF629"
"ITGA1","KIAA1429"
"KIAA1429","VPS13C"
"KIAA1429","SLITRK5"
"KIAA1429","NSD1"
"FN1","KIAA1429"
"KIAA1429","THBS1"
"KIAA1429","RALGAPA1"
"BCOR","KIAA1429"
"KIAA1429","VPS13A"
"KIAA1429","URB2"
"CELSR1","KIAA1429"
"KIAA1429","NBEA"
"KIAA1429","SLC4A7"
"KIAA1429","NOTCH1"
"CELSR2","KIAA1429"
"DOCK1","KIAA1429"
"KIAA1429","TRRAP"
"CTTNBP2","KIAA1429"
"HMBOX1","KIAA1429"
"KIAA1429","PLXNA2"
"KIAA1429","PRKDC"
"KIAA1429","SVIL"
"KIAA1429","TRPS1"
"KIAA1429","MCM10"
"DOPEY2","KIAA1429"
"EGFR","KIAA1429"
"IGF2R","KIAA1429"
"CDK13","KIAA1429"
"KIAA1429","TNRC6B"
"CNOT1","KIAA1429"
"KIAA1429","KIF16B"
"KIAA1429","SMG1"
"ABL2","KIAA1429"
"KIAA1429","SULF2"
"KIAA1429","SRFBP1"
"KIAA1429","ZSCAN20"
"KIAA1429","PCNT"
"CELSR3","KIAA1429"
"ARHGEF12","KIAA1429"
"KIAA1429","TPX2"
"KIAA1429","SUPT16H"
"KIAA1429","WDR44"
"HIST1H2BJ","KIAA1429"
"BMS1","KIAA1429"
"KIAA1429","SPTBN2"
"KIAA1429","MIB1"
"AKAP11","KIAA1429"
"KIAA1429","PHLDB2"
"INADL","KIAA1429"
"GEMIN5","KIAA1429"
"KIAA1429","SPTAN1"
"ACTN1","KIAA1429"
"KIAA1429","SMC1A"
"JAK1","KIAA1429"
"KIAA1429","ZFYVE26"
"CACHD1","KIAA1429"
"KIAA1429","XRN1"
"DGKH","KIAA1429"
"KIAA1429","WDR7"
"EIF4G1","KIAA1429"
"KIAA1429","TLN1"
"FGD6","KIAA1429"
"KIAA1429","SUPT6H"
"ATP7A","KIAA1429"
"KIAA1217","KIAA1429"
"CKAP5","KIAA1429"
"EIF2AK4","KIAA1429"
"KIAA1429","NR3C1"
"KIAA1429","NUP205"
"KIAA1429","RPS6KA5"
"FOXK1","KIAA1429"
"C3","KIAA1429"
"KIAA1429","ZZEF1"
"KIAA1429","NUP155"
"HDLBP","KIAA1429"
"GLG1","KIAA1429"
"KIAA1429","VPS18"
"AHR","KIAA1429"
"KIAA1429","MAN2A1"
"KIAA1429","SMARCA1"
"ATXN1","KIAA1429"
"KIAA1429","KIF24"
"KIAA1429","ZBED4"
"KIAA1429","NIPBL"
"KIAA1429","PREX1"
"KIAA1429","NCAPH"
"GPRIN1","KIAA1429"
"KIAA1429","MATN2"
"KIAA1429","KIF21A"
"BRAF","KIAA1429"
"FARP2","KIAA1429"
"IQGAP2","KIAA1429"
"GLI3","KIAA1429"
