"from","to"
"CHD4","HDAC2"
"CHD4","HDAC1"
"CHD4","SMARCA4"
"CHD4","SIN3A"
"CHD4","RBBP4"
"CHD4","RBBP7"
"CHD4","MTA2"
"CHD3","CHD4"
"BRD4","CHD4"
"CHD4","CHD4"
"CHD4","PARP1"
"CHD4","EP300"
"CHD4","EZH2"
"CANX","CHD4"
"CHD4","ELAVL1"
"CHD4","ENO1"
"CHD4","FBL"
"CHD4","XRCC6"
"CHD4","HNRNPA1"
"CHD4","HNRNPH1"
"CHD4","HNRNPL"
"CHD4","HNRNPU"
"CHD4","HSPA5"
"CHD4","HSPA8"
"CHD4","HSPD1"
"CHD4","MYH9"
"CHD4","NCL"
"CHD4","NPM1"
"CHD4","PPP1CC"
"CHD4","RPL5"
"CHD4","SMARCC2"
"CHD4","SSRP1"
"CHD4","STAU1"
"CHD4","TOP1"
"CHD4","TOP2A"
"CHD4","XRCC5"
"CHD4","TUBA1A"
"CHD4","SMARCA5"
"CHD4","RUVBL1"
"CHD4","EFTUD2"
"CHD4","G3BP1"
"CHD4","TRIM28"
"CHD4","DDX39A"
"CBX3","CHD4"
"CHD4","KIAA1429"
"CHD4","SERBP1"
"CHD4","USP36"
"CHD4","HSPA1A"
"CHD4","HIST1H4A"
"CHD4","HIST1H2AB"
"CHD4","H2AFY"
"CHD4","HECTD1"
"CHD4","PML"
"CHD4","UBC"
"CHD4","MYC"
"CHD4","SOX2"
"CHD4","SIRT7"
"CHD4","ESR1"
"CHD4","NOTCH1"
"CHD4","RPA1"
"CHD4","RPA2"
"CHD4","RPA3"
"CHD4","OBSL1"
"CCDC8","CHD4"
"CHD4","NTRK1"
"CHD4","RUVBL2"
"CHD4","TRIM25"
"CHD4","CTNNB1"
"CHD4","RNF4"
"AGR2","CHD4"
"CHD4","RECQL4"
"CHD4","FBXW7"
"CHD4","MECOM"
"APEX1","CHD4"
"BIRC3","CHD4"
"CHD4","PLEKHA4"
"CHD4","PTEN"
"CHD4","USP11"
"CHD4","SRC"
"CHD4","HIST1H1E"
"CHD4","CIT"
"CHD4","KIF20A"
"CHD4","KIF23"
"CHD4","PRC1"
"CHD4","IFI16"
"CHD4","DDX58"
"CHD4","TP53"
"CHD4","WDR5"
"CHD4","NAA40"
"BTF3","CHD4"
"AR","CHD4"
"CHD4","EGFR"
"CHD4","KRAS"
"CHD4","RIT1"
"CHD4","CSNK2B"
"CHD4","HIST2H2BE"
"CHD4","HMGA1"
"CHD4","PARK2"
"CHD4","CUL3"
"CDH1","CHD4"
"BAP1","CHD4"
"CHD4","ZRANB1"
"CHD4","TIPARP"
"CCNF","CHD4"
"CHD4","RAF1"
"CHD4","TRIM67"
"CHD4","STIP1"
"CHD4","UBE2H"
"CHD4","nsp6"
"CHD4","TNIP1"
"CHD4","YAP1"
"CEBPA","CHD4"
"CHD4","Cebpb"
"CEBPB","CHD4"
"CHD4","MECP2"
"CDC123","CHD4"
"BRCA1","UBC"
"RBBP4","UBC"
"CHD4","UBC"
"RUVBL1","UBC"
"RUVBL2","UBC"
"FBL","UBC"
"G3BP1","UBC"
"UBC","WDR5"
"HSPD1","UBC"
"HNRNPL","UBC"
"HNRNPU","UBC"
"NCL","UBC"
"NPM1","UBC"
"TRIM28","UBC"
"HNRNPH1","UBC"
"DDB1","UBC"
"UBC","VCP"
"HDAC6","UBC"
"SQSTM1","UBC"
"TNIP1","UBC"
"CHD3","UBC"
"HUWE1","UBC"
"HSPA5","UBC"
"UBC","UBC"
"ATG16L1","UBC"
"PTEN","UBC"
"CUL3","UBC"
"HECTD1","UBC"
"HSP90AB1","UBC"
"RHOA","UBC"
"BAP1","UBC"
"ENO1","UBC"
"PRC1","UBC"
"RPL5","UBC"
"LCK","UBC"
"UBC","ZRANB1"
"PARK2","UBC"
"UBC","USP11"
"BSG","UBC"
"CAV1","UBC"
"UBC","USP7"
"CYLD","UBC"
"UBC","USP36"
"UBC","XRCC5"
"UBC","XRCC6"
"UBC","UBE2H"
"UBC","YWHAQ"
"PML","UBC"
"HIST1H1E","UBC"
"HIST1H4A","UBC"
"CTNNB1","UBC"
"RHOF","UBC"
"RHOG","UBC"
"HDAC1","UBC"
"HDAC2","UBC"
"TRAF2","UBC"
"PIH1D1","UBC"
"HIST2H2BE","UBC"
"HSPA8","UBC"
"CDC42","UBC"
"GRB2","UBC"
"RAC1","UBC"
"UBC","YWHAB"
"UBC","YWHAG"
"UBC","YWHAZ"
"EGFR","UBC"
"TUBA1A","UBC"
"BIRC3","UBC"
"RPA3","UBC"
"RPA2","UBC"
"RPA1","UBC"
"MAPT","UBC"
"RNF4","UBC"
"TP53","UBC"
"HIST1H2AB","UBC"
"NXF1","UBC"
"EP300","UBC"
"OBSL1","UBC"
"CCDC8","UBC"
"DDX58","UBC"
"NTRK1","UBC"
"TRIM25","UBC"
"CDH1","UBC"
"AGR2","UBC"
"KIAA1429","UBC"
"GSK3B","UBC"
"AKT1","UBC"
"BRD4","UBC"
"FBXW7","UBC"
"MYH9","UBC"
"CCNF","UBC"
"EZH2","UBC"
"E","UBC"
"HSPA8","UBC"
"HSP90AA1","HSPA8"
"HSPA8","VCP"
"CFTR","HSPA8"
"HSPA8","TP53"
"HSPA8","STIP1"
"HSPA8","RAF1"
"ESR1","HSPA8"
"HSPA8","TUBA1A"
"EP300","HSPA8"
"HSPA8","MAPT"
"HSPA5","HSPA8"
"HSPA8","RUVBL2"
"HSPA8","YWHAQ"
"HSPA8","HSPD1"
"HSPA8","RUVBL1"
"HIST1H1E","HSPA8"
"CDH1","HSPA8"
"HSPA8","STAU1"
"HSPA1A","HSPA8"
"HSPA8","HUWE1"
"AKT1","HSPA8"
"HSPA8","HSPA8"
"HSP90AB1","HSPA8"
"GRB2","HSPA8"
"HSPA8","YAP1"
"HSPA8","TOP2A"
"HNRNPL","HSPA8"
"HSPA8","NCL"
"HSPA8","MYH9"
"HSPA8","WDR5"
"HNRNPU","HSPA8"
"HSPA8","KIF23"
"HSPA8","SSRP1"
"HSPA8","RBBP4"
"CBX3","HSPA8"
"HDAC1","HSPA8"
"DDB1","HSPA8"
"HSPA8","RBBP7"
"HSPA8","KIAA1429"
"HDAC2","HSPA8"
"HSPA8","SIN3A"
"ENO1","HSPA8"
"HSPA8","NPM1"
"HSPA8","MTA2"
"DDX39A","HSPA8"
"HSPA8","YWHAZ"
"HSPA8","NXF1"
"APEX1","HSPA8"
"HSPA8","RPL5"
"HSPA8","SFN"
"EFTUD2","HSPA8"
"HIST1H4A","HSPA8"
"CTNNB1","HSPA8"
"HSPA8","YWHAG"
"HSPA8","PARP1"
"HIST1H2AB","HSPA8"
"HSPA8","RAC1"
"HSPA8","LAMP1"
"HDAC6","HSPA8"
"HSPA8","SMARCA5"
"CANX","HSPA8"
"CHMP4B","HSPA8"
"HSPA8","NRAS"
"HNRNPA1","HSPA8"
"HSPA8","XPO1"
"ANLN","HSPA8"
"HSPA8","XRCC6"
"HSPA8","YES1"
"HSPA8","YWHAB"
"CDC37","HSPA8"
"HSPA8","XRCC5"
"HSPA8","YWHAE"
"CHD4","HSPA8"
"CSNK2B","HSPA8"
"BRCA1","HSPA8"
"HSPA8","RBX1"
"HSPA8","PARK2"
"EGFR","HSPA8"
"HSPA8","PPP1CC"
"CUL3","HSPA8"
"CDK2","HSPA8"
"APP","HSPA8"
"ESR2","HSPA8"
"HSPA8","RPA3"
"HSPA8","RPA2"
"HSPA8","RPA1"
"HSPA8","NTRK1"
"HSPA8","PTEN"
"CYLD","HSPA8"
"HSPA8","TRIM25"
"BSG","HSPA8"
"EGLN3","HSPA8"
"HSPA8","KRAS"
"HSPA8","PIH1D1"
"CHD3","HSPA8"
"HSPA8","RNF4"
"FBXW7","HSPA8"
"AGR2","HSPA8"
"HSPA8","RECQL4"
"HSPA8","MYC"
"GSK3B","HSPA8"
"BIRC3","HSPA8"
"HSPA8","PLEKHA4"
"HSPA8","N"
"HSPA8","ORF9b"
"HSPA8","USP11"
"CSK","HSPA8"
"FYN","HSPA8"
"HSPA8","LCK"
"HSPA8","RHOA"
"HSPA8","SRC"
"E","HSPA8"
"HSPA8","M"
"HSPA8","nsp4"
"CIT","HSPA8"
"AR","HSPA8"
"BRD4","HSPA8"
"HSPA8","IFI16"
"HSPA8","UFL1"
"DDRGK1","HSPA8"
"HSPA8","NAA40"
"HSPA8","NR3C1"
"HSPA8","USP36"
"BTF3","HSPA8"
"CCNF","HSPA8"
"HSPA8","SQSTM1"
"HSPA8","PML"
"BAP1","HSPA8"
"HSPA8","ZRANB1"
"HSPA8","TIPARP"
"HSPA8","TRIM67"
"EZH2","HSPA8"
"HSPA8","RICTOR"
"HSPA8","UBE2H"
"HSPA8","TNIP1"
"CEBPA","HSPA8"
"Cebpb","HSPA8"
"CEBPB","HSPA8"
"HSPA8","MECP2"
"HSPA8","SERBP1"
"HSPA8","KCNA3"
"HSPA8","nsp6"
"CDC123","HSPA8"
"TP53","TP53"
"RPA1","TP53"
"SFN","TP53"
"EP300","TP53"
"MTA2","TP53"
"PML","TP53"
"PTEN","TP53"
"HDAC1","TP53"
"SMARCA4","TP53"
"HSP90AA1","TP53"
"TOP1","TP53"
"ESR1","TP53"
"APEX1","TP53"
"IFI16","TP53"
"NCL","TP53"
"PARP1","TP53"
"TOP2A","TP53"
"TP53","USP7"
"HSPA8","TP53"
"HDAC2","TP53"
"TP53","XRCC6"
"NPM1","TP53"
"RPL5","TP53"
"TP53","WDR5"
"SIN3A","TP53"
"NR3C1","TP53"
"HMGA1","TP53"
"G3BP1","TP53"
"HUWE1","TP53"
"HSPA5","TP53"
"CSNK2B","TP53"
"CCDC8","TP53"
"LYN","TP53"
"BRCA1","TP53"
"TP53","TRIM28"
"SQSTM1","TP53"
"HSPA1A","TP53"
"DDB1","TP53"
"FBL","TP53"
"HECTD1","TP53"
"HNRNPA1","TP53"
"HNRNPH1","TP53"
"HNRNPU","TP53"
"HSP90AB1","TP53"
"OBSL1","TP53"
"RBBP4","TP53"
"RBBP7","TP53"
"RBX1","TP53"
"TP53","TUBA1A"
"TP53","VCP"
"TP53","YWHAE"
"TP53","UBC"
"MYH9","TP53"
"LMNA","TP53"
"HNRNPL","TP53"
"CHMP4B","TP53"
"EGFR","TP53"
"SMARCA5","TP53"
"RPA2","TP53"
"CYLD","TP53"
"CDK1","TP53"
"TP53","XPO1"
"EGLN3","TP53"
"GSK3B","TP53"
"TP53","TRIM25"
"EPHA2","TP53"
"AKT1","TP53"
"ERBB2","TP53"
"MYC","TP53"
"TP53","TRIM67"
"FBXW7","TP53"
"EFTUD2","TP53"
"TP53","XRCC5"
"NXF1","TP53"
"DDRGK1","TP53"
"HIST1H4A","TP53"
"CANX","TP53"
"LAMP1","TP53"
"CHD4","TP53"
"SSRP1","TP53"
"KIF20A","TP53"
"TP53","UFL1"
"MECP2","TP53"
"TOP3B","TP53"
"CIT","TP53"
"STIP1","TP53"
"BAP1","TP53"
"C16orf72","TP53"
"RHOG","TP53"
"RUVBL2","TP53"
"TP53","USP11"
"MECOM","TP53"
"SERBP1","TP53"
"CDK2","TP53"
"AR","TP53"
"CHD3","TP53"
"CDC42","TP53"
"TP53","YWHAZ"
"SIRT7","TP53"
"PPP1CC","TP53"
"ELAVL1","TP53"
"HRAS","TP53"
"ECT2","TP53"
"SRC","TP53"
"PARK2","TP53"
"TP53","YWHAB"
"CFTR","TP53"
"HIST1H2AB","TP53"
"BRD4","TP53"
"BIRC3","TP53"
"PLEKHA4","TP53"
"TP53","YAP1"
"NAA40","TP53"
"BTF3","TP53"
"E","TP53"
"TP53","nsp4"
"RIT1","TP53"
"HIST2H2BE","TP53"
"CUL3","TP53"
"TP53","nsp16"
"CCNF","TP53"
"RAF1","TP53"
"PRNP","TP53"
"RPA3","TP53"
"N","TP53"
"TP53","UBE2H"
"CEBPA","TP53"
"CTNNB1","TP53"
"CDC123","TP53"
"EZH2","HDAC1"
"EZH2","HDAC2"
"EZH2","RBBP4"
"EZH2","EZH2"
"CTNNB1","EZH2"
"AKT1","EZH2"
"CDK1","EZH2"
"ESR1","EZH2"
"BRCA1","EZH2"
"EZH2","VCP"
"CIT","EZH2"
"EZH2","NCL"
"EZH2","TRIM28"
"AR","EZH2"
"ELAVL1","EZH2"
"EZH2","HIST1H2AB"
"EZH2","HSPA1A"
"EZH2","RBBP7"
"EFTUD2","EZH2"
"EZH2","FBL"
"EZH2","TRIM25"
"EZH2","H2AFY"
"CHD4","EZH2"
"EZH2","RBX1"
"EZH2","HUWE1"
"EZH2","FBXW7"
"EZH2","SIN3A"
"EZH2","SMARCA4"
"EZH2","SMARCC2"
"EZH2","SMARCA5"
"EP300","EZH2"
"EZH2","ZRANB1"
"DDB1","EZH2"
"EZH2","SSRP1"
"EZH2","TOP2A"
"CSNK2B","EZH2"
"EZH2","HMGA1"
"EZH2","YWHAE"
"EZH2","YWHAQ"
"BRD4","EZH2"
"EZH2","PPP1CC"
"EZH2","KIF20A"
"EZH2","USP7"
"EZH2","MECP2"
"EZH2","PML"
"CHD3","EZH2"
"EZH2","OBSL1"
"EZH2","PTEN"
"EZH2","RICTOR"
"EZH2","MYC"
"EZH2","USP36"
"EZH2","MYH9"
"EZH2","HSP90AB1"
"EZH2","HSPA8"
"EZH2","HSPD1"
"EZH2","HSPA5"
"EZH2","HSP90AA1"
"EZH2","LMNA"
"EZH2","TUBA1A"
"EZH2","YWHAG"
"ENO1","EZH2"
"EZH2","YWHAZ"
"EZH2","PPIA"
"EZH2","HNRNPU"
"EZH2","NPM1"
"EZH2","HNRNPA1"
"EZH2","PARP1"
"EZH2","UBC"
"EZH2","LAMP1"
"EZH2","MTA2"
"DDX39A","EZH2"
"CDC42","EZH2"
"EZH2","G3BP1"
"EZH2","RPL5"
"EZH2","STIP1"
"EZH2","XRCC6"
"CHMP4B","EZH2"
"EZH2","RUVBL2"
"EZH2","XPO1"
"EZH2","XRCC5"
"EZH2","HNRNPL"
"CANX","EZH2"
"EZH2","RAB11A"
"EZH2","TOP1"
"EZH2","YWHAB"
"CDK2","EZH2"
"EZH2","RUVBL1"
"EZH2","HIST1H4A"
"EZH2","PLEKHA4"
"EZH2","HIST2H2BE"
"EZH2","PARK2"
"EZH2","TRIM67"
"CEBPB","EZH2"
"CHD3","SERBP1"
"CHD3","HDAC1"
"CHD3","HDAC2"
"CHD3","TP53"
"CHD3","CHD4"
"CHD3","CHD3"
"CHD3","RBBP4"
"CHD3","TRIM28"
"CHD3","MTA2"
"CHD3","RBBP7"
"CHD3","SMARCC2"
"CHD3","HSPA1A"
"CHD3","TUBA1A"
"CHD3","HSPA8"
"CHD3","HSPD1"
"CHD3","MYH9"
"CHD3","HNRNPU"
"CHD3","HSPA5"
"CHD3","HNRNPH1"
"CHD3","HIST1H4A"
"CHD3","RPL5"
"CHD3","HSP90AB1"
"CHD3","HSP90AA1"
"CHD3","PARP1"
"CHD3","ELAVL1"
"CHD3","FBL"
"CHD3","MECOM"
"CHD3","XRCC6"
"CHD3","HNRNPA1"
"CHD3","HNRNPL"
"CHD3","LMNA"
"CHD3","NCL"
"CHD3","NPM1"
"CHD3","PPP1CC"
"CHD3","SMARCA4"
"CHD3","SSRP1"
"CHD3","STAU1"
"CHD3","TOP1"
"CHD3","TOP2A"
"CHD3","XRCC5"
"CHD3","SMARCA5"
"CHD3","RUVBL1"
"CHD3","EFTUD2"
"CHD3","G3BP1"
"CHD3","DDX39A"
"CBX3","CHD3"
"CHD3","KIAA1429"
"CHD3","USP36"
"CHD3","SIN3A"
"CHD3","GSK3B"
"CHD3","UBC"
"CHD3","SOX2"
"CHD3","ENO1"
"CHD3","NXF1"
"CCDC8","CHD3"
"CHD3","TRIM25"
"CHD3","ESR2"
"CHD3","EZH2"
"CHD3","RECQL4"
"CHD3","HIST1H2AB"
"CHD3","CIT"
"CHD3","KIF23"
"BRD4","CHD3"
"CHD3","NAA40"
"CHD3","HIST1H1E"
"CHD3","EP300"
"AR","CHD3"
"CHD3","WDR5"
"CHD3","TIPARP"
"CHD3","RAF1"
"CEBPA","CHD3"
"CHD3","HECTD1"
"CHD3","Cebpb"
"CIT","RHOA"
"CIT","RHOB"
"CIT","RAC1"
"CIT","TUBA1A"
"CIT","HSPA8"
"CIT","HSPA5"
"CIT","KIF14"
"CIT","HSPD1"
"CANX","CIT"
"ANLN","CIT"
"CIT","PPIA"
"CIT","RUVBL2"
"CIT","HSP90AB1"
"CIT","LMNA"
"CIT","HSP90AA1"
"CIT","XPO1"
"CIT","SMARCC2"
"CIT","RPL5"
"CIT","HIST1H2AB"
"CIT","NPM1"
"CIT","HIST1H4A"
"CIT","RUVBL1"
"CIT","RAF1"
"CIT","PPP1CC"
"CIT","FBL"
"CIT","RBBP4"
"CIT","TOP2A"
"BRCA1","CIT"
"CIT","HNRNPA1"
"CIT","MYH9"
"CIT","NCL"
"CIT","HNRNPU"
"CIT","HNRNPL"
"CIT","HIST1H1E"
"CIT","H2AFY"
"CIT","XRCC6"
"CIT","RBBP7"
"CIT","XRCC5"
"CIT","ELAVL1"
"CBX3","CIT"
"CIT","IFI16"
"CIT","TOP1"
"CIT","EFTUD2"
"CIT","HDAC2"
"CHD4","CIT"
"CIT","KIAA1429"
"CIT","G3BP1"
"CIT","SMARCA5"
"CIT","HDAC1"
"CIT","SMARCA4"
"CIT","SSRP1"
"CIT","DDB1"
"BTF3","CIT"
"CIT","HMGA1"
"CHD3","CIT"
"CIT","SQSTM1"
"CIT","SERBP1"
"CIT","KIF23"
"CIT","MTA2"
"CIT","SIN3A"
"CDK1","CIT"
"CIT","NAA40"
"CIT","PRC1"
"CIT","KIF20A"
"CIT","CTNNB1"
"CIT","WDR5"
"CIT","ECT2"
"CIT","TRIM28"
"CIT","CUL3"
"CIT","CIT"
"CIT","OBSL1"
"CIT","EZH2"
"CIT","CYLD"
"CIT","ESR2"
"CIT","PLEKHA4"
"CIT","ESR1"
"CHMP4B","CIT"
"CIT","PRNP"
"CIT","TP53"
"CIT","RIT1"
"CIT","SOX2"
"CIT","PARK2"
"CIT","TRIM67"
"CIT","TOP3B"
"CEBPA","CIT"
"HDAC2","SIN3A"
"CHD3","HDAC2"
"CHD4","HDAC2"
"HDAC2","MTA2"
"HDAC2","RBBP4"
"HDAC2","RBBP7"
"HDAC1","HDAC2"
"HDAC2","HDAC2"
"HDAC2","TOP2A"
"HDAC2","PML"
"HDAC2","SMARCA5"
"EZH2","HDAC2"
"HDAC2","SMARCA4"
"ESR1","HDAC2"
"HDAC2","TP53"
"HDAC2","PARP1"
