"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"CHD4","ORF",-2.02,116,53,24.2155172413793
"UBC","NON_ORF",0.036,93,46,22.752688172043
"HSPA8","ORF",-1.244,144,54,20.25
"TP53","NON_ORF",-0.128,129,51,20.1627906976744
"EZH2","NON_ORF",1.004,93,43,19.8817204301075
"CHD3","NON_ORF",-1.539,73,38,19.7808219178082
"CIT","NON_ORF",0.851,85,40,18.8235294117647
"HDAC2","BOTH",1.493,103,44,18.7961165048544
"MYH9","ORF",-0.221,106,44,18.2641509433962
"XRCC6","NON_ORF",0,122,47,18.1065573770492
"MYC","NON_ORF",0.622,130,48,17.7230769230769
"SMARCA4","NON_ORF",-0.225,82,38,17.609756097561
"CSNK2A1","NON_ORF",1.175,96,41,17.5104166666667
"JUP","NON_ORF",-0.628,106,43,17.4433962264151
"EGFR","NON_ORF",0.654,138,49,17.3985507246377
"OBSL1","NON_ORF",1.643,76,36,17.0526315789474
"LARP7","NON_ORF",0.281,81,37,16.9012345679012
"ECT2","NONE",2.826,66,33,16.5
"PTEN","NON_ORF",-0.297,52,29,16.1730769230769
"EP300","NON_ORF",0.523,85,37,16.1058823529412
"XRCC5","ORF",0.123,110,42,16.0363636363636
"HSPD1","NON_ORF",0,116,43,15.9396551724138
"PRPF8","NON_ORF",-0.442,111,42,15.8918918918919
"RAF1","ORF",1.255,96,39,15.84375
"NTRK1","NON_ORF",0.118,87,37,15.735632183908
"CCDC8","NON_ORF",0,84,36,15.4285714285714
"ATP5A1","ORF",0.977,110,41,15.2818181818182
"HNRNPU","NON_ORF",-0.097,116,42,15.2068965517241
"TNIP1","NON_ORF",0.563,64,31,15.015625
"DDX3X","NON_ORF",-1.214,102,39,14.9117647058824
"HNRNPA1","NON_ORF",-0.748,113,41,14.8761061946903
"HUWE1","ORF",1.398,98,38,14.734693877551
"HSP90AB1","NON_ORF",0.491,122,42,14.4590163934426
"MTA2","ORF",-2.162,95,37,14.4105263157895
"FANCD2","NON_ORF",0,90,36,14.4
"FLNA","BOTH",0.426,99,37,13.8282828282828
"RPL7A","NON_ORF",0,99,37,13.8282828282828
"FBXW7","NON_ORF",2.033,84,34,13.7619047619048
"HIST2H2BE","NON_ORF",-0.241,62,29,13.5645161290323
"CUL4B","ORF",-0.735,71,31,13.5352112676056
"NONO","NON_ORF",0.476,96,36,13.5
"PABPC1","ORF",0,102,37,13.421568627451
"RNF31","ORF",-0.759,43,24,13.3953488372093
"KIF20A","ORF",2.021,77,32,13.2987012987013
"ADAR","ORF",0.146,77,32,13.2987012987013
"RBBP7","ORF",0.763,77,32,13.2987012987013
"BAZ1B","ORF",1.046,55,27,13.2545454545455
