"from","to"
"RBBP4","UBC"
"CHD4","UBC"
"FBL","UBC"
"G3BP1","UBC"
"HSPD1","UBC"
"HNRNPU","UBC"
"NCL","UBC"
"TRIM28","UBC"
"SQSTM1","UBC"
"TNIP1","UBC"
"CHD3","UBC"
"HUWE1","UBC"
"HSPA5","UBC"
"UBC","UBC"
"PTEN","UBC"
"HECTD1","UBC"
"HSP90AB1","UBC"
"RHOA","UBC"
"LCK","UBC"
"UBC","USP11"
"CAV1","UBC"
"UBC","USP7"
"CYLD","UBC"
"UBC","USP36"
"UBC","XRCC5"
"UBC","XRCC6"
"HIST1H1E","UBC"
"HDAC2","UBC"
"HIST2H2BE","UBC"
"HSPA8","UBC"
"RAC1","UBC"
"UBC","YWHAZ"
"EGFR","UBC"
"BIRC3","UBC"
"MAPT","UBC"
"TP53","UBC"
"EP300","UBC"
"OBSL1","UBC"
"CCDC8","UBC"
"NTRK1","UBC"
"CDH1","UBC"
"AGR2","UBC"
"BRD4","UBC"
"FBXW7","UBC"
"MYH9","UBC"
"EZH2","UBC"
"HSPA8","UBC"
"HSP90AA1","HSPA8"
"HSPA8","TP53"
"HSPA8","RAF1"
"ESR1","HSPA8"
"EP300","HSPA8"
"HSPA8","MAPT"
"HSPA5","HSPA8"
"HSPA8","HSPD1"
"HIST1H1E","HSPA8"
"CDH1","HSPA8"
"HSPA8","HUWE1"
"HSPA8","HSPA8"
"HSP90AB1","HSPA8"
"HSPA8","NCL"
"HSPA8","MYH9"
"HNRNPU","HSPA8"
"HSPA8","RBBP4"
"HSPA8","RBBP7"
"HDAC2","HSPA8"
"HSPA8","SIN3A"
"HSPA8","MTA2"
"HSPA8","YWHAZ"
"APEX1","HSPA8"
"HSPA8","RAC1"
"HSPA8","SMARCA5"
"HNRNPA1","HSPA8"
"HSPA8","XPO1"
"HSPA8","XRCC6"
"HSPA8","XRCC5"
"CHD4","HSPA8"
"EGFR","HSPA8"
"ESR2","HSPA8"
"HSPA8","NTRK1"
"HSPA8","PTEN"
"CYLD","HSPA8"
"CHD3","HSPA8"
"FBXW7","HSPA8"
"AGR2","HSPA8"
"HSPA8","MYC"
"BIRC3","HSPA8"
"HSPA8","USP11"
"FYN","HSPA8"
"HSPA8","LCK"
"HSPA8","RHOA"
"HSPA8","SRC"
"CIT","HSPA8"
"BRD4","HSPA8"
"HSPA8","NAA40"
"HSPA8","USP36"
"HSPA8","SQSTM1"
"EZH2","HSPA8"
"HSPA8","RICTOR"
"HSPA8","TNIP1"
"TP53","TP53"
"EP300","TP53"
"MTA2","TP53"
"PTEN","TP53"
"SMARCA4","TP53"
"HSP90AA1","TP53"
"ESR1","TP53"
"APEX1","TP53"
"NCL","TP53"
"TP53","USP7"
"HSPA8","TP53"
"HDAC2","TP53"
"TP53","XRCC6"
"SIN3A","TP53"
"G3BP1","TP53"
"HUWE1","TP53"
"HSPA5","TP53"
"CCDC8","TP53"
"TP53","TRIM28"
"SQSTM1","TP53"
"FBL","TP53"
"HECTD1","TP53"
"HNRNPA1","TP53"
"HNRNPU","TP53"
"HSP90AB1","TP53"
"OBSL1","TP53"
"RBBP4","TP53"
"RBBP7","TP53"
"TP53","UBC"
"MYH9","TP53"
"EGFR","TP53"
"SMARCA5","TP53"
"CYLD","TP53"
"TP53","XPO1"
"MYC","TP53"
"FBXW7","TP53"
"TP53","XRCC5"
"CHD4","TP53"
"KIF20A","TP53"
"CIT","TP53"
"TP53","USP11"
"MECOM","TP53"
"CHD3","TP53"
"TP53","YWHAZ"
"ELAVL1","TP53"
"SRC","TP53"
"BRD4","TP53"
"BIRC3","TP53"
"NAA40","TP53"
"HIST2H2BE","TP53"
"RAF1","TP53"
"EZH2","HDAC2"
"EZH2","RBBP4"
"EZH2","EZH2"
"ESR1","EZH2"
"CIT","EZH2"
"EZH2","NCL"
"EZH2","TRIM28"
"ELAVL1","EZH2"
"EZH2","RBBP7"
"EZH2","FBL"
"EZH2","H2AFY"
"CHD4","EZH2"
"EZH2","HUWE1"
"EZH2","FBXW7"
"EZH2","SIN3A"
"EZH2","SMARCA4"
"EZH2","SMARCA5"
"EP300","EZH2"
"BRD4","EZH2"
"EZH2","KIF20A"
"EZH2","USP7"
"CHD3","EZH2"
