"from","to"
"ECT2","PML"
"ECT2","ECT2"
"ECT2","TOP2A"
"ECT2","H2AFY"
"ECT2","FYN"
"BASP1","TOP2A"
"BASP1","ECT2"
"BASP1","KIF20A"
"BASP1","LCK"
"BASP1","RHOH"
"LCK","USO1"
"PML","USO1"
"CD55","LCK"
"CD55","ECT2"
"CD55","KIF20A"
"CD2","FYN"
"CD2","LCK"
"ATP1B3","RHOH"
"GDI2","H2AFY"
"FBXW7","SLC16A3"
"FBXW7","PTGDS"
"FYN","IGHA1"
"FBXW7","SNX8"
"CD247","LCK"
"CD247","FYN"
"CCNE2","FBXW7"
"KIF20A","P4HA2"
"RHOH","SUOX"
"NEK4","OMG"
"DIO3","ECT2"
"KIF20A","KIF20A"
"KIF20A","TOP2A"
"H2AFY","KIF20A"
"CHD4","KIF20A"
"FYN","KIF20A"
"KIF20A","PML"
"CHD4","H2AFY"
"H2AFY","MTA2"
"ECT2","H2AFY"
"H2AFY","KIF20A"
"H2AFY","RHOH"
"H2AFY","TOP2A"
"LCK","RHOH"
"FYN","RHOH"
"H2AFY","RHOH"
"LCK","LCK"
"FYN","LCK"
"LCK","RHOH"
"CHD4","MTA2"
"CHD4","CHD4"
"CHD4","TOP2A"
"CHD4","H2AFY"
"CHD4","PML"
"CHD4","FBXW7"
"CHD4","KIF20A"
"CHD4","MTA2"
"MTA2","MTA2"
"H2AFY","MTA2"
"MTA2","TOP2A"
"FBXW7","FBXW7"
"CHD4","FBXW7"
"FBXW7","TOP2A"
"FBXW7","PML"
