"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"ECT2","NONE",2.826,66,33,16.5
"BASP1","NONE",-2.582,61,22,7.9344262295082
"USO1","NONE",-2.751,53,15,4.24528301886792
"CD55","NONE",2.782,20,9,4.05
"CD2","NONE",-3.191,4,4,4
"ATP1B3","NONE",2.935,51,14,3.84313725490196
"MYL1","NONE",2.747,13,6,2.76923076923077
"GDI2","NONE",-2.931,42,10,2.38095238095238
"SLC16A3","NONE",-2.936,28,8,2.28571428571429
"PTGDS","NONE",-3.316,4,3,2.25
"PLD2","NONE",-2.946,12,5,2.08333333333333
"IGHA1","NONE",-2.617,8,4,2
"DENND2D","NONE",-2.848,2,2,2
"NLRC3","NONE",-3.099,2,2,2
"MESDC2","NONE",2.763,14,5,1.78571428571429
"SNX8","NONE",-2.678,9,4,1.77777777777778
"FBXO2","NONE",-2.839,9,4,1.77777777777778
"NEIL1","NONE",-2.758,9,4,1.77777777777778
"MAST3","NONE",-2.596,15,5,1.66666666666667
"TSGA10","NONE",2.69,6,3,1.5
"DNAJC1","NONE",3.074,26,6,1.38461538461538
"LIMD1","NONE",2.703,27,6,1.33333333333333
"GCHFR","NONE",-3.28,3,2,1.33333333333333
"GK2","NONE",-2.782,3,2,1.33333333333333
"CD247","NONE",-2.773,3,2,1.33333333333333
"NCF1","NONE",-3.335,7,3,1.28571428571429
"ATP6V1H","NONE",-2.854,23,5,1.08695652173913
"RTN4IP1","NONE",-3.216,4,2,1
"NEK7","NONE",3.094,16,4,1
"ZNF20","NONE",-3.181,1,1,1
"RAD52","NONE",-2.773,16,4,1
"CTSH","NONE",-2.799,4,2,1
"RFTN1","NONE",-2.614,16,4,1
"CST6","NONE",2.587,5,2,0.8
"SOX15","NONE",-2.728,5,2,0.8
"CDC25B","NONE",2.694,12,3,0.75
"MCC","NONE",2.708,13,3,0.692307692307692
"TYMS","NONE",2.99,15,3,0.6
"TEX264","NONE",2.595,15,3,0.6
"CCNE2","NONE",3.51,7,2,0.571428571428571
"CX3CL1","NONE",-3.065,2,1,0.5
"MAL","NONE",-2.787,2,1,0.5
"TNFRSF9","NONE",-2.612,2,1,0.5
"P4HA2","NONE",2.613,10,2,0.4
"NXPH4","NONE",2.891,3,1,0.333333333333333
"CLSTN3","NONE",-2.722,3,1,0.333333333333333
"SUOX","NONE",-2.676,3,1,0.333333333333333
"IRF8","NONE",-2.745,3,1,0.333333333333333
"SLA","NONE",-3.095,4,1,0.25
"STAP1","NONE",-2.747,4,1,0.25
"BCL2L12","NONE",-2.592,5,1,0.2
"IL10RB","NONE",3.261,5,1,0.2
"NAAA","NONE",-2.643,5,1,0.2
"HMGCS2","NONE",2.699,5,1,0.2
"EBP","NONE",2.741,21,2,0.19047619047619
"LY86","NONE",-2.781,6,1,0.166666666666667
"SPRY1","NONE",2.693,8,1,0.125
"ABP1","NONE",2.738,0,0,0
"HS3ST3A1","NONE",-2.623,0,0,0
"KCNK15","NONE",2.78,0,0,0
"DDAH2","NONE",-2.629,7,0,0
"SLC6A11","NONE",-2.973,0,0,0
"OMG","NONE",3.129,2,0,0
"MEF2B","NONE",-2.615,1,0,0
"DIO3","NONE",2.666,2,0,0
"CYP3A5","NONE",2.686,0,0,0
"TRIM68","NONE",2.596,4,0,0
"C3AR1","NONE",-2.758,0,0,0
"CHKB","NONE",-2.589,1,0,0
"SLC29A3","NONE",-2.913,2,0,0
"ST3GAL5","NONE",2.667,1,0,0
"IL10RA","NONE",-3.393,0,0,0
"CXCL13","NONE",-2.967,0,0,0
"NPL","NONE",-2.653,1,0,0
"TNFRSF25","NONE",-2.804,3,0,0
"CXCR6","NONE",-2.582,0,0,0
"TRAC","NONE",-2.902,1,0,0
"KIF20A",NA,NA,NA,NA,NA
"H2AFY",NA,NA,NA,NA,NA
"RHOH",NA,NA,NA,NA,NA
"LCK",NA,NA,NA,NA,NA
"CHD4",NA,NA,NA,NA,NA
"MTA2",NA,NA,NA,NA,NA
"FBXW7",NA,NA,NA,NA,NA
"FYN",NA,NA,NA,NA,NA
