"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"CHD4","ORF",-2.02,116,53,24.2155172413793
"ECT2","NONE",2.826,66,33,16.5
"MTA2","ORF",-2.162,95,37,14.4105263157895
"FBXW7","NON_ORF",2.033,84,34,13.7619047619048
"KIF20A","ORF",2.021,77,32,13.2987012987013
"H2AFY","NON_ORF",2.389,98,36,13.2244897959184
"LCK","NON_ORF",-2.758,46,24,12.5217391304348
"RFC1","ORF",-2.431,72,30,12.5
"NOP56","ORF",1.996,97,34,11.9175257731959
"IKZF1","ORF",-2.989,41,21,10.7560975609756
"SLC25A5","NON_ORF",-2.173,92,31,10.445652173913
"CSDE1","ORF",2.028,72,25,8.68055555555556
"BASP1","NONE",-2.582,61,22,7.9344262295082
"MTOR","BOTH",2.167,73,23,7.24657534246575
"MYO5A","NON_ORF",-2.061,46,18,7.04347826086957
"KDR","ORF",2.066,15,10,6.66666666666667
"BCL11B","NON_ORF",-3.031,16,10,6.25
"GSN","NON_ORF",-2.196,41,16,6.24390243902439
"POF1B","NON_ORF",2.132,20,11,6.05
"CASP8","NON_ORF",2.398,24,12,6
"BCL6","NON_ORF",-3.348,18,10,5.55555555555556
"NFATC1","NON_ORF",-3.255,27,12,5.33333333333333
"FNBP1","ORF",-2.03,37,14,5.2972972972973
"TCF20","NON_ORF",2.123,43,15,5.23255813953488
"TAF1B","NON_ORF",-2.387,20,10,5
"PIK3CA","ORF",2.107,30,12,4.8
"RHOH","ORF",-2.334,21,10,4.76190476190476
"ARID4A","NON_ORF",-2.169,14,8,4.57142857142857
"RAD23B","BOTH",2.127,37,13,4.56756756756757
"PLEKHA1","ORF",-2.874,38,13,4.44736842105263
"PTK2","BOTH",-2.133,46,14,4.26086956521739
"USO1","NONE",-2.751,53,15,4.24528301886792
"CD55","NONE",2.782,20,9,4.05
"CD2","NONE",-3.191,4,4,4
"ATP1B3","NONE",2.935,51,14,3.84313725490196
"ALDH1B1","NON_ORF",-2.582,46,13,3.67391304347826
"GLG1","ORF",2.066,35,11,3.45714285714286
"PPP1R9A","ORF",2.696,36,11,3.36111111111111
"PLCG2","NON_ORF",-3.051,20,8,3.2
"FOXA1","NON_ORF",-1.97,38,11,3.18421052631579
"VDR","ORF",2.612,12,6,3
"MDM4","NON_ORF",-2.094,22,8,2.90909090909091
"CLTCL1","NON_ORF",-2.184,28,9,2.89285714285714
"MYL1","NONE",2.747,13,6,2.76923076923077
"PLCB4","NON_ORF",2.337,18,7,2.72222222222222
"CGNL1","BOTH",-2.474,18,7,2.72222222222222
"PCDH17","NON_ORF",1.995,18,7,2.72222222222222
"PCLO","ORF",2.155,14,6,2.57142857142857
"GDI2","NONE",-2.931,42,10,2.38095238095238
"EXOSC8","ORF",2.174,35,9,2.31428571428571
"SLC16A3","NONE",-2.936,28,8,2.28571428571429
"FYB","ORF",-2.162,4,3,2.25
"KLF9","NON_ORF",2.2,4,3,2.25
"PTGDS","NONE",-3.316,4,3,2.25
"PAG1","NON_ORF",-3.075,16,6,2.25
"PLD2","NONE",-2.946,12,5,2.08333333333333
"DYRK1B","NON_ORF",-2.317,8,4,2
"NR3C2","BOTH",2.306,8,4,2
"MEP1A","NON_ORF",-2.08,2,2,2
