"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"TRIM67","ORF",-0.93,3178,3120,3063.05852737571
"ZRANB1","ORF",2.939,2933,2870,2808.35322195704
"RPA1","ORF",-0.559,2356,2315,2274.71349745331
"PARK2","ORF",-0.957,2257,2210,2163.97873283119
"PLEKHA4","ORF",0.495,2208,2174,2140.52355072464
"EGFR","ORF",2.336,2108,2050,1993.59582542695
"KRAS","ORF",1.821,1814,1768,1723.16648291069
"KIAA1429","ORF",0.75,1702,1672,1642.52878965922
"ESR1","ORF",-0.616,1698,1665,1632.64134275618
"NTRK1","BOTH",0.866,1648,1635,1622.10254854369
"CCNF","ORF",1.114,1656,1610,1565.27777777778
"TP53","ORF",-0.762,1634,1597,1560.83782129743
"ANLN","ORF",0.998,1377,1340,1303.9941902687
"RAF1","BOTH",-0.382,1351,1323,1295.58031088083
"KIF14","ORF",1.224,1341,1301,1262.19313944817
"BRD4","ORF",-0.271,1315,1288,1261.55437262357
"TIPARP","ORF",2.287,1270,1253,1236.22755905512
"STAU1","ORF",-0.296,1267,1226,1186.32675611681
"EFTUD2","ORF",-1.714,1235,1194,1154.36113360324
"NR2C2","ORF",-1.883,1153,1129,1105.49956634866
"EZH2","ORF",-0.623,1160,1130,1100.77586206897
"CEBPB","ORF",0.345,1164,1128,1093.11340206186
"ELAVL1","ORF",1.144,1139,1111,1083.68832309043
"RECQL4","ORF",-0.105,1133,1102,1071.84819064431
"UBC","ORF",-1.214,1122,1096,1070.60249554367
"BAP1","ORF",-0.663,1123,1092,1061.85574354408
"VCP","ORF",-0.557,1106,1071,1037.10759493671
"CIT","ORF",0.512,1090,1062,1034.71926605505
"APP","ORF",0.392,1068,1036,1004.95880149813
"MYCN","ORF",0.227,1057,1025,993.968779564806
"TRIM28","ORF",-0.095,1033,1002,971.930300096805
"XPO1","ORF",1.231,1033,993,954.548886737657
"EP300","ORF",0.114,1003,978,953.623130608176
"PARP1","ORF",0.717,1018,985,953.069744597249
"MECP2","ORF",2.594,994,970,946.579476861167
"CFTR","ORF",-3.125,981,954,927.743119266055
"HNRNPL","BOTH",0.558,958,935,912.552192066806
"TGOLN2","ORF",-1.018,947,926,905.465681098205
"BRCA1","ORF",-0.136,948,926,904.510548523207
"CEBPA","ORF",-2.664,901,886,871.249722530522
"TNIP1","ORF",0.425,945,904,864.778835978836
"FZR1","ORF",-1.912,882,863,844.409297052154
"FBXW7","ORF",-0.786,877,859,841.369441277081
"SQSTM1","ORF",-0.372,904,868,833.433628318584
"RIT1","ORF",2.916,886,858,830.884875846501
"HUWE1","ORF",-0.97,878,846,815.166287015945
"RBM39","ORF",-1.007,878,845,813.240318906606
"MEN1","ORF",-1.654,847,828,809.426210153483
"RHOA","ORF",-0.358,863,835,807.908458864427
"ACE2","ORF",-1.294,865,833,802.183815028902
"LMNA","ORF",0.359,865,833,802.183815028902
"DDX58","ORF",0.827,858,829,800.980186480186
"ATG16L1","ORF",1.453,839,818,797.525625744934
"NAA40","ORF",-0.031,820,801,782.440243902439
"HECTD1","ORF",0.967,799,789,779.125156445557
"CAPZB","ORF",-0.146,854,815,777.781030444965
"NXF1","ORF",-0.067,827,800,773.881499395405
