"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"KIAA1279","NONE",4.327,140,134,128.257142857143
"ARPC4","NONE",-2.714,150,132,116.16
"UQCR10","NONE",-2.714,42,41,40.0238095238095
"SEPT8","NONE",2.681,56,47,39.4464285714286
"EID1","NONE",2.594,38,37,36.0263157894737
"PKIG","NONE",-2.814,8,8,8
"DCDC5","NONE",2.723,7,7,7
"CXCL2","NONE",-2.792,5,4,3.2
"RP9P","NONE",2.647,3,3,3
"SNHG11","NONE",-2.589,3,3,3
"DKFZP434K028","NONE",2.705,2,2,2
"UBE2DNL","NONE",-2.838,1,1,1
"MUC3A","NONE",-2.693,1,1,1
"LOC653602","NONE",-3.056,1,1,1
"KIAA1609","NONE",3.52,0,0,0
"LOC100127983","NONE",2.764,0,0,0
"LOC400236","NONE",-2.922,0,0,0
"CCDC109A","NONE",3.081,0,0,0
"CAMSAP1L1","NONE",3.19,0,0,0
"LOC147670","NONE",2.739,0,0,0
"LOC440335","NONE",-2.622,0,0,0
"ZNF204P","NONE",3.148,0,0,0
"LOC150577","NONE",-2.828,0,0,0
"TRBV25-1","NONE",-2.705,0,0,0
"LOC100131366","NONE",-2.797,0,0,0
"GLT25D2","NONE",2.679,0,0,0
"LOC389199","NONE",-2.84,0,0,0
"LOC339524","NONE",-2.864,0,0,0
"UBE2QL1","NONE",3.744,1,0,0
"LOC441601","NONE",-2.757,0,0,0
"FAM194A","NONE",-2.709,0,0,0
"TMEM90B","NONE",2.818,0,0,0
"TRAV26-2","NONE",-2.871,0,0,0
"FLJ90680","NONE",-3.137,0,0,0
"CCDC56","NONE",-4.001,0,0,0
"CBARA1","NONE",4.362,0,0,0
"LOC152586","NONE",-2.833,0,0,0
"LOC283174","NONE",3.039,0,0,0
"LOC441086","NONE",-3.167,0,0,0
"LOC284379","NONE",-2.644,0,0,0
"LOC729013","NONE",-4.617,0,0,0
"LOC643783","NONE",-2.611,0,0,0
"LOC100129502","NONE",-2.905,0,0,0
"TRBV24-1","NONE",-2.885,0,0,0
"CXCR6","NONE",-2.966,0,0,0
"TBC1D22B",NA,NA,NA,NA,NA
"PI4KA",NA,NA,NA,NA,NA
"CCNYL1",NA,NA,NA,NA,NA
"MYC",NA,NA,NA,NA,NA
"STK11",NA,NA,NA,NA,NA
"ST7",NA,NA,NA,NA,NA
"SRRT",NA,NA,NA,NA,NA
"CORO1C",NA,NA,NA,NA,NA
"POLDIP3",NA,NA,NA,NA,NA
"LOXL2",NA,NA,NA,NA,NA
"PPP2R2D",NA,NA,NA,NA,NA
"CCDC9",NA,NA,NA,NA,NA
"SRSF6",NA,NA,NA,NA,NA
"EGFR",NA,NA,NA,NA,NA
"HEXIM1",NA,NA,NA,NA,NA
"PHB",NA,NA,NA,NA,NA
"TULP3",NA,NA,NA,NA,NA
"ZRANB1",NA,NA,NA,NA,NA
"FGFR3",NA,NA,NA,NA,NA
"ZNRF4",NA,NA,NA,NA,NA
"FBXO6",NA,NA,NA,NA,NA
"LGALS1",NA,NA,NA,NA,NA
"TGFA",NA,NA,NA,NA,NA
"GPR182",NA,NA,NA,NA,NA
"HLA-B",NA,NA,NA,NA,NA
"SFTPC",NA,NA,NA,NA,NA
"TSPAN15",NA,NA,NA,NA,NA
"RUNX1",NA,NA,NA,NA,NA
"NR4A1",NA,NA,NA,NA,NA
"EPRS",NA,NA,NA,NA,NA
"SEC31A",NA,NA,NA,NA,NA
"EZR",NA,NA,NA,NA,NA
"SNRPD3",NA,NA,NA,NA,NA
"SUCLG1",NA,NA,NA,NA,NA
"GALE",NA,NA,NA,NA,NA
"PCDH7",NA,NA,NA,NA,NA
"CHMP4B",NA,NA,NA,NA,NA
"NPC1",NA,NA,NA,NA,NA
"ACTC1",NA,NA,NA,NA,NA
"MNAT1",NA,NA,NA,NA,NA
"LIMD1",NA,NA,NA,NA,NA
"TFIP11",NA,NA,NA,NA,NA
"TNIP2",NA,NA,NA,NA,NA
"ARRDC3",NA,NA,NA,NA,NA
"SRSF2",NA,NA,NA,NA,NA
"FAM105A",NA,NA,NA,NA,NA
"CD274",NA,NA,NA,NA,NA
"CAV1",NA,NA,NA,NA,NA
"GJA1",NA,NA,NA,NA,NA
"PEX14",NA,NA,NA,NA,NA
"RAB3B",NA,NA,NA,NA,NA
"IFITM1",NA,NA,NA,NA,NA
"CDC42",NA,NA,NA,NA,NA
"RNF43",NA,NA,NA,NA,NA
"IKBKAP",NA,NA,NA,NA,NA
"AKAP12",NA,NA,NA,NA,NA
"SLC4A1AP",NA,NA,NA,NA,NA
"EPHB2",NA,NA,NA,NA,NA
"ROR1",NA,NA,NA,NA,NA
"EPHA4",NA,NA,NA,NA,NA
"PDGFRB",NA,NA,NA,NA,NA
"FGFR2",NA,NA,NA,NA,NA
"ERBB2",NA,NA,NA,NA,NA
"AXL",NA,NA,NA,NA,NA
"SIN3A",NA,NA,NA,NA,NA
"TUBB",NA,NA,NA,NA,NA
"GDI1",NA,NA,NA,NA,NA
"ACTG1",NA,NA,NA,NA,NA
"EIF3I",NA,NA,NA,NA,NA
"BUB3",NA,NA,NA,NA,NA
"POLDIP2",NA,NA,NA,NA,NA
"NIT2",NA,NA,NA,NA,NA
"CLIC4",NA,NA,NA,NA,NA
"MPST",NA,NA,NA,NA,NA
"PARK7",NA,NA,NA,NA,NA
"IDH2",NA,NA,NA,NA,NA
"GGH",NA,NA,NA,NA,NA
"RPA2",NA,NA,NA,NA,NA
"MECP2",NA,NA,NA,NA,NA
"WDYHV1",NA,NA,NA,NA,NA
"RBBP6",NA,NA,NA,NA,NA
"FN1",NA,NA,NA,NA,NA
"MRPS7",NA,NA,NA,NA,NA
"SERPINB5",NA,NA,NA,NA,NA
"CAP2",NA,NA,NA,NA,NA
"HIST1H2BH",NA,NA,NA,NA,NA
"CALD1",NA,NA,NA,NA,NA
"NOP56",NA,NA,NA,NA,NA
"CUL2",NA,NA,NA,NA,NA
"CRYAB",NA,NA,NA,NA,NA
"ARAF",NA,NA,NA,NA,NA
"PNMA1",NA,NA,NA,NA,NA
"UBE3A",NA,NA,NA,NA,NA
"MCCC1",NA,NA,NA,NA,NA
"DUSP16",NA,NA,NA,NA,NA
"DRG1",NA,NA,NA,NA,NA
"HEY1",NA,NA,NA,NA,NA
"RALY",NA,NA,NA,NA,NA
"RUFY1",NA,NA,NA,NA,NA
"HSPA1A",NA,NA,NA,NA,NA
"FLNA",NA,NA,NA,NA,NA
"ACTN1",NA,NA,NA,NA,NA
"SF3A3",NA,NA,NA,NA,NA
"SPERT",NA,NA,NA,NA,NA
"KDM5C",NA,NA,NA,NA,NA
"CAPN2",NA,NA,NA,NA,NA
"VCL",NA,NA,NA,NA,NA
"MCM5",NA,NA,NA,NA,NA
"PURA",NA,NA,NA,NA,NA
"PPFIA1",NA,NA,NA,NA,NA
"CYFIP2",NA,NA,NA,NA,NA
"TLN1",NA,NA,NA,NA,NA
"CEBPA",NA,NA,NA,NA,NA
"TJP1",NA,NA,NA,NA,NA
"ISG15",NA,NA,NA,NA,NA
"CDC73",NA,NA,NA,NA,NA
"CFTR",NA,NA,NA,NA,NA
"WDR77",NA,NA,NA,NA,NA
"CDK9",NA,NA,NA,NA,NA
"ATXN3",NA,NA,NA,NA,NA
"AKAP1",NA,NA,NA,NA,NA
"FXR1",NA,NA,NA,NA,NA
"SHANK3",NA,NA,NA,NA,NA
"CTSS",NA,NA,NA,NA,NA
"RHOD",NA,NA,NA,NA,NA
"SAR1B",NA,NA,NA,NA,NA
"RICTOR",NA,NA,NA,NA,NA
"PFKP",NA,NA,NA,NA,NA
"GRAMD1A",NA,NA,NA,NA,NA
"MED16",NA,NA,NA,NA,NA
"FYN",NA,NA,NA,NA,NA
"HLA-G",NA,NA,NA,NA,NA
"NAAA",NA,NA,NA,NA,NA
"ECEL1",NA,NA,NA,NA,NA
"PRTN3",NA,NA,NA,NA,NA
"RPS6KA2",NA,NA,NA,NA,NA
"AGTRAP",NA,NA,NA,NA,NA
"ADCK3",NA,NA,NA,NA,NA
"ESYT2",NA,NA,NA,NA,NA
"ILVBL",NA,NA,NA,NA,NA
"CALU",NA,NA,NA,NA,NA
"ACSL3",NA,NA,NA,NA,NA
"ATP2A2",NA,NA,NA,NA,NA
"UQCRC1",NA,NA,NA,NA,NA
"DDOST",NA,NA,NA,NA,NA
"SERPINH1",NA,NA,NA,NA,NA
"YME1L1",NA,NA,NA,NA,NA
"TRABD",NA,NA,NA,NA,NA
"MRPL16",NA,NA,NA,NA,NA
"SLC25A10",NA,NA,NA,NA,NA
"MRPS23",NA,NA,NA,NA,NA
"ICT1",NA,NA,NA,NA,NA
"BRD8",NA,NA,NA,NA,NA
"TIPARP",NA,NA,NA,NA,NA
"CD79B",NA,NA,NA,NA,NA
"ABCA2",NA,NA,NA,NA,NA
"ARRB1",NA,NA,NA,NA,NA
"TAGLN",NA,NA,NA,NA,NA
"GNAQ",NA,NA,NA,NA,NA
"ARRB2",NA,NA,NA,NA,NA
"CDC42BPA",NA,NA,NA,NA,NA
"ADRBK1",NA,NA,NA,NA,NA
"FERMT2",NA,NA,NA,NA,NA
"PROSC",NA,NA,NA,NA,NA
"VDR",NA,NA,NA,NA,NA
"TIMP2",NA,NA,NA,NA,NA
"ARMC8",NA,NA,NA,NA,NA
"MCAT",NA,NA,NA,NA,NA
"ITGAV",NA,NA,NA,NA,NA
"SPARC",NA,NA,NA,NA,NA
"GLRX3",NA,NA,NA,NA,NA
