"from","to"
"SLMAP","ZRANB1"
"MAP4K4","ZRANB1"
"PGAM5","ZRANB1"
"AP1M1","ZRANB1"
"DUSP13","ZRANB1"
"POLDIP3","ZRANB1"
"EIF3D","ZRANB1"
"ARRDC3","ZRANB1"
"MFAP1","ZRANB1"
"UBASH3A","ZRANB1"
"ZNF438","ZRANB1"
"TRIP12","ZRANB1"
"IKBKAP","ZRANB1"
"VARS","ZRANB1"
"MYO6","ZRANB1"
"CAPN2","ZRANB1"
"ALB","ZRANB1"
"SBF1","ZRANB1"
"POLRMT","ZRANB1"
"PJA2","ZRANB1"
"YME1L1","ZRANB1"
"SPECC1L","ZRANB1"
"ARIH1","ZRANB1"
"NCAPH2","ZRANB1"
"CDC73","ZRANB1"
"ADCK3","ZRANB1"
"ARAF","ZRANB1"
"WDTC1","ZRANB1"
"UBE3A","ZRANB1"
"RBM3","ZRANB1"
"EFHD2","ZRANB1"
"CCDC6","ZRANB1"
"VCL","ZRANB1"
"EXOC2","ZRANB1"
"SDF4","ZRANB1"
"WDR77","ZRANB1"
"SLC38A2","ZRANB1"
"TFIP11","ZRANB1"
"NOL12","ZRANB1"
"CNP","ZRANB1"
"RANGAP1","ZRANB1"
"PHF5A","ZRANB1"
"MLLT6","ZRANB1"
"VAT1","ZRANB1"
"SPIN1","ZRANB1"
"ATG7","ZRANB1"
"APEH","ZRANB1"
"APLP2","ZRANB1"
"ACBD3","ZRANB1"
"SPATS2L","ZRANB1"
"PNKD","ZRANB1"
"FN1","ZRANB1"
"ACSL3","ZRANB1"
"RERE","ZRANB1"
"TTLL12","ZRANB1"
"DAK","ZRANB1"
"UBXN1","ZRANB1"
"TRMT112","ZRANB1"
"SERPINH1","ZRANB1"
"SMAD3","ZRANB1"
"FERMT2","ZRANB1"
"ACTN1","ZRANB1"
"EIF5","ZRANB1"
"IMPDH1","ZRANB1"
"CALU","ZRANB1"
"SLC35E1","ZRANB1"
"SLC31A1","ZRANB1"
"RAB14","ZRANB1"
"CDK9","ZRANB1"
"MRPS7","ZRANB1"
"SRSF2","ZRANB1"
"LAMC1","ZRANB1"
"NDRG1","ZRANB1"
"GNL3L","ZRANB1"
"DDOST","ZRANB1"
"MRTO4","ZRANB1"
"CDC42","ZRANB1"
"OSBPL8","ZRANB1"
"CORO1C","ZRANB1"
"CLIP1","ZRANB1"
"SLC39A7","ZRANB1"
"STK38","ZRANB1"
"SEC31A","ZRANB1"
"GAR1","ZRANB1"
"EIF2B4","ZRANB1"
"ASXL1","ZRANB1"
"SDHB","ZRANB1"
"HNF4A","ZRANB1"
"SLC4A1AP","ZRANB1"
"SEPT8","ZRANB1"
"WDR6","ZRANB1"
"MRPL45","ZRANB1"
"REPIN1","ZRANB1"
"MAP4K5","ZRANB1"
"MARK3","ZRANB1"
"EXOC5","ZRANB1"
"RNF213","ZRANB1"
"CUL2","ZRANB1"
"ARPC4","ZRANB1"
"RPS15","ZRANB1"
"ZNF574","ZRANB1"
"NDUFA6","ZRANB1"
"FXR1","ZRANB1"
"HSPA1A","ZRANB1"
"SLC12A7","ZRANB1"
"ACO2","ZRANB1"
"SLC25A10","ZRANB1"
"RCC1","ZRANB1"
"ATP2A2","ZRANB1"
"HSD17B10","ZRANB1"
"KRT6A","ZRANB1"
"PEX5","ZRANB1"
"RDH11","ZRANB1"
"L3MBTL2","ZRANB1"
"HM13","ZRANB1"
"MCCC1","ZRANB1"
"BUB3","ZRANB1"
"ECM1","ZRANB1"
"GLRX3","ZRANB1"
"MPST","ZRANB1"
"AKAP1","ZRANB1"
"EHBP1","ZRANB1"
"PRPS2","ZRANB1"
"HADH","ZRANB1"
"CALD1","ZRANB1"
"MECP2","ZRANB1"
"TLN1","ZRANB1"
"SNRNP40","ZRANB1"
"ILVBL","ZRANB1"
"SRGAP2","ZRANB1"
"RAC1","ZRANB1"
"ITGAV","ZRANB1"
"KDM5C","ZRANB1"
"B2M","ZRANB1"
"ITSN1","ZRANB1"
"PHB","ZRANB1"
"SUCLG1","ZRANB1"
"MCM5","ZRANB1"
"SF3A3","ZRANB1"
"SRSF6","ZRANB1"
"EMG1","ZRANB1"
"ASH2L","ZRANB1"
"PTDSS1","ZRANB1"
"GOLGA5","ZRANB1"
"TJP1","ZRANB1"
"RDX","ZRANB1"
"OSBPL9","ZRANB1"
"CDC42EP4","ZRANB1"
"COPS2","ZRANB1"
"RPA2","ZRANB1"
"MTHFD2","ZRANB1"
"NCLN","ZRANB1"
"PLEKHA1","ZRANB1"
"SNAPC1","ZRANB1"
"TP53RK","ZRANB1"
"CNOT7","ZRANB1"
"TECR","ZRANB1"
"MBD3","ZRANB1"
"PGM3","ZRANB1"
"HEXIM1","ZRANB1"
"ZNF281","ZRANB1"
"PSMD3","ZRANB1"
"BID","ZRANB1"
"PPP2CA","ZRANB1"
"YIPF5","ZRANB1"
"ANO6","ZRANB1"
"LLGL2","ZRANB1"
"ANXA7","ZRANB1"
"PTPN23","ZRANB1"
"ZC3H11A","ZRANB1"
"DNAJC11","ZRANB1"
"GBE1","ZRANB1"
"SORBS3","ZRANB1"
"EED","ZRANB1"
"CLIC4","ZRANB1"
"CCDC9","ZRANB1"
"ASNS","ZRANB1"
"FOXK1","ZRANB1"
"PI4KA","ZRANB1"
"STAM","ZRANB1"
"CTSA","ZRANB1"
"LIMK2","ZRANB1"
"PEX14","ZRANB1"
"POLR3A","ZRANB1"
"POLR1A","ZRANB1"
"CPEB4","ZRANB1"
"LPP","ZRANB1"
"SMARCD2","ZRANB1"
"KRT16","ZRANB1"
"GTPBP4","ZRANB1"
"PROSC","ZRANB1"
"SAR1B","ZRANB1"
"CCDC88A","ZRANB1"
"EZR","ZRANB1"
"CYFIP2","ZRANB1"
"RAB11FIP1","ZRANB1"
"RPS6KA1","ZRANB1"
"LARS2","ZRANB1"
"CD59","ZRANB1"
"ZFYVE21","ZRANB1"
"ERO1L","ZRANB1"
"LAMB1","ZRANB1"
"SMARCB1","ZRANB1"
"ZGPAT","ZRANB1"
"TAGLN","ZRANB1"
"MACF1","ZRANB1"
"ESYT2","ZRANB1"
"TOR1AIP1","ZRANB1"
"ICT1","ZRANB1"
"MRPS23","ZRANB1"
"CDK5RAP3","ZRANB1"
"ITGB5","ZRANB1"
"GTPBP1","ZRANB1"
"IGF2BP3","ZRANB1"
"NOP56","ZRANB1"
"LAMA5","ZRANB1"
"P4HA2","ZRANB1"
"PCDH7","ZRANB1"
"MGEA5","ZRANB1"
"BAG3","ZRANB1"
"CAT","ZRANB1"
"KRT6B","ZRANB1"
"GAPDH","ZRANB1"
"ALDH2","ZRANB1"
"TUBB","ZRANB1"
"EPRS","ZRANB1"
"ENO2","ZRANB1"
"LGALS1","ZRANB1"
"HIST1H1C","ZRANB1"
"FLNA","ZRANB1"
"GART","ZRANB1"
"AHCY","ZRANB1"
"UQCRC1","ZRANB1"
"RPL4","ZRANB1"
"CAP2","ZRANB1"
"CBX5","ZRANB1"
"CRKL","ZRANB1"
"IDH2","ZRANB1"
"FASN","ZRANB1"
"ARRB1","ZRANB1"
"NT5C2","ZRANB1"
"PGD","ZRANB1"
"ARHGDIA","ZRANB1"
"MRPL12","ZRANB1"
"RRP1","ZRANB1"
"ACTG1","ZRANB1"
"SNRPD3","ZRANB1"
"RPS21","ZRANB1"
"ACTC1","ZRANB1"
"SARNP","ZRANB1"
"PURA","ZRANB1"
"VRK2","ZRANB1"
"SFSWAP","ZRANB1"
"PRKAA1","ZRANB1"
"PPFIA1","ZRANB1"
"EIF3I","ZRANB1"
"EIF4EBP1","ZRANB1"
"KRR1","ZRANB1"
"TUBB2A","ZRANB1"
"GALE","ZRANB1"
"FAM175B","ZRANB1"
"QPRT","ZRANB1"
"NFS1","ZRANB1"
"MRPL11","ZRANB1"
"DNAJA3","ZRANB1"
"RALY","ZRANB1"
"CFL2","ZRANB1"
"TMEM201","ZRANB1"
"SAR1A","ZRANB1"
"NOL9","ZRANB1"
"P4HA1","ZRANB1"
"RPRD2","ZRANB1"
"PPP2R2D","ZRANB1"
"TMEM214","ZRANB1"
"PDXDC1","ZRANB1"
"RICTOR","ZRANB1"
"RAB11FIP2","ZRANB1"
"POGZ","ZRANB1"
"POLR3B","ZRANB1"
"RBBP6","ZRANB1"
"MCAT","ZRANB1"
"CHERP","ZRANB1"
"ANKHD1","ZRANB1"
"FTSJ3","ZRANB1"
"GSPT2","ZRANB1"
"THAP4","ZRANB1"
"GBF1","ZRANB1"
"WASF1","ZRANB1"
"GLG1","ZRANB1"
"CCDC47","ZRANB1"
"PINX1","ZRANB1"
"S100A16","ZRANB1"
"LTV1","ZRANB1"
"ZNF512B","ZRANB1"
"SIN3A","ZRANB1"
"RUFY1","ZRANB1"
"PARK7","ZRANB1"
"MYBBP1A","ZRANB1"
"TACO1","ZRANB1"
"DHRS4","ZRANB1"
"SRRT","ZRANB1"
"MRPL37","ZRANB1"
"WDR11","ZRANB1"
"SLK","ZRANB1"
"CHMP4B","ZRANB1"
"WDR26","ZRANB1"
"PTGES2","ZRANB1"
"UPF2","ZRANB1"
"NGRN","ZRANB1"
"MRPL17","ZRANB1"
"MRPL16","ZRANB1"
"DNAJB12","ZRANB1"
"TERF2IP","ZRANB1"
"TAB2","ZRANB1"
"ZRANB1","ZRANB1"
"TCF20","ZRANB1"
"RCOR1","ZRANB1"
"ASF1A","ZRANB1"
"DRG1","ZRANB1"
"POLDIP2","ZRANB1"
