"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"ZRANB1","ORF",2.939,2933,2870,2808.35322195704
"EGFR","ORF",2.336,2108,2050,1993.59582542695
"TIPARP","ORF",2.287,1270,1253,1236.22755905512
"MECP2","ORF",2.594,994,970,946.579476861167
"CFTR","ORF",-3.125,981,954,927.743119266055
"CEBPA","ORF",-2.664,901,886,871.249722530522
"RIT1","ORF",2.916,886,858,830.884875846501
"AR","ORF",2.251,771,766,761.032425421531
"FASN","ORF",-2.503,766,733,701.421671018277
"HEXIM1","ORF",2.278,729,702,676
"TNIP2","ORF",-2.609,665,652,639.254135338346
"FN1","ORF",2.628,643,614,586.307931570762
"RICTOR","ORF",2.411,603,587,571.424543946932
"RC3H1","ORF",-2.563,580,566,552.337931034483
"RC3H2","BOTH",2.468,567,549,531.571428571429
"BTRC","ORF",2.93,559,544,529.402504472272
"FBXO6","ORF",-2.906,515,510,505.04854368932
"EED","ORF",2.339,515,500,485.436893203884
"CAV1","ORF",3.421,532,506,481.270676691729
"NOP56","ORF",-2.161,509,473,439.546168958743
"HIST1H1C","ORF",2.321,467,447,427.856531049251
"FGFR1","ORF",2.69,444,432,420.324324324324
"ERBB2","ORF",-2.662,442,426,410.579185520362
"CUL2","ORF",2.374,451,425,400.49889135255
"GJA1","ORF",2.017,436,416,396.917431192661
"MAP1B","ORF",2.615,428,409,390.843457943925
"RCOR1","ORF",3.067,399,394,389.062656641604
"EZR","ORF",2.735,415,396,377.869879518072
"ISG15","ORF",2.043,395,385,375.253164556962
"BAG3","ORF",2.631,404,387,370.715346534653
"IGF2BP3","BOTH",2.435,423,395,368.853427895981
"ATXN3","ORF",2.052,371,359,347.388140161725
"AKAP1","ORF",-3.686,373,359,345.525469168901
"RNF43","ORF",-2.714,345,342,339.026086956522
"MAPK6","ORF",2.637,349,342,335.140401146132
"HSD17B10","ORF",-2.604,383,358,334.631853785901
"EPRS","BOTH",2.438,372,348,325.548387096774
"LOXL2","ORF",2.785,344,332,320.418604651163
"GTPBP4","ORF",2.635,354,336,318.915254237288
"MCM5","ORF",-2.156,370,340,312.432432432432
"WWTR1","ORF",2.6,318,315,312.028301886792
"FTSJ3","ORF",-3.36,344,327,310.84011627907
"GBF1","ORF",2.427,347,327,308.152737752161
"HIF1A","ORF",2.382,321,314,307.152647975078
"NDN","ORF",2.183,321,314,307.152647975078
"MYBBP1A","ORF",-2.167,375,338,304.650666666667
"ARRB2","ORF",-2.793,328,315,302.515243902439
"CDC73","ORF",3.027,326,313,300.518404907975
"RPS15","ORF",-2.644,363,327,294.570247933884
"PRKCZ","ORF",-2.82,307,300,293.159609120521
"PSMD3","ORF",-2.733,325,308,291.889230769231
"MYO6","BOTH",2.7,332,310,289.457831325301
"CCDC47","ORF",-2.817,352,318,287.284090909091
"UBE3A","BOTH",2.77,302,293,284.26821192053
"MECOM","ORF",-2.089,288,285,282.03125
"ATG7","ORF",-2.03,290,285,280.086206896552
"TFIP11","ORF",-2.793,297,288,279.272727272727
"MRPS7","ORF",-3.208,300,288,276.48
"DDOST","ORF",-3.015,330,301,274.548484848485
"TACO1","ORF",-3.031,290,282,274.220689655172
"ATXN1","ORF",1.977,279,276,273.032258064516
"WDR77","ORF",-2.683,297,284,271.569023569024
"CTBP1","ORF",-1.983,289,280,271.280276816609
"SMARCB1","ORF",-2.354,281,275,269.128113879004
"LIN28A","ORF",-3.053,288,278,268.347222222222
"RALY","ORF",-2.607,309,287,266.566343042071
"MRPL12","ORF",-3.195,293,276,259.986348122867
"AXL","ORF",2.223,290,274,258.88275862069
"SMAD3","ORF",2.352,267,262,257.093632958801
"ESYT2","ORF",3.341,305,280,257.049180327869
"PICK1","ORF",-4.267,263,260,257.034220532319
"CALU","ORF",2.661,283,269,255.6925795053
"KLF8","ORF",2.34,271,262,253.29889298893
"IFITM1","ORF",-3.234,265,258,251.184905660377
"DNAJA3","ORF",-2.569,284,267,251.017605633803
"S100A2","ORF",2.648,253,251,249.01581027668
"TOMM22","ORF",-3.413,278,262,246.920863309353
