"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"TRIM67","ORF",-0.506,757,367,177.924702774108
"RPA1","ORF",0.461,688,338,166.052325581395
"ZRANB1","ORF",-0.873,697,340,165.853658536585
"MYC","ORF",-0.682,674,330,161.572700296736
"PARK2","ORF",-1.285,645,312,150.920930232558
"PLEKHA4","ORF",1.229,591,296,148.250423011844
"NTRK1","ORF",-0.192,496,268,144.806451612903
"KIAA1429","ORF",0.588,487,260,138.809034907598
"TP53","ORF",0.411,569,278,135.824253075571
"CUL3","ORF",-0.596,586,282,135.706484641638
"ESR1","ORF",-0.26,517,264,134.808510638298
"HSPA8","ORF",0.36,608,284,132.657894736842
"KIF14","ORF",1.363,520,261,131.001923076923
"EGFR","ORF",-0.204,569,263,121.562390158172
"PARP1","ORF",2.739,480,241,121.002083333333
"CCNF","ORF",1.407,524,250,119.274809160305
"STAU1","ORF",-0.284,480,237,117.01875
"EFTUD2","ORF",1.02,550,251,114.547272727273
"BRD4","ORF",-0.031,494,234,110.842105263158
"HSPA5","ORF",0.443,491,227,104.947046843177
"TNIP1","ORF",-0.956,404,205,104.022277227723
"CIT","ORF",-0.114,425,210,103.764705882353
"TRIM28","ORF",0.933,455,217,103.492307692308
"BIRC3","ORF",-1.687,450,215,102.722222222222
"CHD4","ORF",0.545,416,206,102.009615384615
"KRAS","ORF",-0.078,488,223,101.90368852459
"EP300","ORF",-1.249,387,198,101.302325581395
"RBM39","ORF",-0.213,449,212,100.097995545657
"UBC","ORF",2.196,425,206,99.8494117647059
"BRCA1","ORF",0.679,410,201,98.5390243902439
"KIF20A","ORF",2.973,366,189,97.5983606557377
"VCP","ORF",0.483,471,214,97.2314225053079
"MYCN","ORF",0.653,396,195,96.0227272727273
"XRCC6","ORF",-1.169,389,193,95.7557840616967
"CTNNB1","ORF",-0.473,385,192,95.7506493506494
"MECP2","ORF",-0.139,372,187,94.002688172043
"SNRNP70","ORF",0.257,378,187,92.510582010582
"FBXW7","ORF",-0.042,363,182,91.2506887052342
"OBSL1","ORF",0.374,342,176,90.5730994152047
"PRC1","ORF",1.192,374,183,89.5427807486631
"BAP1","ORF",-0.829,438,198,89.5068493150685
"PRPF8","ORF",0.194,408,191,89.4142156862745
"HNRNPL","ORF",-1.266,340,174,89.0470588235294
"SMC5","ORF",1.139,325,170,88.9230769230769
