"from","to"
"TP53","TRIM67"
"TRIM67","VCP"
"MYO6","TRIM67"
"HIST1H1B","TRIM67"
"MKI67","TRIM67"
"GNL3","TRIM67"
"CUL5","TRIM67"
"DEK","TRIM67"
"AKT1","TRIM67"
"HECTD1","TRIM67"
"DDX24","TRIM67"
"NXF1","TRIM67"
"RPL6","TRIM67"
"NOP58","TRIM67"
"PDS5A","TRIM67"
"SMARCA4","TRIM67"
"SMARCA2","TRIM67"
"TOP1","TRIM67"
"G3BP1","TRIM67"
"NOP56","TRIM67"
"PES1","TRIM67"
"DDX18","TRIM67"
"TOP2A","TRIM67"
"HIST1H1C","TRIM67"
"TOP2B","TRIM67"
"MYH10","TRIM67"
"DNAJA2","TRIM67"
"SUPT16H","TRIM67"
"RPL13","TRIM67"
"TRIM67","UBR5"
"HLA-A","TRIM67"
"HLA-C","TRIM67"
"HLA-B","TRIM67"
"MACF1","TRIM67"
"FAF1","TRIM67"
"TRIM67","UBE2O"
"PSIP1","TRIM67"
"SNX27","TRIM67"
"PRKDC","TRIM67"
"SNRNP200","TRIM67"
"FASN","TRIM67"
"TP53BP1","TRIM67"
"DHX30","TRIM67"
"SSRP1","TRIM67"
"HUWE1","TRIM67"
"POLD1","TRIM67"
"DYNC1H1","TRIM67"
"MRE11A","TRIM67"
"CTNNB1","TRIM67"
"TRIM67","UHRF1"
"DNAJC7","TRIM67"
"MAP1B","TRIM67"
"TRIM67","UTRN"
"ALB","TRIM67"
"TRIM67","YBX1"
"SCRIB","TRIM67"
"SF3B2","TRIM67"
"SYNCRIP","TRIM67"
"RANBP2","TRIM67"
"CUL2","TRIM67"
"HSPH1","TRIM67"
"DSP","TRIM67"
"NUMA1","TRIM67"
"DBN1","TRIM67"
"PSPC1","TRIM67"
"PPM1G","TRIM67"
"IARS","TRIM67"
"HYOU1","TRIM67"
"MYO1C","TRIM67"
"TRIM67","YWHAH"
"CUL3","TRIM67"
"TRIM67","VDAC3"
"PBRM1","TRIM67"
"RPL26L1","TRIM67"
"TRIM67","XPO1"
"TRIM67","UNC45A"
"TRIM67","UBTF"
"AFG3L2","TRIM67"
"PRPF31","TRIM67"
"FLII","TRIM67"
"SPTAN1","TRIM67"
"PSME3","TRIM67"
"LIMA1","TRIM67"
"ENO1","TRIM67"
"OGT","TRIM67"
"MCM4","TRIM67"
"NONO","TRIM67"
"MATR3","TRIM67"
"KPNA2","TRIM67"
"HSP90AB1","TRIM67"
"HIST3H3","TRIM67"
"LMNA","TRIM67"
"PCNA","TRIM67"
"DHX9","TRIM67"
"SLC25A5","TRIM67"
"EPHA2","TRIM67"
"TRIM67","ZYX"
"BUB3","TRIM67"
"ATP1A1","TRIM67"
"RACGAP1","TRIM67"
"CUL1","TRIM67"
"TRIM67","XRCC6"
"HSP90AA1","TRIM67"
"SMC3","TRIM67"
"KPNB1","TRIM67"
"MCM7","TRIM67"
"SF3A1","TRIM67"
"TRIM67","XRCC5"
"HSPA5","TRIM67"
"TRIM67","USP7"
"RPA1","TRIM67"
"IARS2","TRIM67"
"CCT3","TRIM67"
"MYH9","TRIM67"
"SUZ12","TRIM67"
"DDB1","TRIM67"
"CHERP","TRIM67"
"FXR1","TRIM67"
"IPO5","TRIM67"
"AP2B1","TRIM67"
"EPRS","TRIM67"
"JUP","TRIM67"
"COPA","TRIM67"
"GOLGA2","TRIM67"
"PRPF19","TRIM67"
"DDX5","TRIM67"
"SART3","TRIM67"
"PLEC","TRIM67"
"RAD50","TRIM67"
"KHDRBS1","TRIM67"
"PDIA4","TRIM67"
"TRIM67","TUBA1B"
"DYNC1I2","TRIM67"
"LONP1","TRIM67"
"EEF2","TRIM67"
"HDLBP","TRIM67"
"MCM5","TRIM67"
"ACACA","TRIM67"
"HCFC1","TRIM67"
"CCT7","TRIM67"
"ATP13A1","TRIM67"
"HSPA8","TRIM67"
"RPS6KA1","TRIM67"
"GNAI2","TRIM67"
"ACTL6A","TRIM67"
"DDX17","TRIM67"
"PCBP1","TRIM67"
"SNRPA","TRIM67"
"DDX3X","TRIM67"
"PSMD11","TRIM67"
"AP2A1","TRIM67"
"ACTN1","TRIM67"
"HNRNPL","TRIM67"
"RPL11","TRIM67"
"TRIM28","TRIM67"
"RUVBL2","TRIM67"
"RPS3A","TRIM67"
"HNRNPM","TRIM67"
"SFXN1","TRIM67"
"HNRNPF","TRIM67"
"HNRNPK","TRIM67"
"DDX39B","TRIM67"
"RHOA","TRIM67"
"HSPA4","TRIM67"
"LRPPRC","TRIM67"
"STAU1","TRIM67"
"ATAD3A","TRIM67"
