"from","to"
"DHX15","SRSF1"
"DHX15","SRSF7"
"DHX15","NOP58"
"DHX15","NOP56"
"DHX15","SRSF10"
"DHX15","UBC"
"DHX15","SNRPB"
"DHX15","DYNC1H1"
"DHX15","RNF4"
"DHX15","KIF20A"
"DHX15","NUPR1"
"DHX15","FBP1"
"DHX15","RIT1"
"DHX15","UBE2O"
"DHX15","RICTOR"
"ACTG1","NUPR1"
"C1QBP","NUPR1"
"DHX15","NUPR1"
"EPHA2","NUPR1"
"HIST1H1E","NUPR1"
"MKI67","NUPR1"
"NOP56","NUPR1"
"NOP58","NUPR1"
"NUPR1","PARP1"
"NUPR1","PRKDC"
"NUPR1","RACGAP1"
"NUPR1","RBBP4"
"NUPR1","SNRPB"
"NUPR1","SRP9"
"NUPR1","SRSF1"
"NUPR1","SRSF10"
"NUPR1","SRSF7"
"NUPR1","XRCC5"
"SRSF1","SRSF7"
"SRSF10","SRSF7"
"SH3KBP1","SRSF7"
"DHX15","SRSF7"
"NEDD4","SRSF7"
"SRSF7","SUZ12"
"FBXO7","SRSF7"
"KIF20A","SRSF7"
"NUPR1","SRSF7"
"FBP1","SRSF7"
"RIT1","SRSF7"
"SNRPB","SRSF7"
"DCAF4","SRSF7"
"SRSF2","SRSF7"
"SRSF7","UBC"
"HIST1H1E","RPL37A"
"HIST1H1E","SRSF1"
"HIST1H1E","SRSF10"
"HIST1H1E","LRRC59"
"HIST1H1E","HIST1H1E"
"HIST1H1E","UBB"
"HIST1H1E","UBE3A"
"HIST1H1E","KIF20A"
"HIST1H1E","NUPR1"
"HIST1H1E","NAA40"
"HIST1H1E","ZBTB2"
"HIST1H1E","NOP56"
"HIST1H1E","IKZF1"
"HIST1H1E","RICTOR"
"HIST1H1E","RPA4"
"HIST1H1E","UBC"
"HSP90AA1","HSPA6"
"DHX15","HSPA6"
"HSPA6","RNF43"
"HSPA6","UBE2O"
"CENPA","CENPA"
"CENPA","PRKDC"
"CENPA","XRCC5"
"CENPA","CHAF1A"
"CENPA","MSH6"
"CENPA","RACGAP1"
"CENPA","RBBP4"
"CENPA","NOP56"
"CENPA","PARP1"
"NOP56","RPL37A"
"HIST1H1E","RPL37A"
"GNL3","RPL37A"
"NOP58","RPL37A"
"FBXO7","RPL37A"
"KIF20A","RPL37A"
"LRRC59","RPL37A"
"FBP1","RPL37A"
"RIT1","RPL37A"
"RPL37A","SRP9"
"RPL37A","UBE2O"
"RPA4","RPL37A"
"DYNC1H1","FGD5"
"CCT3","FGD5"
"FGD5","HSP90AA1"
"FGD5","TUBA1B"
"CCT3","DCAF4"
"DCAF4","FBXW5"
"DCAF4","DCAF4"
"DCAF4","SRSF7"
"DCAF4","UBE2O"
"DCAF4","PDIA3"
"DCAF4","GNL3"
"DCAF4","SRSF10"
"DCAF4","NOP58"
"DCAF4","OPTN"
"ACTG1","RPF2"
"DHX15","RPF2"
"RPF2","RPL37A"
"MKI67","RPF2"
"RPF2","ZBTB2"
"HIST1H1E","RPF2"
"RPF2","SRSF1"
"RIT1","RPF2"
"RFC5","UBC"
"NOP56","RFC5"
"NUPR1","RFC5"
"CENPA","RFC5"
"PARP1","RFC5"
"RFC5","RIT1"
"EPHA2","RHOG"
"RHOG","RICTOR"
"RHOG","TUBA1B"
"HSPE1","RHOG"
"LRRC59","RHOG"
"RHOG","SRP9"
"RHOG","RNF4"
"RHOG","UBC"
"EPHA2","RHOH"
"RHOH","RICTOR"
"RHOH","TUBA1B"
"RHOH","SRP9"
"HSPA1B","PDIA3"
"HSP90AA1","HSPA1B"
"HSPA1B","LRRK2"
"HSPA1B","RNF43"
"EPHA2","HSPA1B"
"KIF4A","NUPR1"
"CENPA","KIF4A"
"KIF4A","PARP1"
"KIF4A","NAA40"
"PRKDC","THOC6"
