"from","to"
"DHX15","SRSF1"
"DHX15","NOP58"
"DHX15","NOP56"
"DHX15","SRSF10"
"DHX15","UBC"
"DHX15","DYNC1H1"
"DHX15","KIF20A"
"DHX15","RIT1"
"DHX15","UBE2O"
"DHX15","RICTOR"
"EPHA2","NUPR1"
"MKI67","NUPR1"
"NOP56","NUPR1"
"NOP58","NUPR1"
"NUPR1","PARP1"
"NUPR1","PRKDC"
"NUPR1","RACGAP1"
"NUPR1","SRSF1"
"NUPR1","SRSF10"
"NUPR1","XRCC5"
"SRSF1","SRSF7"
"SRSF10","SRSF7"
"SH3KBP1","SRSF7"
"NEDD4","SRSF7"
"SRSF7","SUZ12"
"FBXO7","SRSF7"
"KIF20A","SRSF7"
"RIT1","SRSF7"
"SRSF7","UBC"
"HIST1H1E","SRSF1"
"HIST1H1E","SRSF10"
"HIST1H1E","UBB"
"HIST1H1E","UBE3A"
"HIST1H1E","KIF20A"
"HIST1H1E","NAA40"
"HIST1H1E","ZBTB2"
"HIST1H1E","NOP56"
"HIST1H1E","IKZF1"
"HIST1H1E","RICTOR"
"HIST1H1E","UBC"
"HSP90AA1","HSPA6"
"HSPA6","RNF43"
"HSPA6","UBE2O"
"CENPA","PRKDC"
"CENPA","XRCC5"
"CENPA","CHAF1A"
"CENPA","MSH6"
"CENPA","RACGAP1"
"CENPA","NOP56"
"CENPA","PARP1"
"NOP56","RPL37A"
"GNL3","RPL37A"
"NOP58","RPL37A"
"FBXO7","RPL37A"
"KIF20A","RPL37A"
"RIT1","RPL37A"
"RPL37A","UBE2O"
"DYNC1H1","FGD5"
"CCT3","FGD5"
"FGD5","HSP90AA1"
"FGD5","TUBA1B"
"CCT3","DCAF4"
"DCAF4","FBXW5"
"DCAF4","UBE2O"
"DCAF4","GNL3"
"DCAF4","SRSF10"
"DCAF4","NOP58"
"DCAF4","OPTN"
"MKI67","RPF2"
"RPF2","ZBTB2"
"RPF2","SRSF1"
"RIT1","RPF2"
"RFC5","UBC"
"NOP56","RFC5"
"PARP1","RFC5"
"RFC5","RIT1"
"EPHA2","RHOG"
"RHOG","RICTOR"
"RHOG","TUBA1B"
"RHOG","UBC"
"EPHA2","RHOH"
"RHOH","RICTOR"
"RHOH","TUBA1B"
"HSP90AA1","HSPA1B"
"HSPA1B","LRRK2"
"HSPA1B","RNF43"
"EPHA2","HSPA1B"
"KIF4A","PARP1"
"KIF4A","NAA40"
"PRKDC","THOC6"
"SRSF10","THOC6"
"SUZ12","THOC6"
"PARP1","THOC6"
"UBC","ZUFSP"
"MSH6","ZUFSP"
"RICTOR","ZUFSP"
"DYNC1H1","ZUFSP"
"FBXO7","MRPS14"
"MKI67","MRPS14"
"MRPS14","SRSF1"
"MRPS14","RIT1"
"MRPS14","UBE2O"
"FBXO7","TOMM20"
"TOMM20","UBC"
"SRSF1","TOMM20"
"OPTN","TOMM20"
"RIT1","TOMM20"
"TOMM20","UBE2O"
"EPHA2","TMEM17"
"TMEM17","YWHAH"
"UBC","UBXN7"
"UBE3A","UBXN7"
"PARP1","UBXN7"
"IMP3","MKI67"
"IMP3","SRSF1"
"IMP3","RIT1"
"ASPM","UBE3A"
"ASPM","TUBA1B"
"ASPM","NDC80"
"NDC80","SPC25"
"RIT1","SPC25"
"CCT3","RFWD3"
"HSP90AA1","RFWD3"
"RFWD3","UBC"
"EFHD2","LRRK2"
"DSTN","UBE3A"
"MRPL10","RIT1"
"MRPL10","UBC"
"CDC20","CDT1"
"LAMP1","VPS45"
"NAA40","ZNF280C"
"ZBTB2","ZNF280C"
"GINS4","RIT1"
"TSPYL5","TUBA1B"
"ORC6","XRCC5"
"ARL6IP5","YWHAH"
"PTPN6","SRSF1"
"DYNC1H1","NUDCD1"
"NUDCD1","UBC"
"CHAF1A","RPS19BP1"
"FBXO7","RPS19BP1"
"MANF","ZBTB2"
"MANF","UBE2O"
"NFATC2IP","PARP1"
"CENPK","RIT1"
"SNUPN","XRCC5"
"CDC20","KIF18A"
"KIF18A","MKI67"
"APOBEC3B","MKI67"
"DYNC1H1","PCBP4"
"PPCDC","RIT1"
"HSP90AA1","PI4K2A"
"LAMP1","PI4K2A"
"HSP90AA1","PI4K2B"
"CCT3","PI4K2B"
"FBXW5","PI4K2B"
"NR2C2AP","RIT1"
"FAM170A","NDC80"
"SPRYD3","YWHAH"
"CCNY","YWHAH"
"CCNY","EPHA2"
"LAMP1","SLC48A1"
"GTSF1","LRRK2"
"TRIM59","UBC"
"FAM163A","YWHAH"
"CDC20","FBXW5"
"CCT3","FBXW5"
"FBXW5","RICTOR"
"FBXW5","HSP90AA1"
"KIF20A","KIF20A"
"KIF20A","MKI67"
"KIF20A","NOP56"
"KIF20A","NOP58"
"KIF20A","SRSF1"
"KIF20A","RACGAP1"
"KIF20A","PRKDC"
"KIF20A","XRCC5"
"GNL3","KIF20A"
"KIF20A","SMARCA4"
"KIF20A","SRSF10"
"KIF20A","PARP1"
"UBE3A","UBE3A"
"UBC","UBE3A"
"UBB","UBE3A"
"TUBA1B","UBE3A"
"NOP58","UBE3A"
"UBE3A","YWHAH"
"NAA40","PARP1"
"MSH6","NAA40"
"MKI67","NAA40"
"NAA40","PRKDC"
"CCT3","NAA40"
"NAA40","XRCC5"
"NAA40","NOP56"
"GNL3","NAA40"
"NAA40","NAA40"
"HSP90AA1","NAA40"
"NAA40","SMARCA4"
"NAA40","UBE2O"
"NAA40","OPTN"
"CCT3","TUBA1B"
"RICTOR","TUBA1B"
"TUBA1B","UBE3A"
"OPTN","TUBA1B"
"RIT1","TUBA1B"
"RNF43","TUBA1B"
"TUBA1B","UBE2O"
"EPHA2","TUBA1B"
"YWHAH","YWHAH"
"LRRK2","YWHAH"
"NEDD4","YWHAH"
"SRSF10","YWHAH"
"RICTOR","YWHAH"
"RACGAP1","YWHAH"
"UBE3A","YWHAH"
"OPTN","YWHAH"
"CDC20","YWHAH"
"LAMP1","YWHAH"
"SRSF1","YWHAH"
"HSP90AA1","YWHAH"
"UBE2O","UBE2O"
"UBC","UBE2O"
"SUZ12","UBE2O"
"CDC20","UBE2O"
"GNL3","UBE2O"
"PARP1","UBE2O"
"NOP58","UBE2O"
"TUBA1B","UBE2O"
"DYNC1H1","UBE2O"
"PRKDC","UBE2O"
"NAA40","UBE2O"
"UBE2O","ZBTB2"
"RNF43","UBE2O"
"RACGAP1","YWHAH"
"RACGAP1","SH3KBP1"
"KIF20A","RACGAP1"
"MKI67","RACGAP1"
"PARP1","RACGAP1"
"RACGAP1","RIT1"
"LAMP1","LAMP1"
"LAMP1","RICTOR"
"EPHA2","LAMP1"
"LAMP1","YWHAH"
"HSP90AA1","LRRK2"
"LRRK2","YWHAH"
"LRRK2","LRRK2"
"LRRK2","PRKDC"
"DYNC1H1","LRRK2"
"LRRK2","RIT1"
"LRRK2","NEDD4"
"RNF43","RNF43"
"EPHA2","RNF43"
"MKI67","RNF43"
"RNF43","UBE2O"
"RNF43","TUBA1B"
"HSP90AA1","HSP90AA1"
"HSP90AA1","LRRK2"
"DYNC1H1","HSP90AA1"
"HSP90AA1","PRKDC"
"FBXW5","HSP90AA1"
"EPHA2","HSP90AA1"
"HSP90AA1","IKZF1"
"HSP90AA1","YWHAH"
"FBXO7","HSP90AA1"
"HSP90AA1","NAA40"
"HSP90AA1","SRSF10"
"HSP90AA1","RICTOR"
"IKZF1","SMARCA4"
"IKZF1","IKZF1"
"HSP90AA1","IKZF1"
"IKZF1","PARP1"
"IKZF1","MKI67"
"SH3KBP1","UBC"
"MKI67","UBC"
"CCT3","UBC"
"SRSF1","UBC"
"NOP56","UBC"
"FBXO7","UBC"
"OPTN","UBC"
