"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"DHX15","NONE",3.09,294,155,81.7176870748299
"NUPR1","NONE",-2.949,258,137,72.7480620155039
"SRSF7","NONE",2.957,203,102,51.2512315270936
"HIST1H1E","NONE",2.675,240,104,45.0666666666667
"HSPA6","NONE",2.783,141,76,40.9645390070922
"CENPA","NONE",2.753,111,63,35.7567567567568
"RPL37A","NONE",2.62,209,86,35.3875598086124
"FGD5","NONE",-2.655,101,54,28.8712871287129
"DCAF4","NONE",2.857,114,57,28.5
"RPF2","NONE",2.721,132,61,28.1893939393939
"RFC5","NONE",3.328,125,58,26.912
"RHOG","NONE",-3.082,150,62,25.6266666666667
"RHOH","NONE",-2.818,99,50,25.2525252525253
"HSPA1B","NONE",2.851,152,60,23.6842105263158
"KIF4A","NONE",3.123,71,38,20.3380281690141
"THOC6","NONE",2.697,62,35,19.758064516129
"ZUFSP","NONE",2.591,49,31,19.6122448979592
"MRPS14","NONE",2.606,71,37,19.2816901408451
"TOMM20","NONE",3.06,81,38,17.8271604938272
"TMEM17","NONE",-2.623,55,29,15.2909090909091
"UBXN7","NONE",3.122,80,34,14.45
"IMP3","NONE",-2.681,64,30,14.0625
"ASPM","NONE",3.148,46,25,13.5869565217391
"SPC25","NONE",2.763,24,18,13.5
"RFWD3","NONE",3.757,44,24,13.0909090909091
"EFHD2","NONE",-2.666,67,28,11.7014925373134
"DSTN","NONE",-2.786,77,28,10.1818181818182
"MRPL10","NONE",2.621,48,22,10.0833333333333
"CDT1","NONE",2.841,36,19,10.0277777777778
"VPS45","NONE",2.659,79,28,9.92405063291139
"ZNF280C","NONE",3.01,43,20,9.30232558139535
"GINS4","NONE",2.633,25,14,7.84
"TSPYL5","NONE",2.729,38,17,7.60526315789474
"ORC6","NONE",2.722,20,12,7.2
"TNNT1","NONE",2.953,17,11,7.11764705882353
"ARL6IP5","NONE",-3.706,82,24,7.02439024390244
"COG4","NONE",2.976,47,18,6.8936170212766
"ZNF414","NONE",-2.778,18,11,6.72222222222222
"PTPN6","NONE",-2.611,67,21,6.58208955223881
"NUDCD1","NONE",2.71,27,13,6.25925925925926
"RPS19BP1","NONE",-3.046,27,13,6.25925925925926
"MANF","NONE",-2.666,28,13,6.03571428571429
"NFATC2IP","NONE",2.756,26,12,5.53846153846154
"CENPK","NONE",2.833,22,11,5.5
"SNUPN","NONE",-2.906,13,8,4.92307692307692
"KIF18A","NONE",2.761,21,10,4.76190476190476
"APOBEC3B","NONE",2.991,43,14,4.55813953488372
"PCBP4","NONE",-2.65,15,8,4.26666666666667
"PDZD11","NONE",2.955,29,11,4.17241379310345
"PPCDC","NONE",-3.374,6,5,4.16666666666667
"PI4K2A","NONE",-2.805,26,10,3.84615384615385
"PI4K2B","NONE",2.768,28,10,3.57142857142857
"PSMC3IP","NONE",2.848,15,7,3.26666666666667
"NR2C2AP","NONE",3.21,5,4,3.2
"DTD1","NONE",-2.684,8,5,3.125
"ZNF821","NONE",-3.324,3,3,3
"SYNGR2","NONE",-2.805,18,7,2.72222222222222
"AKR7A3","NONE",2.868,6,4,2.66666666666667
"FAM170A","NONE",2.975,6,4,2.66666666666667
"ZNF227","NONE",2.759,10,5,2.5
"SPRYD3","NONE",-2.78,10,5,2.5
"CCNY","NONE",-2.686,21,7,2.33333333333333
"RIBC2","NONE",3.16,11,5,2.27272727272727
"MB","NONE",-2.697,4,3,2.25
"CNTFR","NONE",-3.259,2,2,2
"FXYD6","NONE",-2.994,8,4,2
"KRTAP5-9","NONE",2.763,13,5,1.92307692307692
"SLC48A1","NONE",-2.736,5,3,1.8
"PKIA","NONE",-3.186,5,3,1.8
"WBP5","NONE",2.603,6,3,1.5
"GTSF1","NONE",-2.669,6,3,1.5
"CCDC102A","NONE",-2.611,11,4,1.45454545454545
"PRELID2","NONE",2.775,3,2,1.33333333333333
"CLEC10A","NONE",-3.353,3,2,1.33333333333333
"WEE2","NONE",3.511,1,1,1
"CLCA3P","NONE",-2.606,1,1,1
"PNMAL2","NONE",3.496,1,1,1
"SELM","NONE",-2.903,5,2,0.8
"FBXL20","NONE",3.195,7,2,0.571428571428571
"TRIM59","NONE",2.979,17,3,0.529411764705882
"CCL18","NONE",-2.593,3,1,0.333333333333333
"DEFB127","NONE",-2.867,3,1,0.333333333333333
"ST3GAL5","NONE",-2.669,4,1,0.25
"SIDT2","NONE",-2.603,4,1,0.25
"FAM163A","NONE",2.97,6,1,0.166666666666667
"TMSB15A","NONE",3.184,0,0,0
"PTTG3P","NONE",3.062,0,0,0
"ALKBH6","NONE",2.965,2,0,0
"LOC388796","NONE",2.58,0,0,0
"LOC100128361","NONE",3.18,0,0,0
"TMEM179B","NONE",-2.623,5,0,0
"FLJ20021","NONE",3.208,0,0,0
"LOC644035","NONE",3.049,0,0,0
"LOC100272228","NONE",3.273,0,0,0
"LOC100133311","NONE",2.764,0,0,0
"LOC645954","NONE",3.85,0,0,0
"GOLGA2B","NONE",2.66,0,0,0
"FLJ41170","NONE",2.78,0,0,0
"LOC729178","NONE",-2.8,0,0,0
"TRDV3","NONE",-3.009,0,0,0
"FAM104B","NONE",-3.049,1,0,0
"LOC153684","NONE",2.775,1,0,0
"OR8D1","NONE",-2.68,0,0,0
"ABHD14A","NONE",-2.657,6,0,0
"CCL21","NONE",-3.143,2,0,0
"LOC57653","NONE",-3.249,0,0,0
"CYBASC3","NONE",-2.946,0,0,0
