"from","to"
"CENPA","PARP1"
"PARP1","PRKDC"
"PARP1","XRCC5"
"PARP1","PARP1"
"NOP56","PARP1"
"NOP58","PARP1"
"PARP1","RACGAP1"
"PARP1","SUZ12"
"GNL3","PARP1"
"MSH6","PARP1"
"PARP1","SMARCA4"
"PARP1","RNF4"
"MKI67","PARP1"
"KIF20A","PARP1"
"PARP1","SNRPB"
"PARP1","SRSF2"
"PARP1","RPA4"
"NUPR1","PARP1"
"FBP1","PARP1"
"NAA40","PARP1"
"IKZF1","PARP1"
"PARP1","UBE2O"
"PARP1","SRSF10"
"PARP1","RICTOR"
"SH3KBP1","UBC"
"MKI67","UBC"
"RBBP4","UBC"
"CCT3","UBC"
"SRSF1","UBC"
"NOP56","UBC"
"FBXO7","UBC"
"C1QBP","UBC"
"OPTN","UBC"
"DHX15","UBC"
"UBC","UBC"
"UBC","UBE2O"
"UBC","UBE3A"
"UBC","XRCC5"
"HIST1H1E","UBC"
"CDC20","UBC"
"SRP9","UBC"
"RHOG","UBC"
"SRSF7","UBC"
"SUZ12","UBC"
"NEDD4","UBC"
"RNF4","UBC"
"FBP1","UBC"
"UBB","UBC"
"KIF20A","KIF20A"
"HIST1H1E","KIF20A"
"KIF20A","MKI67"
"KIF20A","NOP56"
"DHX15","KIF20A"
"KIF20A","NOP58"
"KIF20A","SRSF1"
"KIF20A","RACGAP1"
"KIF20A","SRSF7"
"KIF20A","SRSF2"
"KIF20A","PRKDC"
"KIF20A","RPL37A"
"KIF20A","XRCC5"
"GNL3","KIF20A"
"KIF20A","SMARCA4"
"KIF20A","SRSF10"
"KIF20A","SNRPB"
"C1QBP","KIF20A"
"KIF20A","RBBP4"
"KIF20A","PARP1"
"HSP90AA1","HSP90AA1"
"HSP90AA1","LRRK2"
"DYNC1H1","HSP90AA1"
"HSP90AA1","PRKDC"
"ACTG1","HSP90AA1"
"FBXW5","HSP90AA1"
"EPHA2","HSP90AA1"
"HSP90AA1","HSPE1"
"HSP90AA1","IKZF1"
"HSP90AA1","YWHAH"
"HSP90AA1","RBBP4"
"FBXO7","HSP90AA1"
"HSP90AA1","MAD2L2"
"HSP90AA1","NAA40"
"HSP90AA1","SRSF10"
"HSP90AA1","RICTOR"
"SRSF1","SRSF1"
"SRSF1","SRSF2"
"SRSF1","SRSF10"
"SRSF1","YWHAH"
"SRSF1","SRSF7"
"DYNC1H1","SRSF1"
"C1QBP","SRSF1"
"SRSF1","UBC"
"DHX15","SRSF1"
"SRSF1","SUZ12"
"HIST1H1E","SRSF1"
"KIF20A","SRSF1"
"NUPR1","SRSF1"
"FBP1","SRSF1"
"SRSF1","UBB"
"SH3KBP1","SRSF1"
"RIT1","SRSF1"
"SNRPB","SRSF1"
"MSH6","SRSF1"
"PRKDC","SRSF1"
"RICTOR","SRSF1"
"DHX15","SRSF1"
"DHX15","SRSF7"
"DHX15","NOP58"
"DHX15","NOP56"
"DHX15","SRSF10"
"DHX15","UBC"
"DHX15","SNRPB"
"DHX15","DYNC1H1"
"DHX15","RNF4"
"DHX15","KIF20A"
"DHX15","NUPR1"
"DHX15","FBP1"
"DHX15","RIT1"
"DHX15","UBE2O"
"DHX15","RICTOR"
"YWHAH","YWHAH"
"LRRK2","YWHAH"
"C1QBP","YWHAH"
"NEDD4","YWHAH"
"SRSF10","YWHAH"
"RICTOR","YWHAH"
"RACGAP1","YWHAH"
"UBE3A","YWHAH"
"OPTN","YWHAH"
"CDC20","YWHAH"
"LAMP1","YWHAH"
"SRSF1","YWHAH"
"HSP90AA1","YWHAH"
"PRKDC","PRKDC"
"PRKDC","XRCC5"
"PRKDC","SRSF10"
"PRKDC","SRSF2"
"PRKDC","SRSF1"
"DYNC1H1","PRKDC"
"PARP1","PRKDC"
"CHAF1A","PRKDC"
"CENPA","PRKDC"
"MSH6","PRKDC"
"LRRK2","PRKDC"
"HSP90AA1","PRKDC"
"PRKDC","RNF4"
"KIF20A","PRKDC"
"NUPR1","PRKDC"
"FBP1","PRKDC"
"NAA40","PRKDC"
"OPALIN","PRKDC"
"PRKDC","UBE2O"
"PRKDC","RICTOR"
"PRKDC","XRCC5"
"PARP1","XRCC5"
"CHAF1A","XRCC5"
"XRCC5","XRCC5"
"C1QBP","XRCC5"
"CENPA","XRCC5"
"MSH6","XRCC5"
