"from","to"
"PARP1","PRKDC"
"PARP1","XRCC5"
"PARP1","PARP1"
"NOP56","PARP1"
"NOP58","PARP1"
"PARP1","RACGAP1"
"PARP1","SUZ12"
"GNL3","PARP1"
"MSH6","PARP1"
"PARP1","SMARCA4"
"MKI67","PARP1"
"KIF20A","PARP1"
"NAA40","PARP1"
"IKZF1","PARP1"
"PARP1","UBE2O"
"PARP1","SRSF10"
"PARP1","RICTOR"
"SH3KBP1","UBC"
"MKI67","UBC"
"CCT3","UBC"
"SRSF1","UBC"
"NOP56","UBC"
"FBXO7","UBC"
"OPTN","UBC"
"UBC","UBC"
"UBC","UBE2O"
"UBC","UBE3A"
"UBC","XRCC5"
"CDC20","UBC"
"SUZ12","UBC"
"NEDD4","UBC"
"UBB","UBC"
"KIF20A","KIF20A"
"KIF20A","MKI67"
"KIF20A","NOP56"
"KIF20A","NOP58"
"KIF20A","SRSF1"
"KIF20A","RACGAP1"
"KIF20A","PRKDC"
"KIF20A","XRCC5"
"GNL3","KIF20A"
"KIF20A","SMARCA4"
"KIF20A","SRSF10"
"KIF20A","PARP1"
"HSP90AA1","HSP90AA1"
"HSP90AA1","LRRK2"
"DYNC1H1","HSP90AA1"
"HSP90AA1","PRKDC"
"FBXW5","HSP90AA1"
"EPHA2","HSP90AA1"
"HSP90AA1","IKZF1"
"HSP90AA1","YWHAH"
"FBXO7","HSP90AA1"
"HSP90AA1","NAA40"
"HSP90AA1","SRSF10"
"HSP90AA1","RICTOR"
"SRSF1","SRSF1"
"SRSF1","SRSF10"
"SRSF1","YWHAH"
"DYNC1H1","SRSF1"
"SRSF1","UBC"
"SRSF1","SUZ12"
"KIF20A","SRSF1"
"SRSF1","UBB"
"SH3KBP1","SRSF1"
"RIT1","SRSF1"
"MSH6","SRSF1"
"PRKDC","SRSF1"
"RICTOR","SRSF1"
"DHX15","SRSF1"
"DHX15","NOP58"
"DHX15","NOP56"
"DHX15","SRSF10"
"DHX15","UBC"
"DHX15","DYNC1H1"
"DHX15","KIF20A"
"DHX15","RIT1"
"DHX15","UBE2O"
"DHX15","RICTOR"
"YWHAH","YWHAH"
"LRRK2","YWHAH"
"NEDD4","YWHAH"
"SRSF10","YWHAH"
"RICTOR","YWHAH"
"RACGAP1","YWHAH"
"UBE3A","YWHAH"
"OPTN","YWHAH"
"CDC20","YWHAH"
"LAMP1","YWHAH"
"SRSF1","YWHAH"
"HSP90AA1","YWHAH"
"PRKDC","PRKDC"
"PRKDC","XRCC5"
"PRKDC","SRSF10"
"PRKDC","SRSF1"
"DYNC1H1","PRKDC"
"PARP1","PRKDC"
"CHAF1A","PRKDC"
"MSH6","PRKDC"
"LRRK2","PRKDC"
"HSP90AA1","PRKDC"
"KIF20A","PRKDC"
"NAA40","PRKDC"
"PRKDC","UBE2O"
"PRKDC","RICTOR"
"PRKDC","XRCC5"
"PARP1","XRCC5"
"CHAF1A","XRCC5"
"XRCC5","XRCC5"
"MSH6","XRCC5"
"DYNC1H1","XRCC5"
"SUZ12","XRCC5"
"UBC","XRCC5"
"KIF20A","XRCC5"
"NAA40","XRCC5"
"OPTN","XRCC5"
"RIT1","XRCC5"
"SUZ12","SUZ12"
"SRSF1","SUZ12"
"SUZ12","UBB"
"SRSF10","SUZ12"
"DYNC1H1","SUZ12"
"NOP58","SUZ12"
"SUZ12","XRCC5"
"CCT3","SUZ12"
"SMARCA4","SUZ12"
"CHAF1A","SUZ12"
"MKI67","SUZ12"
"PARP1","SUZ12"
"SUZ12","ZBTB2"
"SUZ12","UBE2O"
"SUZ12","UBC"
"EPHA2","NUPR1"
"MKI67","NUPR1"
"NOP56","NUPR1"
"NOP58","NUPR1"
"NUPR1","PARP1"
"NUPR1","PRKDC"
"NUPR1","RACGAP1"
"NUPR1","SRSF1"
"NUPR1","SRSF10"
"NUPR1","XRCC5"
"NAA40","PARP1"
"MSH6","NAA40"
"MKI67","NAA40"
"NAA40","PRKDC"
"CCT3","NAA40"
"NAA40","XRCC5"
"NAA40","NOP56"
"GNL3","NAA40"
"NAA40","NAA40"
"HSP90AA1","NAA40"
"NAA40","SMARCA4"
"NAA40","UBE2O"
"NAA40","OPTN"
"MKI67","SUZ12"
"MKI67","NOP58"
"GNL3","MKI67"
"MKI67","RACGAP1"
"MKI67","UBC"
"MKI67","NOP56"
"KIF20A","MKI67"
"MKI67","NAA40"
"MKI67","OPTN"
"MKI67","RNF43"
"CDC20","MKI67"
"MKI67","PARP1"
"IKZF1","MKI67"
"NOP56","NOP58"
"GNL3","NOP56"
"NOP56","SMARCA4"
"MKI67","NOP56"
"NOP56","UBC"
"KIF20A","NOP56"
"NOP56","PARP1"
"NAA40","NOP56"
"NOP56","ZBTB2"
"NOP56","OPTN"
"NOP56","RIT1"
"SMARCA4","SMARCA4"
"CHAF1A","SMARCA4"
"SMARCA4","SUZ12"
"IKZF1","SMARCA4"
"NOP56","SMARCA4"
"KIF20A","SMARCA4"
"NAA40","SMARCA4"
"RIT1","SMARCA4"
"PARP1","SMARCA4"
"UBE2O","UBE2O"
"UBC","UBE2O"
"SUZ12","UBE2O"
"CDC20","UBE2O"
"GNL3","UBE2O"
"PARP1","UBE2O"
"NOP58","UBE2O"
"TUBA1B","UBE2O"
"DYNC1H1","UBE2O"
"PRKDC","UBE2O"
"NAA40","UBE2O"
"UBE2O","ZBTB2"
"RNF43","UBE2O"
"ZBTB2","ZBTB2"
"NOP56","ZBTB2"
"GNL3","ZBTB2"
"NOP58","ZBTB2"
"SRSF10","ZBTB2"
"SUZ12","ZBTB2"
"MSH6","ZBTB2"
"UBE2O","ZBTB2"
"DYNC1H1","XRCC5"
"DYNC1H1","DYNC1H1"
"DYNC1H1","HSP90AA1"
"DYNC1H1","LRRK2"
"DYNC1H1","SUZ12"
"DYNC1H1","FBXO7"
"DYNC1H1","OPTN"
"DYNC1H1","PRKDC"
"DYNC1H1","SRSF1"
"DYNC1H1","UBE2O"
"DYNC1H1","RICTOR"
"MYBBP1A","NOP56"
"MYBBP1A","SUZ12"
"KIF20A","MYBBP1A"
"MYBBP1A","NAA40"
"MYBBP1A","ZBTB2"
"MYBBP1A","UBE2O"
"CCT3","TUBA1B"
"CCT3","UBC"
"CCT3","CDC20"
"CCT3","SUZ12"
"CCT3","NAA40"
"CCT3","FBXW5"
"CCT3","RIT1"
"CCT3","SRSF10"
"CCT3","RICTOR"
"EPHA2","EZR"
"EZR","NEDD4"
"EZR","RICTOR"
"GNL3","NOP56"
"GNL3","NOP58"
"FBXO7","GNL3"
"GNL3","KIF20A"
"GNL3","MKI67"
"GNL3","PARP1"
"GNL3","NAA40"
"GNL3","ZBTB2"
"GNL3","RIT1"
"GNL3","UBE2O"
