"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"PARP1","ORF",2.739,480,241,121.002083333333
"UBC","ORF",2.196,425,206,99.8494117647059
"KIF20A","ORF",2.973,366,189,97.5983606557377
"HSP90AA1","ORF",2.696,403,184,84.0099255583126
"SRSF1","ORF",2.932,303,159,83.4356435643564
"DHX15","NONE",3.09,294,155,81.7176870748299
"YWHAH","ORF",-2.39,219,132,79.5616438356164
"PRKDC","ORF",2.029,350,164,76.8457142857143
"XRCC5","NON_ORF",2.205,286,147,75.5559440559441
"SUZ12","ORF",2.996,260,138,73.2461538461538
"NUPR1","NONE",-2.949,258,137,72.7480620155039
"NAA40","ORF",2.187,323,151,70.5913312693499
"MKI67","ORF",2.023,261,134,68.7969348659004
"NOP56","ORF",2.061,312,145,67.3878205128205
"SMARCA4","ORF",2.367,223,121,65.6547085201794
"UBE2O","ORF",2.101,289,137,64.9446366782007
"ZBTB2","ORF",2.108,172,100,58.1395348837209
"DYNC1H1","ORF",-2.417,251,120,57.3705179282869
"MYBBP1A","ORF",2.214,273,120,52.7472527472527
"CCT3","ORF",2.131,258,116,52.1550387596899
"EZR","ORF",2.028,182,97,51.6978021978022
"GNL3","ORF",2.23,226,108,51.6106194690266
"NOP58","ORF",2.033,211,104,51.260663507109
"SRSF7","NONE",2.957,203,102,51.2512315270936
"TUBA1B","ORF",2.401,228,106,49.280701754386
"MSH6","ORF",2.502,165,90,49.0909090909091
"RIT1","ORF",2.095,268,111,45.9738805970149
"HNRNPA0","ORF",-2.057,199,95,45.3517587939699
"HIST1H1E","NONE",2.675,240,104,45.0666666666667
"EPHA2","ORF",-1.974,166,86,44.5542168674699
"LARP4B","ORF",2.267,115,70,42.6086956521739
"SRSF10","ORF",2.539,167,83,41.251497005988
"HSPA6","NONE",2.783,141,76,40.9645390070922
"LAMP1","ORF",-2.684,145,77,40.8896551724138
"TSR1","ORF",3.221,183,83,37.6448087431694
"HNRNPH2","ORF",-2.272,149,74,36.751677852349
"CENPA","NONE",2.753,111,63,35.7567567567568
"RPL37A","NONE",2.62,209,86,35.3875598086124
"NCAPD2","ORF",2.609,130,67,34.5307692307692
"SUGP2","ORF",3.017,95,57,34.2
"POLDIP3","ORF",-2.029,133,67,33.7518796992481
"RNF43","ORF",-2.737,135,67,33.2518518518519
"UBE3A","ORF",-2.026,140,68,33.0285714285714
"CDC20","ORF",2.176,114,61,32.640350877193
"NEDD4","ORF",-2.212,153,69,31.1176470588235
"DDX41","NON_ORF",-2.145,110,58,30.5818181818182
"CNOT1","ORF",-2.594,147,67,30.5374149659864
"NFATC1","ORF",-2.182,58,42,30.4137931034483
"FBXO7","ORF",-2.27,157,69,30.3248407643312
"SMCHD1","ORF",2.844,116,59,30.0086206896552
"LRRK2","ORF",-2.304,159,69,29.9433962264151
"FGD5","NONE",-2.655,101,54,28.8712871287129
"OPTN","ORF",-1.999,134,62,28.6865671641791
"DCAF4","NONE",2.857,114,57,28.5
"SH3KBP1","ORF",-2.514,95,52,28.4631578947368
"RPF2","NONE",2.721,132,61,28.1893939393939
"NCAPG","ORF",2.954,106,54,27.5094339622642
"AKAP8","ORF",2.838,120,57,27.075
"RFC5","NONE",3.328,125,58,26.912
"SREK1","ORF",3.298,118,56,26.5762711864407
"PPIL4","ORF",2.05,91,49,26.3846153846154
"RHOG","NONE",-3.082,150,62,25.6266666666667
"PCNT","ORF",2.111,91,48,25.3186813186813
"RHOH","NONE",-2.818,99,50,25.2525252525253
"RIF1","ORF",2.131,113,53,24.858407079646
"CAPN1","ORF",-2.152,72,42,24.5
"NDC80","ORF",3.139,83,45,24.3975903614458
"NUP85","ORF",2.125,87,46,24.3218390804598
"TTK","ORF",2.477,87,46,24.3218390804598
"IKZF1","ORF",-2.7,125,55,24.2
"GRB10","ORF",2.065,73,42,24.1643835616438
"HSPA1B","NONE",2.851,152,60,23.6842105263158
"CHAF1A","NON_ORF",2.544,88,45,23.0113636363636
"WRN","ORF",2.049,70,40,22.8571428571429
"FARSB","ORF",2.16,89,45,22.752808988764
"RACGAP1","ORF",3.122,114,50,21.9298245614035
"PABPC5","ORF",2.408,50,33,21.78
"CPSF3","ORF",2.557,93,45,21.7741935483871
"SLTM","ORF",-2.451,74,40,21.6216216216216
"MORF4L1","BOTH",-2.161,85,42,20.7529411764706
"RAB3GAP2","ORF",2.104,103,46,20.5436893203883
"KIF4A","NONE",3.123,71,38,20.3380281690141
"LTN1","ORF",3.325,69,37,19.8405797101449
"DDX28","ORF",-2.602,62,35,19.758064516129
"THOC6","NONE",2.697,62,35,19.758064516129
"AP1M1","ORF",2.068,77,39,19.7532467532468
"ZUFSP","NONE",2.591,49,31,19.6122448979592
"SEC62","ORF",-2.271,99,44,19.5555555555556
"UBB","ORF",2.089,128,50,19.53125
"NEFM","ORF",2.38,67,36,19.3432835820896
"MRPS14","NONE",2.606,71,37,19.2816901408451
"CUX1","ORF",-2.284,79,39,19.253164556962
"SUN2","ORF",-2.728,102,44,18.9803921568627
"SMAD1","ORF",-2.098,50,30,18
