"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"TRIM67","ORF",-0.975,803,496,306.371108343711
"RPA1","ORF",0.298,698,445,283.703438395415
"MYC","ORF",-1.63,682,433,274.910557184751
"PARK2","ORF",1.521,664,410,253.16265060241
"PLEKHA4","ORF",0.327,603,389,250.946932006633
"KIAA1429","ORF",0.174,536,366,249.917910447761
"EGFR","BOTH",2.187,645,397,244.35503875969
"NTRK1","ORF",-0.909,517,355,243.762088974855
"CUL3","ORF",-1.295,613,383,239.296900489396
"HSPA8","ORF",-0.261,603,376,234.454394693201
"TP53","ORF",0,583,369,233.552315608919
"ESR1","ORF",0.745,533,347,225.908067542214
"EFTUD2","ORF",-1.185,549,340,210.564663023679
"CCNF","ORF",1.38,529,332,208.362948960302
"KIF14","ORF",0.028,500,310,192.2
"ANLN","ORF",-0.663,513,313,190.972709551657
"TRIM25","ORF",0.473,457,294,189.137855579869
"CEBPB","ORF",-1.981,496,305,187.550403225806
"BRD4","ORF",-0.951,495,304,186.69898989899
"EZH2","BOTH",-0.503,480,297,183.76875
"EP300","ORF",-0.314,380,262,180.642105263158
"KRAS","BOTH",-1.63,505,300,178.217821782178
"TRIM28","ORF",-1.047,447,282,177.906040268456
"SERBP1","ORF",0.178,483,291,175.32298136646
"TIPARP","ORF",-0.904,356,249,174.160112359551
"PARP1","BOTH",-0.508,413,267,172.612590799031
"NR2C2","ORF",1.224,424,269,170.662735849057
"BRCA1","ORF",1.76,414,265,169.625603864734
"PHB","ORF",-0.229,475,283,168.608421052632
"CHD4","ORF",-2.241,408,262,168.245098039216
"RBM39","ORF",-0.061,451,275,167.682926829268
"VCP","ORF",-1.142,488,286,167.614754098361
"RAF1","ORF",-0.322,413,263,167.479418886199
"CIT","ORF",0.841,417,261,163.359712230216
"PRMT1","ORF",-0.249,373,245,160.924932975871
"WDR5","BOTH",-0.529,416,258,160.009615384615
"BIRC3","ORF",-1.209,453,269,159.737306843267
"STIP1","ORF",-1.343,405,254,159.298765432099
"ELAVL1","ORF",-1.608,380,245,157.960526315789
"HNRNPL","ORF",0.8,335,229,156.540298507463
"ILF3","ORF",-0.002,409,249,151.591687041565
"UBC","ORF",0,401,246,150.912718204489
"HECTD1","ORF",1.178,322,216,144.894409937888
"MYCN","ORF",-0.915,393,237,142.923664122137
"PRPF8","ORF",-0.652,401,239,142.4463840399
"HDAC1","BOTH",-1.281,316,212,142.227848101266
"CDC5L","ORF",-0.282,319,212,140.890282131661
"RECQL4","ORF",-0.055,423,244,140.747044917258
"PABPC1","ORF",-1.064,351,222,140.410256410256
"TNIP1","ORF",-0.246,388,233,139.920103092784
"CEBPA","ORF",-1.295,297,203,138.750841750842
"HUWE1","ORF",1.098,397,234,137.92443324937
"YWHAZ","ORF",-0.085,302,204,137.801324503311
"G3BP1","ORF",0.593,346,218,137.352601156069
"USP7","BOTH",-0.404,286,197,135.695804195804
"LARP7","ORF",-1.056,389,229,134.809768637532
"MECP2","ORF",0.317,364,221,134.178571428571
