"from","to"
"TP53","TRIM67"
"TRIM67","VCP"
"MYO6","TRIM67"
"HIST1H1B","TRIM67"
"MKI67","TRIM67"
"CUL5","TRIM67"
"POLR2A","TRIM67"
"RPL18A","TRIM67"
"HECTD1","TRIM67"
"SAFB","TRIM67"
"RBM28","TRIM67"
"KRT16","TRIM67"
"KRT17","TRIM67"
"DDX24","TRIM67"
"RPS2","TRIM67"
"NXF1","TRIM67"
"BCAP31","TRIM67"
"EIF4G1","TRIM67"
"PDS5A","TRIM67"
"RPL8","TRIM67"
"TRIM21","TRIM67"
"RPL18","TRIM67"
"SF1","TRIM67"
"SMARCA4","TRIM67"
"SMARCA2","TRIM67"
"TOP1","TRIM67"
"G3BP1","TRIM67"
"RPL14","TRIM67"
"TRIM67","USP9X"
"DDX18","TRIM67"
"TOP2A","TRIM67"
"HIST1H1C","TRIM67"
"RPL27A","TRIM67"
"NOP2","TRIM67"
"RPL7A","TRIM67"
"RPL13","TRIM67"
"POLR2B","TRIM67"
"ACBD3","TRIM67"
"SMC1A","TRIM67"
"TRIM67","UBR5"
"HLA-C","TRIM67"
"CDK1","TRIM67"
"SF3B1","TRIM67"
"DHX15","TRIM67"
"MTA1","TRIM67"
"CDC5L","TRIM67"
"POGZ","TRIM67"
"FAF1","TRIM67"
"TRIM67","UBE2O"
"SLC3A2","TRIM67"
"SNX27","TRIM67"
"PRKDC","TRIM67"
"COPB2","TRIM67"
"SNRNP200","TRIM67"
"RNF2","TRIM67"
"FASN","TRIM67"
"TP53BP1","TRIM67"
"SF3A2","TRIM67"
"SSRP1","TRIM67"
"CTBP1","TRIM67"
"NCBP1","TRIM67"
"HUWE1","TRIM67"
"SMC2","TRIM67"
"RPL10","TRIM67"
"CCT4","TRIM67"
"TMPO","TRIM67"
"DYNC1H1","TRIM67"
"H2AFY","TRIM67"
"GRWD1","TRIM67"
"DDX56","TRIM67"
"TRIM67","UTRN"
"TRIM67","U2AF2"
"CSDE1","TRIM67"
"PRPF4","TRIM67"
"CAND1","TRIM67"
"TRIM67","YBX1"
"TRIM67","USP14"
"ATP2B1","TRIM67"
"SCRIB","TRIM67"
"PSMD3","TRIM67"
"GCN1L1","TRIM67"
"TRIM67","XPOT"
"SYNCRIP","TRIM67"
"HSPH1","TRIM67"
"DSP","TRIM67"
"NUMA1","TRIM67"
"PSPC1","TRIM67"
"EIF3I","TRIM67"
"RPL28","TRIM67"
"KDM1A","TRIM67"
"PPP2CA","TRIM67"
"TRAF6","TRIM67"
"MTA2","TRIM67"
"KIF23","TRIM67"
"ESYT1","TRIM67"
"CCT5","TRIM67"
"CAD","TRIM67"
"HNRNPU","TRIM67"
"SPTBN1","TRIM67"
"TRIM67","YWHAH"
"PSMD2","TRIM67"
"CUL3","TRIM67"
"PBRM1","TRIM67"
"TRIM67","XPO1"
"CDC37","TRIM67"
"PRPF3","TRIM67"
"TRIM67","UFL1"
"SFPQ","TRIM67"
"MCM2","TRIM67"
"RPS27","TRIM67"
"ACTB","TRIM67"
"DNM2","TRIM67"
"COPB1","TRIM67"
"TRIM25","TRIM67"
"CUL4A","TRIM67"
"SPTAN1","TRIM67"
"NCAPH","TRIM67"
"LIMA1","TRIM67"
"DDX6","TRIM67"
"TBRG4","TRIM67"
"HIST1H2BD","TRIM67"
"HIST1H2BK","TRIM67"
"RPS11","TRIM67"
"OGT","TRIM67"
"GSPT1","TRIM67"
"MCM4","TRIM67"
"NONO","TRIM67"
"STIP1","TRIM67"
"MATR3","TRIM67"
"KPNA2","TRIM67"
"HIST1H3A","TRIM67"
"HIST3H3","TRIM67"
"NDUFS1","TRIM67"
"ITCH","TRIM67"
"SLC25A5","TRIM67"
"EPHA2","TRIM67"
"PPP1CC","TRIM67"
"ATP1A1","TRIM67"
"GGH","TRIM67"
"H2AFX","TRIM67"
"SNRNP40","TRIM67"
"SMC3","TRIM67"
"MCM7","TRIM67"
"SF3A1","TRIM67"
"TRIM67","TUBB"
"TRIM67","USP7"
"RPA1","TRIM67"
"PRMT1","TRIM67"
"KIF5B","TRIM67"
"MYH9","TRIM67"
"SUZ12","TRIM67"
"ANXA2","TRIM67"
"ANKFY1","TRIM67"
"PTK2","TRIM67"
"DDB1","TRIM67"
"SNW1","TRIM67"
"MRPS9","TRIM67"
"FXR1","TRIM67"
"IPO5","TRIM67"
"AP2B1","TRIM67"
"KRT19","TRIM67"
"APEX1","TRIM67"
"EPRS","TRIM67"
"JUP","TRIM67"
"CCT6A","TRIM67"
"COPA","TRIM67"
"EIF4A1","TRIM67"
