"from","to"
"SNRPD2","SNRPF"
"RPS16","SNRPD2"
"SNRPD2","SRRM2"
"PSMD3","SNRPD2"
"RPA3","SNRPD2"
"SNRPD2","UBE2H"
"RPS27A","SNRPD2"
"CEBPB","SNRPD2"
"RPL5","WDR18"
"RPA3","WDR18"
"UBE2H","WDR18"
"CEBPB","WDR18"
"EXOSC4","UPF1"
"EXOSC4","RPS16"
"EXOSC4","UBE2H"
"PSMD3","RNF130"
"P4HB","RNF130"
"RNF130","RPS27A"
"MRPS24","RPL6"
"DYNLL1","MRPS24"
"MRPS24","RPL18"
"ABT1","MRPS24"
"MRPS24","RPA3"
"MRPS24","UBE2H"
"RPS27A","ZCRB1"
"UPF1","ZCRB1"
"RPS16","ZCRB1"
"SNRPF","ZCRB1"
"TNIP2","ZCRB1"
"HIST1H1C","ZCRB1"
"ABT1","ZCRB1"
"SNRPD2","ZCRB1"
"AP3S1","RPA3"
"AP3S1","UBE2H"
"HES1","TNIP2"
"CBR3","LDLR"
"CBR3","CCR1"
"CCR1","CKAP4"
"CCR1","JUP"
"CCR1","DYNLL1"
"ABT1","ANKS3"
"CEBPB","HEBP2"
"LOC642852","TNIP2"
"TMC4","TSPAN15"
"NAT10","RPL5"
"NAT10","NAT10"
"FBL","NAT10"
"GRWD1","NAT10"
"HIST1H1C","NAT10"
"ABT1","NAT10"
"NAT10","RPA3"
"NAT10","PML"
"CEBPB","NAT10"
"FTSJ3","HIST1H1C"
"CKAP4","HIST1H1C"
"HIST1H1C","NAT10"
"HIST1H1C","HMGA1"
"HIST1H1C","RPS27A"
"HIST1H1C","RPL6"
"HIST1H1C","RPL18"
"HIST1H1C","HIST1H1C"
"GRWD1","HIST1H1C"
"ABT1","HIST1H1C"
"HIST1H1C","RNF8"
"HIST1H1C","RPA3"
"HIST1H1C","PML"
"CEBPB","HIST1H1C"
"RPL6","UPF1"
"TNIP2","UPF1"
"FBL","UPF1"
"GRWD1","UPF1"
"ABT1","UPF1"
"PML","UPF1"
"RPL5","UPF1"
"RPS16","UPF1"
"RPA3","UPF1"
"UBE2H","UPF1"
"CEBPB","UPF1"
"RPL18","RPL5"
"RPL18","RPL6"
"RPL18","RPS16"
"RPL18","RPS27A"
"FTSJ3","RPL18"
"ABT1","RPL18"
"FBL","RPL18"
"HNRNPM","RPL18"
"RPA3","RPL18"
"GRWD1","RPL18"
"RPL18","TRIM23"
"PML","RPL18"
"RPL18","UBE2H"
"HIST1H1C","RPL18"
"CEBPB","RPL18"
"TRIM23","TRIM23"
"SPG21","TRIM23"
"RPS27A","TRIM23"
"RPL18","TRIM23"
"KRT1","TRIM23"
"HNRNPM","TRIM23"
"RPL6","TRIM23"
"TRIM23","UBE2H"
"ACTN4","TRIM23"
"DYNLL1","TNIP2"
"SRRM2","TNIP2"
"GRWD1","TNIP2"
"RELA","TNIP2"
"SNRPF","TNIP2"
"KRT1","TNIP2"
"P4HB","TNIP2"
"TNIP2","TNIP2"
"HNRNPM","TNIP2"
"TNIP2","UPF1"
"CEBPB","TNIP2"
"ACTN4","TNIP2"
"RPA3","TNIP2"
"NRP1","NRP1"
"BSG","NRP1"
"ACTN4","NRP1"
"BSG","BSG"
"BSG","MON2"
"ACTN4","BSG"
"BSG","SLC3A2"
"BSG","LAMP1"
"BSG","NRP1"
"BSG","RAC2"
"BSG","NTRK3"
"BSG","RPA3"
"CEBPB","RELA"
"CEBPB","HMGA1"
"CEBPB","CEBPB"
"ACTN4","CEBPB"
"ANXA2","CEBPB"
"CEBPB","FBL"
"CEBPB","GRWD1"
"CEBPB","HIST1H1C"
"CEBPB","HNRNPM"
"CEBPB","JUP"
"CEBPB","NAT10"
"CEBPB","P4HB"
"CEBPB","PSMD3"
"CEBPB","RPA3"
"CEBPB","RPL18"
"CEBPB","RPL5"
"CEBPB","RPL6"
"CEBPB","SLC3A2"
"CEBPB","SNRPD2"
"CEBPB","SRRM2"
"CEBPB","UPF1"
"CEBPB","TNIP2"
"LDLR","P4HB"
"LDLR","MON2"
"LDLR","SNRPF"
"ACTN4","TRIM23"
"ACTN4","TNIP2"
"ACTN4","RELA"
"ACTN4","NRP1"
"ACTN4","BSG"
"ACTN4","RPA3"
"ACTN4","UBE2H"
"ACTN4","CEBPB"
"PSMD3","PSMD3"
"PSMD3","RPS27A"
"PSMD3","SNRPD2"
"PSMD3","UBE3A"
"PSMD3","RPA3"
"PSMD3","UBE2H"
"CEBPB","PSMD3"
"ABT1","FTSJ3"
"ABT1","NAT10"
"ABT1","HIST1H1C"
"ABT1","UPF1"
"ABT1","FBL"
"ABT1","RPL18"
"ABT1","RPS16"
"ANXA2","HMGA1"
"ANXA2","RELA"
"ANXA2","CKAP4"
"ANXA2","UBE3A"
"ANXA2","RPA3"
"ANXA2","JUP"
"ANXA2","PML"
"ANXA2","RNF8"
"ANXA2","UBE2H"
"ANXA2","CEBPB"
"CKAP4","CKAP4"
"CKAP4","HIST1H1C"
"CKAP4","LAMP1"
"CKAP4","PIGT"
"CCR1","CKAP4"
"CKAP4","RAC2"
"CKAP4","RPS16"
"CKAP4","RNF8"
"ANXA2","CKAP4"
"CKAP4","RPA3"
"CKAP4","UBE2H"
"UBE3A","UBE3A"
"ANXA2","UBE3A"
"PSMD3","UBE3A"
"PML","UBE3A"
"KRT1","UBE3A"
"RPA3","UBE3A"
"ANXA2","JUP"
"DYNLL1","JUP"
"JUP","LAMP1"
"CCR1","JUP"
"JUP","PIGT"
"JUP","RAC2"
"JUP","RNF8"
"JUP","NTRK3"
"JUP","RPA3"
"JUP","UBE2H"
"CEBPB","JUP"
"PML","PML"
"PML","RELA"
"PML","UBE3A"
"HNRNPM","PML"
"ANXA2","PML"
"PML","SLC3A2"
"KRT18","PML"
"PML","UPF1"
"HIST1H1C","PML"
"NAT10","PML"
"PML","RPL18"
"PML","RPS27A"
"P4HB","PML"
"PML","RPL5"
"RNF8","RNF8"
"KRT1","RNF8"
"HIST1H1C","RNF8"
"ANXA2","RNF8"
"JUP","RNF8"
"P4HB","RNF8"
"FBL","RNF8"
"CKAP4","RNF8"
"CKAP4","RAC2"
"BSG","RAC2"
"RAC2","SLC3A2"
"JUP","RAC2"
"FBL","RAC2"
"GRWD1","RAC2"
"NTRK3","SLC3A2"
"MON2","NTRK3"
"BSG","NTRK3"
"LAMP1","NTRK3"
"JUP","NTRK3"
"LDLR","MON2"
"BSG","MON2"
"MON2","NTRK3"
"MON2","RPA3"
"SPG21","SPG21"
"SPG21","TRIM23"
"GRWD1","HNRNPM"
"GRWD1","RPL18"
"GRWD1","UPF1"
"GRWD1","RPL5"
"GRWD1","HIST1H1C"
"GRWD1","NAT10"
"GRWD1","RPL6"
"GRWD1","TNIP2"
"GRWD1","RAC2"
"GRWD1","UBE2H"
"CEBPB","GRWD1"
"P4HB","P4HB"
"P4HB","TNIP2"
"LDLR","P4HB"
"P4HB","SNRPF"
"P4HB","RNF8"
"P4HB","RPA3"
"P4HB","PML"
"P4HB","UBE2H"
"CEBPB","P4HB"
"SNRPD2","SRRM2"
"SNRPF","SRRM2"
"HNRNPM","SRRM2"
"RPL6","SRRM2"
"FBL","SRRM2"
"SRRM2","TNIP2"
"RPA3","SRRM2"
"SRRM2","UBE2H"
"CEBPB","SRRM2"
"KRT1","KRT18"
"KRT1","UBE3A"
"KRT1","TNIP2"
"KRT1","TRIM23"
"KRT1","RNF8"
"KRT1","UBE2H"
