"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"SNRPD2","NONE",-2.584,213,130,79.3427230046948
"WDR18","NONE",-2.615,94,57,34.563829787234
"EXOSC4","NONE",-2.713,85,52,31.8117647058824
"RNF130","NONE",-2.688,111,56,28.2522522522522
"MRPS24","NONE",-2.637,71,38,20.3380281690141
"ZCRB1","NONE",-2.633,62,35,19.758064516129
"AP3S1","NONE",2.815,50,29,16.82
"HES1","NONE",-2.674,20,15,11.25
"CBR3","NONE",2.584,21,14,9.33333333333333
"CCR1","NONE",-2.943,26,15,8.65384615384615
"ALDH1A3","NONE",-2.73,14,11,8.64285714285714
"POC5","NONE",2.712,23,13,7.34782608695652
"PSORS1C2","NONE",2.824,7,7,7
"FANCL","NONE",-2.587,10,7,4.9
"ANKS3","NONE",-2.59,8,6,4.5
"BPHL","NONE",2.669,6,5,4.16666666666667
"HEBP2","NONE",-2.784,9,6,4
"MESP1","NONE",2.715,4,4,4
"LRP2BP","NONE",2.646,5,4,3.2
"JKAMP","NONE",2.606,3,3,3
"RFPL2","NONE",2.995,6,4,2.66666666666667
"TNP2","NONE",-2.58,6,4,2.66666666666667
"UPRT","NONE",2.748,4,3,2.25
"PPP1R3C","NONE",2.658,8,4,2
"TMBIM6","NONE",-2.63,8,4,2
"CCDC17","NONE",-2.724,5,3,1.8
"SGPP1","NONE",2.624,10,4,1.6
"LOC642852","NONE",2.64,1,1,1
"CIDECP","NONE",-2.673,1,1,1
"SLC13A5","NONE",-2.62,4,1,0.25
"RNF122","NONE",-2.638,5,1,0.2
"SYNGR4","NONE",2.664,0,0,0
"LOC100294145","NONE",2.673,0,0,0
"LOC92249","NONE",2.709,0,0,0
"LOC100130581","NONE",2.671,0,0,0
"LOC729852","NONE",2.825,0,0,0
"LOC284939","NONE",2.913,0,0,0
"LOC100128239","NONE",2.659,0,0,0
"BRP44L","NONE",3.051,0,0,0
"TMC4","NONE",-2.788,1,0,0
"RPA3",NA,NA,NA,NA,NA
"FTSJ3",NA,NA,NA,NA,NA
"NAT10",NA,NA,NA,NA,NA
"HIST1H1C",NA,NA,NA,NA,NA
"UPF1",NA,NA,NA,NA,NA
"FBL",NA,NA,NA,NA,NA
"RPL18",NA,NA,NA,NA,NA
"RPS16",NA,NA,NA,NA,NA
"UBE2H",NA,NA,NA,NA,NA
"TRIM23",NA,NA,NA,NA,NA
"TNIP2",NA,NA,NA,NA,NA
"RELA",NA,NA,NA,NA,NA
"NRP1",NA,NA,NA,NA,NA
"BSG",NA,NA,NA,NA,NA
"CEBPB",NA,NA,NA,NA,NA
"LDLR",NA,NA,NA,NA,NA
"ACTN4",NA,NA,NA,NA,NA
"HMGA1",NA,NA,NA,NA,NA
"PSMD3",NA,NA,NA,NA,NA
"TSPAN15",NA,NA,NA,NA,NA
"DYNLL1",NA,NA,NA,NA,NA
"ABT1",NA,NA,NA,NA,NA
"ANXA2",NA,NA,NA,NA,NA
"CKAP4",NA,NA,NA,NA,NA
"UBE3A",NA,NA,NA,NA,NA
"JUP",NA,NA,NA,NA,NA
"PML",NA,NA,NA,NA,NA
"RNF8",NA,NA,NA,NA,NA
"SNRPF",NA,NA,NA,NA,NA
"LAMP1",NA,NA,NA,NA,NA
"RAC2",NA,NA,NA,NA,NA
"NTRK3",NA,NA,NA,NA,NA
"MON2",NA,NA,NA,NA,NA
"SLC3A2",NA,NA,NA,NA,NA
"SPG21",NA,NA,NA,NA,NA
"GRWD1",NA,NA,NA,NA,NA
"HNRNPM",NA,NA,NA,NA,NA
"P4HB",NA,NA,NA,NA,NA
"RPL5",NA,NA,NA,NA,NA
"RPL6",NA,NA,NA,NA,NA
"SRRM2",NA,NA,NA,NA,NA
"KRT1",NA,NA,NA,NA,NA
"KRT18",NA,NA,NA,NA,NA
"RPS27A",NA,NA,NA,NA,NA
"PIGT",NA,NA,NA,NA,NA
