"from","to"
"SNRPD2","SRRM2"
"PSMD3","SNRPD2"
"CEBPB","SNRPD2"
"CEBPB","WDR18"
"EXOSC4","UPF1"
"PSMD3","RNF130"
"P4HB","RNF130"
"MRPS24","RPL18"
"ABT1","MRPS24"
"UPF1","ZCRB1"
"TNIP2","ZCRB1"
"HIST1H1C","ZCRB1"
"ABT1","ZCRB1"
"HES1","TNIP2"
"CBR3","LDLR"
"CCR1","CKAP4"
"CCR1","JUP"
"ABT1","ANKS3"
"CEBPB","HEBP2"
"LOC642852","TNIP2"
"NAT10","NAT10"
"GRWD1","NAT10"
"HIST1H1C","NAT10"
"ABT1","NAT10"
"NAT10","PML"
"CEBPB","NAT10"
"CKAP4","HIST1H1C"
"HIST1H1C","NAT10"
"HIST1H1C","RPL18"
"HIST1H1C","HIST1H1C"
"GRWD1","HIST1H1C"
"ABT1","HIST1H1C"
"HIST1H1C","RNF8"
"HIST1H1C","PML"
"CEBPB","HIST1H1C"
"TNIP2","UPF1"
"GRWD1","UPF1"
"ABT1","UPF1"
"PML","UPF1"
"CEBPB","UPF1"
"ABT1","RPL18"
"GRWD1","RPL18"
"RPL18","TRIM23"
"PML","RPL18"
"HIST1H1C","RPL18"
"CEBPB","RPL18"
"TRIM23","TRIM23"
"SPG21","TRIM23"
"RPL18","TRIM23"
"KRT1","TRIM23"
"ACTN4","TRIM23"
"SRRM2","TNIP2"
"GRWD1","TNIP2"
"KRT1","TNIP2"
"P4HB","TNIP2"
"TNIP2","TNIP2"
"TNIP2","UPF1"
"CEBPB","TNIP2"
"ACTN4","TNIP2"
"NRP1","NRP1"
"BSG","NRP1"
"ACTN4","NRP1"
"BSG","BSG"
"BSG","MON2"
"ACTN4","BSG"
"BSG","SLC3A2"
"BSG","NRP1"
"BSG","RAC2"
"BSG","NTRK3"
"CEBPB","CEBPB"
"ACTN4","CEBPB"
"ANXA2","CEBPB"
"CEBPB","GRWD1"
"CEBPB","HIST1H1C"
"CEBPB","JUP"
"CEBPB","NAT10"
"CEBPB","P4HB"
"CEBPB","PSMD3"
"CEBPB","RPL18"
"CEBPB","SLC3A2"
"CEBPB","SRRM2"
"CEBPB","UPF1"
"CEBPB","TNIP2"
"LDLR","P4HB"
"LDLR","MON2"
"ACTN4","TRIM23"
"ACTN4","TNIP2"
"ACTN4","NRP1"
"ACTN4","BSG"
"ACTN4","CEBPB"
"PSMD3","PSMD3"
"PSMD3","UBE3A"
"CEBPB","PSMD3"
"ABT1","NAT10"
"ABT1","HIST1H1C"
"ABT1","UPF1"
"ABT1","RPL18"
"ANXA2","CKAP4"
"ANXA2","UBE3A"
"ANXA2","JUP"
"ANXA2","PML"
"ANXA2","RNF8"
"ANXA2","CEBPB"
"CKAP4","CKAP4"
"CKAP4","HIST1H1C"
"CKAP4","RAC2"
"CKAP4","RNF8"
"ANXA2","CKAP4"
"UBE3A","UBE3A"
"ANXA2","UBE3A"
"PSMD3","UBE3A"
"PML","UBE3A"
"KRT1","UBE3A"
"ANXA2","JUP"
"JUP","RAC2"
"JUP","RNF8"
"JUP","NTRK3"
"CEBPB","JUP"
"PML","PML"
"PML","UBE3A"
"ANXA2","PML"
"PML","SLC3A2"
"PML","UPF1"
"HIST1H1C","PML"
"NAT10","PML"
"PML","RPL18"
"P4HB","PML"
"RNF8","RNF8"
"KRT1","RNF8"
"HIST1H1C","RNF8"
"ANXA2","RNF8"
"JUP","RNF8"
"P4HB","RNF8"
"CKAP4","RNF8"
"CKAP4","RAC2"
"BSG","RAC2"
"RAC2","SLC3A2"
"JUP","RAC2"
"GRWD1","RAC2"
"NTRK3","SLC3A2"
"MON2","NTRK3"
"BSG","NTRK3"
"JUP","NTRK3"
"LDLR","MON2"
"BSG","MON2"
"MON2","NTRK3"
"SPG21","SPG21"
"SPG21","TRIM23"
"GRWD1","RPL18"
"GRWD1","UPF1"
"GRWD1","HIST1H1C"
"GRWD1","NAT10"
"GRWD1","TNIP2"
"GRWD1","RAC2"
"CEBPB","GRWD1"
"P4HB","P4HB"
"P4HB","TNIP2"
"LDLR","P4HB"
"P4HB","RNF8"
"P4HB","PML"
"CEBPB","P4HB"
"SRRM2","TNIP2"
"CEBPB","SRRM2"
"KRT1","UBE3A"
"KRT1","TNIP2"
"KRT1","TRIM23"
"KRT1","RNF8"
