"from","to"
"EGFR","JUP"
"CEBPB","EGFR"
"EGFR","SNRPD2"
"EGFR","MON2"
"EGFR","P4HB"
"EGFR","SLC3A2"
"EGFR","PML"
"EGFR","FBL"
"EGFR","SNRPF"
"ACTN4","EGFR"
"EGFR","KRT1"
"EGFR","HMGA1"
"EGFR","TRIM23"
"EGFR","RPL6"
"EGFR","SRRM2"
"EGFR","KRT18"
"ANXA2","EGFR"
"CKAP4","EGFR"
"EGFR","FTSJ3"
"EGFR","NAT10"
"EGFR","PSMD3"
"EGFR","RPA3"
"EGFR","RPL18"
"EGFR","RPL5"
"EGFR","RPS16"
"ABT1","EGFR"
"EGFR","UPF1"
"EGFR","RNF8"
"EGFR","LDLR"
"EGFR","LAMP1"
"EGFR","RAC2"
"CEBPB","RELA"
"CEBPB","HMGA1"
"CEBPB","CEBPB"
"ACTN4","CEBPB"
"ANXA2","CEBPB"
"CEBPB","FBL"
"CEBPB","GRWD1"
"CEBPB","HIST1H1C"
"CEBPB","HNRNPM"
"CEBPB","JUP"
"CEBPB","NAT10"
"CEBPB","P4HB"
"CEBPB","PSMD3"
"CEBPB","RPA3"
"CEBPB","RPL18"
"CEBPB","RPL5"
"CEBPB","RPL6"
"CEBPB","SLC3A2"
"CEBPB","SNRPD2"
"CEBPB","SRRM2"
"CEBPB","UPF1"
"CEBPB","TNIP2"
"CHD4","RNF8"
"ANXA2","CHD4"
"CHD4","FBL"
"CHD4","HIST1H1C"
"CHD4","JUP"
"CHD4","KRT1"
"CHD4","KRT18"
"CHD4","HNRNPM"
"CHD4","RPL5"
"CHD4","RPL6"
"CHD4","RPL18"
"CHD4","RPS16"
"CHD4","RPS27A"
"CHD4","SNRPD2"
"CHD4","SNRPF"
"CHD4","SRRM2"
"CHD4","NAT10"
"CHD4","FTSJ3"
"CHD4","PML"
"CHD4","RPA3"
"CHD4","GRWD1"
"CHD4","DYNLL1"
"CHD4","HMGA1"
"CHD4","UBE2H"
"CEBPB","CHD4"
"PML","PML"
"PML","RELA"
"PML","UBE3A"
"HNRNPM","PML"
"ANXA2","PML"
"PML","SLC3A2"
"KRT18","PML"
"PML","UPF1"
"HIST1H1C","PML"
"NAT10","PML"
"PML","RPL18"
"PML","RPS27A"
"P4HB","PML"
"PML","RPL5"
"RPL6","UPF1"
"TNIP2","UPF1"
"FBL","UPF1"
"GRWD1","UPF1"
"ABT1","UPF1"
"PML","UPF1"
"RPL5","UPF1"
"RPS16","UPF1"
"RPA3","UPF1"
"UBE2H","UPF1"
"CEBPB","UPF1"
"SF3B2","SNRPF"
"SF3B2","SNRPD2"
"SF3B2","SRRM2"
"RPA3","SF3B2"
"GRWD1","SF3B2"
"RPS16","SF3B2"
"KRT18","SF3B2"
"HNRNPM","SF3B2"
"SF3B2","UBE2H"
"CEBPB","SF3B2"
"FTSJ3","HIST1H1C"
