"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"EGFR","BOTH",2.187,645,397,244.35503875969
"CEBPB","ORF",-1.981,496,305,187.550403225806
"CHD4","ORF",-2.241,408,262,168.245098039216
"PML","ORF",-3.065,299,197,129.795986622074
"UPF1","ORF",-2.511,266,176,116.451127819549
"SF3B2","ORF",-2.333,255,167,109.36862745098
"HIST1H1C","ORF",2.062,264,168,106.909090909091
"GRWD1","ORF",-2.179,232,156,104.896551724138
"CKAP4","ORF",-2.21,260,157,94.8038461538462
"TNIP2","ORF",-2.063,267,159,94.685393258427
"RPL18","ORF",-2.563,301,168,93.7674418604651
"JUP","ORF",-2.066,258,155,93.1201550387597
"SRRM2","ORF",-2.054,253,149,87.7509881422925
"ANXA2","ORF",-2.105,214,136,86.4299065420561
"PSMD3","ORF",-2.044,205,132,84.9951219512195
"LYN","ORF",-2.236,202,130,83.6633663366337
"BSG","ORF",-2.608,257,146,82.9416342412451
"SNRPD2","NONE",-2.584,213,130,79.3427230046948
"KHSRP","ORF",-2.278,180,119,78.6722222222222
"NAT10","ORF",-2.326,204,124,75.3725490196078
"EIF3B","ORF",-2.456,195,121,75.0820512820513
"ACTN4","ORF",-2.041,201,121,72.8407960199005
"SRP72","ORF",-2.281,222,123,68.1486486486486
"IGF2BP2","ORF",-2.305,149,100,67.1140939597315
"P4HB","ORF",-2.498,211,118,65.9905213270142
"UBE3A","ORF",-2.564,153,98,62.7712418300654
"KPNA3","ORF",-2.078,138,92,61.3333333333333
"EIF3E","ORF",-2.047,171,102,60.8421052631579
"RNF8","ORF",2.565,159,96,57.9622641509434
"CARM1","ORF",-2.317,134,88,57.7910447761194
"RAC2","ORF",-2.172,151,91,54.841059602649
"YTHDC2","ORF",2.729,128,83,53.8203125
"SPAG9","ORF",1.968,122,81,53.7786885245902
"VARS","ORF",-2.283,132,84,53.4545454545455
"PPM1G","ORF",-2.098,147,87,51.4897959183673
"USP39","ORF",-2.241,131,82,51.3282442748092
"PUM1","ORF",-2.366,119,78,51.1260504201681
"DEK","ORF",2.592,130,81,50.4692307692308
"KRT1","ORF",2.118,113,75,49.7787610619469
"EIF5B","ORF",-2.568,119,75,47.2689075630252
"KPNA4","ORF",-2.496,110,71,45.8272727272727
"NTRK3","ORF",-2.081,106,69,44.9150943396226
"PCDH7","ORF",2.052,174,88,44.5057471264368
"SMARCA1","ORF",2.376,90,63,44.1
"ABT1","ORF",2.242,118,72,43.9322033898305
"BRD1","ORF",-2.187,92,62,41.7826086956522
