"from","to"
"EGFR","JUP"
"CEBPB","EGFR"
"EGFR","MON2"
"EGFR","P4HB"
"EGFR","SLC3A2"
"EGFR","PML"
"ACTN4","EGFR"
"EGFR","KRT1"
"EGFR","TRIM23"
"EGFR","SRRM2"
"ANXA2","EGFR"
"CKAP4","EGFR"
"EGFR","NAT10"
"EGFR","PSMD3"
"EGFR","RPL18"
"ABT1","EGFR"
"EGFR","UPF1"
"EGFR","RNF8"
"EGFR","LDLR"
"EGFR","RAC2"
"CEBPB","CEBPB"
"ACTN4","CEBPB"
"ANXA2","CEBPB"
"CEBPB","GRWD1"
"CEBPB","HIST1H1C"
"CEBPB","JUP"
"CEBPB","NAT10"
"CEBPB","P4HB"
"CEBPB","PSMD3"
"CEBPB","RPL18"
"CEBPB","SLC3A2"
"CEBPB","SRRM2"
"CEBPB","UPF1"
"CEBPB","TNIP2"
"CHD4","RNF8"
"ANXA2","CHD4"
"CHD4","HIST1H1C"
"CHD4","JUP"
"CHD4","KRT1"
"CHD4","RPL18"
"CHD4","SRRM2"
"CHD4","NAT10"
"CHD4","PML"
"CHD4","GRWD1"
"CEBPB","CHD4"
"PML","PML"
"PML","UBE3A"
"ANXA2","PML"
"PML","SLC3A2"
"PML","UPF1"
"HIST1H1C","PML"
"NAT10","PML"
"PML","RPL18"
"P4HB","PML"
"TNIP2","UPF1"
"GRWD1","UPF1"
"ABT1","UPF1"
"PML","UPF1"
"CEBPB","UPF1"
"SF3B2","SRRM2"
"GRWD1","SF3B2"
"CEBPB","SF3B2"
"CKAP4","HIST1H1C"
"HIST1H1C","NAT10"
"HIST1H1C","RPL18"
"HIST1H1C","HIST1H1C"
"GRWD1","HIST1H1C"
"ABT1","HIST1H1C"
"HIST1H1C","RNF8"
"HIST1H1C","PML"
"CEBPB","HIST1H1C"
"GRWD1","RPL18"
"GRWD1","UPF1"
"GRWD1","HIST1H1C"
"GRWD1","NAT10"
"GRWD1","TNIP2"
"GRWD1","RAC2"
"CEBPB","GRWD1"
"CKAP4","CKAP4"
"CKAP4","HIST1H1C"
"CKAP4","RAC2"
"CKAP4","RNF8"
"ANXA2","CKAP4"
"SRRM2","TNIP2"
"GRWD1","TNIP2"
"KRT1","TNIP2"
"P4HB","TNIP2"
"TNIP2","TNIP2"
"TNIP2","UPF1"
"CEBPB","TNIP2"
"ACTN4","TNIP2"
"ABT1","RPL18"
"GRWD1","RPL18"
"RPL18","TRIM23"
"PML","RPL18"
"HIST1H1C","RPL18"
"CEBPB","RPL18"
"ANXA2","JUP"
"JUP","RAC2"
"JUP","RNF8"
"JUP","NTRK3"
"CEBPB","JUP"
"SRRM2","TNIP2"
"CEBPB","SRRM2"
"ANXA2","CKAP4"
"ANXA2","UBE3A"
"ANXA2","JUP"
"ANXA2","PML"
"ANXA2","RNF8"
"ANXA2","CEBPB"
"PSMD3","PSMD3"
