"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"TRIM67","BOTH",1.387,1953,1467,1101.9400921659
"ZRANB1","ORF",1.778,1745,1294,959.56217765043
"PARK2","ORF",-0.948,1498,1134,858.448598130841
"PLEKHA4","ORF",-0.058,1427,1094,838.707778556412
"KIAA1429","ORF",0.51,1134,923,751.260141093474
"EGFR","ORF",0.111,1342,999,743.666915052161
"NTRK1","ORF",-0.651,1133,904,721.285083848191
"CUL3","ORF",-1.2,1230,932,706.19837398374
"HSPA8","ORF",1.152,1158,870,653.626943005181
"TP53","ORF",-0.752,1082,828,633.626617375231
"ESR2","ORF",0.916,1022,781,596.83072407045
"ANLN","ORF",1.63,1024,773,583.5244140625
"STAU1","ORF",0.266,900,706,553.817777777778
"KIF14","ORF",1.386,984,735,549.009146341463
"TRIM25","ORF",-1.124,932,709,539.357296137339
"RAF1","ORF",0.397,910,693,527.746153846154
"TIPARP","ORF",-1.509,804,641,511.046019900497
"EFTUD2","ORF",0.255,954,698,510.696016771488
"BIRC3","ORF",-1.819,878,649,479.727790432802
"BRD4","ORF",1.302,888,645,468.496621621622
"CIT","ORF",0.879,815,610,456.564417177914
"EZH2","ORF",1.662,850,622,455.157647058824
"EP300","ORF",-0.727,723,570,449.377593360996
"BRCA1","ORF",-0.019,720,554,426.272222222222
"BAP1","ORF",1.935,866,603,419.87182448037
"CFTR","ORF",1.114,721,535,396.983356449376
"XPO1","BOTH",1.358,693,523,394.702741702742
"SQSTM1","ORF",1.498,672,504,378
"ACE2","ORF",0.342,682,499,365.104105571848
"FBXW7","ORF",-0.483,651,483,358.354838709677
"MYCN","ORF",-1.181,720,506,355.605555555556
"CAPZB","ORF",0.833,675,489,354.253333333333
"HSP90AA1","ORF",0.374,617,466,351.954619124797
"HNRNPH1","ORF",1.088,620,467,351.756451612903
"CTNNB1","ORF",1.05,586,452,348.641638225256
"PRMT1","ORF",0.217,599,452,341.075125208681
"HUWE1","ORF",-0.879,689,484,339.99419448476
"HECTD1","ORF",-0.384,561,436,338.852049910873
"HNRNPA1","BOTH",0.208,574,440,337.282229965157
"OBSL1","ORF",-0.14,565,436,336.453097345133
"FZR1","ORF",-0.631,668,473,334.923652694611
"HDAC6","ORF",1.777,621,454,331.909822866345
"AR","ORF",-1.293,511,411,330.569471624266
"CDC5L","ORF",-0.625,517,409,323.560928433269
"COPS5","ORF",-0.111,620,447,322.272580645161
"HSP90AB1","ORF",-0.233,575,429,320.071304347826
"CHD4","ORF",0.082,577,429,318.961871750433
"NXF1","ORF",1.323,536,413,318.225746268657
"KCNA3","ORF",-0.014,481,391,317.839916839917
"CUL7","ORF",0.921,568,424,316.507042253521
"ILF3","ORF",0.882,602,436,315.774086378738
"RAC1","ORF",0.188,498,396,314.89156626506
"LMBR1L","ORF",-0.529,495,392,310.432323232323
"MCM2","ORF",1.079,625,438,306.9504
"PML","ORF",-0.569,498,386,299.18875502008
"APP","ORF",-0.27,610,426,297.501639344262
