"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"YWHAE","NONE",3.015,541,424,332.30314232902
"ATG16L1","NONE",2.696,550,425,328.409090909091
"RPS6","NONE",-2.918,550,385,269.5
"NUPR1","NONE",-3.233,432,333,256.6875
"GAPDH","NONE",3.27,445,330,244.719101123596
"BMI1","NONE",-2.813,382,283,209.657068062827
"RPL15","NONE",-3.373,382,260,176.96335078534
"HADHB","NONE",2.736,317,231,168.331230283912
"RPL23","NONE",-2.997,387,251,162.793281653747
"DNAJC5","NONE",3.163,205,168,137.678048780488
"CALR","NONE",2.862,276,190,130.797101449275
"TPI1","NONE",3.553,196,132,88.8979591836735
"PFDN5","NONE",-2.826,136,96,67.7647058823529
"ERLIN1","NONE",3.017,117,87,64.6923076923077
"GPI","NONE",2.934,133,87,56.9097744360902
"P2RY8","NONE",-3.021,77,66,56.5714285714286
"SNX1","NONE",-2.598,112,79,55.7232142857143
"ERO1L","NONE",2.723,102,75,55.1470588235294
"FNBP1","NONE",-3.511,90,67,49.8777777777778
"DNAJC15","NONE",-3.621,116,74,47.2068965517241
"CD74","NONE",-3.624,99,68,46.7070707070707
"DDX19A","NONE",2.937,67,53,41.9253731343284
"IGBP1","NONE",-2.93,86,60,41.8604651162791
"TPD52L2","NONE",4.722,109,67,41.1834862385321
"EIF3CL","NONE",2.588,87,58,38.6666666666667
"DAZAP2","NONE",-2.738,58,46,36.4827586206897
"AGFG1","NONE",2.988,81,49,29.641975308642
"CRTAP","NONE",-2.586,42,35,29.1666666666667
"SPR","NONE",2.757,64,41,26.265625
"HLA-DQB1","NONE",-2.682,50,36,25.92
"FKBP1A","NONE",2.972,59,39,25.7796610169492
"HLA-E","NONE",-3.805,43,33,25.3255813953488
"WRAP53","NONE",3.098,49,35,25
"CD27","NONE",-3.145,43,31,22.3488372093023
"CD83","NONE",-3.106,33,26,20.4848484848485
"STX1A","NONE",3,50,31,19.22
"MEAF6","NONE",2.693,51,31,18.843137254902
"HLA-DRB3","NONE",-3.576,36,26,18.7777777777778
"NUTF2","NONE",4.051,58,33,18.7758620689655
"AIF1L","NONE",-2.918,39,27,18.6923076923077
"UBD","NONE",-3.408,35,25,17.8571428571429
"FOXO4","NONE",-3.542,25,21,17.64
"VEGFA","NONE",3.145,30,23,17.6333333333333
"HLA-DPB1","NONE",-3.344,36,25,17.3611111111111
"PIGU","NONE",3.218,67,34,17.2537313432836
"SEC61A2","NONE",3.05,32,23,16.53125
"EFNA2","NONE",2.656,26,20,15.3846153846154
"COMMD3","NONE",-3.365,32,22,15.125
"HLA-DPA1","NONE",-3.713,28,20,14.2857142857143
"VPS26B","NONE",3.313,32,21,13.78125
"IAH1","NONE",2.918,16,14,12.25
"HLA-H","NONE",-2.814,17,14,11.5294117647059
"WNT10A","NONE",-2.836,16,13,10.5625
"CCL5","NONE",-2.786,12,11,10.0833333333333
"PIM2","NONE",-2.681,23,15,9.78260869565217
"PPP1R14B","NONE",3.516,15,12,9.6
"DDIT4","NONE",3.898,19,13,8.89473684210526
"TMEM189","NONE",2.641,20,13,8.45
"RN7SK","NONE",2.929,12,10,8.33333333333333
"CRIP1","NONE",-2.931,36,17,8.02777777777778
"BLOC1S1","NONE",-2.811,20,12,7.2
"TMEM136","NONE",2.873,9,8,7.11111111111111
"CCL21","NONE",-3.438,7,7,7
"CD7","NONE",-3.756,8,7,6.125
"PIK3IP1","NONE",-2.718,8,7,6.125
"MFAP3","NONE",2.79,19,10,5.26315789473684
"DTWD1","NONE",-3.049,7,6,5.14285714285714
"TAPBPL","NONE",-3.049,10,7,4.9
