"from","to"
"ESR1","FKBP5"
"ESR1","ESR1"
"ESR1","NCOR1"
"BCAR1","ESR1"
"ESR1","PIAS1"
"ESR1","TAB2"
"ATAD3A","ESR1"
"ESR1","MYBBP1A"
"ESR1","RPL13A"
"ESR1","RPS14"
"DBN1","ESR1"
"EIF4G1","ESR1"
"EPB41L5","ESR1"
"ESR1","G3BP1"
"ESR1","GNB1"
"ESR1","GNB2"
"ESR1","RBM28"
"ESR1","RPS24"
"ESR1","HSPA1L"
"ESR1","SYNCRIP"
"ESR1","STAT5A"
"ESR1","P4HB"
"ESR1","PPP2R1A"
"ESR1","PSMD1"
"ESR1","SMC1A"
"ESR1","RNF40"
"CFL1","ESR1"
"ESR1","UBE3C"
"ESR1","TTK"
"ESR1","NCAPD3"
"ESR1","HSPA9"
"ESR1","PBXIP1"
"ESR1","HBB"
"ESR1","PARN"
"ESR1","SMARCE1"
"ARHGEF2","ESR1"
"ATP5C1","ESR1"
"CDC27","ESR1"
"CDK12","ESR1"
"CSNK2A1","ESR1"
"DLG1","ESR1"
"DNAJC1","ESR1"
"EIF4B","ESR1"
"EPS15","ESR1"
"ESR1","IQGAP1"
"ESR1","MBOAT7"
"ESR1","NOC2L"
"ESR1","GLTSCR2"
"ESR1","NRAS"
"ESR1","NUMBL"
"ESR1","NUP62"
"ESR1","OGT"
"ESR1","PDIA6"
"ESR1","PPP1CC"
"ESR1","PREB"
"ESR1","SLC2A1"
"ESR1","STIP1"
"ESR1","TOMM40"
"ESR1","TPX2"
"ESR1","TRIOBP"
"ESR1","UQCRFS1"
"ESR1","USP10"
"ESR1","YES1"
"ESR1","KIF2C"
"CEP55","ESR1"
"DNAJC11","ESR1"
"EIF3J","ESR1"
"ESR1","HLA-G"
"ESR1","PDLIM7"
"ESR1","UQCRC1"
"ESR1","UXS1"
"ESR1","MRPS5"
"CHERP","ESR1"
"PGK1","STIP1"
"STIP1","VASP"
"PSMD1","STIP1"
"ATP5C1","STIP1"
"EIF4G1","STIP1"
"GSPT1","STIP1"
"HSPA9","STIP1"
"P4HB","STIP1"
"PPP1CC","STIP1"
"PPP2R1A","STIP1"
"RPS24","STIP1"
"SMC1A","STIP1"
"IQGAP1","STIP1"
"STIP1","TRIP13"
"LONP1","STIP1"
"STIP1","UBE3C"
"PDIA6","STIP1"
"G3BP1","STIP1"
"STIP1","SYNCRIP"
"MYBBP1A","STIP1"
"CHERP","STIP1"
"HYOU1","STIP1"
"STIP1","STIP1"
"STIP1","TNPO3"
"NUP62","STIP1"
"ATAD3A","STIP1"
"CDC73","STIP1"
"STIP1","USP10"
"FKBP5","STIP1"
"STIP1","VCAM1"
"ATF2","STIP1"
"RIPK4","STIP1"
"STIP1","UBE2M"
"LRRK2","STIP1"
"GPC1","STIP1"
"ESR1","STIP1"
"LDLR","STIP1"
"HSPA1L","STIP1"
"OGT","STIP1"
"LCK","STIP1"
"NAA40","STIP1"
"CSNK2A1","STIP1"
"STIP1","YES1"
"EIF3J","STIP1"
"ENO1","STIP1"
"G3BP1","USP10"
"EIF4G1","G3BP1"
"G3BP1","NUP62"
"G3BP1","G3BP1"
"ANXA6","G3BP1"
"ATAD3A","G3BP1"
"CDC73","G3BP1"
"CELF1","G3BP1"
"CFL1","G3BP1"
"EIF3J","G3BP1"
"EIF4B","G3BP1"
"FSCN1","G3BP1"
"G3BP1","GNB2"
"G3BP1","HSPA9"
"G3BP1","MEX3A"
"G3BP1","PPP2R1A"
"G3BP1","RACGAP1"
"G3BP1","STIP1"
"G3BP1","SYNCRIP"
"G3BP1","TOMM34"
"G3BP1","TUBB3"
"G3BP1","VASP"
"G3BP1","YES1"
"DDX58","G3BP1"
"G3BP1","RPLP1"
"G3BP1","RPS24"
"AGPS","G3BP1"
"G3BP1","HLA-A"
"G3BP1","UQCRFS1"
"G3BP1","TRIP13"
"DBN1","G3BP1"
"G3BP1","MYBBP1A"
