"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"ESR1","ORF",-2.132,1145,868,658.012227074236
"STIP1","ORF",3.17,711,532,398.064697609001
"G3BP1","ORF",2.158,604,450,335.264900662252
"YWHAE","NONE",3.015,541,424,332.30314232902
"ATG16L1","NONE",2.696,550,425,328.409090909091
"CYLD","BOTH",-2.065,588,435,321.811224489796
"RIT1","ORF",3.267,569,408,292.555360281195
"HSPA9","ORF",2.626,507,373,274.41617357002
"RPS6","NONE",-2.918,550,385,269.5
"RAC2","ORF",-2.114,373,311,259.30563002681
"NUPR1","NONE",-3.233,432,333,256.6875
"GAPDH","NONE",3.27,445,330,244.719101123596
"IQGAP1","ORF",-2.284,416,314,237.009615384615
"PPP2R1A","ORF",2.392,398,307,236.806532663317
"ENO1","ORF",3.9,426,311,227.044600938967
"NRAS","ORF",2.604,318,259,210.946540880503
"BMI1","NONE",-2.813,382,283,209.657068062827
"EIF4G1","ORF",2.018,339,255,191.814159292035
"GJD3","ORF",-2.775,272,228,191.117647058824
"RPS24","ORF",-2.25,399,273,186.789473684211
"RPS14","ORF",-2.212,398,272,185.889447236181
"VCAM1","ORF",-3.214,347,252,183.008645533141
"CBL","ORF",2.287,295,231,180.884745762712
"PSMD1","ORF",2.44,338,245,177.58875739645
"RPL15","NONE",-3.373,382,260,176.96335078534
"LCK","ORF",-2.29,245,208,176.587755102041
"DLST","ORF",2.19,349,245,171.991404011461
"THRAP3","ORF",1.98,316,233,171.800632911392
"HADHB","NONE",2.736,317,231,168.331230283912
"RPL23","NONE",-2.997,387,251,162.793281653747
"SMC1A","ORF",-2.549,287,214,159.567944250871
"LAMP3","ORF",-2.967,255,201,158.435294117647
"CFL1","ORF",2.864,277,208,156.187725631769
"MYBBP1A","ORF",2.218,336,226,152.011904761905
"LONP1","ORF",3.015,318,216,146.716981132075
"EIF4B","BOTH",-2.348,299,209,146.090301003344
"P4HB","ORF",2.388,310,212,144.98064516129
"CDC73","ORF",2.688,279,201,144.806451612903
"ATAD3A","ORF",2.585,275,199,144.003636363636
"RIPK4","ORF",2.019,274,198,143.080291970803
"TUBB3","ORF",2.058,244,186,141.786885245902
"PDZD8","ORF",2.078,321,213,141.336448598131
"LRRK2","ORF",-3.466,293,203,140.645051194539
"DNAJC5","NONE",3.163,205,168,137.678048780488
"PDIA4","ORF",2.084,300,201,134.67
"NCOR1","ORF",2.305,205,166,134.419512195122
"FKBP5","BOTH",2.548,197,162,133.218274111675
"CALR","NONE",2.862,276,190,130.797101449275
"GANAB","BOTH",2.155,288,194,130.680555555556
"MEX3A","ORF",2.019,172,149,129.075581395349
"RND3","ORF",2.407,177,149,125.429378531073
"RBM28","ORF",2.171,256,179,125.16015625
"SMARCE1","ORF",-2.092,170,144,121.976470588235
"OPTN","ORF",-2.751,248,173,120.681451612903
"BCAR1","ORF",2.712,193,151,118.139896373057
"HLA-C","ORF",-2.826,223,162,117.686098654709
"DNAJC1","ORF",-3.012,249,170,116.064257028112
"HYOU1","ORF",2.209,216,157,114.115740740741
"DDX27","ORF",2.632,227,160,112.775330396476
"MRPS5","ORF",3.479,225,158,110.951111111111
"BRCA2","ORF",2.27,168,136,110.095238095238
"PYHIN1","ORF",-3.309,216,154,109.796296296296
"MYO18A","ORF",-2.757,190,143,107.626315789474
"NCAPH","ORF",2.539,233,158,107.141630901288
"HSPA1L","ORF",-2.696,178,138,106.988764044944
"CEP250","ORF",2.407,205,148,106.848780487805
"NFKB1","ORF",-2.124,182,139,106.159340659341
"PPP6C","ORF",-2.156,190,142,106.126315789474
"NOC2L","ORF",2.473,210,149,105.719047619048
"EIF3L","ORF",-2.34,211,148,103.810426540284
"TRIM5","ORF",-2.015,220,151,103.640909090909
"NUP62","ORF",2.047,155,126,102.425806451613
"TBRG4","BOTH",2.222,223,151,102.2466367713
"UCHL5","ORF",2.168,200,143,102.245
"GLTSCR2","ORF",-2.829,208,145,101.081730769231
"MAP2K1","ORF",2.309,177,133,99.9378531073446
"CEP55","ORF",2.457,172,131,99.7732558139535
"HLA-B","ORF",-3.381,168,129,99.0535714285714
"FBXO42","ORF",2.43,148,121,98.9256756756757
"HLA-A","ORF",-3.531,219,147,98.6712328767123
"CHERP","ORF",2.172,188,136,98.3829787234043
"IKZF1","ORF",-1.996,172,130,98.2558139534884
"ADRB2","ORF",-2.098,183,131,93.775956284153
"CSNK1D","ORF",2.809,147,117,93.1224489795918
"TGM2","ORF",2.59,144,115,91.8402777777778
"SLC15A3","ORF",-2.072,157,120,91.7197452229299
"EPB41L5","ORF",2.011,187,130,90.3743315508021
"TPI1","NONE",3.553,196,132,88.8979591836735
"TRIP13","ORF",2.28,157,118,88.687898089172
"DYNC1I2","ORF",2.282,201,133,88.0049751243781
"UBE3C","ORF",2.524,151,115,87.5827814569536
"LDLR","ORF",3.387,165,120,87.2727272727273
"TPT1","ORF",-2.075,189,127,85.3386243386243
"CELF1","ORF",3.235,156,115,84.775641025641
"ARHGEF2","ORF",1.999,160,116,84.1
"MAPK8","ORF",2.267,130,104,83.2
"PDLIM7","ORF",2.187,160,115,82.65625
"CDC20","BOTH",2.142,152,112,82.5263157894737
"TXNDC5","ORF",-1.984,164,116,82.0487804878049
"TOMM40","ORF",2.966,197,125,79.3147208121827
"SLC2A1","ORF",2.439,185,121,79.1405405405405
"CA9","NON_ORF",3.293,129,101,79.077519379845
"CDK12","ORF",-2.419,151,109,78.682119205298
"GFPT1","ORF",2.046,125,99,78.408
"INPPL1","ORF",2.394,123,98,78.0813008130081
"TTK","ORF",1.974,129,100,77.5193798449613
"TCEB3","BOTH",2.228,163,112,76.9570552147239
"EPB41L4A","ORF",-2.025,92,84,76.695652173913
"CDC27","ORF",2.879,153,108,76.2352941176471
"POR","ORF",3.392,172,114,75.5581395348837
"PHIP","ORF",-2.005,130,99,75.3923076923077
"EPS15","ORF",-2.11,125,97,75.272
"TNPO3","ORF",2.249,133,100,75.187969924812
"RNF40","BOTH",3.452,161,110,75.1552795031056
"MRPL37","ORF",3.014,162,110,74.6913580246914
"ATF2","ORF",3.395,165,111,74.6727272727273
"DNAJC11","ORF",2.031,145,104,74.5931034482759
"GGH","ORF",2.097,120,94,73.6333333333333
"MBNL1","ORF",-3.041,140,101,72.8642857142857
"MNDA","ORF",-2.162,111,89,71.3603603603604
"ARHGAP21","ORF",-2.099,146,101,69.8698630136986
"KRT6A","ORF",2.587,99,83,69.5858585858586
"AGPS","ORF",2.716,128,94,69.03125
"PFDN5","NONE",-2.826,136,96,67.7647058823529
"RACGAP1","ORF",2.472,146,98,65.7808219178082
"GOT1","ORF",2.551,124,90,65.3225806451613
"PREB","ORF",2.493,136,94,64.9705882352941
"ERLIN1","NONE",3.017,117,87,64.6923076923077
"KIF2C","ORF",2.808,123,88,62.9593495934959
"MYCBP2","ORF",-2.44,127,89,62.3700787401575
"NCAPD3","ORF",2.509,117,85,61.7521367521367
"TOX4","ORF",-2.19,102,79,61.1862745098039
"AP1M1","ORF",2.404,113,83,60.9646017699115
"TAB2","ORF",-2.013,116,84,60.8275862068966
"SKI","ORF",4.208,107,80,59.8130841121495
"DHCR7","ORF",2.32,167,99,58.688622754491
"HMGA2","ORF",2.476,91,73,58.5604395604396
"FFAR1","ORF",2.786,102,77,58.1274509803922
"ATL3","ORF",2.272,117,82,57.4700854700855
"VSIG4","ORF",2.26,81,68,57.0864197530864
"GPI","NONE",2.934,133,87,56.9097744360902
"P2RY8","NONE",-3.021,77,66,56.5714285714286
"NFATC1","ORF",-2.123,87,70,56.3218390804598
"SH3BGRL","ORF",-2.022,95,73,56.0947368421053
"DLG1","ORF",1.975,117,81,56.0769230769231
"SNX1","NONE",-2.598,112,79,55.7232142857143
"HIVEP1","ORF",-2.295,99,74,55.3131313131313
"ERO1L","NONE",2.723,102,75,55.1470588235294
"JAK2","ORF",-3.095,72,63,55.125
"CCND2","ORF",-2.647,100,73,53.29
"ZC3H4","ORF",-2.777,100,73,53.29
"HIST1H2AE","ORF",-2.881,105,74,52.152380952381
"NT5DC2","ORF",2.488,94,70,52.1276595744681
"CDK5RAP2","ORF",-2.441,109,75,51.605504587156
"A2M","ORF",-2.127,82,65,51.5243902439024
"PSME2","ORF",-2.112,101,72,51.3267326732673
"BTK","ORF",-2.684,68,59,51.1911764705882
"USP47","ORF",-2.215,99,71,50.9191919191919
"OXSR1","ORF",2.699,89,67,50.438202247191
"SURF1","ORF",-2.916,121,78,50.2809917355372
"TMOD1","ORF",-2.671,87,66,50.0689655172414
"FNBP1","NONE",-3.511,90,67,49.8777777777778
"RAB11FIP5","ORF",2.146,119,77,49.8235294117647
"PBXIP1","ORF",-2.673,113,75,49.7787610619469
"PARN","ORF",-2.468,96,69,49.59375
"DIAPH3","ORF",1.977,95,68,48.6736842105263
"PSMB8","ORF",-2.651,79,62,48.6582278481013
"TNFSF13B","ORF",-3.68,60,54,48.6
"EIF3J","ORF",-2.765,98,69,48.5816326530612
"SKIV2L","ORF",2.513,85,64,48.1882352941176
"HAUS3","ORF",-1.976,75,60,48
"DNAJC15","NONE",-3.621,116,74,47.2068965517241
"HSF2BP","ORF",2.09,90,65,46.9444444444444
"C3","ORF",-2.233,77,60,46.7532467532468
"CD74","NONE",-3.624,99,68,46.7070707070707
"PUM2","ORF",-2.101,80,61,46.5125
"CDCA5","ORF",2.533,91,65,46.4285714285714
"EPS15L1","ORF",2.067,94,66,46.3404255319149
"PHF8","ORF",-2.178,106,70,46.2264150943396
"IQGAP3","ORF",2.097,86,63,46.1511627906977
"ANXA6","BOTH",2.857,74,58,45.4594594594595
"SATB1","ORF",-2.092,62,53,45.3064516129032
"EGR2","ORF",-2.455,60,52,45.0666666666667
"MAP4K1","ORF",-3.427,83,61,44.8313253012048
"MAPRE2","ORF",-2.194,86,62,44.6976744186046
"FAM46C","ORF",-2.925,95,65,44.4736842105263
"HK2","ORF",2.168,84,61,44.297619047619
"UBA6","BOTH",2.195,79,59,44.0632911392405
"RER1","ORF",1.969,118,72,43.9322033898305
"CFH","ORF",-2.142,69,55,43.8405797101449
"ITPR2","ORF",-2.702,97,65,43.5567010309278
"STAT5A","ORF",-3.655,53,48,43.4716981132076
"CD40","ORF",-1.961,75,57,43.32
"VARS2","ORF",2.767,89,62,43.1910112359551
"MERTK","ORF",2.909,85,60,42.3529411764706
"DDX19A","NONE",2.937,67,53,41.9253731343284
"IGBP1","NONE",-2.93,86,60,41.8604651162791
"TAP1","ORF",-2.737,93,62,41.3333333333333
"KIF15","ORF",1.982,68,53,41.3088235294118
"TPD52L2","NONE",4.722,109,67,41.1834862385321
"TRIOBP","ORF",-2.078,82,58,41.0243902439024
"TMEM9B","ORF",-2.364,66,52,40.969696969697
"PLEKHG4","ORF",2.096,74,55,40.8783783783784
"TRIO","ORF",2.024,69,53,40.7101449275362
"P2RY10","ORF",-3.053,48,44,40.3333333333333
"STX11","ORF",-2,73,54,39.945205479452
"STEAP3","BOTH",2.282,100,63,39.69
"IL7R","ORF",-2.52,88,59,39.5568181818182
"RBMX2","ORF",2.703,74,54,39.4054054054054
"IMP4","ORF",2.679,86,58,39.1162790697674
"S1PR4","ORF",-2.869,67,51,38.8208955223881
"KRT78","ORF",-2.168,62,49,38.7258064516129
"EIF3CL","NONE",2.588,87,58,38.6666666666667
"PIP5K1A","ORF",2.051,98,61,37.969387755102
"ZNF217","ORF",2.087,61,48,37.7704918032787
"DCAF12","ORF",-1.978,70,51,37.1571428571429
