"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"PARK2","NON_ORF",0.318,2431,1981,1614.29905388729
"RPA3","NON_ORF",2.941,2323,1889,1536.08308222127
"PLEKHA4","BOTH",-0.742,2282,1841,1485.22392638037
"MYC","BOTH",1.066,2331,1829,1435.10982410982
"KIAA1429","BOTH",1.329,1888,1616,1383.18644067797
"EGFR","BOTH",-1.331,2171,1721,1364.27498848457
"KRAS","BOTH",2.949,1971,1578,1263.36073059361
"CUL3","BOTH",-0.948,1917,1546,1246.80020865936
"TP53","BOTH",-1.98,1774,1451,1186.81003382187
"ESR1","BOTH",-2.693,1791,1428,1138.57286432161
"ESR2","NON_ORF",-1.683,1710,1350,1065.78947368421
"HSPA8","BOTH",0.505,1613,1302,1050.96342219467
"UBE2H","BOTH",0.588,1535,1189,920.990879478827
"RAF1","NON_ORF",2.725,1406,1133,913.007823613087
"ELAVL1","NON_ORF",3.641,1336,1088,886.035928143713
"ANLN","BOTH",2.008,1399,1111,882.288062902073
"KIF14","BOTH",4.507,1373,1078,846.383102694829
"CDC123","BOTH",2.934,1397,1087,845.790264853257
"STAU1","BOTH",-3.53,1238,1001,809.370759289176
"BRD4","NON_ORF",-1.746,1274,1015,808.653846153846
"TGOLN2","NON_ORF",-3.012,1142,930,757.355516637478
"EZH2","NON_ORF",4.183,1160,932,748.813793103448
"XPO1","NON_ORF",3.893,1148,925,745.317944250871
"APP","BOTH",0.186,1221,942,726.751842751843
"BIRC3","BOTH",-2.079,1048,868,718.916030534351
"EFTUD2","NON_ORF",2.839,1184,918,711.760135135135
"EP300","BOTH",1.474,1035,850,698.067632850242
"SERBP1","BOTH",0.658,1138,887,691.361159929701
"NR2C2","BOTH",0.483,1118,870,677.01252236136
"PARP1","BOTH",4.932,1043,839,674.900287631831
"CIT","BOTH",-0.378,1054,840,669.449715370019
"BRCA1","BOTH",1.547,941,792,666.59298618491
"TRIM28","ORF",2.03,1041,828,658.582132564841
"EGLN3","BOTH",-1.444,1017,807,640.362831858407
"RECQL4","ORF",2.713,1138,853,639.375219683655
"CFTR","BOTH",-0.248,990,794,636.80404040404
"DDX58","BOTH",-2.565,1012,800,632.411067193676
"TOP3B","BOTH",3.428,948,770,625.42194092827
"SQSTM1","BOTH",-1.073,935,763,622.64064171123
"MECP2","NON_ORF",0.256,970,773,616.009278350516
"YWHAG","NON_ORF",2.798,882,735,612.5
"YWHAZ","NON_ORF",4.387,890,733,603.695505617978
"YWHAH","NONE",3.238,816,687,578.393382352941
"HDAC1","NON_ORF",2.204,819,687,576.274725274725
"FBXW7","NON_ORF",-2.542,904,712,560.778761061947
"YAP1","NON_ORF",-0.705,837,674,542.743130227001
"TNIP1","NON_ORF",-5.269,935,710,539.144385026738
"AR","BOTH",-0.723,751,636,538.609853528628
"STIP1","NONE",2.737,817,663,538.028151774786
"CAPZB","NON_ORF",0.725,836,670,536.961722488038
"PHB","BOTH",2.485,923,699,529.361863488624
"COPS5","NON_ORF",4.728,821,656,524.16077953715
"LMBR1L","ORF",-4.803,753,626,520.419654714475
"YWHAB","NON_ORF",2.671,734,616,516.970027247956
"HUWE1","BOTH",-0.613,853,664,516.876905041032
"HECTD1","BOTH",-1.185,775,631,513.756129032258
"SMC5","BOTH",1.038,767,619,499.558018252933
"MCM2","BOTH",4.572,855,638,476.07485380117
"RHOG","BOTH",-3.163,712,578,469.219101123596
"KIF20A","NONE",3.364,763,597,467.115334207077
"ACTB","BOTH",-0.116,748,591,466.95320855615
"HDAC6","BOTH",-0.916,713,576,465.323983169705
"HNRNPU","BOTH",3.166,808,610,460.519801980198
"CSNK2A1","BOTH",1.771,667,553,458.484257871064
"OBSL1","ORF",0.23,700,564,454.422857142857
"MAPT","BOTH",0.887,696,561,452.185344827586
"HSP90AB1","ORF",3.795,730,573,449.765753424658
"KCNA3","ORF",-3.111,592,514,446.277027027027
"RAB7A","BOTH",0.13,683,552,446.125915080527
