"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"PARK2","NON_ORF",0.318,2431,1981,1614.29905388729
"PLEKHA4","BOTH",-0.742,2282,1841,1485.22392638037
"MYC","BOTH",1.066,2331,1829,1435.10982410982
"KIAA1429","BOTH",1.329,1888,1616,1383.18644067797
"EGFR","BOTH",-1.331,2171,1721,1364.27498848457
"CUL3","BOTH",-0.948,1917,1546,1246.80020865936
"ESR2","NON_ORF",-1.683,1710,1350,1065.78947368421
"HSPA8","BOTH",0.505,1613,1302,1050.96342219467
"UBE2H","BOTH",0.588,1535,1189,920.990879478827
"BRD4","NON_ORF",-1.746,1274,1015,808.653846153846
"APP","BOTH",0.186,1221,942,726.751842751843
"EP300","BOTH",1.474,1035,850,698.067632850242
"SERBP1","BOTH",0.658,1138,887,691.361159929701
"NR2C2","BOTH",0.483,1118,870,677.01252236136
"CIT","BOTH",-0.378,1054,840,669.449715370019
"BRCA1","BOTH",1.547,941,792,666.59298618491
"EGLN3","BOTH",-1.444,1017,807,640.362831858407
"CFTR","BOTH",-0.248,990,794,636.80404040404
"SQSTM1","BOTH",-1.073,935,763,622.64064171123
"MECP2","NON_ORF",0.256,970,773,616.009278350516
"YAP1","NON_ORF",-0.705,837,674,542.743130227001
"AR","BOTH",-0.723,751,636,538.609853528628
"CAPZB","NON_ORF",0.725,836,670,536.961722488038
"HUWE1","BOTH",-0.613,853,664,516.876905041032
"HECTD1","BOTH",-1.185,775,631,513.756129032258
"SMC5","BOTH",1.038,767,619,499.558018252933
"ACTB","BOTH",-0.116,748,591,466.95320855615
"HDAC6","BOTH",-0.916,713,576,465.323983169705
"CSNK2A1","BOTH",1.771,667,553,458.484257871064
"OBSL1","ORF",0.23,700,564,454.422857142857
"MAPT","BOTH",0.887,696,561,452.185344827586
"RAB7A","BOTH",0.13,683,552,446.125915080527
"OGT","BOTH",1.06,737,570,440.841248303935
"GSK3B","NON_ORF",1.357,622,519,433.056270096463
"CUL4A","BOTH",-0.766,627,521,432.920255183413
"CUL7","BOTH",1.332,665,528,419.224060150376
"HSPD1","ORF",1.58,775,567,414.824516129032
"CYLD","BOTH",-1.682,671,524,409.204172876304
"WWP2","BOTH",-0.933,649,515,408.66718027735
"CAV1","NON_ORF",1.409,551,471,402.615245009074
"DOT1L","BOTH",1.038,655,509,395.543511450382
"ZC3H18","BOTH",0.992,714,528,390.453781512605
"RICTOR","BOTH",-1.229,609,484,384.656814449918
"RHOJ","BOTH",-0.17,476,421,372.355042016807
"LYN","BOTH",1.374,518,436,366.980694980695
"TOP1","BOTH",-0.769,548,446,362.985401459854
"SNCA","NON_ORF",-1.398,540,442,361.785185185185
"BTRC","BOTH",-1.469,580,457,360.084482758621
"EWSR1","BOTH",1.889,606,463,353.744224422442
"PRPF8","NON_ORF",0.98,625,468,350.4384
"RPL4","ORF",1.13,603,458,347.867330016584
"SUZ12","BOTH",1.161,505,401,318.417821782178
"PPP1CA","ORF",1.104,504,398,314.293650793651
"CLTC","BOTH",0.927,534,407,310.204119850187
"RC3H2","BOTH",-1.032,552,413,309.001811594203
"PABPC1","ORF",1.332,547,409,305.815356489945
"EZR","BOTH",1.391,427,357,298.475409836066
"RHOH","BOTH",-1.001,393,342,297.618320610687
"CLEC16A","BOTH",-0.21,487,380,296.509240246407
"DHX9","BOTH",0.946,505,386,295.041584158416
"IQGAP1","BOTH",1.902,448,361,290.895089285714
"GOLGA2","BOTH",-1.511,506,382,288.387351778656
"WWOX","NON_ORF",-1.66,491,376,287.93482688391
"RPL10","ORF",-1.122,588,407,281.715986394558
"RCOR1","NON_ORF",0.508,401,334,278.194513715711
"FBXW11","BOTH",-0.627,356,307,264.744382022472
"EEF2","ORF",0.1,440,341,264.275
"RND2","ORF",-1.505,348,301,260.347701149425
"ZC3HAV1","NON_ORF",-0.332,523,369,260.346080305927
"ARHGAP24","BOTH",-0.716,349,301,259.601719197708
"TP53BP1","BOTH",1.63,405,324,259.2
"SMURF1","NON_ORF",0.496,374,310,256.951871657754
"TRAF2","BOTH",0.371,394,317,255.048223350254
"DYNC1H1","BOTH",1.544,403,320,254.09429280397
"RNF123","BOTH",-1.133,413,323,252.612590799031
"MCAM","ORF",-0.641,343,294,252
"CREBBP","BOTH",-1.191,377,307,249.997347480106
"ITFG1","BOTH",-0.615,449,335,249.944320712695
"IGF1R","BOTH",1.383,358,298,248.055865921788
"DDX3X","BOTH",0.972,506,354,247.660079051383
"HADHA","BOTH",0.18,451,333,245.873614190687
"SPPL3","BOTH",-0.847,414,319,245.799516908213
"CBL","BOTH",1.785,367,300,245.231607629428
"RELA","BOTH",0.49,334,286,244.898203592814
"POLR2A","ORF",-1.23,393,310,244.529262086514
"UNK","BOTH",-0.416,344,288,241.116279069767
"LRRK2","BOTH",-0.638,369,298,240.661246612466
"RNF43","BOTH",-1.231,333,283,240.507507507508
"USP15","NON_ORF",-1.6,406,311,238.229064039409
"MAP1B","BOTH",1.74,406,311,238.229064039409
"AKAP1","BOTH",1.635,381,301,237.797900262467
"LNX1","ORF",0.689,365,294,236.81095890411
"ACTG1","BOTH",0.2,384,300,234.375
"PSPC1","NON_ORF",-1.2,395,304,233.964556962025
"GBF1","BOTH",-1.91,353,287,233.339943342776
"CDK7","BOTH",0.832,383,296,228.762402088773
"CUL5","BOTH",-0.138,397,301,228.214105793451
"MTDH","BOTH",0.738,369,287,223.222222222222
"USP9X","BOTH",-0.85,333,272,222.174174174174
"NEDD4","BOTH",0.129,327,269,221.2874617737
"PDIA3","BOTH",-0.363,374,287,220.237967914438
"HDAC4","BOTH",1.939,319,265,220.141065830721
"WWTR1","NON_ORF",-1.466,297,254,217.225589225589
"LARP1","NON_ORF",0.161,401,295,217.019950124688
"IGF2BP3","BOTH",1.709,444,310,216.441441441441
"PSMD1","NON_ORF",-0.229,356,277,215.530898876404
"HERC2","BOTH",0.604,353,275,214.235127478754
"PDIA4","BOTH",1.02,382,286,214.125654450262
"DISC1","BOTH",-0.036,292,250,214.041095890411
"RBM14","BOTH",1.657,421,300,213.776722090261
"DPP4","NON_ORF",0.041,337,268,213.127596439169
"CXADR","BOTH",1.403,298,249,208.057046979866
"SMARCA5","BOTH",1.775,335,264,208.04776119403
"NINL","NON_ORF",-0.958,348,269,207.933908045977
"DSP","BOTH",-1.57,339,264,205.592920353982
"NTRK3","BOTH",0.96,272,236,204.764705882353
"TMPRSS11B","BOTH",-1.258,314,253,203.850318471338
"THRAP3","BOTH",-0.574,359,270,203.064066852368
"GLDC","BOTH",0.939,256,226,199.515625
"PSMC3","ORF",1.287,329,256,199.197568389058
"PRPF40A","ORF",0.712,319,251,197.495297805643
"SF3B1","BOTH",-1.462,434,292,196.460829493088
"RB1","BOTH",-1.875,270,230,195.925925925926
"UNC93B1","BOTH",-0.638,330,254,195.50303030303
"UBE3A","BOTH",0.635,307,244,193.928338762215
"FXR2","ORF",-1.491,339,255,191.814159292035
"TRIM14","ORF",-0.518,305,241,190.429508196721
"PHLPP1","NON_ORF",-1.681,242,213,187.47520661157
"SF3B3","BOTH",1.341,413,278,187.128329297821
"IMMP2L","BOTH",-0.519,313,242,187.105431309904
"STAT3","BOTH",0,283,230,186.925795053004
"GRM2","ORF",0.067,295,234,185.613559322034
"NIN","BOTH",1.139,290,232,185.6
"ATM","BOTH",-1.411,254,217,185.389763779528
"CCDC47","BOTH",-0.189,372,261,183.120967741935
"DNAJC1","BOTH",-1.561,295,232,182.454237288136
"ATXN1","BOTH",0.583,306,236,182.013071895425
"MLLT4","BOTH",0.455,253,214,181.01185770751
"NOP2","BOTH",1.661,338,246,179.041420118343
"ITCH","NON_ORF",0.631,261,216,178.758620689655
"KPNA1","BOTH",0.532,279,223,178.240143369176
"MECOM","BOTH",1.008,277,222,177.920577617329
"RLIM","ORF",-0.831,293,228,177.419795221843
"FAF1","NON_ORF",0.163,264,216,176.727272727273
"ATG7","NON_ORF",1.445,305,232,176.472131147541
"PDZD8","BOTH",0.767,330,241,176.00303030303
"ST7","BOTH",-0.316,278,221,175.687050359712
"SPTBN1","BOTH",1.31,329,240,175.075987841945
"GANAB","BOTH",-0.506,313,233,173.447284345048
"SMARCC2","BOTH",-0.495,267,215,173.12734082397
"SIN3A","BOTH",0.007,260,212,172.861538461538
"SMG7","BOTH",1.721,277,218,171.56678700361
"NCOR1","BOTH",-0.513,262,212,171.541984732824
"PDGFRA","BOTH",-0.986,225,196,170.737777777778
"APC","BOTH",-1.589,271,215,170.571955719557
"MTOR","BOTH",-1.347,274,216,170.277372262774
"HTT","BOTH",0.235,268,213,169.287313432836
"KIAA0368","BOTH",0.496,252,206,168.396825396825
"HIST1H1B","BOTH",-0.546,307,227,167.846905537459
"PARD3","BOTH",1.312,241,200,165.97510373444
"MAPK3","BOTH",1.405,256,205,164.16015625
"MAP4","BOTH",1.295,250,202,163.216
"BRD1","BOTH",1.788,278,213,163.197841726619
"CPSF7","BOTH",1.664,266,208,162.646616541353
"YES1","BOTH",1.513,286,215,161.625874125874
"EIF3A","BOTH",0.914,281,213,161.455516014235
"CCND1","BOTH",-0.851,217,187,161.147465437788
"MYH10","BOTH",-1.189,295,218,161.098305084746
"OFD1","BOTH",-0.393,279,212,161.089605734767
"INSR","BOTH",-0.928,239,195,159.100418410042
"ATAD3A","ORF",1.595,296,217,159.084459459459
"PPARG","NON_ORF",-0.989,214,184,158.205607476636
"ATXN2","NON_ORF",0.335,226,189,158.057522123894
"RPTOR","BOTH",0.44,263,203,156.688212927757
"RUNX1","BOTH",-0.595,226,188,156.389380530973
"AP2B1","BOTH",-1.659,277,208,156.187725631769
"TMPRSS4","BOTH",-1.706,234,191,155.901709401709
"CKAP5","BOTH",1.016,242,194,155.520661157025
"TRIM5","NON_ORF",0.873,281,209,155.448398576512
"FLNB","BOTH",-0.932,255,199,155.298039215686
"FBXO42","BOTH",0.626,207,178,153.062801932367
"CRK","BOTH",-0.93,260,199,152.311538461538
"HECW2","BOTH",0.195,225,185,152.111111111111
"FGFR3","BOTH",1.245,240,191,152.004166666667
"SH3KBP1","BOTH",-1.955,233,188,151.690987124464
"ROR2","BOTH",-1.539,263,199,150.574144486692
"SRP72","ORF",0.236,282,206,150.482269503546
