"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"YWHAH","NONE",3.238,816,687,578.393382352941
"STIP1","NONE",2.737,817,663,538.028151774786
"KIF20A","NONE",3.364,763,597,467.115334207077
"PRMT1","NONE",3.549,733,565,435.504774897681
"TMPO","NONE",4.152,628,489,380.765923566879
"RAC2","NONE",3.297,499,422,356.881763527054
"FBXO6","NONE",2.891,523,427,348.621414913958
"PINK1","NONE",-4.335,531,416,325.905838041431
"CCT2","NONE",4.124,500,391,305.762
"RPLP0","NONE",3.31,515,391,296.856310679612
"TUFM","NONE",2.596,559,405,293.425760286225
"SHMT2","NONE",2.63,475,370,288.210526315789
"CCT6A","NONE",3.148,451,352,274.731707317073
"MAPRE1","NONE",3.073,394,329,274.723350253807
"PFN1","NONE",3.946,405,331,270.520987654321
"C1QBP","NONE",3.265,629,410,267.24960254372
"RPS3A","NONE",3.476,522,372,265.103448275862
"KPNA2","NONE",3.85,404,324,259.841584158416
"SRSF1","NONE",3.429,461,344,256.694143167028
"CLPP","NONE",3.248,453,331,241.85651214128
"PRMT5","NONE",3.577,368,298,241.315217391304
"ATP5B","NONE",3.492,478,334,233.380753138075
"DLD","NONE",2.894,400,304,231.04
"GPR182","NONE",-3.953,339,278,227.976401179941
"E2F4","NONE",-2.738,387,295,224.870801033592
"JUN","NONE",-3.868,311,261,219.038585209003
"RAN","NONE",3.285,364,281,216.925824175824
"ZNF598","NONE",2.965,364,281,216.925824175824
"RBM8A","NONE",4.672,355,275,213.028169014085
"EIF4A3","NONE",3.511,412,295,211.22572815534
"ATG9A","NONE",-2.87,318,258,209.320754716981
"RPS4X","NONE",-3.198,399,279,195.09022556391
"H2AFZ","NONE",5.091,291,233,186.560137457045
"TBRG4","NONE",3.727,333,243,177.324324324324
"CDKN1A","NONE",-3.492,265,209,164.833962264151
"SNRPD3","NONE",3.369,296,220,163.513513513514
"PIN1","NONE",3.184,275,211,161.894545454545
"RAB3B","NONE",-2.867,229,192,160.978165938865
"CACYBP","NONE",4.526,214,182,154.785046728972
"POLR2C","NONE",-2.875,267,203,154.340823970037
"ICT1","NONE",4.032,327,224,153.443425076453
"ASF1A","NONE",3.187,212,180,152.830188679245
"LGALS1","NONE",4.561,222,183,150.851351351351
"COX8A","NONE",4.224,269,201,150.189591078067
"TXN","NONE",3.688,262,197,148.125954198473
"RAD21","NONE",3.22,281,204,148.099644128114
"PPIB","NONE",2.697,268,197,144.809701492537
"PAGE4","NONE",2.595,221,176,140.162895927602
"MRPS34","NONE",3.524,279,195,136.290322580645
"ATP6AP2","NONE",3.478,234,178,135.401709401709
"RRS1","NONE",5.039,276,193,134.960144927536
"DYNLT1","NONE",-3.257,195,162,134.584615384615
"FURIN","NONE",-3.322,194,161,133.613402061856
