"from","to"
"YWHAH","ZFP36"
"KLC3","YWHAH"
"RAF1","YWHAH"
"ARHGEF2","YWHAH"
"DOCK7","YWHAH"
"CYFIP1","YWHAH"
"TUBG1","YWHAH"
"CCDC88A","YWHAH"
"EXO1","YWHAH"
"HNRNPK","YWHAH"
"PAK2","YWHAH"
"DTL","YWHAH"
"YWHAB","YWHAH"
"YWHAG","YWHAH"
"YWHAH","YWHAZ"
"RAE1","YWHAH"
"RUSC2","YWHAH"
"SRRM2","YWHAH"
"FBXO45","YWHAH"
"NF1","YWHAH"
"IARS2","YWHAH"
"PHF3","YWHAH"
"N4BP3","YWHAH"
"SHCBP1","YWHAH"
"CBX4","YWHAH"
"TBC1D1","YWHAH"
"USP8","YWHAH"
"SORBS1","YWHAH"
"KSR1","YWHAH"
"TSC1","YWHAH"
"CHEK1","YWHAH"
"COBLL1","YWHAH"
"KIAA1804","YWHAH"
"USP21","YWHAH"
"YWHAH","ZAK"
"USP12","YWHAH"
"FOXO3","YWHAH"
"DENND4C","YWHAH"
"KIF21B","YWHAH"
"MAP2K1","YWHAH"
"MAST2","YWHAH"
"PPP1R12A","YWHAH"
"HERC1","YWHAH"
"CEP170","YWHAH"
"RALGPS2","YWHAH"
"RACGAP1","YWHAH"
"RNPEP","YWHAH"
"CRTC3","YWHAH"
"KIF2A","YWHAH"
"RNF115","YWHAH"
"POLA2","YWHAH"
"CDC37","YWHAH"
"LIMA1","YWHAH"
"PFDN2","YWHAH"
"BRCC3","YWHAH"
"DNMT1","YWHAH"
"IPO9","YWHAH"
"IRS4","YWHAH"
"IVNS1ABP","YWHAH"
"RANBP3","YWHAH"
"RASSF7","YWHAH"
"KIAA1598","YWHAH"
"SRRM1","YWHAH"
"SYDE1","YWHAH"
"WDR26","YWHAH"
"GSK3A","YWHAH"
"PKP2","YWHAH"
"MINK1","YWHAH"
"VIM","YWHAH"
"TESK2","YWHAH"
"ANLN","YWHAH"
"CDKN2A","YWHAH"
"CTNND1","YWHAH"
"DBNL","YWHAH"
"DDX1","YWHAH"
"DEPDC1B","YWHAH"
"DNAJB6","YWHAH"
"ECT2","YWHAH"
"EIF4G1","YWHAH"
"KDM3B","YWHAH"
"MAD1L1","YWHAH"
"MAP7","YWHAH"
"NUP62","YWHAH"
"PCM1","YWHAH"
"REEP2","YWHAH"
"SH3RF3","YWHAH"
"SPAST","YWHAH"
"YTHDF2","YWHAH"
"TTK","YWHAH"
"PJA2","YWHAH"
"AFTPH","YWHAH"
