"from","to"
"MCM2","RPA3"
"RPA3","RPA3"
"PRIM1","RPA3"
"RPA3","UBXN1"
"RAD51","RPA3"
"AARSD1","RPA3"
"ARPC5","RPA3"
"PARP1","RPA3"
"RPA3","SMARCAL1"
"LIG3","RPA3"
"RPA3","TOP3A"
"ATR","RPA3"
"PRKDC","RPA3"
"DNA2","RPA3"
"RPA3","XRN2"
"GTF2I","RPA3"
"RPA3","SFPQ"
"RMI1","RPA3"
"RPA3","XRCC5"
"MSH2","RPA3"
"RFC5","RPA3"
"NPM1","RPA3"
"FLNA","RPA3"
"EIF2S1","RPA3"
"NUDT21","RPA3"
"HNRNPAB","RPA3"
"KCNAB2","RPA3"
"RPA3","YTHDF3"
"ELAVL1","RPA3"
"CUL1","RPA3"
"FUBP3","RPA3"
"HNRNPU","RPA3"
"PTBP1","RPA3"
"RAB13","RPA3"
"ANXA2","RPA3"
"RPA3","YTHDF2"
"CELF1","RPA3"
"DHX15","RPA3"
"ATRIP","RPA3"
"DDX5","RPA3"
"PRPF6","RPA3"
"RPA3","TUBB"
"HNRNPK","RPA3"
"LDHA","RPA3"
"EFTUD2","RPA3"
"ILF3","RPA3"
"MNAT1","RPA3"
"BCAS2","RPA3"
"MDC1","RPA3"
"RPA3","RPL19"
"RPA3","RPL9"
"RPA3","TMEM33"
"MYO1C","RPA3"
"RPA3","TOP2B"
"INTS3","RPA3"
"RPA3","THOC2"
"RAD50","RPA3"
"KIAA0196","RPA3"
"RPA3","TRIM28"
"ARHGEF2","RPA3"
"HNRNPR","RPA3"
"ALPP","RPA3"
"RPA3","RPL6"
"LIMA1","RPA3"
"ILF2","RPA3"
"RPA3","THOC6"
"MRE11A","RPA3"
"RPA3","TOP2A"
"DDX23","RPA3"
"RPA3","SCAMP3"
"ADD1","RPA3"
"CAPRIN1","RPA3"
"NBN","RPA3"
"POLA1","RPA3"
"RPA3","TPX2"
"POLR2E","RPA3"
"COBL","RPA3"
"CPSF1","RPA3"
"CTTN","RPA3"
"DDB1","RPA3"
"DDX1","RPA3"
"CHERP","RPA3"
"EPRS","RPA3"
"EXOSC8","RPA3"
"MYO1F","RPA3"
"PPP1R12A","RPA3"
"RBM10","RPA3"
"RPA3","RPL18"
"RPA3","RTN4"
"RPA3","RUVBL2"
"RPA3","ZUFSP"
"RPA3","TAF2"
"RPA3","TIPIN"
"RPA3","TRA2B"
"RPA3","UBA2"
"GINS4","RPA3"
"RPA3","SSBP1"
"DDX51","RPA3"
"CAPZA2","RPA3"
"RPA3","VPS35"
"NUDCD1","RPA3"
"EXOC6B","RPA3"
"DYNC1LI1","RPA3"
"RPA3","TXNL1"
"BRIP1","RPA3"
"DDX42","RPA3"
"NUP153","RPA3"
"HDLBP","RPA3"
"RPA3","TCF25"
"PDCL3","RPA3"
"PFDN2","RPA3"
"ADNP","RPA3"
"PDCD11","RPA3"
"AHCTF1","RPA3"
"GATAD2B","RPA3"
"PLCB3","RPA3"
"NUP50","RPA3"
"DHX29","RPA3"
"RPA3","RPF2"
"PSMD4","RPA3"
"RPA3","TOPBP1"
"RPA3","SAFB"
"RPA3","TP53"
"GPATCH4","RPA3"
"RPA3","TJP1"
"HAUS6","RPA3"
"BRAP","RPA3"
"RPA3","SAFB2"
"NKRF","RPA3"
"RBBP4","RPA3"
"CDC73","RPA3"
"KRI1","RPA3"
"PAK2","RPA3"
"CCNB1","RPA3"
"HN1","RPA3"
"DNTTIP2","RPA3"
"CBX3","RPA3"
"RPA3","WDR46"
"RPA3","SMG1"
"RPA3","ZNF281"
"MTUS1","RPA3"
"MRPS17","RPA3"
"PRCC","RPA3"
"RPA3","STAU2"
"MRPL4","RPA3"
"AKAP9","RPA3"
"PRMT7","RPA3"
"RPA3","TTK"
"RPA3","TPD52L2"
"CSDE1","RPA3"
"RPA3","ZNF622"
"FANCD2","RPA3"
"RPA3","TES"
"ANLN","RPA3"
"EBNA1BP2","RPA3"
"CTR9","RPA3"
"RPA3","RPS6KA1"
"POLR3A","RPA3"
"KIF4A","RPA3"
"RPA3","SLU7"
"MTR","RPA3"
"NR3C1","RPA3"
"RPA3","SMARCAD1"
"FIGNL1","RPA3"
"BUB1","RPA3"
"RPA3","TMOD3"
"DDX41","RPA3"
"NEDD1","RPA3"
"CKAP2","RPA3"
"MINPP1","RPA3"
"MASTL","RPA3"
"KIF2A","RPA3"
"MAP1S","RPA3"
"EXOC2","RPA3"
"RPA3","TMED5"
"BRCC3","RPA3"
"IGBP1","RPA3"
"PDCD2L","RPA3"
"PCNT","RPA3"
"PRMT3","RPA3"
"CNN2","RPA3"
"RPA3","TMEM209"
"RPA3","TTC1"
"RPA3","WAC"
"GDPD1","RPA3"
"ARFGEF1","RPA3"
"MACROD1","RPA3"
"MORC2","RPA3"
"CENPF","RPA3"
"RHOG","RPA3"
"CDC123","RPA3"
"DDX55","RPA3"
"ANAPC7","RPA3"
"HELLS","RPA3"
"RPA3","TSC1"
"RPA3","SOAT1"
"DNAJC17","RPA3"
"EXOC1","RPA3"
"RBL1","RPA3"
"FBXO30","RPA3"
"MRPL19","RPA3"
"DCAF13","RPA3"
"EEF1D","RPA3"
"RPA3","TMEM97"
"BUB1B","RPA3"
"RPA3","TAF6"
"KIFC1","RPA3"
"ESPL1","RPA3"
"CAST","RPA3"
"ATP6V1C1","RPA3"
"CHAF1A","RPA3"
"GTF3C3","RPA3"
"QSER1","RPA3"
"RBM28","RPA3"
"ARFGAP3","RPA3"
"LEMD2","RPA3"
"MSTO1","RPA3"
"RPA3","SPNS1"
"ARNT","RPA3"
"PKN1","RPA3"
"LMAN2L","RPA3"
"RPA3","SCYL1"
"FLAD1","RPA3"
"MRPS30","RPA3"
"NSUN5","RPA3"
"CCDC132","RPA3"
"RPA3","TPT1"
"RPA3","WBSCR22"
"NVL","RPA3"
"RINT1","RPA3"
"RBPJ","RPA3"
"RPA3","UBR5"
"NFIB","RPA3"
"GNPAT","RPA3"
"RPA3","UTP3"
"RPA3","SH3GL1"
"ATP13A1","RPA3"
"DBNL","RPA3"
"NUPL2","RPA3"
"HSPA14","RPA3"
"PKP2","RPA3"
"RPA3","TFB2M"
"DHX8","RPA3"
"RPA3","TBC1D9B"
"HTATSF1","RPA3"
"CASP2","RPA3"
"RBM34","RPA3"
"RPA3","SLC27A4"
"CTNND1","RPA3"
"LASP1","RPA3"
"CCDC124","RPA3"
"REPIN1","RPA3"
"PBK","RPA3"
"ALG9","RPA3"
"GINS1","RPA3"
"LPGAT1","RPA3"
"RPA3","SMCHD1"
"PUS7","RPA3"
"GTF3C1","RPA3"
"NOP56","RPA3"
"CCT5","RPA3"
"GTPBP4","RPA3"
"RAB3GAP2","RPA3"
"HIST1H1C","RPA3"
"DKC1","RPA3"
"MYBBP1A","RPA3"
"RBBP7","RPA3"
"RPA3","VIM"
"NUP214","RPA3"
"BRI3BP","RPA3"
"DDX21","RPA3"
"DDX18","RPA3"
"RPA3","RRP12"
"DRG1","RPA3"
"HIST1H1E","RPA3"
"RPA3","SMARCA4"
"MCM3","RPA3"
"RPA3","RRP1B"
"RPA3","USP39"
"RPA3","TBC1D15"
"HAT1","RPA3"
"MCM4","RPA3"
"POLD1","RPA3"
"MCM5","RPA3"
"MSH6","RPA3"
"RPA3","RRM2"
"NOC3L","RPA3"
"PSMD3","RPA3"
"KCTD3","RPA3"
"PES1","RPA3"
"DHX16","RPA3"
"OCRL","RPA3"
"RPA3","UTP6"
"RPA3","SEC62"
"HEATR1","RPA3"
"PRKCA","RPA3"
"ANKFY1","RPA3"
"ADSS","RPA3"
"RPA3","SCYL2"
"CAD","RPA3"
"IRS4","RPA3"
"BMS1","RPA3"
"FARSA","RPA3"
"ATPAF1","RPA3"
"PRIM2","RPA3"
"COX6C","RPA3"
"AP1M1","RPA3"
"RPA3","SUB1"
"RPA3","RPS27"
"AGPS","RPA3"
"NOC2L","RPA3"
"KIF11","RPA3"
"NAA15","RPA3"
"RPA3","TIPRL"
"GOT2","RPA3"
"MGST3","RPA3"
"RPA3","TRMT1"
"PSMC5","RPA3"
"RPA3","TROVE2"
"AFG3L2","RPA3"
"EIF2A","RPA3"
"CSTF3","RPA3"
"CNDP2","RPA3"
"NUDT19","RPA3"
"RPA3","SNRPD1"
"ABCF2","RPA3"
"CHAF1B","RPA3"
"RPA3","UTP15"
"RPA3","TBL3"
"PWP2","RPA3"
"BLMH","RPA3"
"NOL11","RPA3"
"FEN1","RPA3"
"ASCC3","RPA3"
"MSN","RPA3"
"RPA3","UBE2M"
"RPA3","SLC16A1"
"PFKP","RPA3"
"DAK","RPA3"
"RPA3","RPS18"
"BCCIP","RPA3"
"PSME3","RPA3"
"CYFIP1","RPA3"
"PARN","RPA3"
"NUP93","RPA3"
"RPA3","RPL27"
"BZW1","RPA3"
"ELAC2","RPA3"
"MCM7","RPA3"
"POLR3C","RPA3"
"KPNA4","RPA3"
"RPA3","ZNF185"
"PKN2","RPA3"
"ACLY","RPA3"
"EML4","RPA3"
"RPA3","USP14"
"ABCE1","RPA3"
"RPA3","XPO5"
"RPA3","RPAP3"
"RPA3","TRIM33"
"NAA25","RPA3"
"GSPT1","RPA3"
"MRPS35","RPA3"
"ARPC1B","RPA3"
"NUP205","RPA3"
"RPA3","WDR43"
"RPA3","TARS"
"FARSB","RPA3"
"EBP","RPA3"
"PPP1CB","RPA3"
"RECQL","RPA3"
"CPNE3","RPA3"
"DHX30","RPA3"
"MDH1","RPA3"
"RNPEP","RPA3"
"GART","RPA3"
"RPA3","SNX27"
"PUS1","RPA3"
"HIGD1A","RPA3"
"HEXA","RPA3"
"CCT3","RPA3"
"BZW2","RPA3"
"RPA3","TSN"
"NDUFA13","RPA3"
"MCM6","RPA3"
"GCN1L1","RPA3"
"EIF3B","RPA3"
"DCUN1D5","RPA3"
"RPA3","SRRM2"
"EEF1E1","RPA3"
"EIF4G2","RPA3"
"CAPNS1","RPA3"
"RPA3","VARS"
"RPA3","SLC25A13"
"DRG2","RPA3"
"NPEPPS","RPA3"
"RPA3","ZMPSTE24"
"GFM1","RPA3"
"CUL4B","RPA3"
"CPSF3","RPA3"
"AIMP2","RPA3"
"RPA3","VPS45"
"PTRH2","RPA3"
"RPA3","ZC3H11A"
"FDPS","RPA3"
"LMAN1","RPA3"
"CHML","RPA3"
"PSMD11","RPA3"
"IARS2","RPA3"
"RPA3","UBA1"
"PSMD8","RPA3"
"EIF4A2","RPA3"
"ATIC","RPA3"
"CYC1","RPA3"
"FANCI","RPA3"
"RCC2","RPA3"
"RPA3","SLC25A5"
"RPA3","SMS"
"RPA3","SLC25A3"
"ACOT7","RPA3"
"PRPF31","RPA3"
"DHCR24","RPA3"
"RPA3","WDR18"
"PSMB1","RPA3"
"GBE1","RPA3"
"ARPC3","RPA3"
"RPA3","XPO1"
"CDK1","RPA3"
"RPA3","SMAP1"
"PRDX6","RPA3"
"MTX1","RPA3"
"MAT2A","RPA3"
"PSMD14","RPA3"
"NUP160","RPA3"
"COPG2","RPA3"
"RPA3","TXNRD1"
"NUP210","RPA3"
"HSPBP1","RPA3"
"PREP","RPA3"
"ATP2A2","RPA3"
