"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"RPA3","NON_ORF",2.941,2323,1889,1536.08308222127
"KRAS","BOTH",2.949,1971,1578,1263.36073059361
"TP53","BOTH",-1.98,1774,1451,1186.81003382187
"ESR1","BOTH",-2.693,1791,1428,1138.57286432161
"RAF1","NON_ORF",2.725,1406,1133,913.007823613087
"ELAVL1","NON_ORF",3.641,1336,1088,886.035928143713
"ANLN","BOTH",2.008,1399,1111,882.288062902073
"KIF14","BOTH",4.507,1373,1078,846.383102694829
"CDC123","BOTH",2.934,1397,1087,845.790264853257
"STAU1","BOTH",-3.53,1238,1001,809.370759289176
"TGOLN2","NON_ORF",-3.012,1142,930,757.355516637478
"EZH2","NON_ORF",4.183,1160,932,748.813793103448
"XPO1","NON_ORF",3.893,1148,925,745.317944250871
"BIRC3","BOTH",-2.079,1048,868,718.916030534351
"EFTUD2","NON_ORF",2.839,1184,918,711.760135135135
"PARP1","BOTH",4.932,1043,839,674.900287631831
"TRIM28","ORF",2.03,1041,828,658.582132564841
"RECQL4","ORF",2.713,1138,853,639.375219683655
"DDX58","BOTH",-2.565,1012,800,632.411067193676
"TOP3B","BOTH",3.428,948,770,625.42194092827
"YWHAG","NON_ORF",2.798,882,735,612.5
"YWHAZ","NON_ORF",4.387,890,733,603.695505617978
"YWHAH","NONE",3.238,816,687,578.393382352941
"HDAC1","NON_ORF",2.204,819,687,576.274725274725
"FBXW7","NON_ORF",-2.542,904,712,560.778761061947
"TNIP1","NON_ORF",-5.269,935,710,539.144385026738
"STIP1","NONE",2.737,817,663,538.028151774786
"PHB","BOTH",2.485,923,699,529.361863488624
"COPS5","NON_ORF",4.728,821,656,524.16077953715
"LMBR1L","ORF",-4.803,753,626,520.419654714475
"YWHAB","NON_ORF",2.671,734,616,516.970027247956
"MCM2","BOTH",4.572,855,638,476.07485380117
"RHOG","BOTH",-3.163,712,578,469.219101123596
"KIF20A","NONE",3.364,763,597,467.115334207077
"HNRNPU","BOTH",3.166,808,610,460.519801980198
"HSP90AB1","ORF",3.795,730,573,449.765753424658
"KCNA3","ORF",-3.111,592,514,446.277027027027
"PRMT1","NONE",3.549,733,565,435.504774897681
"NR3C1","BOTH",-5.001,660,534,432.054545454545
"CDH1","BOTH",-2.06,562,479,408.258007117438
"ILF3","BOTH",3.143,720,541,406.501388888889
"HDLBP","BOTH",-3.485,659,515,402.465857359636
"LRRC59","NON_ORF",2.625,655,512,400.219847328244
"ECT2","NON_ORF",2.405,674,519,399.645400593472
"CAND1","BOTH",2.805,708,530,396.751412429379
"FANCD2","BOTH",2.258,662,511,394.442598187311
"CUL1","BOTH",3.131,656,502,384.15243902439
"TMPO","NONE",4.152,628,489,380.765923566879
"IFI16","BOTH",5.145,586,469,375.360068259386
"CHD3","BOTH",-2.143,607,473,368.58154859967
"NCL","BOTH",4.176,628,480,366.87898089172
"FN1","BOTH",2.973,627,478,364.408293460925
"NRAS","BOTH",2.075,499,426,363.679358717435
"CUL4B","BOTH",2.924,556,447,359.368705035971
"RAC2","NONE",3.297,499,422,356.881763527054
"PTEN","NON_ORF",2.753,547,437,349.120658135283
"FBXO6","NONE",2.891,523,427,348.621414913958
"TRRAP","BOTH",5.825,560,441,347.2875
"UBE2M","ORF",2.596,539,432,346.241187384045
"CIC","ORF",-3.001,547,434,344.343692870201
"GRB2","BOTH",-2.757,509,418,343.269155206287
"LRPPRC","NON_ORF",2.364,672,479,341.43005952381
"SSRP1","NON_ORF",2.75,557,436,341.285457809695
"AURKA","NON_ORF",4.109,533,422,334.116322701689
"ERBB2","BOTH",2.177,480,399,331.66875
"HIST2H2BE","BOTH",2.369,500,407,331.298
"VIM","ORF",1.968,572,435,330.812937062937
"PRKDC","BOTH",6.065,578,436,328.885813148789
"MKI67","ORF",2.258,534,418,327.198501872659
"PINK1","NONE",-4.335,531,416,325.905838041431
"HSPA4","BOTH",2.214,522,408,318.896551724138
"ENO1","ORF",5.366,539,412,314.923933209647
"TUBB","NON_ORF",2.729,548,415,314.279197080292
"CBX3","NON_ORF",4.629,470,384,313.736170212766
"PDHA1","ORF",4.183,629,444,313.411764705882
"MDM2","NON_ORF",2.706,471,384,313.070063694268
"CDC37","ORF",3.775,486,390,312.962962962963
"RUVBL2","BOTH",3.352,504,395,309.573412698413
"PTPN1","BOTH",-2.266,515,399,309.128155339806
"RC3H1","NON_ORF",2.132,555,413,307.331531531531
"FLNA","ORF",3.57,486,386,306.576131687243
"CCT2","NONE",4.124,500,391,305.762
"LGALS9","NON_ORF",-3.77,459,374,304.740740740741
"GAPDH","ORF",2.93,508,393,304.033464566929
"TRIM37","BOTH",2.209,482,382,302.746887966805
"SRPK2","BOTH",3.362,526,398,301.148288973384
"LMNB1","NON_ORF",3.573,498,387,300.740963855422
"RPLP0","NONE",3.31,515,391,296.856310679612
"AIFM1","NON_ORF",4.027,507,386,293.877712031558
"TUFM","NONE",2.596,559,405,293.425760286225
"HIST1H1E","ORF",2.219,495,379,290.183838383838
"SHMT2","NONE",2.63,475,370,288.210526315789
"RBBP4","BOTH",2.759,442,356,286.733031674208
"HIST1H1C","ORF",2.225,491,373,283.358452138493
"HNRNPK","BOTH",2.01,549,391,278.471766848816
"RUVBL1","NON_ORF",3.4,483,366,277.341614906832
"RBX1","NON_ORF",3.027,444,350,275.900900900901
"BCAP31","NON_ORF",3.081,452,353,275.683628318584
"SEC62","NON_ORF",-4.237,388,327,275.590206185567
"LAMP3","NON_ORF",-2.708,377,322,275.023872679045
"DDX21","NON_ORF",3.043,579,399,274.958549222798
"CCT6A","NONE",3.148,451,352,274.731707317073
"MAPRE1","NONE",3.073,394,329,274.723350253807
"CCT3","NON_ORF",6.966,466,357,273.495708154506
"SSBP1","NON_ORF",5.402,496,368,273.032258064516
"ILF2","NON_ORF",4.594,495,366,270.618181818182
"PFN1","NONE",3.946,405,331,270.520987654321
"C1QBP","NONE",3.265,629,410,267.24960254372
"ATP5A1","NON_ORF",2.777,451,347,266.982261640798
"CUL2","BOTH",2.452,467,352,265.319057815846
"RPS3A","NONE",3.476,522,372,265.103448275862
"COIL","NON_ORF",2.755,421,334,264.978622327791
"CCT5","NON_ORF",2.706,422,334,264.350710900474
"UBR5","BOTH",3.347,436,339,263.580275229358
"RAB4A","ORF",3.992,342,300,263.157894736842
"STX6","NON_ORF",2.255,349,303,263.063037249284
"HIST1H3C","ORF",3.667,380,316,262.778947368421
"DDX5","BOTH",-2.123,446,341,260.719730941704
"KPNA2","NONE",3.85,404,324,259.841584158416
"CCT7","NON_ORF",5.481,445,338,256.72808988764
"SRSF1","NONE",3.429,461,344,256.694143167028
"CDK1","BOTH",3.65,425,330,256.235294117647
"KPNB1","BOTH",2.738,438,335,256.221461187215
"NUP155","BOTH",4.11,393,317,255.697201017812
"USP14","NON_ORF",2.702,401,320,255.361596009975
"XRCC5","NON_ORF",2.481,412,323,253.22572815534
"CCT4","BOTH",2.403,421,326,252.437054631829
"NOP56","NON_ORF",2.661,483,349,252.175983436853
"SNRPB","NON_ORF",3.885,426,326,249.474178403756
"FGFR4","ORF",2.724,348,293,246.692528735632
"RPA4","ORF",-2.422,368,301,246.198369565217
"PPP1CB","NON_ORF",2.143,369,301,245.531165311653
"TRIM33","BOTH",-2.98,355,295,245.140845070423
"PSMD14","NON_ORF",3.924,393,309,242.954198473282
"RAD18","NON_ORF",4.24,371,300,242.587601078167
"CLPP","NONE",3.248,453,331,241.85651214128
"PRMT5","NONE",3.577,368,298,241.315217391304
"GSK3A","NON_ORF",-3.7,343,287,240.142857142857
"ZNF330","NON_ORF",4.462,341,286,239.870967741935
"TOP2A","BOTH",2.626,410,313,238.948780487805
"VDAC1","BOTH",3.462,430,319,236.653488372093
"RBBP7","BOTH",2.144,394,305,236.104060913706
"PSMC5","BOTH",2.875,391,303,234.805626598465
"ATP5B","NONE",3.492,478,334,233.380753138075
"DDX23","BOTH",3.234,395,303,232.427848101266
"DLD","NONE",2.894,400,304,231.04
"LCK","BOTH",-2.012,320,271,229.503125
"SNX27","NON_ORF",-2.103,390,299,229.233333333333
"DHX30","BOTH",2.511,448,320,228.571428571429
"LMAN1","BOTH",2.557,361,287,228.168975069252
"GPR182","NONE",-3.953,339,278,227.976401179941
"CTTN","ORF",-3.436,349,282,227.862464183381
"HNRNPF","NON_ORF",4.353,451,320,227.050997782705
"NUMA1","BOTH",2.108,394,299,226.906091370558
"HIF1A","BOTH",2.455,331,274,226.815709969789
"BICD2","BOTH",3.002,324,270,225
"E2F4","NONE",-2.738,387,295,224.870801033592
"CAPZA2","NON_ORF",2.66,344,278,224.662790697674
