"from","to"
"CDC42","EEF1G"
"CDC42","CDC42"
"CDC42","ERRFI1"
"CDC42","PAK6"
"CDC42","PAK4"
"CDC42","RAP1GDS1"
"CDC42","RPL23"
"CDC42","CDC42BPB"
"CDC42","CDC42EP4"
"ARHGEF7","CDC42"
"CDC42","LGALS1"
"CDC42","LRRK2"
"CDC42","EPRS"
"CDC42","RAB1A"
"CDC42","STMN1"
"ACAD9","CDC42"
"CDC42","SLC38A2"
"CDC42","FMN2"
"CDC42","SLC25A3"
"CDC42","IVNS1ABP"
"CDC42","PRPS1"
"CDC42","PRPS2"
"CDC42","RPS20"
"CDC42","PLEKHG4"
"ARAP1","CDC42"
"CDC42","PDCD5"
"CDC42","DIAPH1"
"CDC42","TPM1"
"CDC42","G6PD"
"CDC42","PPP2R1A"
"ATP5C1","CDC42"
"CDC42","LGALS7"
"ANXA11","CDC42"
"CDC42","CSE1L"
"ACTR3","CDC42"
"CDC42","YWHAH"
"CDC42","KHDRBS1"
"BLMH","CDC42"
"CDC42","RBM39"
"CDC42","MAPRE1"
"CDC42","KYNU"
"CDC42","HADH"
"CDC42","PCNP"
"CDC42","PALLD"
"CDC42","FAM129B"
"ACO2","CDC42"
"CDC42","RBM8A"
"CDC42","STAU1"
"CDC42","COL1A1"
"CDC42","HMGN1"
"AKR1B1","CDC42"
"CDC42","HLA-G"
"CDC42","MDK"
"CDC42","MDH1"
"CDC42","STAT1"
"CDC42","MSH2"
"BCAP31","CDC42"
"CDC42","CDC5L"
"CDC42","KCTD3"
"CDC42","SHKBP1"
"CDC42","VANGL2"
"CDC42","SLC3A2"
"BASP1","CDC42"
"CDC42","SBF1"
"CDC42","OSBPL8"
"CDC42","PLEKHA1"
"CDC42","SPTBN2"
"CDC42","VAPB"
"CCDC85C","CDC42"
"CDC42","MARCKS"
"CDC42","CEP55"
"CDC42","STEAP3"
"CDC42","TOR1AIP2"
"CAV1","CDC42"
"CDC42","IPO4"
"CDC42","SLC7A5"
"CDC42","RAI14"
"CDC42","FNBP1"
"CDC42","KIRREL"
"CDC42","PVRL2"
"CDC42","PACSIN2"
"ARHGAP21","CDC42"
"CDC42","SH3PXD2A"
"CDC42","TJP1"
"ANXA2","CDC42"
"CDC42","SEPT8"
"CDC42","EMD"
"ARFGAP2","CDC42"
"ANKLE2","CDC42"
"CDC42","CPD"
"CDC42","MCAM"
"ACSL3","CDC42"
"CDC42","MICALL1"
"CDC42","DIAPH3"
"CDC42","SPRY4"
