"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"CDC42","NONE",3.351,835,465,258.952095808383
"VCP","NONE",-4.271,984,503,257.122967479675
"YWHAH","NONE",-2.87,616,393,250.728896103896
"YWHAQ","NONE",3.166,667,405,245.914542728636
"EGLN3","NONE",-3.501,824,440,234.95145631068
"RAC1","NONE",3.922,610,344,193.993442622951
"PML","NONE",-2.718,580,331,188.898275862069
"AGR2","NONE",-3.691,616,322,168.318181818182
"EMD","NONE",-3.348,535,298,165.988785046729
"SFN","NONE",-2.727,422,264,165.156398104265
"RIT1","NONE",5.097,748,343,157.284759358289
"RAC2","NONE",-3.958,427,245,140.573770491803
"ARHGAP24","NONE",2.705,323,204,128.842105263158
"RPL31","NONE",2.729,489,250,127.811860940695
"RPS16","NONE",4.055,548,262,125.262773722628
"DNAJA1","NONE",-3.534,392,215,117.920918367347
"MARCKS","NONE",3.663,450,225,112.5
"FLOT1","NONE",-2.648,334,193,111.523952095808
"RPL11","NONE",2.767,489,233,111.020449897751
"PTPN1","NONE",2.804,417,215,110.851318944844
"TCP1","NONE",2.665,368,200,108.695652173913
"CCT7","NONE",2.592,357,196,107.607843137255
"TUBA1A","NONE",2.9,446,218,106.556053811659
"MAPRE1","NONE",4.11,343,191,106.35860058309
"RAN","NONE",2.929,339,189,105.371681415929
"GJD3","NONE",-2.948,305,179,105.052459016393
"RPL6","NONE",2.902,453,212,99.2141280353201
"SAP18","NONE",2.907,365,187,95.8054794520548
"RPL23","NONE",2.931,390,189,91.5923076923077
"NEK4","NONE",-2.898,312,169,91.5416666666667
"RPS4X","NONE",-3.253,395,187,88.5291139240506
"JUN","NONE",2.865,265,152,87.1849056603774
"DLD","NONE",2.847,360,177,87.025
"BCAP31","NONE",-3.828,372,179,86.1317204301075
"RPS11","NONE",3.123,386,182,85.8134715025907
"RAB1A","NONE",2.64,330,164,81.5030303030303
"RPL8","NONE",-2.652,400,178,79.21
"RPL7","NONE",2.928,379,170,76.2532981530343
"RPS7","NONE",3.648,353,163,75.2662889518414
"FAM120A","NONE",-3.697,276,142,73.0579710144928
"DKC1","NONE",-2.792,290,143,70.5137931034483
"TFIP11","NONE",-2.718,256,134,70.140625
"RND3","NONE",3.219,176,111,70.0056818181818
"SNRPD2","NONE",3.345,285,141,69.7578947368421
"PUF60","NONE",-3.439,251,132,69.4183266932271
"SLC3A2","NONE",-2.795,262,132,66.5038167938931
"FBP1","NONE",-4.474,247,128,66.331983805668
"ILK","NONE",3.472,210,118,66.3047619047619
"UNC93B1","NONE",-4.055,269,132,64.7732342007435
"RPL27","NONE",2.674,335,147,64.5044776119403
"TRIM14","NONE",-2.611,274,132,63.5912408759124
"HLA-C","NONE",-3.473,220,118,63.2909090909091
"WDR77","NONE",-4.371,259,126,61.2972972972973
"IFITM1","NONE",-3.449,228,118,61.0701754385965
"EXOSC10","NONE",3.833,165,100,60.6060606060606
"FOXO1","NONE",2.784,216,114,60.1666666666667
"CBX1","NONE",3.014,175,102,59.4514285714286
"PGRMC1","NONE",-3.16,260,124,59.1384615384615
"SLC25A1","NONE",-3.646,218,113,58.5733944954128
"SYK","NONE",-4.545,139,90,58.273381294964
"DNAJB1","NONE",3.197,205,109,57.9560975609756
"DDX27","NONE",3.546,225,114,57.76
"MFAP1","NONE",2.793,195,106,57.6205128205128
"CEP55","NONE",3.167,181,102,57.4806629834254
"LSM14A","NONE",5.084,184,102,56.5434782608696
"CALD1","NONE",4.788,181,100,55.2486187845304
"BASP1","NONE",3.542,245,116,54.9224489795918
"CALU","NONE",2.669,235,113,54.336170212766
"ZUFSP","NONE",2.874,107,75,52.5700934579439
"PAF1","NONE",5.067,151,89,52.4569536423841
"IPO4","NONE",-3.78,158,91,52.4113924050633
"FBXO2","NONE",3.611,156,90,51.9230769230769
"PLS3","NONE",4.113,178,96,51.7752808988764
"UBE2D3","NONE",2.807,160,91,51.75625
"ALG13","NONE",-2.71,133,82,50.5563909774436
"HP1BP3","NONE",4.136,241,110,50.207468879668
"DNAJC8","NONE",4.395,169,92,50.0828402366864
"MIF","NONE",-4.058,196,99,50.0051020408163
"PRPS2","NONE",-3.776,148,86,49.972972972973
"CCNB1","NONE",3.09,155,88,49.9612903225806
"SDF2L1","NONE",-4.35,139,83,49.5611510791367
"TUBB6","NONE",5.788,175,93,49.4228571428571
"SUGT1","NONE",2.603,183,95,49.3169398907104
"SNRPB2","NONE",3.001,196,98,49
"UBB","NONE",-3.021,217,102,47.9447004608295
"TCEB2","NONE",2.687,193,96,47.7512953367876
"RBM42","NONE",2.924,260,111,47.3884615384615
"GIGYF1","NONE",-2.637,121,75,46.4876033057851
"STX17","NONE",-2.698,128,77,46.3203125
"RFWD2","NONE",4.468,192,94,46.0208333333333
"NDUFA4","NONE",4.244,214,99,45.7990654205607
"EEF1B2","NONE",2.824,152,83,45.3223684210526
"CDK6","NONE",3.322,128,76,45.125
"MRPS31","NONE",2.686,222,100,45.045045045045
"NDUFS3","NONE",-3.509,260,108,44.8615384615385
"MRPS23","NONE",2.612,222,99,44.1486486486486
"ACTA2","NONE",3.192,165,85,43.7878787878788
"SLC25A46","NONE",2.882,154,82,43.6623376623377
"TPM1","NONE",3.841,174,87,43.5
"SLC15A3","NONE",-3.399,155,82,43.3806451612903
"BICD1","NONE",-3.188,144,79,43.3402777777778
"GGH","NONE",4.015,123,73,43.3252032520325
"CDC16","NONE",2.716,152,81,43.1644736842105
"GOPC","NONE",2.762,172,86,43
"CD44","NONE",-4.146,172,86,43
"OAT","NONE",3.272,153,81,42.8823529411765
"ANXA1","NONE",-3.402,198,92,42.7474747474747
"SLC1A5","NONE",-3.008,199,92,42.5326633165829
"SNRPE","NONE",4.108,201,92,42.1094527363184
"EYA4","NONE",4.803,145,78,41.9586206896552
"LUZP1","NONE",4.003,150,79,41.6066666666667
"UCHL1","NONE",2.66,162,82,41.5061728395062
"SEPT7","NONE",4.199,144,77,41.1736111111111
"GATA2","NONE",3.287,134,74,40.865671641791
"TUBB2A","NONE",4.457,204,91,40.593137254902
"NUP107","NONE",2.849,164,81,40.0060975609756
"CD6","NONE",-3.155,85,58,39.5764705882353
"LASP1","NONE",2.584,159,79,39.251572327044
"DIAPH1","NONE",-2.771,115,67,39.0347826086957
"MED14","NONE",-3.297,122,69,39.0245901639344
"MAP4K4","NONE",4.482,177,83,38.9209039548023
"APOBEC3C","NONE",-4.286,123,69,38.7073170731707
"MRPS11","NONE",-3.579,179,83,38.4860335195531
"CDC23","NONE",3.601,143,74,38.2937062937063
"MAFB","NONE",3.233,168,80,38.0952380952381
"TAGLN2","NONE",-3.753,140,73,38.0642857142857
"CCDC96","NONE",-5.269,95,60,37.8947368421053
"IDH2","NONE",-2.724,138,72,37.5652173913043
"MRPS2","NONE",-3.904,194,85,37.2422680412371
"CD70","NONE",-2.943,97,60,37.1134020618557
"SOCS1","NONE",-3.786,97,60,37.1134020618557
"CCHCR1","NONE",-4.089,133,70,36.8421052631579
"POLR1C","NONE",-3.045,192,84,36.75
"KPNA6","NONE",2.801,123,67,36.4959349593496
"CASP8","NONE",-3.305,96,59,36.2604166666667
"BZW1","NONE",3.677,129,68,35.8449612403101
"IPO8","NONE",2.789,122,66,35.7049180327869
"TEAD1","NONE",3.561,105,61,35.4380952380952
"PSMD8","NONE",4.765,127,67,35.3464566929134
"IFT74","NONE",-2.839,86,55,35.1744186046512
"CAMK2G","NONE",2.909,128,67,35.0703125
"PIK3R3","NONE",-3.481,103,60,34.9514563106796
"PWP1","NONE",2.982,125,66,34.848
"CD74","NONE",-4.206,100,59,34.81
"OPA1","NONE",2.966,151,72,34.3311258278146
"NPEPPS","NONE",3.906,127,66,34.2992125984252
"KCTD10","NONE",2.66,124,65,34.0725806451613
"PFDN2","NONE",3.613,172,76,33.5813953488372
"CTSS","NONE",-3.162,97,57,33.4948453608247
"KRT10","NONE",4.241,139,68,33.2661870503597
"GABARAPL1","NONE",4.075,91,55,33.2417582417582
"SLC9A3R1","NONE",-3.702,100,57,32.49
"TRIM32","NONE",-2.687,116,61,32.0775862068965
"WBP4","NONE",4.043,78,50,32.0512820512821
"PPFIBP1","NONE",4.843,134,65,31.5298507462687
"TCEA2","NONE",3.19,96,55,31.5104166666667
"ZFP36","NONE",2.897,122,62,31.5081967213115
"LGALS7","NONE",3.039,87,52,31.0804597701149
"NDUFS8","NONE",-2.8,181,75,31.0773480662983
"LRRC25","NONE",-3.027,92,53,30.5326086956522
"MRPS12","NONE",3.397,175,73,30.4514285714286
"CCDC14","NONE",2.655,86,51,30.2441860465116
"TCEB1","NONE",3.487,137,64,29.8978102189781
"SDHB","NONE",3.29,137,64,29.8978102189781
"SSR4","NONE",-5.295,164,70,29.8780487804878
"CLCC1","NONE",-3.241,146,66,29.8356164383562
"UBE2J1","NONE",-2.983,138,64,29.6811594202899
"STMN1","NONE",3.268,130,62,29.5692307692308
"CPD","NONE",-2.836,126,61,29.531746031746
"TEX264","NONE",-3.335,122,60,29.5081967213115
"SRP19","NONE",3.118,187,74,29.283422459893
"GSTK1","NONE",-2.657,82,49,29.280487804878
"MRPL47","NONE",3.216,149,66,29.2348993288591
"SLC7A5","NONE",-2.869,149,66,29.2348993288591
"NEUROG3","NONE",-3.508,97,53,28.9587628865979
"PYGB","NONE",3.101,94,52,28.7659574468085
"FNBP1","NONE",-2.601,94,52,28.7659574468085
"PARD6B","NONE",3.09,87,50,28.735632183908
"EIF2B1","NONE",3.415,91,51,28.5824175824176
"VTA1","NONE",3.705,92,51,28.2717391304348
"IDH3A","NONE",-3.658,86,49,27.9186046511628
"UBL4A","NONE",-3.259,248,83,27.7782258064516
"DES","NONE",2.763,90,50,27.7777777777778
"ZNF688","NONE",-2.609,70,44,27.6571428571429
"FAM129B","NONE",-3.654,114,56,27.5087719298246
"FHL1","NONE",2.986,91,50,27.4725274725275
"SIRT2","NONE",2.862,95,51,27.3789473684211
"NCLN","NONE",-2.75,136,61,27.3602941176471
"HLTF","NONE",3.428,99,52,27.3131313131313
"FBXW5","NONE",-2.597,103,53,27.2718446601942
"TCEA1","NONE",2.825,85,48,27.1058823529412
"PSME2","NONE",-3.548,96,51,27.09375
"HBP1","NONE",3.282,86,48,26.7906976744186
"NSDHL","NONE",-4.98,126,58,26.6984126984127
"SEPT10","NONE",3.064,90,49,26.6777777777778
"MAGT1","NONE",-3.565,135,60,26.6666666666667
"RAB11FIP5","NONE",2.841,131,59,26.5725190839695
"ERAL1","NONE",3.299,159,65,26.5723270440252
"MGST3","NONE",2.736,172,67,26.0988372093023
"FMNL1","NONE",-2.643,68,42,25.9411764705882
"GPC1","NONE",3.744,117,55,25.8547008547009
"VPS45","NONE",3.245,113,54,25.8053097345133
"ZDHHC17","NONE",3.163,126,57,25.7857142857143
