"from","to"
"MAP4K4","ZRANB1"
"GCC2","ZRANB1"
"STRN4","ZRANB1"
"LMO3","ZRANB1"
"CDC5L","ZRANB1"
"MFAP1","ZRANB1"
"FARS2","ZRANB1"
"UBASH3A","ZRANB1"
"RHOBTB3","ZRANB1"
"POLR1C","ZRANB1"
"TCEA2","ZRANB1"
"CCDC13","ZRANB1"
"GAS2L2","ZRANB1"
"UBE3C","ZRANB1"
"SNX2","ZRANB1"
"SMC3","ZRANB1"
"SBF1","ZRANB1"
"CDC23","ZRANB1"
"ZFC3H1","ZRANB1"
"SUPT6H","ZRANB1"
"CIAO1","ZRANB1"
"PJA2","ZRANB1"
"CCAR1","ZRANB1"
"UBL4A","ZRANB1"
"DST","ZRANB1"
"SUPT5H","ZRANB1"
"CHD1","ZRANB1"
"ANKRD17","ZRANB1"
"TOP2A","ZRANB1"
"UBAC2","ZRANB1"
"HIF1AN","ZRANB1"
"KIF4A","ZRANB1"
"AGK","ZRANB1"
"KCTD10","ZRANB1"
"MPDZ","ZRANB1"
"CCDC85C","ZRANB1"
"PCNT","ZRANB1"
"RMND1","ZRANB1"
"WAPAL","ZRANB1"
"SIPA1L3","ZRANB1"
"ERAL1","ZRANB1"
"KCMF1","ZRANB1"
"TRMT6","ZRANB1"
"RBM8A","ZRANB1"
"ALDOC","ZRANB1"
"RPL18","ZRANB1"
"NUP62","ZRANB1"
"HNRNPH3","ZRANB1"
"VCL","ZRANB1"
"AP3M1","ZRANB1"
"PPIF","ZRANB1"
"CLCC1","ZRANB1"
"AHCYL1","ZRANB1"
"MRPS12","ZRANB1"
"PAF1","ZRANB1"
"WDR77","ZRANB1"
"PAK4","ZRANB1"
"TIMM50","ZRANB1"
"SLC38A2","ZRANB1"
"PATZ1","ZRANB1"
"TFIP11","ZRANB1"
"YWHAH","ZRANB1"
"XRCC6","ZRANB1"
"RPL23","ZRANB1"
"SMARCE1","ZRANB1"
"RPL27","ZRANB1"
"VPS25","ZRANB1"
"KRT14","ZRANB1"
"VAT1","ZRANB1"
"TJP2","ZRANB1"
"ANKRD28","ZRANB1"
"APEH","ZRANB1"
"LAMB2","ZRANB1"
"CTSB","ZRANB1"
"THUMPD1","ZRANB1"
"MTMR2","ZRANB1"
"SORL1","ZRANB1"
"SPATS2L","ZRANB1"
"EEF1B2","ZRANB1"
"LANCL1","ZRANB1"
"FN1","ZRANB1"
"MFF","ZRANB1"
"ACSL3","ZRANB1"
"COPS8","ZRANB1"
"RPS5","ZRANB1"
"NUP50","ZRANB1"
"DAK","ZRANB1"
"EIF1AD","ZRANB1"
"RAB6A","ZRANB1"
"NDUFS8","ZRANB1"
"SERPINH1","ZRANB1"
"POLD3","ZRANB1"
"SQRDL","ZRANB1"
"ANXA2","ZRANB1"
"LGALS3","ZRANB1"
"WARS","ZRANB1"
"CDC42BPB","ZRANB1"
"DLD","ZRANB1"
"CALU","ZRANB1"
"TRIM24","ZRANB1"
"DNMT1","ZRANB1"
"DDA1","ZRANB1"
"TCEB1","ZRANB1"
"RPL7","ZRANB1"
"TRIM32","ZRANB1"
"PPP6C","ZRANB1"
"CDK9","ZRANB1"
"MRPS2","ZRANB1"
"GNA13","ZRANB1"
"PKP1","ZRANB1"
"POLR2K","ZRANB1"
"INO80","ZRANB1"
"GNL3L","ZRANB1"
"MAGED2","ZRANB1"
"NDUFA4","ZRANB1"
"MAPT","ZRANB1"
"LUZP1","ZRANB1"
"TCEB3","ZRANB1"
"CDC42","ZRANB1"
"DDX18","ZRANB1"
"ACTR3","ZRANB1"
"ZCCHC9","ZRANB1"
"TNPO1","ZRANB1"
"DDX47","ZRANB1"
"RECQL","ZRANB1"
"KRAS","ZRANB1"
"RAP1B","ZRANB1"
"OSBPL8","ZRANB1"
"SLC25A3","ZRANB1"
"PWP1","ZRANB1"
"RPL6","ZRANB1"
"CLIP1","ZRANB1"
"MTM1","ZRANB1"
"MAPRE2","ZRANB1"
"PPP2R5D","ZRANB1"
"STK38","ZRANB1"
"PAICS","ZRANB1"
"MTIF3","ZRANB1"
"HMGB1","ZRANB1"
"FNDC3A","ZRANB1"
"INTS6","ZRANB1"
"UTP14C","ZRANB1"
"RB1","ZRANB1"
"KPNA3","ZRANB1"
"COG6","ZRANB1"
"LAMP1","ZRANB1"
"MED4","ZRANB1"
"ARHGEF7","ZRANB1"
"MRPS21","ZRANB1"
"MAGT1","ZRANB1"
"CTNNBL1","ZRANB1"
"SDHB","ZRANB1"
"VTA1","ZRANB1"
"IDH3B","ZRANB1"
"SEPT8","ZRANB1"
"EEF1D","ZRANB1"
"PSME2","ZRANB1"
"KIAA1033","ZRANB1"
"ABCF2","ZRANB1"
"GARS","ZRANB1"
"DOCK1","ZRANB1"
"ENAH","ZRANB1"
"RBM10","ZRANB1"
"SIRT2","ZRANB1"
"SNX6","ZRANB1"
"PCMT1","ZRANB1"
"SFXN3","ZRANB1"
"CAMK2G","ZRANB1"
"MBD1","ZRANB1"
"PITPNB","ZRANB1"
"ILK","ZRANB1"
"ING1","ZRANB1"
"HLTF","ZRANB1"
"KDM2B","ZRANB1"
"CHD4","ZRANB1"
"HP","ZRANB1"
"ARFGAP2","ZRANB1"
"DIAPH1","ZRANB1"
"PON2","ZRANB1"
"ACO2","ZRANB1"
"TF","ZRANB1"
"PSME1","ZRANB1"
"ANXA6","ZRANB1"
"ACTN4","ZRANB1"
"LGALS3BP","ZRANB1"
"NDN","ZRANB1"
"PCK2","ZRANB1"
"NDUFS4","ZRANB1"
"TAP1","ZRANB1"
"DPM1","ZRANB1"
"NONO","ZRANB1"
"SLC39A14","ZRANB1"
"DCTN4","ZRANB1"
"SBDS","ZRANB1"
"CDK5RAP1","ZRANB1"
"SEC63","ZRANB1"
"SCYL2","ZRANB1"
"MTAP","ZRANB1"
"LSM14A","ZRANB1"
"ECM1","ZRANB1"
"ESD","ZRANB1"
"OAT","ZRANB1"
"OSBPL11","ZRANB1"
"RNF138","ZRANB1"
"EHBP1","ZRANB1"
"MCCC2","ZRANB1"
"PRPS2","ZRANB1"
"HADH","ZRANB1"
"DYNC1I2","ZRANB1"
"CLGN","ZRANB1"
"CTAGE5","ZRANB1"
"RAB11FIP5","ZRANB1"
"UNC45A","ZRANB1"
"TCEA1","ZRANB1"
"PRSS1","ZRANB1"
"SRGAP2","ZRANB1"
"LCOR","ZRANB1"
"RPA3","ZRANB1"
"RAC1","ZRANB1"
"NUDT5","ZRANB1"
"TPM2","ZRANB1"
"ITSN1","ZRANB1"
"PSMC4","ZRANB1"
"PPP2R1A","ZRANB1"
"PTPN2","ZRANB1"
"SNRNP27","ZRANB1"
"MCM5","ZRANB1"
"AP3B1","ZRANB1"
"MRPL19","ZRANB1"
"UMPS","ZRANB1"
"SUGT1","ZRANB1"
"MAP4K3","ZRANB1"
"STAU1","ZRANB1"
"NDUFB10","ZRANB1"
"PRIM2","ZRANB1"
"FBXO7","ZRANB1"
"NUCB1","ZRANB1"
"SRPK1","ZRANB1"
"G6PD","ZRANB1"
"GPATCH1","ZRANB1"
"XPOT","ZRANB1"
"TJP1","ZRANB1"
"MYO1B","ZRANB1"
"MICALL1","ZRANB1"
"PFDN2","ZRANB1"
"RPS4X","ZRANB1"
"RPL31","ZRANB1"
"AP3S1","ZRANB1"
"PRKAR1A","ZRANB1"
"CDC42EP4","ZRANB1"
"RPA2","ZRANB1"
"CHAF1B","ZRANB1"
"NCLN","ZRANB1"
"NOB1","ZRANB1"
"WBP4","ZRANB1"
"PLEKHA1","ZRANB1"
"IRF2BP1","ZRANB1"
"CMBL","ZRANB1"
"NUBP1","ZRANB1"
"RPS27A","ZRANB1"
"CKAP2","ZRANB1"
"DDX27","ZRANB1"
"SEC23IP","ZRANB1"
"CNOT7","ZRANB1"
"ZNF281","ZRANB1"
"ALCAM","ZRANB1"
"SURF6","ZRANB1"
"SH3PXD2A","ZRANB1"
"MPHOSPH10","ZRANB1"
"IPO4","ZRANB1"
"GOLPH3","ZRANB1"
"MAN1B1","ZRANB1"
"PLOD3","ZRANB1"
"ARHGAP12","ZRANB1"
"NUPL1","ZRANB1"
"MED15","ZRANB1"
"LLGL2","ZRANB1"
"SLC12A4","ZRANB1"
"IWS1","ZRANB1"
"TACC1","ZRANB1"
"PLOD2","ZRANB1"
"GANAB","ZRANB1"
"PRKCSH","ZRANB1"
"MAPRE1","ZRANB1"
"ACTR1A","ZRANB1"
"GLI1","ZRANB1"
"GBP1","ZRANB1"
"PLS3","ZRANB1"
"TGM3","ZRANB1"
"RBM39","ZRANB1"
"YTHDF1","ZRANB1"
"PUM1","ZRANB1"
"CLU","ZRANB1"
"NRBP1","ZRANB1"
"STAM","ZRANB1"
"DDX3X","ZRANB1"
"YWHAB","ZRANB1"
"YTHDF2","ZRANB1"
"CBX1","ZRANB1"
"SEPT10","ZRANB1"
"FAM60A","ZRANB1"
"TPM1","ZRANB1"
"POLR2C","ZRANB1"
"ELF2","ZRANB1"
"FKBP5","ZRANB1"
"NPEPPS","ZRANB1"
"DGKZ","ZRANB1"
"SP3","ZRANB1"
"MDH1","ZRANB1"
"RAB3GAP1","ZRANB1"
"TRIM56","ZRANB1"
"PPIH","ZRANB1"
"KRT16","ZRANB1"
"KRT10","ZRANB1"
"CAP1","ZRANB1"
"KIF20B","ZRANB1"
"BAZ1A","ZRANB1"
"PAIP1","ZRANB1"
"IRF2","ZRANB1"
"SLC25A1","ZRANB1"
"GCN1L1","ZRANB1"
"SPAST","ZRANB1"
"PFDN1","ZRANB1"
"IMP4","ZRANB1"
"ADD1","ZRANB1"
"MTA3","ZRANB1"
"RAB11FIP1","ZRANB1"
"CREM","ZRANB1"
"PPT1","ZRANB1"
"POLA2","ZRANB1"
"MDK","ZRANB1"
"CD59","ZRANB1"
"VPS29","ZRANB1"
"TRMT2A","ZRANB1"
"SLC3A2","ZRANB1"
"ANKLE2","ZRANB1"
"SEC23A","ZRANB1"
"TUBA1A","ZRANB1"
"RTN4","ZRANB1"
"COMMD2","ZRANB1"
"CLTA","ZRANB1"
"PARP2","ZRANB1"
"LAMB1","ZRANB1"
"MRPS22","ZRANB1"
"CPSF3","ZRANB1"
"HNRNPH1","ZRANB1"
"ERC1","ZRANB1"
"CSNK1G3","ZRANB1"
"TEAD1","ZRANB1"
"ATXN2","ZRANB1"
"PFDN5","ZRANB1"
"PDGFA","ZRANB1"
"SLC25A11","ZRANB1"
"MIF","ZRANB1"
"STAT1","ZRANB1"
"CNDP2","ZRANB1"
"MRPS23","ZRANB1"
"TBCB","ZRANB1"
"RBM42","ZRANB1"
"POP4","ZRANB1"
"EIF3K","ZRANB1"
"BLMH","ZRANB1"
"ITGB5","ZRANB1"
"EPHA1","ZRANB1"
"ZEB1","ZRANB1"
"POLA1","ZRANB1"
"SARS2","ZRANB1"
"PTOV1","ZRANB1"
"APOBEC3C","ZRANB1"
"PDLIM1","ZRANB1"
"PGRMC1","ZRANB1"
"TAF4","ZRANB1"
"PDCD5","ZRANB1"
"SLC9A3R1","ZRANB1"
"AURKA","ZRANB1"
"IPO8","ZRANB1"
"STX7","ZRANB1"
"P4HA2","ZRANB1"
"RNF113A","ZRANB1"
"TTI1","ZRANB1"
"MAP3K7","ZRANB1"
"TRAPPC3","ZRANB1"
"SCO2","ZRANB1"
"AKAP8","ZRANB1"
"SNX3","ZRANB1"
"MGEA5","ZRANB1"
"CDC40","ZRANB1"
"EIF4E2","ZRANB1"
"DKC1","ZRANB1"
"KIN","ZRANB1"
"NDUFS3","ZRANB1"
"UTP20","ZRANB1"
"DNAJC8","ZRANB1"
"SMNDC1","ZRANB1"
"CPD","ZRANB1"
"ZRANB1","ZRANB2"
"VAPB","ZRANB1"
"AP2A1","ZRANB1"
"AIFM1","ZRANB1"
"PGK1","ZRANB1"
"ALDOA","ZRANB1"
"HMGN1","ZRANB1"
"SLC25A5","ZRANB1"
"EIF2S1","ZRANB1"
"EPHX1","ZRANB1"
"EPRS","ZRANB1"
"SNRPB2","ZRANB1"
"LGALS1","ZRANB1"
"PYGB","ZRANB1"
"ADH5","ZRANB1"
"FDPS","ZRANB1"
"AKR1A1","ZRANB1"
"CCNB1","ZRANB1"
"PPP3CB","ZRANB1"
"HIST1H1C","ZRANB1"
"STMN1","ZRANB1"
"ZNF24","ZRANB1"
"TCP1","ZRANB1"
"ARF4","ZRANB1"
"TRIM21","ZRANB1"
"EIF2S2","ZRANB1"
"OSBP","ZRANB1"
"FBL","ZRANB1"
"YY1","ZRANB1"
"DNAJB1","ZRANB1"
"EEF1G","ZRANB1"
"YWHAQ","ZRANB1"
"LAP3","ZRANB1"
"TKT","ZRANB1"
"MARCKS","ZRANB1"
"ATP5D","ZRANB1"
"ALDH1B1","ZRANB1"
"DNAJA1","ZRANB1"
"SFN","ZRANB1"
"RPL9","ZRANB1"
"ABCD1","ZRANB1"
"GTF2F1","ZRANB1"
"KRT9","ZRANB1"
"TIMP3","ZRANB1"
"ATP5C1","ZRANB1"
"FEN1","ZRANB1"
"CUX1","ZRANB1"
"CETN2","ZRANB1"
"MSH2","ZRANB1"
"BRCC3","ZRANB1"
"RPL21","ZRANB1"
"EIF1AX","ZRANB1"
"LGALS7","ZRANB1"
"UQCRFS1","ZRANB1"
"ATP5O","ZRANB1"
"PSMD8","ZRANB1"
"IDH2","ZRANB1"
"PSMB3","ZRANB1"
"EMD","ZRANB1"
"BCAP31","ZRANB1"
"PSMD7","ZRANB1"
"MRPL12","ZRANB1"
"CSE1L","ZRANB1"
"VCP","ZRANB1"
"EIF6","ZRANB1"
"NUP107","ZRANB1"
"RPS20","ZRANB1"
"PRPS1","ZRANB1"
"DSTN","ZRANB1"
"RAB10","ZRANB1"
"ACTR2","ZRANB1"
"YWHAG","ZRANB1"
"RPS7","ZRANB1"
"RPS16","ZRANB1"
"RPS18","ZRANB1"
"RPS11","ZRANB1"
"SNRPE","ZRANB1"
"SNRPD2","ZRANB1"
"SNRPD3","ZRANB1"
"RAB1A","ZRANB1"
"RAN","ZRANB1"
"RPL11","ZRANB1"
"TPM4","ZRANB1"
"CCT2","ZRANB1"
"MRPS25","ZRANB1"
"SLC7A5","ZRANB1"
"OTUD4","ZRANB1"
"TFG","ZRANB1"
"PTPN11","ZRANB1"
"KHDRBS1","ZRANB1"
"LRP1","ZRANB1"
"ANK3","ZRANB1"
"PPP1R8","ZRANB1"
"NFX1","ZRANB1"
"ECH1","ZRANB1"
"PRDX4","ZRANB1"
"HDAC1","ZRANB1"
"FHL3","ZRANB1"
"TUBB2A","ZRANB1"
"EIF2B1","ZRANB1"
"PDIA5","ZRANB1"
"ARHGAP19","ZRANB1"
"WTAP","ZRANB1"
"ZNF146","ZRANB1"
"QPRT","ZRANB1"
"PCBP1","ZRANB1"
"SURF2","ZRANB1"
"RBBP7","ZRANB1"
"FSCN1","ZRANB1"
"GEN1","ZRANB1"
"TUBB6","ZRANB1"
"NME2","ZRANB1"
"HBB","ZRANB1"
"FBXO22","ZRANB1"
"SNX5","ZRANB1"
"NFS1","ZRANB1"
"RALY","ZRANB1"
"NDUFA12","ZRANB1"
"ANXA11","ZRANB1"
"ACAD9","ZRANB1"
"MOV10","ZRANB1"
"HP1BP3","ZRANB1"
"ARHGAP21","ZRANB1"
"P4HA1","ZRANB1"
"RBM17","ZRANB1"
"TPX2","ZRANB1"
"SH3GL1","ZRANB1"
"CIAPIN1","ZRANB1"
"PACSIN2","ZRANB1"
"TTC27","ZRANB1"
"NCCRP1","ZRANB1"
"IKBIP","ZRANB1"
"RSRC2","ZRANB1"
"RAB11FIP2","ZRANB1"
"POGZ","ZRANB1"
"PABPN1","ZRANB1"
"CHERP","ZRANB1"
"PNPLA6","ZRANB1"
"LRRC25","ZRANB1"
"RYBP","ZRANB1"
"ATAD1","ZRANB1"
"FBXO30","ZRANB1"
"TRAF3IP1","ZRANB1"
"GTF3C2","ZRANB1"
"TNFAIP8L1","ZRANB1"
"PCNP","ZRANB1"
