"from","to"
"GCC2","ZRANB1"
"CDC5L","ZRANB1"
"UBASH3A","ZRANB1"
"CCDC13","ZRANB1"
"GAS2L2","ZRANB1"
"UBE3C","ZRANB1"
"SMC3","ZRANB1"
"SBF1","ZRANB1"
"ZFC3H1","ZRANB1"
"SUPT6H","ZRANB1"
"PJA2","ZRANB1"
"CCAR1","ZRANB1"
"DST","ZRANB1"
"SUPT5H","ZRANB1"
"CHD1","ZRANB1"
"ANKRD17","ZRANB1"
"TOP2A","ZRANB1"
"UBAC2","ZRANB1"
"KIF4A","ZRANB1"
"AGK","ZRANB1"
"MPDZ","ZRANB1"
"PCNT","ZRANB1"
"WAPAL","ZRANB1"
"SIPA1L3","ZRANB1"
"KCMF1","ZRANB1"
"ALDOC","ZRANB1"
"HNRNPH3","ZRANB1"
"VCL","ZRANB1"
"AHCYL1","ZRANB1"
"PAK4","ZRANB1"
"TIMM50","ZRANB1"
"PATZ1","ZRANB1"
"XRCC6","ZRANB1"
"KRT14","ZRANB1"
"ANKRD28","ZRANB1"
"APEH","ZRANB1"
"LAMB2","ZRANB1"
"SORL1","ZRANB1"
"SPATS2L","ZRANB1"
"FN1","ZRANB1"
"ACSL3","ZRANB1"
"COPS8","ZRANB1"
"SERPINH1","ZRANB1"
"POLD3","ZRANB1"
"SQRDL","ZRANB1"
"ANXA2","ZRANB1"
"WARS","ZRANB1"
"CDC42BPB","ZRANB1"
"TRIM24","ZRANB1"
"DNMT1","ZRANB1"
"DDA1","ZRANB1"
"PPP6C","ZRANB1"
"PKP1","ZRANB1"
"INO80","ZRANB1"
"GNL3L","ZRANB1"
"MAGED2","ZRANB1"
"MAPT","ZRANB1"
"TCEB3","ZRANB1"
"DDX18","ZRANB1"
"ZCCHC9","ZRANB1"
"TNPO1","ZRANB1"
"DDX47","ZRANB1"
"RECQL","ZRANB1"
"KRAS","ZRANB1"
"OSBPL8","ZRANB1"
"CLIP1","ZRANB1"
"MTM1","ZRANB1"
"MAPRE2","ZRANB1"
"PPP2R5D","ZRANB1"
"STK38","ZRANB1"
"MTIF3","ZRANB1"
"HMGB1","ZRANB1"
"INTS6","ZRANB1"
"UTP14C","ZRANB1"
"RB1","ZRANB1"
"KPNA3","ZRANB1"
"MED4","ZRANB1"
"ARHGEF7","ZRANB1"
"CTNNBL1","ZRANB1"
"SEPT8","ZRANB1"
"EEF1D","ZRANB1"
"ABCF2","ZRANB1"
"GARS","ZRANB1"
"DOCK1","ZRANB1"
"ENAH","ZRANB1"
"RBM10","ZRANB1"
"SNX6","ZRANB1"
"PCMT1","ZRANB1"
"SFXN3","ZRANB1"
"MBD1","ZRANB1"
"ING1","ZRANB1"
"KDM2B","ZRANB1"
"CHD4","ZRANB1"
"ARFGAP2","ZRANB1"
"ACO2","ZRANB1"
"TF","ZRANB1"
"PSME1","ZRANB1"
"ANXA6","ZRANB1"
"ACTN4","ZRANB1"
"LGALS3BP","ZRANB1"
"NDN","ZRANB1"
"PCK2","ZRANB1"
"DPM1","ZRANB1"
"NONO","ZRANB1"
"SBDS","ZRANB1"
"CDK5RAP1","ZRANB1"
"SEC63","ZRANB1"
"SCYL2","ZRANB1"
"ECM1","ZRANB1"
"ESD","ZRANB1"
"OSBPL11","ZRANB1"
"EHBP1","ZRANB1"
"MCCC2","ZRANB1"
"HADH","ZRANB1"
"DYNC1I2","ZRANB1"
"CLGN","ZRANB1"
"UNC45A","ZRANB1"
"SRGAP2","ZRANB1"
"LCOR","ZRANB1"
"NUDT5","ZRANB1"
"TPM2","ZRANB1"
"ITSN1","ZRANB1"
"PSMC4","ZRANB1"
"PPP2R1A","ZRANB1"
"MCM5","ZRANB1"
"UMPS","ZRANB1"
"MAP4K3","ZRANB1"
"STAU1","ZRANB1"
"FBXO7","ZRANB1"
"SRPK1","ZRANB1"
"G6PD","ZRANB1"
"XPOT","ZRANB1"
"TJP1","ZRANB1"
"MYO1B","ZRANB1"
"MICALL1","ZRANB1"
"AP3S1","ZRANB1"
"RPA2","ZRANB1"
"CHAF1B","ZRANB1"
"NUBP1","ZRANB1"
"RPS27A","ZRANB1"
"CKAP2","ZRANB1"
"SEC23IP","ZRANB1"
"ZNF281","ZRANB1"
"ALCAM","ZRANB1"
"SURF6","ZRANB1"
"SH3PXD2A","ZRANB1"
"MPHOSPH10","ZRANB1"
"GOLPH3","ZRANB1"
"MAN1B1","ZRANB1"
"PLOD3","ZRANB1"
"NUPL1","ZRANB1"
"MED15","ZRANB1"
"LLGL2","ZRANB1"
"SLC12A4","ZRANB1"
"IWS1","ZRANB1"
"TACC1","ZRANB1"
"PLOD2","ZRANB1"
"GANAB","ZRANB1"
"PRKCSH","ZRANB1"
"ACTR1A","ZRANB1"
"GLI1","ZRANB1"
"GBP1","ZRANB1"
"TGM3","ZRANB1"
"RBM39","ZRANB1"
"YTHDF1","ZRANB1"
"PUM1","ZRANB1"
"CLU","ZRANB1"
"NRBP1","ZRANB1"
"STAM","ZRANB1"
"DDX3X","ZRANB1"
"YWHAB","ZRANB1"
"YTHDF2","ZRANB1"
"ELF2","ZRANB1"
"FKBP5","ZRANB1"
"DGKZ","ZRANB1"
"SP3","ZRANB1"
"RAB3GAP1","ZRANB1"
"CAP1","ZRANB1"
"KIF20B","ZRANB1"
"BAZ1A","ZRANB1"
"PAIP1","ZRANB1"
"IRF2","ZRANB1"
"GCN1L1","ZRANB1"
"ADD1","ZRANB1"
"MTA3","ZRANB1"
"RAB11FIP1","ZRANB1"
"PPT1","ZRANB1"
"ANKLE2","ZRANB1"
"SEC23A","ZRANB1"
"RTN4","ZRANB1"
"PARP2","ZRANB1"
"LAMB1","ZRANB1"
"MRPS22","ZRANB1"
"ERC1","ZRANB1"
"ATXN2","ZRANB1"
"PFDN5","ZRANB1"
"STAT1","ZRANB1"
"CNDP2","ZRANB1"
"EIF3K","ZRANB1"
"BLMH","ZRANB1"
"EPHA1","ZRANB1"
"ZEB1","ZRANB1"
"POLA1","ZRANB1"
"SARS2","ZRANB1"
"PTOV1","ZRANB1"
"PDLIM1","ZRANB1"
"TAF4","ZRANB1"
"PDCD5","ZRANB1"
"AURKA","ZRANB1"
"TTI1","ZRANB1"
"MAP3K7","ZRANB1"
"AKAP8","ZRANB1"
"MGEA5","ZRANB1"
"KIN","ZRANB1"
"UTP20","ZRANB1"
"ZRANB1","ZRANB2"
"AP2A1","ZRANB1"
"AIFM1","ZRANB1"
"PGK1","ZRANB1"
"SLC25A5","ZRANB1"
"EIF2S1","ZRANB1"
"EPHX1","ZRANB1"
"EPRS","ZRANB1"
"ADH5","ZRANB1"
"HIST1H1C","ZRANB1"
"TRIM21","ZRANB1"
"OSBP","ZRANB1"
"FBL","ZRANB1"
"EEF1G","ZRANB1"
"TKT","ZRANB1"
"KRT9","ZRANB1"
"FEN1","ZRANB1"
"CUX1","ZRANB1"
"MSH2","ZRANB1"
"BRCC3","ZRANB1"
"EIF1AX","ZRANB1"
"ATP5O","ZRANB1"
"CSE1L","ZRANB1"
"RAB10","ZRANB1"
"YWHAG","ZRANB1"
"SNRPD3","ZRANB1"
"TPM4","ZRANB1"
"OTUD4","ZRANB1"
"PTPN11","ZRANB1"
"KHDRBS1","ZRANB1"
"LRP1","ZRANB1"
"ANK3","ZRANB1"
"NFX1","ZRANB1"
"ECH1","ZRANB1"
"HDAC1","ZRANB1"
"PDIA5","ZRANB1"
"ARHGAP19","ZRANB1"
"RBBP7","ZRANB1"
"FSCN1","ZRANB1"
"GEN1","ZRANB1"
"NFS1","ZRANB1"
"RALY","ZRANB1"
"ANXA11","ZRANB1"
"ACAD9","ZRANB1"
"MOV10","ZRANB1"
"ARHGAP21","ZRANB1"
"P4HA1","ZRANB1"
"TPX2","ZRANB1"
"SH3GL1","ZRANB1"
"NCCRP1","ZRANB1"
"RSRC2","ZRANB1"
"POGZ","ZRANB1"
"PABPN1","ZRANB1"
"CHERP","ZRANB1"
"PNPLA6","ZRANB1"
"ATAD1","ZRANB1"
"FBXO30","ZRANB1"
"TRAF3IP1","ZRANB1"
"GTF3C2","ZRANB1"
"DDB2","ZRANB1"
"NUP205","ZRANB1"
"ARPC1A","ZRANB1"
"RNF31","ZRANB1"
"PTCD3","ZRANB1"
"LTV1","ZRANB1"
"ARAP1","ZRANB1"
"QKI","ZRANB1"
"MYBBP1A","ZRANB1"
"WAC","ZRANB1"
"DIDO1","ZRANB1"
"DHRS4","ZRANB1"
"NAT10","ZRANB1"
"CHMP4B","ZRANB1"
"CHD8","ZRANB1"
"DDX21","ZRANB1"
"PDS5B","ZRANB1"
"MDN1","ZRANB1"
"GPATCH8","ZRANB1"
"GTF3C4","ZRANB1"
"DDX52","ZRANB1"
"SAMM50","ZRANB1"
"ARFGEF2","ZRANB1"
"IVNS1ABP","ZRANB1"
"MCM5","RPA2"
"RPA2","XRCC6"
"PNKP","RPA2"
"MSH2","RPA2"
"EIF2S1","RPA2"
"RPA2","YTHDF1"
"NONO","RPA2"
"INTS6","RPA2"
"PARP12","RPA2"
"RPA2","SLFN11"
"ANXA2","RPA2"
"RPA2","YTHDF2"
"KHDRBS1","RPA2"
"RAI14","RPA2"
"DDX3X","RPA2"
"RBM39","RPA2"
"RAB10","RPA2"
"RPA2","SMC3"
"LIMCH1","RPA2"
"CDC5L","RPA2"
"MYO1B","RPA2"
"MOV10","RPA2"
"CHD4","RPA2"
"RPA2","TOP2A"
"ADD1","RPA2"
"POLA1","RPA2"
"RPA2","TPX2"
"GTF3C2","RPA2"
"RALY","RPA2"
"DIDO1","RPA2"
"INTS1","RPA2"
"RPA2","TPM2"
"AKAP8","RPA2"
"AP2A1","RPA2"
"CHERP","RPA2"
"EPRS","RPA2"
"FBL","RPA2"
"MED4","RPA2"
"RBM10","RPA2"
"RPA2","RTN4"
"RPA2","WAPAL"
"PARP2","RPA2"
"LNX2","RPA2"
"PALB2","RPA2"
"RPA2","RPA2"
"RPA2","SSBP1"
"HIRA","RPA2"
"RAB11FIP1","RPA2"
"ACAD9","RPA2"
"RPA2","TJP1"
"PLOD2","RPA2"
"RPA2","STAU1"
"FUT8","RPA2"
"PDLIM1","RPA2"
"PALLD","RPA2"
"CHMP4B","RPA2"
"PDCD5","RPA2"
"INO80","RPA2"
"RPA2","SPEN"
"PEX3","RPA2"
"POLD3","RPA2"
"RPA2","SBF1"
"ANLN","RPA2"
"NEDD4","RPA2"
"ARFGEF2","RPA2"
"MTMR6","RPA2"
"RPA2","WAC"
"NCOR2","RPA2"
"RPA2","TP53BP2"
"LIMD1","RPA2"
"RPA2","USP48"
"RPA2","UBAC2"
"RPA2","ZNF281"
"OSBPL11","RPA2"
"BUB1","RPA2"
"PPWD1","RPA2"
"OSBPL8","RPA2"
"RPA2","SQRDL"
"PDS5B","RPA2"
"RPA2","VPS33B"
"RPA2","SH3GL1"
"BRCC3","RPA2"
"CKAP2","RPA2"
"CHD1","RPA2"
"ENAH","RPA2"
"RPA2","UTP20"
"PSMC4","RPA2"
"NUDT5","RPA2"
"CYB5R1","RPA2"
"RPA2","TAF4"
"ARPC1A","RPA2"
"ACAD11","RPA2"
"PER1","RPA2"
"KIF4A","RPA2"
"RPA2","TMEM126A"
"MAP3K7","RPA2"
"NFX1","RPA2"
"RPA2","ZRANB2"
"EEF1D","RPA2"
"EFTUD1","RPA2"
"DDB2","RPA2"
"RPA2","SURF6"
"AURKA","RPA2"
"IWS1","RPA2"
"FBXO30","RPA2"
"PCNT","RPA2"
"CDC42BPB","RPA2"
"FOXO3","RPA2"
"RPA2","TCEB3"
"RPA2","SFXN3"
"BAZ1A","RPA2"
"ARFGAP2","RPA2"
"RPA2","SEC23IP"
"RPA2","SUPT5H"
"PAK4","RPA2"
"MYBBP1A","RPA2"
"MAGED2","RPA2"
"NAT10","RPA2"
"RPA2","SCYL2"
"POGZ","RPA2"
"RPA2","SMS"
"PTPN11","RPA2"
"DPM1","RPA2"
"RPA2","SEC63"
"DDX21","RPA2"
"RPA2","WDR36"
"ACSL3","RPA2"
"MGEA5","RPA2"
"HIST1H1C","RPA2"
"DDX18","RPA2"
"OSBP","RPA2"
"MDN1","RPA2"
"RBBP7","RPA2"
"RPA2","TIPRL"
"FEN1","RPA2"
"RPA2","UTP6"
"RAB3GAP1","RPA2"
"NUP205","RPA2"
"RECQL","RPA2"
"PPP2R5D","RPA2"
"ATAD1","RPA2"
"BLMH","RPA2"
"ABCF2","RPA2"
"MON2","RPA2"
"RPA2","STAT1"
"PCMT1","RPA2"
"EIF3K","RPA2"
"GCN1L1","RPA2"
"CNDP2","RPA2"
"RPA2","WARS"
"RPA2","SRPK1"
"CHD8","RPA2"
"GOLPH3","RPA2"
"KPNA3","RPA2"
"RPA2","SAMM50"
"ASS1","RPA2"
"CSK","RPA2"
"AHCYL1","RPA2"
"DYNC1I2","RPA2"
"RPA2","SEC23A"
"NUPL1","RPA2"
"RPA2","WIPI2"
"MAPRE2","RPA2"
"CSE1L","RPA2"
"LRRC40","RPA2"
"CHAF1B","RPA2"
"G6PD","RPA2"
"RPA2","UNC45A"
"RPA2","TKT"
"RPA2","SNRPD3"
"RPA2","UBE3C"
"CAP1","RPA2"
"PLOD3","RPA2"
"EEF1G","RPA2"
"ADH5","RPA2"
"ACTR1A","RPA2"
"KCTD3","RPA2"
"AIFM1","RPA2"
"RPA2","SLC25A5"
"ACTN4","RPA2"
"RPA2","TIMM50"
"CTNNBL1","RPA2"
"DDX50","RPA2"
"GPD2","RPA2"
"FKBP5","RPA2"
"EPHX1","RPA2"
"RPA2","RSRC2"
"ACO2","RPA2"
"GANAB","RPA2"
"AP3S1","RPA2"
"RPA2","UMPS"
"AKR1B1","RPA2"
"RPA2","SUPT6H"
"ARFIP1","RPA2"
"CLPP","RPA2"
"RPA2","SPTBN2"
"DDX47","RPA2"
"PGK1","RPA2"
"ANXA11","RPA2"
"ECH1","RPA2"
"ATL2","RPA2"
"HADH","RPA2"
"RPA2","STK38"
"RPA2","VCL"
"IRAK1","RPA2"
"RPA2","ZFC3H1"
"HDAC1","RPA2"
"NRAS","RPA2"
"MCCC2","RPA2"
"CDK5RAP1","RPA2"
"GSTP1","RPA2"
"ARHGAP19","RPA2"
"RPA2","TRIM24"
"RPA2","VEZT"
"ATXN2","RPA2"
"DST","RPA2"
"DNMT1","RPA2"
"ANAPC5","RPA2"
"HNRNPH3","RPA2"
"PSME1","RPA2"
"CHUK","RPA2"
"FAM120C","RPA2"
"CDK5RAP2","RPA2"
"CCAR1","RPA2"
"CEP192","RPA2"
"RPA2","XPOT"
"RPA2","TNPO1"
"RPA2","SARS2"
"HMGB1","RPA2"
"PPP6C","RPA2"
"RPA2","YWHAB"
"PPP2R1A","RPA2"
"GARS","RPA2"
"ESD","RPA2"
"RPA2","SERPINH1"
"DDX52","RPA2"
"PTCD3","RPA2"
"DARS2","RPA2"
"FASTKD2","RPA2"
"KIF20B","RPA2"
"RB1","RPA2"
"APEH","RPA2"
"RPA2","SNX4"
"KIN","RPA2"
"FANCM","RPA2"
"FN1","RPA2"
"KRAS","RPA2"
"RPA2","USP37"
"HNF1B","RPA2"
"PPT1","RPA2"
"RPA2","WDR76"
"PLEKHA4","RPA2"
"RBM45","RPA2"
"CLEC4D","RPA2"
"ACE2","RPA2"
"BMI1","RPA2"
"EEF1G","PLEKHA4"
"PLEKHA4","PLEKHA4"
"ACACB","PLEKHA4"
"ACTN4","PLEKHA4"
"ADD1","PLEKHA4"
"AP2A1","PLEKHA4"
"PLEKHA4","SLC25A5"
"ANXA2","PLEKHA4"
"ANXA11","PLEKHA4"
"ATP5O","PLEKHA4"
"DST","PLEKHA4"
"PLEKHA4","SERPINH1"
"CDC5L","PLEKHA4"
"CHD1","PLEKHA4"
"CHD4","PLEKHA4"
"AP3S1","PLEKHA4"
"CSE1L","PLEKHA4"
"CSK","PLEKHA4"
"CUX1","PLEKHA4"
"DDX3X","PLEKHA4"
"DYNC1I2","PLEKHA4"
"DNMT1","PLEKHA4"
"EEF1D","PLEKHA4"
"EIF2S1","PLEKHA4"
"EPRS","PLEKHA4"
"FBL","PLEKHA4"
"ACSL3","PLEKHA4"
"FEN1","PLEKHA4"
"PLEKHA4","XRCC6"
"GARS","PLEKHA4"
"GLI1","PLEKHA4"
"GPD2","PLEKHA4"
"HIST1H1C","PLEKHA4"
"HDAC1","PLEKHA4"
"HNRNPH3","PLEKHA4"
"IRAK1","PLEKHA4"
"KPNA3","PLEKHA4"
"PLEKHA4","TNPO1"
"LCK","PLEKHA4"
"LGALS3BP","PLEKHA4"
"MBD1","PLEKHA4"
"MCM5","PLEKHA4"
"MOV10","PLEKHA4"
"MYO1B","PLEKHA4"
"MSH2","PLEKHA4"
"NUBP1","PLEKHA4"
"NONO","PLEKHA4"
"NPC1","PLEKHA4"
"OSBP","PLEKHA4"
"P4HA1","PLEKHA4"
"PCMT1","PLEKHA4"
"PGK1","PLEKHA4"
"PITX1","PLEKHA4"
"PLEKHA4","PLOD2"
"PLEKHA4","POLA1"
"PLEKHA4","PPP2R1A"
