"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"ZRANB1","ORF",3.975,2533,1285,651.885116462692
"RPA2","ORF",3.088,1972,1078,589.292089249493
"PLEKHA4","ORF",2.344,1939,1052,570.760185662713
"KRAS","ORF",2.592,1621,844,439.44231955583
"ANLN","ORF",3.102,1233,660,353.284671532847
"STAU1","BOTH",3.574,1120,616,338.8
"YWHAG","ORF",2.601,703,453,291.904694167852
"XPO1","ORF",1.987,969,530,289.886480908153
"CDC42","NONE",3.351,835,465,258.952095808383
"VCP","NONE",-4.271,984,503,257.122967479675
"YWHAH","NONE",-2.87,616,393,250.728896103896
"HDAC1","ORF",2.289,694,415,248.162824207493
"YWHAQ","NONE",3.166,667,405,245.914542728636
"TNIP1","ORF",-2.671,850,450,238.235294117647
"AR","NON_ORF",-2.161,670,397,235.237313432836
"EGLN3","NONE",-3.501,824,440,234.95145631068
"CHD4","ORF",3.455,665,385,222.894736842105
"XRCC6","ORF",-2.531,666,381,217.959459459459
"APP","ORF",2.497,1006,467,216.788270377734
"ACE2","NON_ORF",-3.128,788,412,215.41116751269
"YWHAB","ORF",4.934,585,352,211.801709401709
"CAPZB","ORF",3.076,763,396,205.525557011796
"MOV10","ORF",-2.844,752,388,200.191489361702
"CDC5L","ORF",-2.428,597,344,198.217755443886
"RAC1","NONE",3.922,610,344,193.993442622951
"RBM39","ORF",3.261,794,388,189.60201511335
"PML","NONE",-2.718,580,331,188.898275862069
"RHOB","ORF",2.427,523,303,175.543021032505
"PINK1","ORF",2.793,480,288,172.8
"IFI16","ORF",-2.974,547,304,168.950639853748
"AGR2","NONE",-3.691,616,322,168.318181818182
"MAPT","BOTH",2.644,614,320,166.775244299674
"EMD","NONE",-3.348,535,298,165.988785046729
"SFN","NONE",-2.727,422,264,165.156398104265
"RIT1","NONE",5.097,748,343,157.284759358289
"FBL","ORF",4.283,500,276,152.352
"TOP1","ORF",2.052,488,269,148.280737704918
"LYN","ORF",-3.912,427,249,145.201405152225
"RAC2","NONE",-3.958,427,245,140.573770491803
"BMI1","ORF",5.068,463,255,140.442764578834
"CHMP4B","ORF",2.691,491,261,138.739307535642
"FN1","ORF",4.439,563,276,135.303730017762
"FBXO6","NON_ORF",-3.308,437,243,135.12356979405
"ARHGAP24","NONE",2.705,323,204,128.842105263158
"RPL31","NONE",2.729,489,250,127.811860940695
"PPP2R1A","ORF",2.556,445,237,126.222471910112
"RPS16","NONE",4.055,548,262,125.262773722628
"DDX3X","ORF",-2.2,468,242,125.136752136752
"SRPK2","ORF",3.029,450,236,123.768888888889
"NRAS","ORF",2.559,402,223,123.703980099502
"RC3H1","ORF",-2.067,520,253,123.094230769231
"SMC3","ORF",2.79,294,190,122.789115646259
"AURKA","ORF",2.278,445,232,120.952808988764
"RPLP0","ORF",2.076,474,238,119.502109704641
"DDX21","BOTH",2.173,521,249,119.003838771593
"DNAJA1","NONE",-3.534,392,215,117.920918367347
"SHMT2","ORF",-2.437,393,215,117.620865139949
"AIFM1","ORF",-3.887,445,227,115.795505617978
"TRIM21","ORF",-2.232,442,224,113.52036199095
"MARCKS","NONE",3.663,450,225,112.5
"FLOT1","NONE",-2.648,334,193,111.523952095808
"RPL11","NONE",2.767,489,233,111.020449897751
"PTPN1","NONE",2.804,417,215,110.851318944844
"RHOH","ORF",-2.881,334,192,110.37125748503
"TCP1","NONE",2.665,368,200,108.695652173913
"CCT7","NONE",2.592,357,196,107.607843137255
"TUBA1A","NONE",2.9,446,218,106.556053811659
"MAPRE1","NONE",4.11,343,191,106.35860058309
"HIST1H1C","ORF",-2.435,420,211,106.002380952381
"RAN","NONE",2.929,339,189,105.371681415929
"GJD3","NONE",-2.948,305,179,105.052459016393
"RBBP7","ORF",-3.251,329,183,101.790273556231
"LCK","NON_ORF",-4.115,283,169,100.922261484099
"HDAC5","ORF",2.849,275,166,100.203636363636
"SRPK1","ORF",-2.842,340,184,99.5764705882353
"RPL6","NONE",2.902,453,212,99.2141280353201
"SUPT5H","ORF",4.946,275,163,96.6145454545455
"MECOM","ORF",-1.962,260,158,96.0153846153846
"SAP18","NONE",2.907,365,187,95.8054794520548
"SLC25A5","ORF",-2.886,331,178,95.7220543806646
"MCAM","ORF",2.363,302,170,95.6953642384106
"SPOP","ORF",2.813,358,185,95.6005586592179
"EEF1G","ORF",2.779,332,178,95.433734939759
"MCM5","ORF",-2.888,324,175,94.5216049382716
"NINL","ORF",2.778,293,166,94.0477815699659
"WDR76","ORF",-2.051,276,161,93.9166666666667
"EPRS","ORF",2.527,351,181,93.3361823361823
"BRCA2","ORF",2.511,220,143,92.95
"PRMT5","ORF",-2.673,350,180,92.5714285714286
"RPL23","NONE",2.931,390,189,91.5923076923077
"NEK4","NONE",-2.898,312,169,91.5416666666667
"LOXL2","ORF",2.696,316,170,91.4556962025316
"PRPF19","ORF",-2.86,324,172,91.3086419753086
"SPTAN1","ORF",2.039,352,179,91.0255681818182
"LAMP3","ORF",-3.244,303,166,90.9438943894389
"GBF1","ORF",2.661,300,165,90.75
"MED4","ORF",2.306,310,167,89.9645161290323
"HADHB","ORF",2.58,332,172,89.1084337349398
"HSPA2","ORF",2.694,243,147,88.9259259259259
"TOP2A","ORF",2.454,378,183,88.5952380952381
"RPS4X","NONE",-3.253,395,187,88.5291139240506
"ACTN4","ORF",3.895,286,159,88.3951048951049
"BRD2","ORF",-3.243,280,157,88.0321428571429
"ANXA2","ORF",2.292,302,163,87.976821192053
"JUN","NONE",2.865,265,152,87.1849056603774
"DLD","NONE",2.847,360,177,87.025
"FBXO7","ORF",-2.055,342,172,86.5029239766082
"BCAP31","NONE",-3.828,372,179,86.1317204301075
"MSH2","ORF",2.358,231,141,86.0649350649351
"AXL","ORF",4.21,258,149,86.0503875968992
"RPS11","NONE",3.123,386,182,85.8134715025907
"TRIM27","ORF",-5.633,322,166,85.5776397515528
"HMGB1","ORF",2.813,313,163,84.8849840255591
"EEF1D","ORF",-2.764,248,145,84.7782258064516
"SSBP1","ORF",-2.552,423,189,84.4468085106383
"GTPBP4","ORF",2.205,309,161,83.8867313915858
"NONO","ORF",-2.318,359,173,83.3676880222841
"CD274","ORF",-3.14,250,144,82.944
"KHDRBS1","ORF",3.099,268,149,82.839552238806
"SLFN11","ORF",-2.528,265,148,82.6566037735849
"NDN","ORF",2.903,287,154,82.6341463414634
"RPS27A","ORF",2.675,347,169,82.3083573487032
"GCN1L1","ORF",2.82,272,149,81.6213235294118
"RAB1A","NONE",2.64,330,164,81.5030303030303
"NEDD4","ORF",3.181,279,149,79.573476702509
"SHC1","ORF",2.928,219,132,79.5616438356164
"RPL8","NONE",-2.652,400,178,79.21
"MYH10","ORF",2.406,262,144,79.1450381679389
"PXN","ORF",2.683,214,130,78.9719626168224
"PGK1","ORF",-2.293,259,143,78.953667953668
"PAXIP1","ORF",-3.495,246,139,78.5406504065041
"FKBP5","ORF",-2.08,254,141,78.2716535433071
"STAT1","ORF",-3.039,214,129,77.7616822429907
"HIST1H2BH","ORF",-2.971,246,138,77.4146341463415
"RPL7","NONE",2.928,379,170,76.2532981530343
"SURF6","ORF",-2.95,298,150,75.503355704698
"LRRK2","ORF",-3.486,340,160,75.2941176470588
"RPS7","NONE",3.648,353,163,75.2662889518414
"NF2","ORF",-2.638,284,146,75.056338028169
"NAP1L1","ORF",2.593,266,141,74.7406015037594
"OPTN","ORF",2.157,295,148,74.2508474576271
"PTPN11","ORF",2.895,201,122,74.0497512437811
"TJP1","ORF",2.061,225,129,73.96
"B3GAT1","ORF",-3.261,240,133,73.7041666666667
"MAPK6","ORF",2.685,318,153,73.6132075471698
"GANAB","ORF",-2.458,286,145,73.513986013986
"NAT10","ORF",-2.654,252,136,73.3968253968254
"FAM120A","NONE",-3.697,276,142,73.0579710144928
"TRIM24","ORF",-2.479,254,136,72.8188976377953
"LGALS3BP","ORF",-2.59,212,124,72.5283018867924
"P2RY6","ORF",-3.45,263,138,72.4106463878327
"LATS2","ORF",4.296,209,123,72.3875598086124
"BAG1","ORF",-3.701,333,155,72.1471471471472
"CLPP","ORF",-2.977,340,156,71.5764705882353
"KIF5B","ORF",2.778,233,129,71.4206008583691
"MAP3K7","ORF",2.8,241,131,71.207468879668
"VCL","ORF",2.354,190,116,70.821052631579
"DKC1","NONE",-2.792,290,143,70.5137931034483
"TFIP11","NONE",-2.718,256,134,70.140625
"RND3","NONE",3.219,176,111,70.0056818181818
"RB1","ORF",3.669,231,127,69.8225108225108
"SNRPD2","NONE",3.345,285,141,69.7578947368421
"PUF60","NONE",-3.439,251,132,69.4183266932271
"NFX1","ORF",-4.209,351,156,69.3333333333333
"ACTR1A","ORF",3.211,205,119,69.0780487804878
"HIST1H2BK","ORF",-3.459,238,128,68.8403361344538
"AHCYL1","NON_ORF",-3.506,261,134,68.7969348659004
"RNF31","ORF",-2.455,269,136,68.7583643122677
"DCTN2","ORF",2.632,247,130,68.4210526315789
"FBXO42","ORF",2.218,184,112,68.1739130434783
"MYO1B","ORF",3.017,223,123,67.8430493273543
"TKT","ORF",-2.499,249,129,66.8313253012048
"RALY","ORF",3.607,265,133,66.7509433962264
"PSMC4","ORF",5.563,238,126,66.7058823529412
"SLC3A2","NONE",-2.795,262,132,66.5038167938931
"CSE1L","ORF",4.973,247,128,66.331983805668
"FBP1","NONE",-4.474,247,128,66.331983805668
"ILK","NONE",3.472,210,118,66.3047619047619
"MYBBP1A","ORF",-2.636,330,147,65.4818181818182
"UNC93B1","NONE",-4.055,269,132,64.7732342007435
"RPL27","NONE",2.674,335,147,64.5044776119403
"SERPINH1","ORF",2.07,235,123,64.3787234042553
"RHOV","ORF",-2.308,169,104,64
"TRIM14","NONE",-2.611,274,132,63.5912408759124
"HLA-C","NONE",-3.473,220,118,63.2909090909091
"KCNE3","ORF",-2.288,155,99,63.2322580645161
"LDLR","ORF",-2.221,232,121,63.1077586206897
"YTHDF2","ORF",2.268,248,125,63.0040322580645
"DDA1","ORF",1.992,236,121,62.0381355932203
"CLEC4D","ORF",-2.845,182,106,61.7362637362637
"HSPA4L","ORF",-3.144,182,106,61.7362637362637
"WDR77","NONE",-4.371,259,126,61.2972972972973
"IFITM1","NONE",-3.449,228,118,61.0701754385965
"DDX18","ORF",2.011,260,126,61.0615384615385
"EXOSC10","NONE",3.833,165,100,60.6060606060606
"TNPO1","ORF",2.83,223,116,60.3408071748879
"FOXO1","NONE",2.784,216,114,60.1666666666667
"TCEB3","ORF",2.816,177,103,59.9378531073446
"PCMT1","ORF",2.781,188,106,59.7659574468085
"TCOF1","ORF",2.339,196,108,59.5102040816327
"CBX1","NONE",3.014,175,102,59.4514285714286
"SEC63","ORF",2.433,243,120,59.2592592592593
"PGRMC1","NONE",-3.16,260,124,59.1384615384615
"ERBB3","ORF",-2.262,190,106,59.1368421052632
"DST","ORF",2.752,216,113,59.1157407407407
"SMARCAD1","ORF",2.049,135,89,58.6740740740741
"ST7","ORF",-2.099,218,113,58.5733944954128
"SLC25A1","NONE",-3.646,218,113,58.5733944954128
"SYK","NONE",-4.545,139,90,58.273381294964
"PDGFRA","BOTH",3.57,183,103,57.9726775956284
"DNAJB1","NONE",3.197,205,109,57.9560975609756
"DDX27","NONE",3.546,225,114,57.76
"MFAP1","NONE",2.793,195,106,57.6205128205128
"CEP55","NONE",3.167,181,102,57.4806629834254
"PTRF","ORF",3.496,204,108,57.1764705882353
"GARS","ORF",2.254,205,108,56.8975609756098
"LSM14A","NONE",5.084,184,102,56.5434782608696
"FLNC","ORF",4.235,153,93,56.5294117647059
"SNRPD3","ORF",-2.722,268,123,56.4514925373134
"FURIN","ORF",-2.364,175,99,56.0057142857143
"IRAK1","ORF",-2.269,205,107,55.8487804878049
"UNC45A","ORF",-2.671,159,94,55.5723270440252
"CDK8","ORF",2.386,153,92,55.3202614379085
"ATXN2","ORF",2.806,211,108,55.2796208530806
"CALD1","NONE",4.788,181,100,55.2486187845304
"ARL4D","ORF",-2.18,105,76,55.0095238095238
"BASP1","NONE",3.542,245,116,54.9224489795918
"TRIM23","NON_ORF",2.069,205,106,54.809756097561
"POGZ","ORF",2.725,179,99,54.7541899441341
"ARRDC3","ORF",2.592,158,93,54.7405063291139
"CALU","NONE",2.669,235,113,54.336170212766
"MAGED2","NON_ORF",2.44,185,100,54.0540540540541
"AP2A1","ORF",2.25,212,107,54.0047169811321
"RTN4","ORF",3.381,211,106,53.2511848341232
"GATA3","ORF",2.384,133,84,53.0526315789474
"RPS6KB2","ORF",-2.05,204,104,53.0196078431373
"SEC23A","ORF",4.474,185,99,52.9783783783784
"NCOR2","ORF",2.657,171,95,52.7777777777778
"HLA-A","ORF",-2.787,213,106,52.7511737089202
"ZUFSP","NONE",2.874,107,75,52.5700934579439
"ITSN1","ORF",3.396,172,95,52.4709302325581
"PAF1","NONE",5.067,151,89,52.4569536423841
"PCGF1","ORF",2.995,141,86,52.4539007092199
"IPO4","NONE",-3.78,158,91,52.4113924050633
"SMAD1","ORF",-2.135,117,78,52
"GTF3C4","ORF",-2.227,139,85,51.9784172661871
"MEOX2","ORF",3.475,268,118,51.955223880597
"PCNT","ORF",1.976,163,92,51.9263803680982
"FBXO2","NONE",3.611,156,90,51.9230769230769
"PLS3","NONE",4.113,178,96,51.7752808988764
"UBE2D3","NONE",2.807,160,91,51.75625
"ATP5O","ORF",2.852,239,111,51.5523012552301
"KIAA0020","ORF",-2.479,194,100,51.5463917525773
"CAP1","ORF",2.168,144,86,51.3611111111111
