"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"TRIM67","ORF",0,2116,1356,868.96786389414
"ZRANB1","ORF",-0.791,1999,1238,766.705352676338
"RPA1","ORF",0.038,1691,1113,732.565937315198
"MYC","BOTH",-1.55,1767,1136,730.331635540464
"RPA3","NON_ORF",0.408,1589,1035,674.150409062303
"PARK2","ORF",-0.761,1658,1051,666.224969843184
"PLEKHA4","ORF",-1.125,1608,1033,663.612562189055
"KIAA1429","ORF",-0.386,1245,893,640.521285140562
"TP53","NON_ORF",1.084,1264,860,585.126582278481
"NTRK1","ORF",0.059,1234,842,574.525121555916
"ESR1","ORF",-1.303,1287,845,554.79797979798
"EGFR","BOTH",-1.691,1410,878,546.726241134752
"HSPA8","ORF",-1.264,1241,792,505.450443190975
"CCNF","ORF",1.765,1272,798,500.632075471698
"ESR2","ORF",-0.393,1146,753,494.772251308901
"KRAS","BOTH",-0.342,1196,748,467.8127090301
"TIPARP","ORF",-1.573,948,665,466.482067510549
"ANLN","ORF",1.542,1138,725,461.884885764499
"UBE2H","BOTH",-1.864,1233,737,440.526358475264
"TRIM25","ORF",1.739,967,644,428.889348500517
"PARP1","ORF",0.447,864,594,408.375
"RAF1","ORF",0.982,1045,653,408.046889952153
"NR2C2","BOTH",1.573,946,603,384.364693446089
"EP300","BOTH",1.57,852,572,384.018779342723
"CIT","ORF",-0.294,937,590,371.504802561366
"BIRC3","ORF",-0.327,971,600,370.751802265705
"BRCA1","ORF",1.451,797,539,364.518193224592
"TRIM28","ORF",1.176,881,565,362.343927355278
"HSPA5","NON_ORF",-0.635,888,566,360.761261261261
"HNRNPL","ORF",1.159,723,499,344.399723374827
"YAP1","ORF",0.235,753,509,344.065073041169
"HDAC1","NON_ORF",-0.645,640,469,343.6890625
"ELAVL1","NON_ORF",-1.601,806,519,334.194789081886
"SOX2","BOTH",0.46,771,497,320.374837872892
"AR","ORF",-0.908,617,438,310.930307941653
"XPO1","ORF",0.407,801,496,307.136079900125
"SQSTM1","ORF",-0.504,736,473,303.979619565217
"MYCN","ORF",-0.176,903,521,300.59911406423
"PHB","BOTH",1.151,845,498,293.495857988166
"HDAC2","ORF",-0.538,552,402,292.760869565217
"RBM39","BOTH",0,831,493,292.477737665463
"SMC5","ORF",-0.463,652,436,291.558282208589
"NAA40","ORF",0,655,437,291.55572519084
"XRCC6","ORF",0.131,653,436,291.111791730475
"OBSL1","ORF",0.837,646,431,287.55572755418
"HNRNPU","ORF",0.289,743,462,287.273216689098
"CFTR","BOTH",-1.211,731,457,285.703146374829
"HECTD1","ORF",0.438,657,433,285.371385083714
"HUWE1","ORF",0.236,777,469,283.09009009009
"YWHAZ","ORF",1.231,609,415,282.799671592775
"CTNNB1","ORF",-1.059,621,419,282.70692431562
"FZR1","ORF",1.177,761,463,281.6938239159
"DDX58","ORF",0.331,591,408,281.664974619289
"YWHAG","ORF",-0.885,567,399,280.777777777778
"CDC5L","BOTH",0.14,565,396,277.550442477876
"NXF1","ORF",0.491,639,419,274.743348982786
"PML","BOTH",0.287,554,385,267.554151624549
"HNRNPH1","ORF",0,674,421,262.96884272997
"KIF20A","ORF",1.136,645,411,261.893023255814
"TOP3B","ORF",0.197,528,371,260.683712121212
"LMNA","ORF",-0.68,652,411,259.081288343558
"SNRNP70","BOTH",0,744,438,257.854838709677
"G3BP1","ORF",1.375,623,399,255.539325842697
"YWHAQ","NON_ORF",-0.566,579,384,254.673575129534
"LARP7","ORF",-0.968,760,435,248.980263157895
"RHOA","ORF",0.592,545,368,248.484403669725
"HDAC6","ORF",1.635,637,397,247.423861852433
"RNF2","ORF",-0.234,591,382,246.910321489002
"RICTOR","ORF",-0.972,520,358,246.469230769231
"ILF3","ORF",1.901,653,401,246.249617151608
"IFI16","ORF",-0.562,533,362,245.861163227017
"YWHAH","ORF",-0.257,474,338,241.021097046413
"KDM1A","ORF",0,452,330,240.929203539823
"OGT","BOTH",0.016,574,367,234.649825783972
"CYLD","ORF",-1.403,594,373,234.223905723906
"ECT2","ORF",0.879,589,370,232.427843803056
"CUL7","ORF",1.03,625,380,231.04
"LMBR1L","ORF",1.165,444,318,227.756756756757
"KCNA3","ORF",0.231,460,323,226.802173913044
"TGOLN2","ORF",-1.318,513,341,226.668615984405
"CAND1","ORF",0.355,661,387,226.579425113464
"TMPO","ORF",0.923,577,360,224.610051993068
"MYH9","ORF",0.156,509,338,224.447937131631
"MEPCE","BOTH",-0.045,648,381,224.013888888889
"ZC3H18","ORF",0.63,676,387,221.551775147929
"RIT1","ORF",0.979,643,377,221.040435458787
"DOT1L","BOTH",1.711,597,363,220.718592964824
"FANCD2","ORF",0.254,578,357,220.5
"CANX","ORF",1.11,586,359,219.933447098976
"ACTB","ORF",-0.77,577,356,219.646447140381
"FASN","ORF",1.852,579,355,217.6597582038
"PRKDC","NON_ORF",1.526,498,328,216.032128514056
"BTF3","ORF",-1.381,578,353,215.586505190311
"WWP2","ORF",1.479,600,359,214.801666666667
"SUZ12","ORF",1.533,466,316,214.283261802575
"PPIA","ORF",1.443,544,341,213.751838235294
"PRPF8","ORF",1.506,618,362,212.045307443366
"RPS16","ORF",0.504,556,343,211.598920863309
"HDLBP","NON_ORF",0.215,554,342,211.126353790614
"MATR3","ORF",-1.394,472,315,210.222457627119
"CIC","ORF",-0.01,470,314,209.778723404255
"RPL4","ORF",0.941,566,344,209.074204946996
"HNRNPM","ORF",0,527,331,207.895635673624
"RUVBL2","ORF",1.834,467,311,207.111349036403
"HNRNPK","ORF",0,501,322,206.954091816367
"HSPA4","ORF",0.321,447,304,206.747203579418
"PCBP1","BOTH",0.129,507,322,204.504930966469
"RNF113A","ORF",1.304,520,325,203.125
"CHMP4C","ORF",0.807,506,320,202.371541501976
"DDX3X","ORF",0.395,465,306,201.367741935484
"DDX21","ORF",-0.363,542,330,200.922509225092
"SYNCRIP","ORF",0.142,476,309,200.590336134454
"ACTC1","ORF",0.169,462,304,200.034632034632
"BMI1","ORF",0.058,456,302,200.008771929825
"RBBP4","ORF",-0.399,404,284,199.643564356436
"PABPC1","ORF",1.313,533,326,199.392120075047
"LMNB1","BOTH",0.796,447,298,198.666666666667
"CUL1","NON_ORF",0.398,579,339,198.481865284974
"CDK9","ORF",0.052,505,315,196.485148514851
"BTRC","ORF",-0.195,486,309,196.462962962963
"RPS3","ORF",1.014,561,331,195.295900178253
"PINK1","ORF",-1.579,431,290,195.127610208817
"HSPA9","ORF",0.379,525,320,195.047619047619
"DHX9","ORF",0.962,494,310,194.534412955466
"YBX1","ORF",1.616,512,315,193.798828125
"RC3H1","ORF",0.677,509,314,193.705304518664
"CSNK2A2","ORF",-1.198,423,286,193.371158392435
"UBE2O","ORF",1.248,508,313,192.852362204724
"SLX4","ORF",0,387,273,192.581395348837
"EEF1A1","BOTH",1.057,513,314,192.194931773879
"FN1","ORF",0.887,549,324,191.213114754098
"DDX5","ORF",1.692,435,288,190.675862068966
"PTEN","ORF",-1.854,473,298,187.746300211416
"NR3C1","BOTH",-1.576,419,280,187.112171837709
"PRNP","NON_ORF",-1.509,475,298,186.955789473684
