"from","to"
"CSNK2A1","CSNK2B"
"CSNK2A1","HNRNPA2B1"
"CSNK2A1","ZHX1"
"COPS7A","CSNK2A1"
"CSNK2A1","CSNK2A1"
"CSNK2A1","RANGAP1"
"CSNK2A1","SSRP1"
"CSNK2A1","SUPT16H"
"CHD4","CSNK2A1"
"CSNK2A1","MPHOSPH10"
"CSNK2A1","RPS18"
"CSNK2A1","HMGA1"
"CSNK2A1","MCM2"
"ACIN1","CSNK2A1"
"CSNK2A1","FTSJ3"
"CSNK2A1","SF3B2"
"CSNK2A1","SUPT5H"
"CSNK2A1","NCAPD2"
"CSNK2A1","PRPF40A"
"CSNK2A1","HSP90AB1"
"CSNK2A1","RPL13"
"CSNK2A1","MRPL38"
"AKT1","CSNK2A1"
"CSNK2A1","DAXX"
"CSNK2A1","OTUB1"
"CSNK2A1","USP7"
"CSNK2A1","GLTSCR2"
"CCT5","CSNK2A1"
"CSNK2A1","HSPB1"
"ARNTL","CSNK2A1"
"CSNK2A1","PGK1"
"CSNK2A1","ZNF687"
"CBX4","CSNK2A1"
"CSNK2A1","STIP1"
"CSNK2A1","RPS12"
"CSNK2A1","P4HA1"
"CSNK2A1","HCFC1"
"CSNK2A1","PES1"
"CDK2","CSNK2A1"
"BRMS1L","CSNK2A1"
"CSNK2A1","RPS24"
"CSNK2A1","UPF1"
"CSNK2A1","EIF3A"
"CSNK2A1","RPS20"
"CSNK2A1","HDGF"
"CSNK2A1","RPS8"
"CSNK2A1","RPS11"
"CSNK2A1","RPS28"
"CSNK2A1","RPS25"
"CSNK2A1","RPL23"
"CSNK2A1","RPS4X"
"CSNK2A1","POLR1A"
"CSNK2A1","DDX41"
"CSNK2A1","ZC3H4"
"CSNK2A1","EIF6"
"CSNK2A1","RNPS1"
"CSNK2A1","PIN1"
"CSNK2A1","FOS"
"CHD3","CSNK2A1"
"CSNK2A1","SIRT1"
"CSNK2A1","SRC"
"CSNK2A1","RNF11"
"AURKA","CSNK2A1"
"CSNK2A1","HEXIM1"
"CSNK2A1","LUC7L"
"CSNK2A1","CTDP1"
"CSNK2A1","FXR2"
"CSNK2A1","POLR2E"
"CSNK2A1","RECQL4"
"CSNK2A1","SMARCA4"
"CSNK2A1","PPP1CA"
"CSNK2A1","SETD1A"
"CSNK2A1","HMGA2"
"CAPZB","CSNK2A1"
"CSNK2A1","MIF"
"CSNK2A1","CUL3"
"BAP1","CSNK2A1"
"CLK2","CSNK2A1"
"CSNK2A1","HIST1H3C"
"GAPDH","STIP1"
"GAPDH","YWHAE"
"GAPDH","GAPDH"
"GAPDH","PGK1"
"GAPDH","TPI1"
"GAPDH","MAP3K5"
"GAPDH","SIAH1"
"ENO1","GAPDH"
"ENO2","GAPDH"
"GAPDH","TSHZ3"
"GAPDH","HSPB1"
"GAPDH","PFKL"
"GAPDH","HNRNPA2B1"
"GAPDH","HCFC1"
"GAPDH","SSBP1"
"GAPDH","ILF2"
"GAPDH","HNRNPA0"
"GAPDH","PAK2"
"CNDP2","GAPDH"
"DNAJC7","GAPDH"
"GAPDH","HIST2H3A"
"GAPDH","TNIP1"
"GAPDH","PHB2"
"GAPDH","RPL23"
"GAPDH","MIF"
"CCT5","GAPDH"
"GAPDH","PSMD11"
"GAPDH","POU5F1"
"GAPDH","SIRT1"
