"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"CSNK2A1","NONE",2.916,564,377,252.001773049645
"GAPDH","NONE",3.443,473,301,191.545454545455
"ILF2","NONE",2.801,473,299,189.008456659619
"UBE2M","NONE",2.754,475,286,172.202105263158
"RAB7A","NONE",3.074,394,245,152.347715736041
"TUBA1A","NONE",2.622,369,232,145.864498644986
"RPS24","NONE",-2.975,422,242,138.777251184834
"RPS11","NONE",-3.26,412,238,137.485436893204
"RPS20","NONE",-2.871,414,238,136.821256038647
"RPS4X","NONE",-2.647,421,238,134.546318289786
"PSMC5","NONE",3.008,350,216,133.302857142857
"RNPS1","NONE",2.652,283,187,123.565371024735
"RPS25","NONE",-2.775,329,191,110.884498480243
"ACLY","NONE",4.207,277,175,110.559566787004
"RAB5C","NONE",2.649,296,177,105.841216216216
"PIN1","NONE",2.669,203,146,105.004926108374
"SNRPA1","NONE",2.804,229,151,99.5676855895196
"HNRNPA0","NONE",3.03,240,154,98.8166666666667
"UBAP2L","NONE",2.589,232,151,98.2801724137931
"RPL34","NONE",-2.725,239,142,84.3682008368201
"SMARCD2","NONE",3.588,139,108,83.9136690647482
"MRPS7","NONE",2.826,264,148,82.969696969697
"OTUB1","NONE",2.749,228,135,79.9342105263158
"ARHGEF2","NONE",3.419,160,107,71.55625
"HIST2H3A","NONE",2.735,168,108,69.4285714285714
"BANF1","NONE",2.857,162,106,69.358024691358
"TPI1","NONE",2.817,202,118,68.9306930693069
"FARSA","NONE",2.917,140,98,68.6
"DIABLO","NONE",3.346,159,104,68.0251572327044
"DDX47","NONE",2.828,154,101,66.2402597402597
"CBX8","NONE",3.089,173,107,66.1791907514451
"WDR61","NONE",3.525,168,103,63.1488095238095
"REEP5","NONE",-2.703,149,97,63.1476510067114
"FEN1","NONE",2.592,141,94,62.6666666666667
"TFG","NONE",3.01,156,96,59.0769230769231
"EIF5A","NONE",3.192,190,104,56.9263157894737
"NIPSNAP1","NONE",3.296,175,97,53.7657142857143
"PHF5A","NONE",2.657,130,83,52.9923076923077
"PDPK1","NONE",-2.781,110,76,52.5090909090909
"CCDC137","NONE",3.048,149,88,51.9731543624161
"ZNF687","NONE",3.143,87,66,50.0689655172414
"DCP1A","NONE",-3.37,124,76,46.5806451612903
"GADD45GIP1","NONE",2.587,176,90,46.0227272727273
"WDR46","NONE",2.768,119,74,46.0168067226891
"TACC3","NONE",2.795,78,58,43.1282051282051
"MRPL38","NONE",4.058,155,81,42.3290322580645
