"from","to"
"CUL3","CUL3"
"COMMD1","CUL3"
"AURKB","CUL3"
"CUL3","GPS1"
"CUL3","HCFC1"
"CUL3","RHOBTB1"
"COPS7A","CUL3"
"CUL3","PRPF40A"
"CUL3","RPS28"
"CUL3","SUPT5H"
"COPS7B","CUL3"
"CUL3","HOOK2"
"CUL3","TUBA1A"
"CUL3","FANCI"
"CUL3","MRPS18B"
"CUL3","PGAM5"
"CUL3","SHMT2"
"CUL3","P4HA1"
"CUL3","SF3B2"
"CUL3","PSMC5"
"CUL3","RNPS1"
"CUL3","SMARCB1"
"CUL3","TFG"
"CUL3","PELO"
"ACIN1","CUL3"
"AP2M1","CUL3"
"ARHGDIA","CUL3"
"CUL3","DDX28"
"CUL3","PRMT5"
"CUL3","EIF4G1"
"AP1B1","CUL3"
"CUL3","DDX41"
"CUL3","DDX6"
"CUL3","POLD1"
"CUL3","SNRPA1"
"CUL3","UPF1"
"CUL3","FARSA"
"CUL3","YWHAE"
"CAD","CUL3"
"CUL3","EIF4A1"
"CUL3","FTSJ3"
"CLPB","CUL3"
"CUL3","FN3KRP"
"CUL3","TPM3"
"CUL3","CUL5"
"CUL3","IGF2BP3"
"CUL3","MRPL12"
"CUL3","PPP4C"
"CUL3","RAE1"
"CUL3","RPS11"
"CUL3","TIMM50"
"CUL3","UBAP2L"
"CUL3","MYBBP1A"
"CUL3","PSPC1"
"CUL3","SMARCD2"
"CUL3","USP9X"
"CUL3","HNRNPA2B1"
"CUL3","MCM7"
"CUL3","PPP1CA"
"CUL3","PSMD2"
"CUL3","EMD"
"CUL3","KPNA2"
"CUL3","SLC3A2"
"CUL3","PRPF4"
"CUL3","RBM28"
"CUL3","SUPT16H"
"CUL3","EIF6"
"CUL3","EWSR1"
"CUL3","FXR2"
"CUL3","PES1"
"CUL3","PLOD1"
"CUL3","PRMT1"
"CUL3","SMARCA4"
"CUL3","SNRPB"
"CUL3","DNAJC7"
"CUL3","ENO1"
"CUL3","IRAK1"
"CUL3","LANCL1"
"CUL3","NAT10"
"CUL3","PCNA"
"CUL3","PLOD3"
"CUL3","POLR2C"
"CUL3","POLR2E"
"CUL3","USP7"
"CCT5","CUL3"
"CUL3","MRPS7"
"CUL3","PSMC4"
"CUL3","PYCR1"
"CUL3","SEC24C"
"CUL3","SSBP1"
"CUL3","TUFM"
"CUL3","HNRNPA0"
"CUL3","MCM6"
"CUL3","MRPS5"
"CUL3","RPS12"
"CUL3","TUBB"
"CDK4","CUL3"
"CLTCL1","CUL3"
"CUL3","DNAJA3"
"CUL3","HSPB1"
"CUL3","ILF2"
"CUL3","KRT2"
"CUL3","RPL23"
"CUL3","RPS25"
"CUL3","ZNF326"
"ACTL6A","CUL3"
"ATAD3A","CUL3"
"CUL3","GAPDH"
"CUL3","LDHA"
"CUL3","PFN1"
"CUL3","RPL23A"
"CUL3","RPS20"
"CUL3","RPS8"
"CUL3","ENO2"
"CUL3","HSP90AB1"
"CUL3","RPL19"
"CUL3","RPS18"
"CUL3","RPS24"
