"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"CUL3","ORF",-2.685,1435,924,594.965853658537
"KIF14","ORF",1.992,1127,726,467.680567879326
"BAP1","ORF",2.031,973,595,363.848920863309
"STIP1","ORF",2.201,785,529,356.485350318471
"MECP2","ORF",-2.345,823,526,336.179829890644
"RECQL4","ORF",2.404,1014,582,334.047337278107
"TNIP1","ORF",2.096,810,513,324.9
"CHD4","ORF",2.002,710,475,317.781690140845
"FBXW7","NON_ORF",-2.131,764,474,294.078534031414
"YWHAE","ORF",2.587,623,424,288.565008025682
"CAPZB","ORF",2.054,770,471,288.105194805195
"PRMT1","ORF",2.357,683,440,283.455344070278
"MCM2","ORF",2.225,722,452,282.969529085873
"HSP90AB1","ORF",2.046,638,415,269.945141065831
"PRC1","ORF",2.988,680,422,261.888235294118
"CSNK2A1","NONE",2.916,564,377,252.001773049645
"CHD3","BOTH",2.096,599,388,251.325542570952
"AURKB","ORF",3.325,558,368,242.695340501792
"GSK3B","ORF",2.749,502,345,237.101593625498
"HSPB1","ORF",-2.105,480,332,229.633333333333
"FUS","ORF",2.734,528,348,229.363636363636
"SSRP1","ORF",2.058,520,339,221.001923076923
"HNRNPA2B1","ORF",2.064,516,326,205.961240310078
"EWSR1","ORF",2.984,517,319,196.829787234043
"CDK2","ORF",2.165,550,328,195.607272727273
"GAPDH","NONE",3.443,473,301,191.545454545455
"ILF2","NONE",2.801,473,299,189.008456659619
"KPNA2","ORF",2.32,378,267,188.595238095238
"ENO1","ORF",2.756,457,286,178.984682713348
"SF3B2","ORF",2.573,375,257,176.130666666667
"PPP1CA","ORF",2.585,430,273,173.323255813953
"UBE2M","NONE",2.754,475,286,172.202105263158
"SMARCA4","NON_ORF",2.214,329,238,172.170212765957
"RPL13","ORF",-2.254,536,303,171.285447761194
"SNRPB","ORF",2.229,376,253,170.23670212766
"UPF1","ORF",-2.556,390,256,168.041025641026
"TUFM","ORF",2.266,477,275,158.542976939203
"CSNK2B","ORF",2.007,369,241,157.40108401084
"PRPF40A","ORF",2.542,319,224,157.291536050157
"PSPC1","ORF",2.085,392,248,156.897959183673
"FXR2","ORF",3.138,308,218,154.298701298701
"SUPT16H","ORF",2.338,358,234,152.949720670391
"RAB7A","NONE",3.074,394,245,152.347715736041
"CAD","ORF",2.464,361,232,149.096952908587
"TUBA1A","NONE",2.622,369,232,145.864498644986
"HIST1H3C","BOTH",2.328,273,198,143.604395604396
"PHB2","ORF",2.511,406,241,143.056650246305
"KRT8","ORF",2.805,281,200,142.348754448399
"MCM7","ORF",2.186,333,217,141.408408408408
"PLK1","ORF",3.013,325,213,139.596923076923
"PSMD2","ORF",3.368,342,218,138.959064327485
"IGF2BP3","ORF",2.311,391,233,138.846547314578
"RPS24","NONE",-2.975,422,242,138.777251184834
"MCM5","ORF",2.388,349,220,138.681948424069
"SHMT2","BOTH",3.531,359,223,138.520891364902
"RPS11","NONE",-3.26,412,238,137.485436893204
"RPS20","NONE",-2.871,414,238,136.821256038647
"RPS4X","NONE",-2.647,421,238,134.546318289786
"MYBBP1A","ORF",2.705,360,220,134.444444444444
"PSMC5","NONE",3.008,350,216,133.302857142857
"CCT5","ORF",-2.244,357,218,133.120448179272
"FLOT1","ORF",2.652,299,199,132.444816053512
"FTSJ3","ORF",4.301,324,207,132.25
"SUPT5H","ORF",2.083,279,192,132.129032258065
