"from","to"
"CUL3","CUL3"
"COMMD1","CUL3"
"AURKB","CUL3"
"CUL3","GPS1"
"CUL3","HCFC1"
"CUL3","RHOBTB1"
"CUL3","PRPF40A"
"CUL3","RPS28"
"CUL3","SUPT5H"
"COPS7B","CUL3"
"CUL3","HOOK2"
"CUL3","SHMT2"
"CUL3","P4HA1"
"CUL3","SF3B2"
"CUL3","SMARCB1"
"ACIN1","CUL3"
"AP2M1","CUL3"
"CUL3","PRMT5"
"CUL3","EIF4G1"
"AP1B1","CUL3"
"CUL3","DDX41"
"CUL3","POLD1"
"CUL3","UPF1"
"CUL3","YWHAE"
"CAD","CUL3"
"CUL3","FTSJ3"
"CLPB","CUL3"
"CUL3","FN3KRP"
"CUL3","TPM3"
"CUL3","CUL5"
"CUL3","IGF2BP3"
"CUL3","PPP4C"
"CUL3","TIMM50"
"CUL3","MYBBP1A"
"CUL3","PSPC1"
"CUL3","USP9X"
"CUL3","HNRNPA2B1"
"CUL3","MCM7"
"CUL3","PPP1CA"
"CUL3","PSMD2"
"CUL3","KPNA2"
"CUL3","SLC3A2"
"CUL3","PRPF4"
"CUL3","SUPT16H"
"CUL3","EWSR1"
"CUL3","FXR2"
"CUL3","PLOD1"
"CUL3","PRMT1"
"CUL3","SMARCA4"
"CUL3","SNRPB"
"CUL3","DNAJC7"
"CUL3","ENO1"
"CUL3","IRAK1"
"CUL3","NAT10"
"CUL3","PLOD3"
"CUL3","POLR2C"
"CCT5","CUL3"
"CUL3","PSMC4"
"CUL3","TUFM"
"CLTCL1","CUL3"
"CUL3","HSPB1"
"CUL3","KRT2"
"ATAD3A","CUL3"
"CUL3","ENO2"
"CUL3","HSP90AB1"
"CUL3","RPS18"
"CUL3","TRAP1"
"CUL3","RPL13"
"CUL3","DAXX"
"CUL3","PAK1IP1"
"CUL3","USP21"
"AURKA","CUL3"
"CUL3","RANGAP1"
"CUL3","NOTCH2"
"CUL3","TRAF2"
"CHD4","CUL3"
"ABLIM1","CUL3"
"CUL3","TRIM27"
"CUL3","XPOT"
"CUL3","MCM5"
"CUL3","ZC3H4"
"CUL3","RBCK1"
"CUL3","TRAF5"
"CUL3","KIAA0430"
"CUL3","ECH1"
"CUL3","PSMC3"
"CUL3","RUFY1"
"CUL3","ZNF250"
"CUL3","KRT8"
"CUL3","NDUFA9"
"CUL3","PHB2"
"CUL3","USP10"
"BUB1B","CUL3"
"CUL3","EIF3A"
"CSNK2B","CUL3"
"AHR","CUL3"
"CBX5","CUL3"
"CUL3","PMPCB"
"CUL3","IKBKG"
"CS","CUL3"
"ARAF","CUL3"
"CUL3","NUP85"
"CUL3","MKRN2"
"CUL3","PI4KA"
"CUL3","PPM1G"
"CUL3","SLC25A1"
"CUL3","INTS6"
"CUL3","NCAPH2"
"CUL3","TSC1"
"CFL1","CUL3"
"CUL3","SIRT1"
"CUL3","PRKCSH"
"COPE","CUL3"
"CUL3","MED15"
"CCT6B","CUL3"
"AARS","CUL3"
"CUL3","PGK1"
"CUL3","SPAG5"
