"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"TRIM67","BOTH",0,3085,2792,2526.82787682334
"ZRANB1","BOTH",-1.24,2753,2440,2162.58626952416
"PARK2","BOTH",0.309,2201,2011,1837.40163562017
"RPA1","BOTH",-0.949,2246,2024,1823.94300979519
"PLEKHA4","BOTH",0.367,2126,1919,1732.15475070555
"EGFR","ORF",-0.156,1952,1745,1559.95133196721
"KRAS","BOTH",2.433,1814,1611,1430.71719955899
"KIAA1429","BOTH",-1.012,1655,1534,1421.84652567976
"NTRK1","BOTH",-3.183,1655,1532,1418.1413897281
"CUL3","NON_ORF",-0.17,1722,1559,1411.42915214866
"ESR1","BOTH",-1.928,1655,1490,1341.4501510574
"TP53","BOTH",-3.885,1642,1477,1328.58038976858
"CCNF","BOTH",1.881,1611,1460,1323.15332091868
"ESR2","ORF",-2.629,1587,1419,1268.78449905482
"HSPA8","ORF",-0.97,1503,1352,1216.17032601464
"ANLN","ORF",1.044,1395,1256,1130.85017921147
"TRIM25","BOTH",0.605,1324,1213,1111.30589123867
"RAF1","BOTH",2.507,1343,1181,1038.54132539092
"KIF14","BOTH",0.181,1338,1172,1026.59491778774
"TIPARP","ORF",-1.486,1224,1117,1019.35375816993
"BRD4","BOTH",-1.911,1254,1126,1011.0653907496
"STAU1","ORF",0.953,1229,1106,995.310008136696
"EFTUD2","BOTH",-1.104,1190,1057,938.864705882353
"EZH2","BOTH",7.319,1156,1040,935.640138408305
"BIRC3","ORF",-0.795,1091,999,914.758020164986
"UBC","BOTH",-1.642,1078,985,900.02319109462
"NR2C2","ORF",0.344,1115,997,891.487892376682
"BAP1","ORF",0.815,1079,979,888.267840593142
"VCP","BOTH",-1.239,1084,968,864.413284132841
"PARP1","BOTH",6.058,1032,939,854.380813953488
"EP300","ORF",-0.599,995,917,845.114572864322
"CIT","BOTH",1.25,1081,952,838.394079555967
"HSPA5","BOTH",-1.809,1016,901,799.016732283465
"TRIM28","BOTH",0.989,992,890,798.487903225806
"SOX2","ORF",0.343,951,871,797.729758149316
"XPO1","BOTH",0.627,1003,894,796.845463609172
"HNRNPL","BOTH",-1.44,948,861,781.98417721519
"BRCA1","BOTH",3.959,943,856,777.026511134677
"MYCN","ORF",1.329,1034,895,774.685686653772
"TGOLN2","ORF",-2.002,931,842,761.50805585392
"MECP2","BOTH",-1.023,942,838,745.48195329087
"CFTR","ORF",-1.044,924,828,741.974025974026
"RHOA","ORF",5.538,897,806,724.231884057971
"SQSTM1","ORF",0.572,905,807,719.612154696133
"WDR5","BOTH",0.338,875,792,716.873142857143
"FBXW7","ORF",0.915,865,787,716.033526011561
"NXF1","BOTH",-1.961,883,795,715.770101925255
"TNIP1","BOTH",1.89,943,819,711.305408271474
"YAP1","BOTH",-2.618,870,783,704.7
"ACE2","BOTH",0.328,877,781,695.508551881414
"MEN1","BOTH",3.112,845,763,688.957396449704
"FZR1","ORF",-0.234,858,765,682.08041958042
"RBM39","BOTH",0.036,881,775,681.753688989784
"MOV10","ORF",-2.023,866,768,681.090069284065
"HUWE1","ORF",1.178,868,764,672.460829493088
"STIP1","BOTH",4.431,846,751,666.667848699764
"LMNA","BOTH",-0.907,848,750,663.325471698113
"CAPZB","BOTH",-0.568,857,752,659.864644107351
"HDAC1","ORF",1.549,774,713,656.807493540052
"HNRNPH1","BOTH",-0.341,831,738,655.407942238267
"DDX58","BOTH",-0.159,818,732,655.041564792176
"YWHAZ","ORF",6.924,802,724,653.586034912718
"COPS5","ORF",4.052,810,726,650.711111111111
"HECTD1","ORF",-1.542,790,715,647.120253164557
"AR","BOTH",2.614,744,693,645.495967741935
"HSP90AA1","ORF",0.918,823,728,643.965978128797
"YWHAG","ORF",-0.574,792,714,643.681818181818
"TOP3B","ORF",-0.321,740,684,632.237837837838
"KIF23","BOTH",2.68,814,709,617.544226044226
"CTNNB1","BOTH",1.88,724,668,616.331491712707
"PML","ORF",-4.188,706,659,615.128895184136
"MCM2","ORF",0.745,797,699,613.050188205772
"HNRNPU","ORF",0.329,792,693,606.375
"OBSL1","BOTH",-0.513,724,662,605.309392265193
"SNRNP70","ORF",-2.163,831,708,603.205776173285
"SMC5","BOTH",0.106,769,681,603.07022106632
"CHD4","BOTH",0.354,758,675,601.088390501319
"XRCC6","ORF",-3.332,745,663,590.025503355705
"PRC1","ORF",2.975,765,671,588.550326797386
"HDAC6","BOTH",-0.972,726,653,587.340220385675
"APEX1","ORF",0.643,702,641,585.30056980057
"KIF20A","BOTH",0.659,758,662,578.158311345646
"OGT","BOTH",0.372,677,623,573.307237813885
"PRMT1","BOTH",1.602,706,630,562.181303116147
"ZC3H18","ORF",0.866,733,641,560.547066848568
"MAPT","ORF",0.068,669,612,559.856502242152
"CUL7","BOTH",2.656,683,617,557.377745241581
"HEXIM1","BOTH",-2.455,713,630,556.661991584853
"ACTB","ORF",-0.352,728,635,553.880494505495
"ILF3","NON_ORF",0.69,728,633,550.396978021978
"FANCD2","BOTH",0.98,684,613,549.369883040936
"KCNA3","ORF",-0.099,634,590,549.053627760252
"YWHAB","ORF",2.611,674,607,546.660237388724
"PRNP","ORF",-2.209,661,601,546.446293494705
