"from","to"
"GARS","QARS"
"BOP1","GARS"
"GARS","XPNPEP1"
"GARS","UBE2M"
"AP1B1","GARS"
"GARS","PPM1H"
"EEF1D","GARS"
"DARS","GARS"
"GARS","PDIA3"
"CAND1","GARS"
"GARS","MTPN"
"BRCA1","GARS"
"GARS","TMPO"
"GARS","PIH1D1"
"GARS","HEXIM1"
"CUL7","GARS"
"GARS","KIF23"
"GARS","PRNP"
"AUH","GARS"
"GARS","TUFM"
"GARS","KRAS"
"EIF4E","GARS"
"GARS","HSPA9"
"GARS","MYLK"
"GARS","RAF1"
"RAF1","UBE2D2"
"EPS15","UBE2D2"
"UBASH3B","UBE2D2"
"UBE2D2","UBE4A"
"RNF43","UBE2D2"
"SIAH1","UBE2D2"
"RNF185","UBE2D2"
"UBE2D2","UBE2D2"
"RELA","UBE2D2"
"UBE2D2","UBE2M"
"UBE2D2","UBXN7"
"CCNB1","UBE2D2"
"HECW2","UBE2D2"
"UBE2D2","UBE3C"
"SYVN1","UBE2D2"
"SNCA","UBE2D2"
"SELENBP1","UBE2D2"
"UBE2D2","UBE2D3"
"KDR","UBE2D2"
"BARD1","UBE2D2"
"BRCA1","UBE2D2"
"FCGR2A","UBE2D2"
"PMAIP1","UBE2D2"
"PSMD1","RPS21"
"RPS21","UCHL5"
"RPS21","SRP54"
"COPS5","RPS21"
"CAND1","RPS21"
"RPL11","RPS21"
"RPL18","RPS21"
"RAD21","RPS21"
"AR","RPS21"
"RPS21","UBE2M"
"PIH1D1","RPS21"
"ESR2","RPS21"
"HEXIM1","RPS21"
"RPS21","SNRNP70"
"RIPK1","RPS21"
"NEK4","RPS21"
"FXR2","RPS21"
"PIP4K2C","RPS21"
"KRAS","RPS21"
"DDX6","RPS21"
"ENY2","RPS21"
"RPS21","TOP2A"
"MEN1","RPS21"
"EZH2","RPS21"
"FOS","JUN"
"FOS","MAPK1"
"FOS","FOS"
"FOS","GRHPR"
"FOS","HSD17B4"
"EEF1D","FOS"
"FOS","SMARCC1"
"CRYAB","FOS"
"FOS","SELENBP1"
"ACPP","FOS"
"CALM1","FOS"
"FOS","TLE1"
"FOS","NFIA"
"FOS","PGRMC1"
"ACTR3","FOS"
"DBN1","FOS"
"FOS","MYO5C"
"ACACB","FOS"
"FOS","RELA"
"FOS","TSC22D3"
"FOS","PML"
"FOS","MEN1"
"TRIP13","WDYHV1"
"HPRT1","WDYHV1"
"ARFGAP3","WDYHV1"
"SHB","WDYHV1"
"RPS6KA3","WDYHV1"
"EIF4G3","WDYHV1"
"PKP2","WDYHV1"
"NUF2","WDYHV1"
"RBPMS","WDYHV1"
"IKZF3","WDYHV1"
"VPS37C","WDYHV1"
"PRKAR1B","WDYHV1"
"WDYHV1","WDYHV1"
"SIAH1","WDYHV1"
"MAD1L1","WDYHV1"
"HOMER3","WDYHV1"
"SNAP29","WDYHV1"
"PYCRL","WDYHV1"
"TNFAIP1","WDYHV1"
"MSMB","WDYHV1"
"BOP1","BOP1"
"ARRB2","BOP1"
"BOP1","CAND1"
"BOP1","GARS"
"BOP1","CUL7"
"BOP1","IFI16"
"BOP1","ESR2"
