"gene_list","mutation","precog_metaZ","tot_int","mut_int","network_score"
"GARS","NONE",2.746,224,196,171.5
"UBE2D2","NONE",3.128,197,179,162.644670050761
"RPS21","NONE",2.712,221,186,156.542986425339
"FOS","NONE",-6.208,185,166,148.951351351351
"WDYHV1","NONE",3.004,181,155,132.734806629834
"BOP1","NONE",2.83,167,143,122.449101796407
"SH3BGRL","NONE",-4.69,116,104,93.2413793103448
"NCBP2","NONE",4.141,116,93,74.5603448275862
"HPRT1","NONE",6.592,99,84,71.2727272727273
"SOCS2","NONE",-2.71,74,68,62.4864864864865
"CYB5A","NONE",-4.898,103,78,59.0679611650485
"GMNN","NONE",5.196,69,63,57.5217391304348
"SORD","NONE",-3.228,85,69,56.0117647058824
"MCFD2","NONE",-2.956,67,59,51.955223880597
"ZG16B","NONE",-2.78,61,55,49.5901639344262
"MDK","NONE",3.027,57,53,49.280701754386
"TMEM97","NONE",3.303,63,55,48.015873015873
"FAM189A2","NONE",-2.692,46,46,46
"CD99","NONE",-2.737,73,55,41.4383561643836
"TMSB10","NONE",2.982,43,39,35.3720930232558
"GCLM","NONE",3.378,46,40,34.7826086956522
"MICA","NONE",-2.752,57,44,33.9649122807018
"LIN52","NONE",-3.065,41,36,31.609756097561
"GP1BB","NONE",3.306,31,30,29.0322580645161
"PLAU","NONE",3.295,30,27,24.3
"PRR4","NONE",-3.322,26,24,22.1538461538462
"TIMP1","NONE",3.551,27,24,21.3333333333333
"MT2A","NONE",-2.931,27,24,21.3333333333333
"MSMB","NONE",-3.287,19,17,15.2105263157895
"FKBP1B","NONE",-2.61,23,18,14.0869565217391
"MT1X","NONE",-3.087,16,15,14.0625
"DAZ2","NONE",2.652,17,15,13.2352941176471
"CMTM3","NONE",2.991,19,14,10.3157894736842
"HBEGF","NONE",-3.275,10,10,10
"RNASE1","NONE",2.865,9,9,9
"SAC3D1","NONE",2.935,10,9,8.1
"GLRX2","NONE",3.952,8,7,6.125
"ANXA8L1","NONE",3.453,11,8,5.81818181818182
"MT1F","NONE",-3.852,7,6,5.14285714285714
"NBL1","NONE",-4.795,5,5,5
"TAC3","NONE",2.602,8,6,4.5
"FXYD1","NONE",-2.981,6,5,4.16666666666667
"MT1G","NONE",-3.609,4,4,4
"UGT1A5","NONE",3.322,7,5,3.57142857142857
"DAZ1","NONE",2.626,5,4,3.2
"IL11","NONE",2.895,8,5,3.125
"CXCL12","NONE",-2.633,6,4,2.66666666666667
"FOXD1","NONE",3.385,2,2,2
"CDC42EP5","NONE",-7.173,2,2,2
"CCNYL2","NONE",2.921,1,1,1
"UGT1A3","NONE",2.987,1,1,1
"DAZ4","NONE",2.626,1,1,1
"DAZ3","NONE",2.708,1,1,1
"PKM2","NONE",3.479,0,0,0
"WDR67","NONE",4.66,0,0,0
"EIF2C2","NONE",3.833,0,0,0
"MOSC1","NONE",-2.909,0,0,0
"ANXA8L2","NONE",3.477,0,0,0
"LOC646168","NONE",6.329,0,0,0
"RGNEF","NONE",3.204,0,0,0
"LOC340888","NONE",2.6,0,0,0
"LOC642635","NONE",3.094,0,0,0
"LOC441416","NONE",3.054,0,0,0
"LOC389740","NONE",2.769,0,0,0
"FLJ46358","NONE",2.768,0,0,0
"LRRC26","NONE",-2.924,0,0,0
"GPR109A","NONE",2.761,0,0,0
"KLHDC5","NONE",-4.074,0,0,0
"ENO1",NA,NA,NA,NA,NA
"SELENBP1",NA,NA,NA,NA,NA
"ALDH7A1",NA,NA,NA,NA,NA
"PGD",NA,NA,NA,NA,NA
"AKR1C2",NA,NA,NA,NA,NA
"SNCA",NA,NA,NA,NA,NA
"NEK4",NA,NA,NA,NA,NA
