"from","to"
"KRAS","PIK3CA"
"KRAS","RAF1"
"EEF1A1","KRAS"
"BCL2","KRAS"
"KRAS","RBPMS"
"DIRAS3","KRAS"
"KRAS","PRPF3"
"CCNA2","KRAS"
"COPS5","KRAS"
"FANCA","KRAS"
"HCK","KRAS"
"HSPA9","KRAS"
"KRAS","KRAS"
"KRAS","NF1"
"KRAS","NUP205"
"KRAS","QARS"
"KRAS","SERPINB5"
"KRAS","TRIM44"
"KRAS","TUBGCP4"
"KRAS","UBE2M"
"KRAS","PML"
"KRAS","SORBS3"
"KRAS","MAPK1"
"GRB2","KRAS"
"KRAS","RPL18"
"CAND1","KRAS"
"KRAS","YWHAZ"
"KRAS","XRCC6"
"DARS","KRAS"
"KRAS","YBX1"
"HNRNPF","KRAS"
"KPNA2","KRAS"
"DDX24","KRAS"
"KRAS","YAP1"
"CALM1","KRAS"
"ENO1","KRAS"
"BAIAP2","KRAS"
"KRAS","ROR2"
"KRAS","STX3"
"HSP90AB2P","KRAS"
"KRAS","SPRY4"
"KRAS","NUMB"
"KRAS","RAB27A"
"KRAS","LYN"
"KRAS","SEPT6"
"KRAS","RPS6KA1"
"CYFIP1","KRAS"
"KRAS","SLC16A1"
"KRAS","TFRC"
"KRAS","SCRIB"
"KRAS","STX12"
"CD44","KRAS"
"KRAS","MTOR"
"EPHA2","KRAS"
"KRAS","RAB13"
"KRAS","SHB"
"KRAS","SLC29A1"
"EPB41L4B","KRAS"
"EPHA1","KRAS"
"KRAS","PAK4"
"KRAS","SLC7A2"
"KRAS","SLC19A1"
"KRAS","SLC39A14"
"KRAS","PTK7"
"JPH1","KRAS"
"KRAS","PVRL3"
"CDC42BPB","KRAS"
"KRAS","MCAM"
"INA","KRAS"
"KRAS","PKP2"
"IL6ST","KRAS"
"KRAS","TMEM97"
"KRAS","SLC7A1"
"KRAS","PLXNA1"
"ITM2B","KRAS"
"KRAS","VAMP2"
"KRAS","NDRG1"
"CDC42EP4","KRAS"
"KRAS","ROBO1"
"ABCC5","KRAS"
"HK1","KRAS"
"KRAS","TMPO"
"KRAS","LMNB1"
"KRAS","TMX4"
"FAM91A1","KRAS"
"AURKB","KRAS"
"ACSL3","KRAS"
"KRAS","TIAM1"
"KRAS","LBR"
"KRAS","RNF185"
"DHRS7","KRAS"
"CCDC47","KRAS"
"GNAS","KRAS"
"ITM2C","KRAS"
"DHFR","KRAS"
"HMOX1","KRAS"
"KRAS","TACC1"
"KRAS","STIM1"
"KRAS","SLC20A1"
"KRAS","TYMS"
"KRAS","SEC23B"
"KRAS","SRP54"
"BIRC5","KRAS"
"KRAS","PFKP"
"KRAS","SOD1"
"FAM50A","KRAS"
"CYC1","KRAS"
"KRAS","RPL11"
"KRAS","SYVN1"
"EZR","KRAS"
"CSE1L","KRAS"
"BARD1","KRAS"
"ENY2","KRAS"
"KRAS","RPS6KA5"
"IGFBP3","KRAS"
"KRAS","STX17"
"AKT2","KRAS"
"CAV1","KRAS"
"CD99","KRAS"
"DLG5","KRAS"
"DOCK5","KRAS"
"ERBB2","KRAS"
"KRAS","OSBPL3"
"KRAS","PIK3R1"
"KRAS","PTPN13"
"KRAS","RPS6KA3"
"KRAS","SNAP29"
"KRAS","TNFRSF10B"
"KRAS","YWHAB"
"DIP2A","KRAS"
"KRAS","PGRMC1"
"KRAS","SYAP1"
"KRAS","TECR"
"KRAS","LRP8"
"CHEK1","KRAS"
"AURKA","KRAS"
"BUB1B","KRAS"
"COASY","KRAS"
"CCNB1","KRAS"
"FTSJ3","KRAS"
"EIF4E","KRAS"
"KIF23","KRAS"
"KPNB1","KRAS"
"KRAS","MCM7"
"KRAS","MFAP1"
"KRAS","MRPS12"
"KRAS","MYBL2"
"KRAS","NCAPD3"
"KRAS","NUF2"
"KRAS","PCBP1"
"KRAS","PCNA"
"KRAS","PGD"
"KRAS","PRC1"
"KRAS","PSMA7"
"KRAS","RAD51"
"KRAS","SDHB"
"KRAS","SMC4"
"KRAS","SNRPE"
"KRAS","TAF2"
"KRAS","TOP2A"
"KRAS","TOP3A"
"KRAS","TPR"
"KRAS","TUBB"
"KRAS","TUFM"
"ACTR3","KRAS"
"DDX5","KRAS"
"IMMT","KRAS"
"KRAS","MCM4"
"KRAS","MRPL51"
"KRAS","OGDH"
"KRAS","TACC3"
"CDK9","KRAS"
"CHAF1A","KRAS"
"CYB5A","KRAS"
"ECD","KRAS"
"GARS","KRAS"
"GEMIN4","KRAS"
"GMNN","KRAS"
"KRAS","MBTPS1"
"KRAS","MIPEP"
"KRAS","PGK1"
"KRAS","PSMD1"
"KRAS","RPL13A"
"KRAS","RRM2"
"KRAS","SYMPK"
"KRAS","TFDP1"
"KRAS","VRK1"
"KRAS","MCM6"
"GLTSCR2","KRAS"
"KRAS","PFDN6"
"KRAS","RPS21"
"KRAS","UBAP2L"
"KRAS","UTP23"
"KRAS","ZMYND8"
"HRAS","KRAS"
"KRAS","PMAIP1"
"NTRK1","PLCG1"
"GIPC1","NTRK1"
"NTRK1","SORBS1"
"GRB2","NTRK1"
"NTRK1","PIK3CA"
"NTRK1","PIK3R1"
"NTRK1","PML"
"NTRK1","PDGFRA"
"KANK2","NTRK1"
"EPS15","NTRK1"
"CAT","NTRK1"
"LTF","NTRK1"
"NTRK1","XRCC6"
"GSTP1","NTRK1"
"NOTCH3","NTRK1"
"EPHA2","NTRK1"
"DDX5","NTRK1"
"NTRK1","RET"
"NTRK1","SLC16A1"
"NTRK1","PTK7"
"IMMT","NTRK1"
"NTRK1","SMARCC1"
"NTRK1","ROR2"
"LBR","NTRK1"
"NCAPD3","NTRK1"
"NTRK1","TOP1"
"MRPL28","NTRK1"
"FXR2","NTRK1"
"FTSJ3","NTRK1"
"ALDH1B1","NTRK1"
"HNRNPF","NTRK1"
"DDX24","NTRK1"
"NTRK1","PTPN12"
"MOV10","NTRK1"
"FAM120A","NTRK1"
"NTRK1","SAFB"
"HLTF","NTRK1"
"NTRK1","PTPLAD1"
"NTRK1","TMPO"
"NTRK1","SCRIB"
"NTRK1","YBX1"
"NTRK1","RPL13A"
"HIP1","NTRK1"
"NTRK1","SUN2"
"NTRK1","RPL18"
"DBN1","NTRK1"
"DAP3","NTRK1"
"NTRK1","TECR"
"GEMIN4","NTRK1"
"ACSL3","NTRK1"
"NTRK1","PRPF3"
"NTRK1","PTK2"
"ATP12A","NTRK1"
"LMNB1","NTRK1"
"NTRK1","PFKP"
"GTF3C1","NTRK1"
"NTRK1","RAD21"
"EHHADH","NTRK1"
"CDC42BPB","NTRK1"
"NTRK1","TOP3A"
"CYC1","NTRK1"
"FUBP3","NTRK1"
"NTRK1","UBXN7"
"CYFIP1","NTRK1"
"FAM91A1","NTRK1"
"NTRK1","UBE3C"
"NIPSNAP1","NTRK1"
"NTRK1","TFRC"
"NTRK1","SMC4"
"BCR","NTRK1"
"MAGED2","NTRK1"
"NTRK1","RDH11"
"MCM7","NTRK1"
"HSPA9","NTRK1"
"MCCC2","NTRK1"
"NEK9","NTRK1"
"HK1","NTRK1"
"CPSF7","NTRK1"
"NTRK1","STAT5B"
"NTRK1","QARS"
"NTRK1","TACC3"
"CCDC47","NTRK1"
"LYN","NTRK1"
"NTRK1","TSG101"
"DARS","NTRK1"
"HDAC2","NTRK1"
"NTRK1","TUFM"
"GNB1","NTRK1"
"NTRK1","TRIP13"
"NTRK1","RELA"
"MAD1L1","NTRK1"
"NTRK1","SNRNP70"
"EIF4E","NTRK1"
"NTRK1","SEL1L"
"MSH2","NTRK1"
"NTRK1","OGDH"
"BOP1","NTRK1"
"KIAA0196","NTRK1"
"NTRK1","UBAP2L"
"EIF4G3","NTRK1"
"MFAP1","NTRK1"
"NTRK1","SEC23B"
"NTRK1","SYMPK"
"GTF2I","NTRK1"
"HSPA6","NTRK1"
"DDX6","NTRK1"
"ERP29","NTRK1"
"NTRK1","NUP205"
"MCM6","NTRK1"
"NTRK1","PARP1"
"MCM4","NTRK1"
"NTRK1","UBE4A"
"NTRK1","PCBP1"
