"from","to"
"CBL","YWHAE"
"EIF4B","YWHAE"
"BCAR1","YWHAE"
"CEP250","YWHAE"
"VASP","YWHAE"
"LRRK2","YWHAE"
"CDK12","YWHAE"
"G3BP1","YWHAE"
"CYLD","YWHAE"
"OGT","YWHAE"
"MYCBP2","YWHAE"
"ARHGAP21","YWHAE"
"NUMBL","YWHAE"
"HIVEP1","YWHAE"
"RACGAP1","YWHAE"
"ARHGEF2","YWHAE"
"PDLIM7","YWHAE"
"RIPK4","YWHAE"
"MAP2K1","YWHAE"
"CEP55","YWHAE"
"TAB2","YWHAE"
"HLA-DRA","YWHAE"
"VCAM1","YWHAE"
"FBXO6","YWHAE"
"PDIA4","YWHAE"
"PGK1","YWHAE"
"CDC73","YWHAE"
"DLST","YWHAE"
"PPP6C","YWHAE"
"UBE2M","YWHAE"
"GPC1","YWHAE"
"SLC15A3","YWHAE"
"ESR1","YWHAE"
"IQGAP1","YWHAE"
"STIP1","YWHAE"
"DDX58","YWHAE"
"GNB1","YWHAE"
"AGPS","ATG16L1"
"ATG16L1","ATP5C1"
"ATG16L1","CSNK2A1"
"ATG16L1","EIF4B"
"ATG16L1","ENO1"
"ATG16L1","GNB1"
"ATG16L1","GNB2"
"ATG16L1","HSPA9"
"ATG16L1","MBNL1"
"ATG16L1","PPP1CC"
"ATG16L1","PPP2R1A"
"ATG16L1","PSMA4"
"ATG16L1","RPLP1"
"ATG16L1","VASP"
"ATG16L1","SMC1A"
"ATG16L1","OGT"
"ATG16L1","RAE1"
"ARHGEF2","ATG16L1"
"ATG16L1","IKZF1"
"ATG16L1","MYBBP1A"
"ADRM1","ATG16L1"
"ATG16L1","TRIOBP"
"ATG16L1","RER1"
"ATG16L1","TAB2"
"ATG16L1","CDK12"
"ATG16L1","EPS15L1"
"ATG16L1","TXLNA"
"ATG16L1","TTK"
"ATG16L1","FSCN1"
"ATG16L1","INPPL1"
"ATG16L1","MYCBP2"
"ATG16L1","PDIA6"
"ATG16L1","PDLIM7"
"ATG16L1","CEP250"
"ATG16L1","YES1"
"ATG16L1","CEP55"
"ATG16L1","OPTN"
"ATG16L1","C3"
"RPLP1","RPS6"
"G3BP1","RPS6"
"RPS6","USP10"
"RPS14","RPS6"
"PARN","RPS6"
"RPL13A","RPS6"
"RPS24","RPS6"
"MRPS5","RPS6"
"MYBBP1A","RPS6"
"MRPL37","RPS6"
"RBM28","RPS6"
"GLTSCR2","RPS6"
"NOC2L","RPS6"
"RPS6","TPX2"
"PGK1","RPS6"
"CDK12","RPS6"
"ARHGEF2","RPS6"
"ESR1","RPS6"
"RPS6","VCAM1"
"FBXO6","RPS6"
"CEP250","RPS6"
"CYLD","RPS6"
"MAP2K1","RPS6"
"PYHIN1","RPS6"
"EIF4B","RPS6"
"PPP1CC","RPS6"
"KIF20A","RPS6"
"DDX58","RPS6"
"NAA40","RPS6"
"EPB41L5","RPS6"
"RIT1","RPS6"
"CSNK2A1","RPS6"
"GSPT1","RPS6"
"PDZD8","RPS6"
"RPS6","SYNCRIP"
"EIF4G1","RPS6"
"GNB2","RPS6"
"RPS6","UBE2M"
"MEX3A","RPS6"
"NUPR1","SYNCRIP"
"ATAD3A","NUPR1"
"CDC73","NUPR1"
"CSNK2A1","NUPR1"
"DBN1","NUPR1"
"DLG1","NUPR1"
"DLST","NUPR1"
"EIF4G1","NUPR1"
"GNB1","NUPR1"
"GNB2","NUPR1"
"GPC1","NUPR1"
"IQGAP1","NUPR1"
"MYBBP1A","NUPR1"
"NOC2L","NUPR1"
"NUP62","NUPR1"
"NUPR1","PPP1CC"
"NUPR1","RACGAP1"
"NUPR1","RAE1"
"NUPR1","TGM2"
